,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F1,Times1,1.5449864355631917e-11,1.9946452739151006e-09,1.7032763481618664e-08,1.038515799238392e-08,2.982061863436757e-08,5.106924042359359e-08,2.4157888613246458e-08,3.146829744845948e-07,1.0029780050248171e-07,1.8071497552604846e-07,5.689687821539341e-07,6.213756976316572e-07,3.25157991117861e-07,3.5035137040985812e-06,3.8115594972936833e-06,2.710203378502842e-06,5.514406508003487e-08,1.7709474325836444e-08,2.589372898322597e-08,2.5548579680753916e-05,3.2497081736947516e-05,1.2576752290016595e-05,3.853126391159587e-05,4.845413518464995e-05,1.918414331369547e-05,0.00019907111301923304,0.00015872378028597967,0.00013031240034747942,0.000663065045674844,0.0007520189367820404,0.00033882723526257487,0.016100431873844058,0.006409049311060537,0.006478579066932116,1.4306830781540177e-07,2.1048993199588928e-08,2.723863426468358e-08,2.4000104651971277e-05,1.105115616159255e-05,5.357528706284726e-06,0.00030338100514748246,0.00012187133061596807,7.298811003406347e-05,0.0004752642292846043,0.0002577101776270732,0.00014196287530517739,0.0030505459198528753,0.001918137342045692,0.0019202092976592844,0.005544027836615415,0.010424847703265546,0.012579044810390648,0.0001979258150715869,0.00017326725862177548,0.00012352675185016405,0.12566320671975606,0.14995549346972534,0.06738238486438135,0.6104561129630124,0.668184313735301,0.5692373091966612,1.2138259312176918,1.093041715543358,1.3995446106342841,7.721046767548549,8.534236467657255,9.506928509337325,37.012629940033264,35.72412131207674,45.11666160112554,0.0002280723363484703,0.00015124845904886949,0.00021603969347398536,0.12441266790306438,0.10911051740319432,0.09976984056244817,0.44726462747615997,0.49780048167180274,0.7269732433101765,1.5625059323661588,1.2503353070752319,1.1478733379292436,5.873155836964976,5.476055765645262,3.0743371239690136,39.22919635857034,47.480644195758366,39.37443796101302
F1,Times2,9.944282321963978e-12,2.060557281849648e-08,9.801056238433744e-09,1.1436009861898343e-08,5.569075032971751e-08,8.517356074113875e-08,6.826894020759219e-08,5.466335402452278e-07,1.3134806680989428e-07,1.457386311145611e-07,7.362073611441559e-07,5.068471824341649e-07,1.4279927416366805e-06,9.027032376784346e-06,2.1710543192732772e-06,5.040985820734838e-06,2.329467575254007e-08,1.0070472233385537e-08,1.560172665490613e-08,2.5073596322636004e-05,1.7403819838816158e-05,1.724443394510842e-05,0.00014759649659615146,7.592046187427767e-05,2.83071045143066e-05,0.00012625096192822398,0.00010744735873115473,6.0746421814751345e-05,0.0007034749486850367,0.0016574933179100261,0.00026756592392293056,0.005428341741647477,0.0011090728174365707,0.003982821941685215,5.928737787373544e-08,1.6301940548535562e-08,4.954939119003751e-09,8.41931915991394e-05,6.647821240353353e-06,3.6110862408782123e-06,0.00019948445135043873,8.551512352384127e-05,0.0001399470131279516,0.0002839166752790685,0.00017966975367840222,0.0003242863192083483,0.003032416220869533,0.0005565302121053526,0.0007304289486435308,0.009279035344177743,0.015400647453061665,0.01631002529396622,0.00012438256654601223,0.0002759949425456456,0.00022958131794745737,0.11242890884536207,0.0624346598397525,0.11670726827482265,0.49251178767218934,0.5833233207052706,0.6406202652541216,1.3317519551160744,1.524893142278142,0.6877309050633711,6.528235774536376,7.687630395099209,6.613907321948599,49.646011960516866,25.30289651153757,55.666709925727,0.00013970899557840837,0.00017360192152194632,0.0001614607615102378,0.09215301850277159,0.12481499405243075,0.11750269518127958,0.5337598084895852,0.4559969823405397,0.4635400982470426,1.3957480398992428,1.4573033542456264,1.1963525439888476,8.098236015962357,5.809664565895995,7.853962536134232,20.875950348828866,52.38685793133004,40.684822823593706
F1,Times3,9.853779344201715e-12,1.2121377382891171e-08,9.414695251758267e-09,1.567184981655611e-08,4.362327008365136e-08,4.442062702070802e-08,1.9130615874430612e-08,1.0871811594188596e-07,2.7053802011516165e-07,3.039811372481781e-07,1.4164580689211325e-06,1.4998911011956198e-06,7.248503630444518e-07,1.60310936086418e-06,5.1970916763234265e-06,6.878688164352832e-06,3.7424759973682755e-08,2.6713358556877742e-08,2.3650339306640054e-08,1.6750505065891305e-05,1.523232276293341e-05,1.189953871865284e-05,7.822293955983068e-05,1.8018847964418984e-05,7.290083036615397e-05,0.0001934098742179202,9.417620545270463e-05,0.00012085489152194976,0.0007597323357753601,0.0005094632459396835,0.000598730014379009,0.00767285310651743,0.0070835344667724105,0.004608692985006407,6.590646418789605e-08,6.3783672002160295e-09,2.2464506596407556e-08,6.331134141994984e-05,2.02190550713248e-05,1.6121643538086966e-05,0.000277514446511912,0.00023228106082892743,2.2417046423417718e-05,0.000434003594737404,0.00028261578026809656,0.000334512185309156,0.002603324765200808,0.00044983800558284347,0.0005111059084784744,0.007305307327060932,0.005253573019446718,0.0023610248303795388,0.0002626272681337095,0.0002386129889816835,0.00021384983892471914,0.10761637529225375,0.10913005967309714,0.14550933782559933,0.7281781953246511,0.451071335927769,0.2979682204352496,1.7371193703125358,2.0524471818003924,1.4865029219439274,9.219586702531648,8.708502757436648,7.0567047587277,34.96188772763811,35.7436894190847,46.34528823369824,0.00018258335253116143,0.00020337530251583115,0.00018699465893334285,0.13261090705083337,0.11834869984745655,0.05711245378726979,0.5533729043280611,0.45481161359222055,0.5976796736130874,1.8886232574662059,0.9102480183464052,1.36081479411441,6.536973835374455,6.853843803957719,5.986283812387864,46.256020321231475,56.46545848804794,35.788247011317814
F1,Times4,1.6781928654004116e-11,2.39194440936344e-08,2.436505724350906e-08,1.5516891472665247e-08,3.322285361352009e-08,2.7621777913568887e-08,9.839053467766039e-08,7.951935469480937e-08,2.309454581191381e-07,6.150027222350469e-08,7.19448896201382e-07,1.0631961375169253e-06,2.3147397075014835e-06,1.5278668051281154e-06,2.5949761566696973e-06,1.0434277871146704e-05,4.635440915026548e-08,8.02552839537931e-09,1.9806592938939416e-08,2.496027501384771e-05,1.1559493809427511e-05,1.9311341293109678e-05,5.645314702307774e-05,4.1111843374244675e-05,5.652506435897695e-05,0.0001348956345430622,0.00019360773764230368,0.00013608384764765417,0.0016072603841622132,0.0016551258272293333,0.00023017714767191558,0.017443844015042446,0.0055800224420275305,0.0014289218488457876,7.2885425576752e-08,6.514847051718583e-08,2.2958978794765516e-08,2.5071893646582736e-05,1.6704719153169518e-05,2.4558011411207826e-05,0.0002506720517561232,0.00012839264528636388,0.00023343852118281743,0.00025906004635822366,0.00041811974051594115,0.00039322105718094923,0.0007181395231239624,0.0012820096629372326,0.00041268675620233214,0.02132827307090586,0.015421077553156845,0.004948923256819409,0.00018432137564887053,0.0001860961852743604,0.00021392468400480524,0.09797142820026557,0.10480573916929936,0.10501187190671057,0.4733535100883607,0.6444279231957124,0.6431530795270091,1.3966445706567916,1.8076801986425173,1.4588679340658932,4.762676322446382,9.386583262759169,4.652030749610809,43.90299880268957,41.93406768136325,55.88158079416316,0.0001429515074248316,0.00020960423201692925,0.00012037357211013523,0.11690770297731741,0.1542528958573836,0.11953761317876711,0.646050110694565,0.743986089244662,0.5734018668215778,2.086754414108507,1.9441650398587491,1.7756812958287675,4.295261021595199,7.423278911354931,5.473195759992749,49.4755673110102,48.53940414556487,54.44968010917827
F1,Times5,1.6538704132796267e-11,3.509913590623651e-08,1.7581987089087736e-08,1.3849375247594696e-08,1.6931693438128463e-07,4.919454598928186e-08,5.679395405369625e-08,1.5866537859132333e-07,2.1886106707846317e-07,3.133472246231902e-07,5.001247008192914e-07,1.5266458534022667e-07,9.911566836883617e-07,4.864501453770824e-06,3.575456148663488e-06,5.449484361034309e-06,3.8926417188662955e-08,3.750354052092393e-08,1.767857718099321e-08,1.4788640782996674e-05,7.790981473259939e-06,6.460901516737847e-06,8.946403695749881e-05,9.812458972502128e-05,2.413287495660416e-05,9.64425667211297e-05,0.0001417028137695031,0.0003307037001155318,0.0011152982074994046,0.00045401493589516034,0.0004234273503196038,0.008804364085679714,0.006293645874495373,0.0034728636700503664,6.791424536965772e-08,3.3908674879338835e-08,3.6148942474336256e-08,6.344222794671133e-05,1.64453485272825e-05,2.804972277723477e-05,0.00010605147046854896,3.8482354103653357e-05,3.215889774650471e-05,0.0005436431377794977,0.0001737029400156882,0.0002397708131397335,0.0006687346185504914,0.0031084451835257636,0.0007299310854748496,0.008756771802078607,0.009686316187139919,0.0018435716363041008,0.00026583277463621083,0.00022376466172130245,0.00028432242118803746,0.11722051822545917,0.06716374804004571,0.12648449701312567,0.573642720648706,0.6119220705070731,0.6632899875320273,1.1478445213974031,1.687780924715953,1.5543089744843135,3.9933112785588705,8.957266898637835,6.030826431526429,30.778810109006915,46.47570965444564,55.139808674902746,0.0002599617562561458,0.00014190792269297466,0.0002122604952950202,0.13248197832924336,0.1241218024807827,0.12557502889200647,0.4921503027170911,0.41908753259028014,0.7494642911123133,1.4289534000852222,1.5152175944486321,0.791663941874174,7.458172950337846,6.099195957368024,10.480571146797214,39.20436568643148,32.2537041832045,41.52465934622659
F1,Times6,4.401535695219766e-11,3.087572306110183e-08,3.1646092139232934e-08,1.612994600215089e-08,3.3840791121180214e-08,5.0874870325057664e-08,1.0969494890754795e-07,1.6162842407465113e-07,1.6684979426588317e-07,1.3608625863165378e-07,5.693742755983954e-07,3.956772269857421e-07,3.4157751521840724e-07,1.1555687191579598e-05,4.872827984460537e-06,1.044860743959549e-05,1.1184408084523785e-08,5.150562232711362e-08,2.111714478652956e-08,1.8226731795276098e-05,1.7637426697082707e-05,2.149487185159949e-05,0.00011080228300379878,0.00017030696588805485,1.9808744671781823e-05,0.00011765015919579628,0.0001583784921958724,8.765903847400805e-05,0.0027037029037165015,0.0006590534626103167,0.0011575014939314717,0.021855298733989253,0.0055771019088726404,0.003074104820180759,5.6937744362068906e-08,1.7026054177705104e-08,7.86007425749905e-09,4.974619530352791e-05,2.460346085963356e-05,7.015866392041699e-06,8.015650998796924e-05,0.00010843660855697039,7.292589751763513e-05,0.00031936090173291065,0.00019902709030590683,4.9693141038040926e-05,0.0016408251036948668,0.0014967592318678787,0.0007694203176319386,0.004717141386182404,0.007806026436278537,0.003761106491328339,0.00022696590041118865,0.00015704850679419295,0.00015608288783766093,0.15873260961945854,0.1285713299846362,0.15914111666496716,0.5405744880216762,0.5952185858059386,0.47741315842013904,1.7897565873857968,2.001938813564074,1.393146028245321,7.720226685018161,9.761242528948022,6.29799959601269,57.20893273915458,50.16850643371033,32.13412915345628,0.00023841286339714178,0.0001643620423131226,0.00018429420750783854,0.11280880142471353,0.11556405997816624,0.15924815877715096,0.5043658754144903,0.5191549036142541,0.6189780990558866,1.624215068239538,1.8901879949911604,0.7888536565999164,5.66209179153304,8.91883228669657,6.9978386360859615,57.975492618005966,46.7666403357356,57.95455807356505
F1,Times7,1.8906876389758463e-11,2.0321349362190665e-08,1.1831630065961342e-08,1.4208505112534633e-08,6.712168970568434e-08,4.2083951872326505e-08,1.0892065170431519e-07,4.026155639987481e-08,2.5342443977756656e-08,6.77747981453514e-08,4.4568269528634297e-07,2.840786146816009e-07,9.47285070122824e-07,7.606981252227303e-07,3.6582354258518594e-06,3.428496226825107e-06,4.0093505274221457e-08,4.587587298470803e-08,2.592024845848255e-08,3.812278489395404e-05,1.3945314104262385e-05,8.06976708375377e-06,1.0681935988154485e-05,7.847374525862874e-05,3.287560110178309e-05,0.00011067134929042902,0.00022929019931350471,0.00015440046592301115,0.0002524055132274082,0.000654501107430339,0.0008936517754515247,0.019249700871938478,0.010369471226166082,0.007832595697542391,4.8546168953425286e-08,1.7933403476696814e-08,1.9977320012004624e-08,4.054296809613016e-05,1.224870383870128e-05,2.441761645064582e-05,6.525933640186793e-05,5.0686000193939566e-05,5.8123691854840235e-05,0.0005971249100031663,0.0005015814542312244,0.0003065518626603177,0.0012183723137645483,0.0014928721745527083,0.0006402267125594154,0.0076598017312760865,0.011616836769819443,0.013687861631249253,0.00022216573101430584,0.0002014055485226205,0.00019054107250787158,0.14334821950178714,0.1297132239799988,0.08109779216768429,0.6821614966683155,0.5148410003957061,0.6133908907840819,1.7143814350032829,2.1703061999325817,1.7572407674655273,10.513131818735683,1.908282025599241,5.735556124675408,40.77715167382046,65.0375415324923,35.620285281976365,0.00021455660241095047,0.00018996950766034576,0.00025003100643868705,0.11891725066267815,0.12972121657938776,0.14192423145571031,0.5631612650921068,0.6225101710885931,0.5789309924075321,1.4302653192153099,1.1583594504834487,1.7356198952310828,10.00795107647749,5.821350441534706,6.895557042253517,38.189873761797585,50.53865014096513,37.60281825706339
F1,Times8,3.50689663871707e-11,9.044984122207244e-09,1.6850662779881344e-08,1.623999313974949e-08,6.897360715254846e-08,4.8812844124609616e-08,8.640103561211911e-08,3.151038736732078e-07,6.058817848386696e-08,2.474886074240926e-07,1.7145552017603642e-06,1.4698293914433884e-06,1.7659907839170106e-06,6.208440421010326e-06,1.1998514292252593e-05,2.9514344664229495e-06,2.2161763418938192e-08,6.428166650078693e-08,1.730899918737342e-08,2.673057094452811e-05,1.7029025231623298e-05,4.648807680452875e-06,9.70182032679846e-05,6.586900381022712e-05,0.0002674312975985168,0.00034145736980267197,5.961540480144536e-05,0.00010312053656673175,0.0011921433511886239,0.0008137372166767393,0.00022436532948816735,0.007051873260214589,0.0013071783652552655,0.0044350437961449924,4.163594517234879e-08,2.7960485231172728e-08,1.1053869446916115e-08,3.4522747417975024e-05,9.358061071616044e-06,1.7257123182639234e-05,0.0001909826251393488,6.790809955989642e-05,4.194905819720886e-05,0.0008109973670703963,0.0002627099206629763,0.00010271546613010009,0.0018568548701674958,0.0008291606469964022,0.000723185230287539,0.012525805397092696,0.005555702886625713,0.0035977042297459716,0.0002453143218072175,0.00013114994526189396,0.000197372358459069,0.15177662063950462,0.1167507301276492,0.12303875396748597,0.4542418632795998,0.6381674096371418,0.7372840997114687,1.9256857351843863,0.9277746175878289,1.4884931811992672,4.221684621420639,7.816370090731088,9.356167471623051,35.56330261757492,55.54899812266614,27.406362794056605,0.00019372274581522854,0.00020830804331445536,0.00018639116837512702,0.13802431262215129,0.09374769411782984,0.08990548002837645,0.6421270180378561,0.4861614460452341,0.6337418739946202,1.3662138737569105,1.2208593109578516,1.4615024366959566,7.456263808796354,8.20994361094579,5.813272648306312,61.616427019825075,49.22875370807206,51.76891541366385
F1,Times9,1.0138128669183503e-11,7.226425322940425e-09,1.9445324859598506e-08,1.8444448322304394e-08,5.9511608889890344e-08,1.739642889304187e-07,1.4922725961847458e-07,1.0170413349626855e-07,2.0294317621433954e-07,2.3740437408232115e-07,6.845332215110148e-07,5.072047413185298e-07,3.2392093196991603e-07,1.960696004311086e-06,3.0612926339822767e-06,7.867134799131699e-06,3.98233940910398e-08,2.7603153798944347e-08,7.311987173412893e-09,2.8140023071408335e-05,1.3993384777743091e-05,1.9745094271387715e-05,6.879783307140827e-05,3.658612107139124e-05,1.8562128176803782e-05,9.645027561664741e-05,0.00017117773229312873,7.396354860561747e-05,0.001090248341316762,0.00060958109502799,0.0009403592841423391,0.006377656133142475,0.007500442833160632,0.00763332203751112,7.736161287124496e-08,1.1404671933393549e-07,2.985112504720346e-08,1.6902016609256734e-05,1.6947485969025216e-05,2.2129876547835385e-05,0.00017910792451033487,0.00012963908774385092,7.144435857388581e-05,0.0001942565937945992,0.00012676568131649339,0.00022567759873310712,0.0046084623731965126,0.0017859348074964565,0.00034820718083977676,0.018193994205717143,0.012349311093640325,0.012954881380813195,0.00021193185041075885,0.00015589170027236322,0.00019034496590249195,0.09768458944067586,0.17405022119542954,0.06800168963831757,0.7603773619315091,0.5965387021843571,0.5550651936669357,1.1354759492221105,1.9012417887595188,1.4071025098154797,5.878983769501332,8.931058193561707,9.4118253575625,51.563459831753484,45.56371033943694,39.04746583692714,0.0001930465209935353,0.00018216719908263442,0.0002506122413053596,0.1324011262889792,0.09548354053754134,0.08299852478076292,0.38217810182474016,0.4839587401267963,0.35183726290216055,1.5346346408199711,1.599361072981283,1.3223074424067927,7.965532876676889,6.654707139400174,5.046547033769084,34.70111388833798,42.669010751888706,48.7984008036845
F1,Times10,1.4534810899577696e-11,9.662925575978665e-09,6.533340808839357e-09,2.3447774721093352e-08,4.2430935750724984e-08,2.6662160578939494e-08,8.739309567413451e-08,1.2799421435174926e-07,1.2735343289849472e-07,1.8540726454240072e-07,9.519627966133068e-07,1.0275766665797106e-06,2.6428442815261666e-06,7.681539831361158e-06,7.920530744519203e-06,6.565607926559577e-06,4.091291011192694e-08,8.93288622154805e-09,3.5508318882582865e-08,2.833582821691052e-05,3.3587164398245216e-05,1.750680534798927e-05,0.00012922225757474324,4.9752308885125344e-05,8.877460451229984e-05,0.00016388577934490925,0.0005650201139478025,6.01645311937652e-05,0.0008863541497096864,0.0012238660115787348,0.0008615827414353019,0.009267673106223687,0.005277303747499445,0.002420116426755729,6.707902739869135e-08,3.4915315435049777e-08,1.8927983095086758e-08,1.148003027715943e-05,2.717318583814139e-05,1.771732085409713e-05,0.00027433736918238934,0.00018661382073760274,8.572725793831161e-05,0.00021890557531029791,0.0002622882697906756,0.0004300747606814986,0.0008971696596252346,0.002516033952191431,0.0006337183312137075,0.019603096012421,0.003349580899533763,0.0046125535521491364,0.0001408616873303567,0.0001885438006656198,0.00015074994180930645,0.11383914872658468,0.13719630686268128,0.10855016943940682,0.4590486952508744,0.6628593596256417,0.664960784008615,1.7297329642975106,1.8555632265558872,1.33612934405811,9.549895450668139,8.842333636064147,5.354354317218072,32.36847648020389,46.06349788659171,68.18012101495736,0.00024249604200520607,0.00018405235393938635,0.00018851180459260113,0.12690641166608652,0.05567063734773567,0.12039137113053916,0.5340988005434887,0.5255997240687413,0.6518080303995861,2.0026229842716248,1.7740153213053302,1.1654372141900091,8.57002119354753,5.796118527445454,8.083230208632994,40.8533347439697,45.68482817065015,41.32455679697706
