,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,2.884462277766464e-08,2.010825596542349e-08,7.321073963689422e-08,7.595352756427684e-08,5.175538709654058e-07,4.1813016544601797e-07,7.989678290440447e-07,4.539097546006474e-06,4.1943598408637185e-12,2.8143652111495372e-11,6.46766798257072e-13,3.0030858958236566e-09,1.2628997710012437e-09,1.450694128617628e-09,1.6216092548305227e-09,1.6571144137722756e-08,1.4991891002112677e-08,5.105958901882501e-09,1.073910401839847e-08,3.002247753541743e-08,1.5235996822030936e-07,5.900059613494195e-08,4.0187966942092905e-08,3.1493473289740323e-07,1.7645139781754678e-07,1.37862460901792e-07,6.138358644666804e-12,1.9399425198848392e-12,2.4166532021792332e-12,1.1989496661761027e-09,9.972102304637788e-10,1.1421270034256882e-09,2.775131468983258e-09,6.639028054474956e-09,9.907183208531663e-09,4.257708124074167e-09,1.7822243867866183e-08,6.1250119382340605e-09,1.4109132694980742e-07,5.8229972757034304e-08,5.260798038241379e-08,6.223974704579604e-07,3.3751149218964736e-07,6.148289026932472e-07,1.4163597937160619e-12,3.628058112580525e-13,3.002497687278581e-12,1.0296282139477943e-09,1.8095594122469552e-09,5.436052301722118e-10,3.0646589929795334e-09,6.6815300172716244e-09,3.367494005712181e-09,1.1991250811795462e-08,3.9571803911225495e-09,2.30402851110512e-08,6.852342379828159e-08,6.510045384886907e-08,4.321547929563904e-08,2.479483784003393e-07,2.8959966025844525e-07,2.723026292413445e-07,3.3894504364935855e-12,4.693619132841257e-12,8.808828948235287e-13,9.216721863857433e-10,8.656354468761913e-10,9.300875110264161e-10,2.5359246929343104e-09,8.184074931104098e-09,1.3338140464739123e-09,4.256096123057376e-09,2.8726852392660387e-09,1.1033830381025215e-08,1.6499796917902923e-08,2.343919296408313e-08,1.403997288118515e-08,3.152510497341149e-07,1.3743819226816592e-07,9.864121176720818e-08,3.5635392028130558e-12,6.081581399196276e-12,8.127291980372662e-13,1.0022028713543456e-09,1.2446008182615699e-09,1.65613913612797e-09,1.1976350092689265e-08,6.950129079807147e-09,1.601295455893353e-08,2.795364405356341e-08,1.973433064962712e-08,1.7930570888364782e-08,9.72184666207917e-08,2.5564434919144007e-07,2.952016567206127e-08,1.4396681176970555e-07,6.925625048951156e-07,8.844851796045307e-07,2.9452742764308246e-12,2.774393477588294e-12
F1,Times2,2.0224128697315146e-08,5.3258938453166135e-08,3.366483396003872e-07,7.154410907090895e-08,2.7462879442708845e-07,3.844368847546724e-06,4.845046679566888e-06,8.420825960639018e-07,2.8675874462642743e-12,2.889453715937574e-12,5.181409578227372e-12,7.876335072282394e-10,1.979830492830251e-09,1.1448496476904577e-09,4.049098126782782e-09,4.826788634935683e-09,7.411394699650786e-09,1.688530276873472e-08,2.0184255824780246e-08,1.86275921676064e-08,1.183189785395118e-08,1.4784952060101578e-08,2.6260109517229687e-08,8.690288677858752e-07,5.941844544885986e-07,3.823368525219037e-07,6.0509752359192e-12,1.2834967463391638e-11,1.7488912406964272e-12,4.5816133164071407e-10,2.0798196126919854e-09,1.3995683447248792e-09,4.214147195995511e-09,4.2927708304178545e-09,4.640976310246463e-09,7.216273867427895e-09,3.6942660425836165e-08,4.690518363587454e-09,8.199587258494036e-08,4.95159872146105e-08,7.268227869659833e-08,5.746822422886471e-07,7.728826373831429e-07,1.5841547103680585e-07,1.630967975606471e-12,2.0277287150279584e-12,4.103773592774366e-12,4.248210604972671e-10,5.7229429106577e-10,3.6975395581674343e-10,1.1920092529037049e-08,1.8610507503012744e-09,2.524275930000317e-09,4.069623479965978e-09,9.435196537698098e-09,1.995852860513493e-08,1.3221734861337677e-08,1.0143647102111883e-08,1.6199575130084393e-07,3.769925577803965e-07,5.312410486280808e-07,3.142303240732771e-07,1.703733905321201e-12,1.7352719407536152e-12,1.7003191555201025e-12,1.2685918374704647e-09,5.403470915027904e-10,1.2407104826066463e-09,4.05034689722393e-09,3.889634646121524e-09,9.968292141281751e-09,5.3517397516831706e-09,2.7765091151387383e-08,1.632750489029182e-08,5.2254529582421144e-08,2.944801234052958e-08,5.6728043955247905e-08,2.2571290213193506e-07,9.31612354746668e-08,2.2470177779663532e-07,2.694362010642767e-12,2.9158330686793096e-12,6.036112185209451e-13,3.2845068149476853e-10,1.487779011358783e-09,1.477398420520648e-09,1.0867672653390424e-08,3.2111198037825525e-09,4.161327120764065e-09,6.182621553306186e-09,1.2171526281839363e-08,3.5822975623374875e-08,1.344287306023614e-07,1.646453590846045e-07,1.3290680630710887e-07,3.993726314622995e-07,7.933653951288477e-07,5.052290857325395e-07,9.696216242903879e-12,3.2255538708290827e-12
F1,Times3,1.367682067242858e-08,1.6560972784896217e-07,4.834613783412105e-07,2.1476891755603155e-07,3.6411848667228803e-08,3.7805526364005487e-06,1.273046694071112e-06,3.544548730099904e-06,9.06648823316263e-12,2.4095826075730722e-11,4.134968356930974e-12,1.4123432450440302e-09,5.523902347064907e-10,2.006683759072383e-09,6.728165975627137e-10,4.696097783883554e-09,5.335234346536141e-09,1.895720552028996e-08,1.2577896439502088e-08,1.3448534014044207e-08,9.382283676180871e-08,3.3054924362133706e-08,3.38459108797485e-08,5.432730285585873e-07,5.373680946256963e-07,3.710168085249392e-07,5.663389576849735e-12,4.458996511909358e-12,6.468113452452914e-12,1.0754002781128435e-09,5.628353438800532e-10,5.399358633665351e-10,1.1553001952704552e-08,3.5968634346759475e-09,4.264300661539787e-09,2.5328799808395013e-08,2.5075774636638122e-08,1.5365193532306008e-08,1.2666448289540708e-07,5.141054967057065e-08,1.1336166520935644e-07,4.297590590716382e-07,4.501548410215278e-07,3.0847887921231794e-07,3.806980010545529e-12,7.330727051064002e-13,1.5746361693827092e-12,8.717888447719047e-10,4.989119915402548e-10,9.118244832941976e-10,9.875847401600957e-10,1.5507158017129648e-09,1.864029399579831e-09,3.5930253645667777e-09,1.3324438164457084e-08,8.222466308739236e-09,7.097840478463486e-08,6.486857026420509e-08,1.6840719660811638e-07,2.2047809353951977e-07,2.006066107844337e-07,2.3303195201062794e-07,3.0024546311086927e-12,2.0939937850035053e-12,2.1987351557226043e-12,3.3151671676735726e-10,2.1460548073602555e-09,8.594358708705404e-10,3.932144136253269e-09,4.121232183660174e-09,5.806134439218325e-09,9.831746896112558e-09,2.6769895249905895e-08,4.375912006108617e-09,9.477190620714134e-08,9.33862332267264e-08,3.20505279866176e-08,2.945363092910542e-07,6.101884150431243e-07,2.879216362381851e-07,1.205421252738622e-12,4.5092922116465e-12,2.315388935462499e-12,2.6345342520230845e-09,1.2236443134983922e-09,7.64596998605987e-10,6.381231385788988e-09,1.7847821637038314e-08,2.474484105734963e-09,1.1304962038165781e-07,1.1368663451330889e-08,3.1888334499761676e-08,1.151451603775872e-07,8.249050991343952e-08,1.473303713741432e-07,3.2136812660524655e-07,1.2261648635177598e-06,4.6840159185570904e-07,5.4665424727099465e-12,1.978461373421375e-12
F1,Times4,2.8472416212199245e-08,5.852305152641491e-08,9.144715051187809e-08,9.251758368173134e-08,2.2490607753316675e-07,2.064228186865281e-07,7.368994574843499e-07,2.3803859159975714e-06,6.71855170263052e-12,1.0983068113884587e-12,2.919637501625295e-12,1.3976920658918965e-09,1.253720899691545e-09,1.0268089247481719e-09,1.1122347869819712e-08,1.069860645694593e-08,6.66476831669351e-09,1.2221673219542137e-08,1.1434790929098673e-08,1.009882616190296e-08,1.0167688251322487e-07,4.754544321531146e-08,1.3843673157741806e-07,3.9994996891721584e-07,1.560643480547526e-07,9.499424427226091e-07,2.089675666532299e-12,4.498801822982262e-12,5.220386399049513e-13,1.4926892061185374e-09,8.21930120417362e-10,7.695347644873749e-10,5.75263765199913e-09,3.482689895145037e-09,3.2963900698748647e-09,6.12911267086753e-08,7.361848086360724e-09,2.0939993291219432e-08,7.1839610490772e-08,2.158814206581762e-07,1.4653714067711916e-07,1.3620548151115256e-06,3.591560670037548e-07,1.7716593060959247e-06,2.3701340604899455e-12,1.410763822105396e-12,3.609630470597342e-12,4.2081884289343053e-10,8.402899010238814e-10,8.313705026488142e-10,3.702085683143739e-09,2.921903904077408e-09,1.1268281940504556e-09,5.343233708587647e-09,1.5441600755639497e-08,6.778424374912817e-09,4.7567178506393164e-08,3.925697519009145e-08,1.740637611427561e-07,7.411466134489825e-07,2.5529323078577184e-07,1.3310097479015509e-06,1.698001166966783e-12,3.5703974520555337e-12,1.7518642647151469e-12,2.802669945871811e-09,6.025009515853332e-10,6.386667323052653e-10,2.1350370247842667e-09,3.990428202288639e-09,2.4790407226128428e-09,9.222022668487589e-09,2.4000468354610724e-09,7.428183606635755e-09,5.661850792320881e-08,8.220403310997304e-08,6.773407493776784e-08,1.5109211470409746e-07,3.28328071705442e-07,5.713440024587816e-07,5.153905065640742e-12,2.717612832334966e-12,1.3026513245302223e-12,1.1742746349105206e-09,1.6974635488625174e-09,1.1288248454934747e-09,3.014411347954523e-09,1.7268915002957988e-08,1.3424881451411204e-08,1.3611084333415146e-08,2.614585322572128e-08,1.1934680180994532e-08,5.6724322769363145e-08,4.184206218668386e-08,7.763793310942446e-08,2.0836113196880965e-06,1.9001942951092924e-06,1.7118083124814436e-07,9.34776911808078e-13,2.9224409771345803e-12
F1,Times5,2.6542901600149303e-08,5.35305742822364e-08,2.1512440707196687e-07,2.608483504863469e-07,5.418985899519508e-07,8.117433526606262e-07,1.080431119731166e-06,1.8139780072755604e-06,2.0937076049697647e-11,5.600027720544318e-12,3.261698428970722e-11,2.738755346123682e-09,1.6018903433557326e-09,8.618518479936006e-10,4.371239606071216e-09,4.563975604067363e-09,7.681992365430047e-09,3.5170309552560996e-08,3.7485381760628394e-08,2.4342954319194778e-08,1.5070549457588374e-07,1.0556589580812097e-07,4.135202291438145e-08,2.234979505560599e-07,4.94491087892386e-07,1.772721578095493e-07,6.726130328661677e-12,5.323825315833073e-12,7.363089289891075e-12,5.888707615064331e-10,1.8369283023341362e-09,3.0360688919370234e-09,3.737590882732171e-09,8.332222825075444e-09,5.976960326702144e-09,1.0693496105630788e-08,2.3762060712183638e-08,1.2068215883342768e-08,5.796180440660434e-08,4.344862078158676e-08,1.7740689671726947e-07,1.4236155166465269e-06,4.09357575067687e-07,6.544593027427593e-07,2.3658182097753417e-12,1.8151783233140084e-12,5.527137381946774e-13,9.979799203494314e-10,4.6296096569964935e-10,2.346056448466002e-10,2.0055031130154594e-09,1.484790324191195e-09,1.3737372004959e-09,2.372600620391502e-08,5.784478487280759e-09,9.384828031869129e-09,6.106596789762438e-08,9.551805206924806e-09,2.656980490372206e-08,2.744168550398236e-07,1.035678858555212e-06,6.830461211837534e-07,2.0343075100434325e-12,3.3269488159265874e-12,2.2733954696611657e-12,1.034282539531801e-09,9.139521060739907e-10,6.803104283580983e-10,3.899548113259559e-09,9.117477114808917e-09,6.289876982760904e-10,3.2840633145428676e-08,7.32219275091496e-09,1.4124071407721155e-08,1.9155462148848508e-08,5.057955932756388e-08,2.744648901383645e-08,1.411338404672085e-07,3.685379822887472e-07,1.4068046978288322e-07,2.80009900317983e-12,1.8579504494868403e-12,1.0000319969550679e-12,9.013843948932897e-10,2.873046389096251e-09,1.1938257331629761e-09,6.750633352894323e-09,3.451970228974109e-09,4.73032525464616e-09,1.582023831817535e-08,4.3153490420058e-09,2.7098516691336613e-08,2.5801362705184085e-07,1.1641308645278636e-07,7.212874551528373e-08,9.246337390901705e-08,1.805195026824967e-06,2.8121162349307146e-07,4.835534520983086e-12,2.3955628358637022e-12
F1,Times6,3.1068916565074894e-08,3.241704204186255e-08,1.5788789572300991e-07,1.5339556491999037e-07,1.841985528326771e-07,8.095284789661316e-07,8.706379987189151e-07,1.4392063418702382e-06,8.938644074176421e-12,4.054039561142019e-12,5.475850469247004e-12,4.020687600756191e-10,7.192944649236339e-10,6.444640383068068e-10,6.270416373560522e-09,5.428289086983351e-09,2.2388980856388016e-09,4.304451366015136e-08,9.256396992098974e-09,4.813096041544076e-09,5.320276406828955e-08,3.9722453642999114e-08,1.7424960331476187e-07,4.146640508953551e-07,2.369445262734675e-07,1.091789068561785e-06,2.700628905737194e-12,2.7221481722884937e-12,1.3898590870060805e-12,2.0954432929609914e-10,9.900998554195896e-10,8.103859893335271e-10,1.3972371807276291e-08,4.702578511453416e-09,2.739090620504324e-09,3.7403273848304e-08,1.701122505837317e-08,1.3911863310404968e-08,1.32360456740042e-07,7.754277330012947e-08,2.4812157737528787e-08,3.6738791830132104e-07,1.940273125007538e-07,3.070815800716048e-07,9.85348198365422e-13,1.5548961279781626e-12,1.923880039164662e-12,1.2826857269411625e-09,2.2478314532005133e-09,6.767247745212753e-10,2.4020892393697833e-09,4.876812967447456e-09,2.281466018412628e-09,1.2618456176075615e-08,8.185017979954295e-09,5.827377434312821e-09,2.407919974311532e-08,3.307691606375892e-08,1.8960795782744477e-07,4.794276019075621e-07,8.133347880995576e-07,1.7220603528122068e-07,1.1679700489985734e-12,5.785594371097347e-12,1.5871931600978112e-12,3.173333416773871e-10,1.0801352787434895e-09,2.4667057211031816e-10,4.836682228525299e-09,5.88050026238433e-09,3.151816461061964e-09,4.8742792025734854e-09,2.017876052844704e-09,1.3472376098100398e-08,3.256686454897466e-08,7.203576605669075e-08,8.279192440174338e-08,5.617371125561914e-07,1.4725572937851224e-07,6.335768170061118e-08,8.355817873696429e-12,2.3531060438412183e-12,1.4148910315322053e-12,7.476876243309552e-10,4.260535980991939e-10,1.345482167697364e-09,1.0067266290831888e-08,1.650753695156355e-09,9.283117981850705e-09,9.90048101489567e-09,1.1238597149607404e-08,2.861215097485123e-08,1.2981198766423089e-08,3.278495940560655e-08,1.0704434426030408e-07,2.137551803769821e-06,7.367637404261903e-07,5.026089406465647e-07,5.621937216517787e-12,1.7730904083321862e-12
F1,Times7,2.2091418897675386e-08,5.372462984586929e-08,2.3526258880371602e-07,2.812679238885817e-07,3.137449130295409e-07,4.792868788737915e-07,9.775524176784516e-07,1.07016239687387e-06,1.1560841445277729e-11,2.6530452481233174e-12,7.075796199785666e-13,1.649631043351765e-09,1.0566351762627337e-09,1.8308408584673774e-09,3.392062617989414e-09,8.897435411347194e-09,1.1478344776715947e-08,9.903519234222907e-09,4.791477301248385e-09,1.3779724858059901e-08,1.18588787711749e-07,4.442423347752994e-08,1.0443897233408969e-07,1.7911541308333863e-06,7.984442039407164e-07,3.584199600676022e-07,4.459389730131088e-12,5.042702008524397e-12,2.4569512143497607e-12,4.046707528284643e-10,2.2282058907111894e-09,7.862014114600346e-10,8.383375026113561e-10,3.359092756134753e-09,9.381297134216516e-09,1.7671022339437274e-08,2.314983135863117e-08,4.2455369068160676e-09,2.2493523490639864e-08,9.980399616595212e-09,7.602791300356153e-08,3.2924832395711136e-07,1.7639511532199193e-06,7.39492640299902e-07,1.931786049322914e-12,9.565629328512732e-13,1.0988342526438485e-12,1.682346959713063e-09,1.1657433882534137e-09,4.967599092292881e-10,4.207317481579101e-09,4.554819459244578e-09,3.4500353425177547e-09,1.20889551344834e-08,7.313439292773146e-09,2.6272580785516076e-09,3.0634627053224764e-08,1.0311453910055793e-07,4.65733533442134e-08,3.7748277734389943e-07,2.2269581057678888e-07,7.631411603770632e-07,1.6862690506937835e-12,2.0988731639351435e-12,1.88643894852508e-12,8.406169273709589e-10,2.3220824280611947e-09,4.356804583844667e-09,8.877588966210147e-09,8.179135078532522e-09,3.0755908477296725e-09,1.1460323088262588e-08,2.070947785377996e-08,1.1538637248321989e-08,1.3448195637878787e-07,4.21630382028684e-08,2.171020133084014e-08,5.445978966925987e-07,4.1840278491758156e-07,2.7104019026809813e-07,1.5703639878843454e-12,1.7508892047881572e-12,1.3595583962498198e-12,2.5224822955908623e-09,3.0708451409427066e-09,1.4834618328917424e-09,8.310817245115344e-09,1.2012227274081477e-08,9.096630865472265e-09,1.3344480878214936e-08,1.914224493554404e-08,2.9549804866214895e-08,2.1137699083295665e-07,3.1859203058238455e-08,1.8244037200575962e-08,1.3560117459531034e-06,3.0250793600639807e-07,2.247770442174145e-07,2.5201288793372422e-12,3.5866120769234936e-12
F1,Times8,4.0720030978713245e-08,9.554713764753773e-08,2.2518953192448086e-07,4.0689475701203645e-07,2.542422888936563e-07,4.075519573655799e-07,2.558510164501813e-07,1.2900746264067412e-06,6.834368168592069e-12,4.630470891760802e-12,2.959356288514228e-12,9.417041729432614e-10,4.2140286971690295e-09,5.577475306500828e-09,2.4006688012461316e-09,5.242758940537939e-09,4.401566255092528e-09,2.59501580104303e-08,9.819238403013432e-09,3.0041945725737106e-08,5.491876497535842e-08,6.917873338689402e-08,1.4954859072273783e-07,6.85852923579444e-07,1.8684124248796295e-07,4.6209940921234885e-07,7.255320199285508e-12,1.2148701932112418e-12,5.136247301261757e-12,9.531884213625568e-10,1.12593535761247e-09,8.217991892728526e-10,5.169083925616409e-09,8.777655382593347e-09,6.560185105330145e-09,2.3677416439342872e-08,2.4075167208370825e-08,4.486937339189475e-08,5.392767351655509e-08,1.6208021986976906e-07,7.263534920754732e-08,3.183036505409185e-07,6.191147838995735e-07,3.7887207224444196e-07,7.739771298685844e-13,1.3952138609868434e-12,5.976780885004797e-13,1.504646052719265e-10,1.0059664689713097e-09,1.0130434658231112e-09,1.5862610547781234e-09,4.340936451258166e-09,7.080506882268747e-09,8.331842867725463e-09,6.444447149607023e-09,4.028490395831872e-09,1.3772206218426167e-08,5.4872702732803866e-08,2.6604600066457785e-08,5.23671768336373e-07,1.585770801884857e-07,6.584161217537131e-08,1.9750183238752267e-12,2.1268971970455336e-12,7.879936053499467e-13,1.0575038645213663e-09,2.984057254091917e-10,5.209284942060331e-10,2.829126729230828e-09,1.0767219690649597e-09,2.945894328427874e-09,1.1084236404271069e-08,1.8634306657113038e-08,1.2619856101839154e-08,2.085746471156232e-07,4.3028169761339806e-08,9.3827479248112e-08,1.7170002914044524e-07,8.433798176967421e-07,8.331052229265987e-07,2.1942391773258983e-12,3.5719145786989676e-12,4.647590272748788e-12,1.6636619433804067e-09,1.8850853723086073e-09,2.451039701419964e-09,1.0732530448481938e-08,3.435321050883936e-09,9.58942896531999e-09,1.3861760882782108e-08,1.4143638682112732e-08,2.156564375593563e-08,8.023371074997293e-08,6.193033413804326e-08,6.782256347287175e-08,6.638676973754482e-07,1.5445526968335763e-06,9.804096225026051e-07,2.908501757309705e-12,2.243222702457014e-12
F1,Times9,3.904622948063952e-08,5.416025344479189e-08,3.5913374325834874e-07,2.626068570045994e-07,7.585666681048921e-08,3.389347953521075e-06,1.5873727590652137e-06,8.840382147625899e-07,1.5629096529065657e-11,2.252416079775162e-12,4.115231817258745e-12,2.943743955195785e-10,3.6012367017233026e-10,5.71109481519873e-10,6.810698510780659e-09,2.480558365298594e-09,6.730280274152555e-09,3.557959268508683e-09,1.9119604422804928e-08,8.743507685012565e-09,9.165610387263348e-09,8.30025423996758e-08,1.0238089442333953e-07,3.578028619678461e-07,3.4543171419244627e-07,5.876840945590509e-07,2.3785831821354845e-12,4.917462381401398e-12,2.4057018959554806e-12,1.8422351161650668e-09,9.79792660561061e-10,9.143093550197046e-10,3.956691802925891e-09,3.5741539710221283e-09,5.305102214710188e-09,1.548821581349735e-08,1.84328673455478e-08,1.0119136777112083e-08,7.74090009112025e-08,7.27896629711854e-08,8.062542236017502e-08,5.209184848791514e-07,3.2008590085458166e-07,2.3010594716956552e-07,3.088577515321835e-12,1.3146936367418827e-12,4.16829882703054e-12,7.35472163603357e-10,4.701744776886576e-10,7.870185593430855e-10,5.39921981759985e-09,2.9822558635843152e-09,3.4665307484088385e-09,1.521961231915159e-08,1.0412003190869624e-08,1.4360655804307245e-08,8.214723603062225e-08,6.381679229960168e-08,1.881451262692084e-08,2.6952352679899186e-07,5.535418861332302e-07,1.6544268683781025e-07,7.765792470938212e-12,3.712464434337077e-12,1.343036264163793e-12,5.550955243132894e-10,1.903058415831982e-09,1.4942851861201223e-09,3.2044712916671068e-09,1.5913995587643218e-09,7.847327708258266e-09,7.806391633916767e-09,8.526631497935646e-09,1.4482622091660066e-08,1.8035144952121515e-08,2.5375841684636608e-08,1.5511179978504084e-08,8.531171785841091e-07,1.3627481554971357e-07,2.388713872713089e-07,3.2400340988006118e-12,1.4591404020445595e-12,3.4228214689452037e-12,2.0096400463036927e-09,7.807355788705189e-09,2.2478148751170864e-09,5.757835671368966e-09,7.686238424340724e-09,1.975384107659205e-08,3.250833023511582e-08,1.2556367591372173e-08,2.2770197148169347e-08,1.4410166952596677e-07,2.8861229985529175e-07,3.75386324457549e-08,5.282790819886488e-07,2.8825309329094407e-07,5.455435099537631e-07,4.484021801642553e-12,4.090363479723237e-12
F1,Times10,2.3928399673549746e-08,2.4411939000652898e-08,4.1392164546011695e-07,8.51502619101009e-08,3.712777736281251e-07,8.9150284496448e-07,3.755638323798938e-06,1.2301748198739713e-06,3.5938458366732173e-12,5.1291453947968615e-12,7.484278293639683e-12,1.7410032317210587e-09,7.146982088649018e-10,2.6291010266073967e-09,5.101980289728201e-09,2.7550317949797655e-09,5.483642453028961e-09,3.882691344012944e-08,1.0235819095881977e-08,1.7761997018286243e-08,5.440411052942853e-08,8.525483031066087e-08,4.398054104697408e-08,1.5339071078653152e-06,2.628813853185966e-07,3.135180702409193e-07,1.995327091577783e-11,2.3516034896264222e-12,6.674883827102116e-12,2.3173789101698037e-09,1.405764235889802e-09,2.652217682214476e-09,5.660471101168278e-09,1.284129496435532e-08,3.761560096946023e-09,3.545607781234304e-08,1.4280081700061205e-08,1.2788119612456473e-08,1.802546205789633e-07,6.473059199720576e-08,8.463899898426719e-08,7.530732766451158e-07,4.891199508949076e-07,1.1659402096045577e-06,3.4573290738195273e-12,1.2645714276533593e-12,6.1638706339261815e-12,1.0070261918483324e-09,1.0857865141027162e-09,3.5515955922424417e-10,6.524153896549035e-09,1.5050412526303744e-09,3.2601997694906404e-09,1.1008771404083398e-08,2.6335006562088485e-09,7.75551834643252e-09,5.363763136784424e-08,5.625541556389569e-08,2.9465931528956943e-08,5.109513000322694e-07,1.0345847196716864e-07,1.4691871939929843e-07,2.077491544656064e-12,1.2379421700548174e-12,5.687364903855953e-13,3.352183131177012e-10,6.58196723221661e-10,1.7134632394396467e-09,5.005342012787615e-09,1.0696911865591005e-08,3.592133303188128e-09,6.021114247425297e-09,5.669745127449638e-09,1.3252788418153744e-08,6.778241404149552e-08,2.9255762719613765e-08,1.0166093716293699e-07,3.806029079283829e-07,1.7516185086941524e-07,4.2537153278918436e-07,3.1024678298007145e-12,5.121219807955003e-12,3.395602947151505e-12,7.509263583577467e-10,1.81409135452247e-09,1.4991700987271818e-09,1.9078515908624e-08,2.873621709982064e-09,6.484823651184321e-09,1.0199212213529913e-08,2.4494249720159446e-08,1.8667285956244114e-08,5.182659970743268e-07,1.2607455300957858e-07,8.122104144736899e-08,5.863014300130596e-07,4.0092106294263036e-07,9.408708800900096e-07,5.520439883380465e-12,1.1849779114025077e-12
