,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,2.51e+03,5.43e+01,2.22e+03,3.10e-03,1.08e-03,3.48e-04,2.33e-02,7.39e-03,9.43e-04,5.89e-03,7.29e-03,1.15e-02,2.23e-01,4.24e-02,2.51e-02,4.34e-01,6.05e-01,2.63e-01,7.92e+02,4.81e+02,2.24e+01,5.14e-04,2.95e-04,4.74e-05,1.68e-02,5.74e-03,5.67e-03,6.24e-03,2.33e-02,7.13e-04,4.81e-02,7.22e-03,1.48e-02,6.80e-01,2.90e-01,2.49e-01,4.69e+02,2.30e+02,3.66e+01,9.71e-03,2.68e-03,3.41e-03,7.60e-03,2.06e-02,7.99e-03,6.29e-02,1.29e-01,3.01e-02,4.81e-01,6.24e-02,1.24e-01,2.44e+00,2.15e+00,2.24e-01,1.69e+02,2.04e+02,1.04e+03,2.83e-03,2.43e-03,4.00e-04,9.31e-03,8.63e-03,1.95e-03,3.68e-02,3.30e-02,2.64e-03,5.00e-01,6.90e-02,8.81e-02,2.92e+00,5.81e-01,1.95e-01,9.94e+02,3.80e+00,7.29e+00,7.56e-03,3.07e-03,1.30e-03,2.49e-02,2.60e-02,2.37e-03,8.38e-02,7.43e-02,2.28e-02,2.07e-01,8.83e-02,6.28e-02,1.88e+00,5.91e-01,1.76e+00,1.33e+03,4.08e+01,6.64e-07,1.38e-02,1.26e-03,3.41e-03,4.96e-02,8.06e-03,1.90e-03,2.82e-02
F1,Times2,2.32e+02,1.95e+03,1.53e+03,2.06e-03,8.95e-03,2.77e-04,3.52e-03,1.50e-03,2.96e-03,3.31e-02,8.35e-03,8.55e-03,1.41e-01,2.91e-02,2.41e-02,9.03e+00,1.72e-01,5.34e-01,2.67e+02,6.96e+02,4.99e+02,2.23e-03,9.06e-04,2.59e-04,1.40e-02,4.02e-03,4.28e-03,1.53e-02,1.08e-02,3.96e-03,2.07e-01,1.92e-02,7.11e-02,2.06e-01,1.88e-01,1.66e-01,1.49e+03,3.41e+03,5.73e+02,4.30e-03,3.14e-03,4.98e-04,5.32e-02,9.40e-03,3.72e-03,1.86e-02,2.53e-02,2.79e-02,6.87e-01,1.32e-01,5.56e-02,1.39e+00,2.06e+00,8.73e-01,2.62e+02,1.59e+03,6.47e+02,3.22e-03,5.81e-03,1.44e-03,2.34e-02,1.01e-02,3.31e-03,1.92e-01,3.03e-02,1.12e-02,6.86e-01,3.52e-02,2.91e-02,2.52e+00,9.40e-01,2.11e-01,5.59e+02,1.06e+03,2.11e+01,3.98e-03,1.31e-03,3.07e-04,1.15e-02,2.11e-02,4.05e-03,2.26e-01,1.30e-02,3.11e-03,3.16e-01,1.84e-01,1.11e-02,2.90e+00,2.66e+00,2.90e-01,5.65e+02,4.71e+02,2.07e-07,5.14e-03,8.58e-03,1.64e-04,1.42e-02,4.96e-03,6.21e-02,9.20e-02
F1,Times3,2.53e+02,1.18e+03,1.38e+03,1.14e-03,1.67e-04,1.26e-03,7.79e-03,2.22e-03,1.49e-03,2.13e-01,1.77e-02,1.34e-02,1.10e-01,3.04e-02,4.09e-01,1.88e+00,2.15e-01,9.80e-02,1.68e+02,1.43e+03,7.03e+02,1.77e-04,1.08e-04,1.75e-04,3.51e-03,3.76e-03,4.92e-03,3.17e-02,2.57e-02,3.69e-03,7.45e-03,3.11e-02,1.01e-02,6.55e-01,4.40e-01,2.25e-02,1.43e+03,9.30e+02,2.27e+02,8.82e-03,1.59e-03,5.89e-04,6.94e-02,1.15e-02,7.61e-03,2.44e-01,3.00e-02,2.19e-02,1.50e+00,9.80e-02,7.64e-02,3.41e+00,1.24e+00,1.29e+00,7.26e+01,1.90e+02,3.14e+02,3.64e-03,1.01e-03,7.23e-04,2.05e-02,1.76e-02,1.99e-03,1.40e-02,1.47e-02,9.09e-04,9.24e-02,2.79e-01,4.76e-02,9.60e-01,7.21e-01,2.82e-01,1.61e+02,1.78e+02,8.96e-07,3.18e-03,3.81e-04,1.36e-03,5.68e-02,7.23e-03,1.12e-02,3.15e-02,3.12e-02,3.97e-02,2.44e-01,1.28e-01,1.94e-01,1.31e+00,1.74e+00,3.13e-01,4.26e+02,1.13e+03,1.57e-06,5.81e-03,5.42e-03,2.10e-03,4.09e-02,1.28e-02,5.70e-03,1.60e-01
F1,Times4,1.75e+03,3.72e+03,1.91e+03,6.62e-03,4.14e-04,9.22e-04,1.34e-02,2.74e-03,3.49e-03,1.37e-02,2.55e-02,1.68e-02,3.28e-02,2.04e-01,1.37e-02,6.92e-01,1.95e-01,4.75e-01,8.32e+01,1.03e+02,1.16e+03,2.62e-04,7.21e-04,8.56e-05,1.02e-02,1.88e-03,3.61e-04,4.32e-02,2.39e-02,1.30e-02,3.49e-02,3.42e-02,6.44e-03,1.29e+00,1.64e-01,1.10e-01,5.53e+02,1.28e+01,1.46e-06,6.68e-03,6.11e-03,4.35e-04,4.75e-02,3.87e-03,7.96e-03,3.81e-02,1.16e-01,4.71e-03,4.93e-02,1.53e-01,5.14e-02,3.10e+00,1.30e+00,3.73e-01,1.89e+01,1.23e+02,1.43e+03,6.45e-03,1.99e-03,5.97e-04,1.73e-02,9.61e-03,6.70e-04,5.13e-02,3.19e-03,5.02e-03,1.06e+00,3.54e-01,1.35e-02,1.02e+00,1.43e+00,1.16e-01,1.89e+02,2.59e+01,7.06e+01,3.01e-03,1.09e-03,1.49e-03,8.41e-02,2.39e-02,6.95e-03,8.02e-02,1.05e-01,1.76e-02,3.41e-01,5.88e-02,5.63e-02,5.85e+00,2.11e+00,8.24e-01,7.69e+01,6.35e+02,7.18e-07,1.37e-02,8.57e-04,1.68e-03,6.08e-02,1.76e-02,6.96e-04,9.88e-02
F1,Times5,1.24e+03,1.15e+03,8.41e+02,6.45e-03,6.88e-04,4.86e-04,1.69e-02,3.44e-02,4.70e-03,4.74e-02,4.15e-02,2.15e-02,2.56e-01,6.61e-02,4.63e-02,2.89e+00,5.91e-01,2.61e-01,4.47e+02,1.01e+03,9.05e+02,1.00e-03,8.34e-04,2.71e-04,2.30e-02,1.53e-03,4.53e-03,5.63e-02,1.03e-02,2.63e-03,1.51e-01,8.01e-02,3.25e-02,1.21e+00,1.21e+00,3.70e-02,1.61e+02,1.96e+02,2.29e+01,6.75e-03,1.50e-03,6.05e-04,8.43e-02,7.06e-03,6.30e-03,8.29e-02,6.51e-02,2.19e-02,6.10e-01,3.54e-02,1.85e-01,2.95e+00,4.29e-01,1.87e+00,1.38e+03,4.96e+02,4.42e+02,8.27e-03,1.34e-03,8.54e-04,9.55e-02,3.78e-03,1.50e-03,1.37e-01,2.54e-02,5.63e-04,6.39e-01,3.82e-02,7.34e-02,1.51e+00,5.51e-01,1.36e-01,7.36e+01,1.84e+00,5.89e+02,1.71e-02,5.60e-03,1.76e-03,6.08e-02,3.28e-02,2.02e-03,4.35e-02,2.23e-02,3.07e-02,2.42e-01,2.39e-01,3.54e-01,5.61e+00,8.02e-01,1.69e-01,4.03e+02,4.01e+02,5.88e+01,1.53e-03,6.67e-03,2.05e-03,2.25e-02,3.12e-02,2.65e-03,5.84e-02
F1,Times6,2.79e+03,1.84e+03,4.38e+02,2.29e-03,6.63e-04,3.10e-04,2.29e-03,5.89e-03,1.26e-02,2.72e-02,2.48e-02,2.47e-03,1.89e-01,3.88e-02,3.38e-02,3.82e-01,3.46e-01,3.82e-01,1.48e+03,2.47e+02,3.33e+02,6.93e-03,8.06e-04,6.28e-04,2.74e-02,1.73e-03,1.77e-03,7.90e-03,6.35e-03,4.24e-03,1.98e-01,1.11e-01,2.50e-02,8.99e-01,2.27e-01,2.76e-02,1.69e+03,1.66e+03,3.65e-06,5.03e-03,1.21e-03,9.77e-04,3.02e-02,7.34e-03,3.56e-03,9.91e-02,9.26e-02,1.05e-02,1.43e-01,2.93e-01,3.56e-02,1.01e+01,5.87e-01,9.94e-01,4.28e+01,4.41e+01,2.24e-07,1.42e-03,4.02e-03,1.17e-03,2.96e-02,9.68e-03,1.56e-02,1.49e-02,3.68e-02,2.12e-03,3.24e-01,3.36e-01,1.90e-02,1.81e+00,8.35e-01,8.06e-02,4.82e+02,8.78e+02,1.91e+02,6.04e-03,1.43e-03,2.95e-04,4.72e-02,5.22e-03,3.87e-03,2.03e-01,1.17e-01,5.89e-03,1.71e-01,1.55e-01,6.49e-02,6.80e+00,2.36e+00,1.22e+00,7.23e-06,2.19e+01,1.94e+02,8.82e-03,1.28e-03,6.09e-04,4.66e-02,5.14e-03,1.21e-02,6.97e-02
F1,Times7,2.70e+03,1.69e+03,7.05e+02,9.67e-03,1.68e-03,2.14e-04,1.45e-02,4.05e-03,5.16e-04,1.10e-02,2.86e-02,1.96e-02,1.36e-01,6.86e-02,1.39e-02,1.03e+00,6.95e-01,6.53e-01,1.37e+03,2.84e+03,1.40e+00,7.54e-03,2.91e-04,3.39e-04,6.61e-03,1.01e-02,6.02e-04,1.50e-02,1.08e-02,1.62e-02,2.79e-01,5.90e-02,8.87e-03,1.60e+00,1.17e-01,5.57e-02,1.44e+02,3.08e+03,3.80e+01,3.45e-04,3.58e-03,3.17e-03,5.76e-02,1.11e-02,2.42e-03,1.70e-01,2.00e-02,5.64e-03,2.22e-01,2.27e-02,3.18e-02,3.86e-01,2.03e+00,4.14e-01,2.14e+01,5.56e+02,5.10e+02,7.30e-04,1.87e-03,2.16e-04,5.51e-02,2.37e-02,2.40e-03,1.15e-01,1.37e-02,8.83e-04,2.15e-01,1.73e-01,2.32e-02,6.11e+00,5.93e-01,2.10e-01,1.15e+01,1.71e+02,4.63e+00,2.33e-03,6.40e-03,1.36e-03,5.52e-02,4.19e-03,2.54e-03,5.11e-02,3.21e-02,8.26e-03,3.72e-01,2.35e-01,1.07e-01,7.00e-01,3.60e+00,7.60e-01,1.74e+03,1.03e+02,1.19e+03,1.99e-03,2.32e-03,5.70e-04,1.99e-02,1.66e-02,3.13e-03,1.95e-01
F1,Times8,6.13e+03,1.38e+03,5.75e+02,2.49e-03,6.93e-04,2.39e-04,1.50e-02,5.89e-03,6.34e-04,2.86e-02,7.89e-03,2.31e-03,2.98e-01,1.21e-01,9.18e-02,3.09e+00,2.29e-01,7.63e-02,6.45e+02,1.61e+03,9.37e+02,7.85e-04,5.07e-04,5.71e-05,3.36e-03,5.71e-03,9.12e-04,3.15e-02,3.20e-03,2.57e-03,4.43e-02,3.03e-02,7.19e-03,4.56e-01,2.98e-01,2.87e-01,1.19e+02,1.41e+03,7.99e-07,7.89e-03,1.59e-03,6.57e-04,2.27e-02,8.67e-03,3.53e-03,9.95e-02,1.41e-01,2.12e-03,1.54e+00,2.69e-01,7.20e-02,1.55e+00,1.02e+00,1.34e+00,4.89e+02,6.57e+02,3.50e+02,7.69e-03,1.27e-03,1.49e-03,9.13e-03,4.99e-03,1.75e-03,9.13e-02,1.37e-02,5.29e-03,2.07e-01,1.05e-01,6.90e-03,2.66e+00,2.09e+00,7.12e-02,1.61e+03,2.21e+01,1.00e+03,2.28e-02,4.25e-03,9.97e-05,2.64e-02,2.74e-02,2.29e-03,9.73e-02,1.10e-01,2.35e-03,2.17e-01,1.24e-01,1.72e-01,1.09e+00,3.27e-01,3.83e-01,3.34e+02,4.95e+02,5.65e+01,1.27e-02,7.67e-04,1.39e-03,4.72e-02,2.48e-02,1.79e-03,1.24e-01
F1,Times9,2.37e+03,1.18e+03,1.79e+03,1.01e-03,3.13e-03,1.33e-03,4.26e-03,1.37e-02,1.10e-03,3.56e-02,9.23e-03,2.19e-02,6.18e-02,3.02e-02,9.99e-03,2.30e+00,6.05e-02,7.18e-01,2.34e+03,9.26e+01,7.27e+02,4.79e-04,5.48e-04,6.43e-05,6.73e-03,2.56e-03,3.07e-03,1.89e-02,5.43e-03,3.07e-03,3.00e-02,1.40e-02,4.34e-02,3.99e-01,3.06e-02,1.03e-01,1.49e+01,1.06e+02,1.21e+03,5.50e-03,4.26e-03,1.57e-03,5.15e-02,2.05e-02,1.06e-02,4.29e-02,4.63e-02,4.04e-02,1.89e-01,2.19e-02,1.61e-01,2.06e+00,3.12e-01,6.34e-01,5.23e+01,1.96e+03,4.98e+01,4.35e-03,3.30e-03,6.99e-03,1.10e-02,1.13e-02,1.38e-03,2.20e-01,1.47e-02,6.82e-02,4.33e-01,4.30e-01,1.84e-02,1.04e+00,1.99e-01,1.43e+00,1.60e+03,8.50e+01,4.92e+02,1.45e-03,9.83e-03,1.25e-03,3.94e-02,1.84e-02,8.65e-03,6.38e-02,1.22e-01,9.82e-03,3.60e-01,2.26e-01,1.43e-01,5.88e+00,2.76e+00,1.55e-01,2.99e+02,5.17e+02,2.13e+01,6.77e-03,1.49e-03,2.30e-03,2.47e-02,2.85e-02,1.16e-03,6.32e-02
F1,Times10,3.98e+03,2.46e+01,2.89e+02,4.82e-03,6.68e-04,5.86e-04,2.68e-02,1.60e-03,1.30e-03,8.76e-02,3.43e-02,1.57e-02,1.29e-01,4.39e-02,3.43e-02,9.52e-02,1.01e+00,9.95e-01,2.72e+03,1.60e+03,5.03e+01,1.27e-03,2.30e-03,8.59e-04,1.19e-02,2.05e-02,3.49e-04,3.47e-02,1.10e-02,1.88e-02,8.54e-02,4.73e-02,1.32e-02,6.33e-01,4.63e-01,2.43e-02,1.16e+03,7.66e+02,8.48e+01,5.76e-03,2.42e-03,2.08e-03,2.97e-02,2.96e-03,1.77e-03,6.53e-02,1.57e-02,2.07e-02,8.79e-01,5.07e-01,1.90e-02,2.09e+00,7.87e-01,3.53e-01,3.84e+02,5.66e+02,1.57e+03,1.71e-02,7.04e-03,1.30e-04,4.73e-02,7.19e-03,1.88e-03,6.35e-02,6.35e-02,7.76e-03,6.21e-01,4.29e-01,2.99e-03,3.24e+00,1.22e-01,1.54e-01,9.72e+02,5.03e+02,2.63e+01,5.01e-03,1.24e-03,3.69e-04,1.40e-02,9.71e-03,9.01e-04,2.57e-02,4.40e-02,3.16e-02,1.60e-01,1.12e-01,6.71e-02,2.77e+00,2.77e-01,4.28e-01,2.12e+02,1.80e+00,2.70e+01,1.43e-02,2.00e-03,2.92e-04,9.51e-03,1.96e-02,1.78e-03,1.32e-02
