,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F1,Times1,5.85e-12,4.70e-09,7.09e-10,7.60e-09,1.21e-08,2.16e-09,1.53e-09,4.15e-08,1.50e-08,1.10e-07,9.85e-08,1.13e-07,3.28e-08,5.96e-07,1.04e-06,1.26e-07,8.57e-09,3.77e-09,1.67e-08,1.56e-05,5.81e-06,1.40e-05,1.95e-05,3.16e-05,5.31e-05,1.29e-04,1.31e-04,5.73e-05,6.17e-04,9.66e-04,6.19e-04,5.72e-03,3.51e-03,2.11e-03,4.01e-08,1.04e-08,8.53e-09,3.63e-05,1.70e-05,1.20e-05,1.36e-04,5.79e-05,1.39e-05,6.39e-04,3.53e-04,1.39e-04,1.28e-03,4.69e-04,8.01e-04,9.18e-03,5.32e-03,1.78e-03,1.64e-04,2.43e-04,1.35e-04,1.18e-01,1.71e-01,1.13e-01,6.43e-01,6.47e-01,5.84e-01,1.13e+00,1.88e+00,1.45e+00,6.41e+00,6.97e+00,6.56e+00,4.96e+01,4.58e+01,5.54e+01,1.82e-04,1.36e-04,5.65e-05,1.13e-01,1.48e-01,1.21e-01,4.59e-01,5.81e-01,5.03e-01,1.59e+00,1.45e+00,1.13e+00,6.99e+00,7.73e+00,5.19e+00,4.98e+01,5.30e+01,3.38e+01
F1,Times2,1.60e-11,4.93e-10,1.69e-08,1.25e-08,1.66e-08,3.61e-09,9.23e-09,5.52e-09,2.85e-08,6.68e-08,8.43e-08,2.18e-07,1.33e-08,4.75e-06,7.56e-07,2.57e-06,5.39e-08,9.09e-09,1.78e-08,5.56e-06,1.99e-05,4.14e-06,1.28e-04,4.25e-05,1.40e-05,2.11e-04,1.07e-04,8.17e-05,3.38e-04,1.41e-03,3.83e-04,3.69e-03,1.70e-03,3.36e-03,4.09e-08,2.73e-08,2.14e-08,2.56e-05,9.67e-06,9.53e-06,4.60e-05,4.18e-05,8.70e-05,3.70e-04,5.39e-05,2.64e-04,3.85e-03,1.10e-03,5.93e-04,1.86e-03,6.82e-03,3.91e-03,2.17e-04,1.70e-04,1.15e-04,7.34e-02,1.11e-01,1.59e-01,5.60e-01,5.67e-01,5.14e-01,9.40e-01,1.72e+00,1.95e+00,7.90e+00,5.94e+00,6.36e+00,4.76e+01,4.67e+01,3.33e+01,1.41e-04,2.20e-04,2.11e-04,1.30e-01,1.65e-01,6.77e-02,5.96e-01,4.43e-01,2.76e-01,1.40e+00,1.73e+00,7.54e-01,5.91e+00,8.64e+00,6.20e+00,4.66e+01,3.48e+01,3.77e+01
F1,Times3,1.84e-12,3.30e-09,9.80e-09,1.53e-09,4.78e-08,9.07e-10,8.05e-09,1.69e-07,3.01e-07,3.90e-09,3.72e-07,7.34e-08,5.92e-08,1.11e-07,2.66e-07,3.46e-06,3.16e-08,3.11e-08,6.34e-09,1.45e-05,7.73e-06,1.93e-06,8.96e-05,3.78e-05,1.64e-05,4.77e-04,9.64e-05,1.00e-04,7.32e-04,9.18e-04,1.01e-03,5.05e-03,9.55e-03,1.15e-03,6.10e-08,2.28e-08,1.85e-08,2.17e-05,1.31e-05,4.54e-06,5.14e-05,5.71e-05,1.93e-05,7.78e-05,1.23e-04,1.20e-04,3.08e-03,2.22e-03,2.20e-04,2.14e-02,5.17e-03,1.95e-03,1.60e-04,1.43e-04,2.56e-04,1.26e-01,1.07e-01,7.22e-02,2.72e-01,4.45e-01,5.49e-01,1.72e+00,1.47e+00,1.47e+00,7.06e+00,4.83e+00,6.41e+00,6.10e+01,5.28e+01,6.37e+01,2.05e-04,7.46e-05,2.36e-04,8.17e-02,9.83e-02,1.51e-01,5.95e-01,3.17e-01,3.55e-01,1.13e+00,2.18e+00,1.13e+00,8.31e+00,4.54e+00,5.32e+00,3.50e+01,5.97e+01,5.03e+01
F1,Times4,1.65e-13,4.02e-09,2.36e-09,5.98e-09,5.35e-09,1.05e-08,5.13e-09,1.60e-07,2.45e-08,1.59e-08,3.65e-07,7.04e-08,1.37e-08,2.36e-06,3.42e-07,2.88e-06,1.23e-08,7.59e-09,9.86e-09,1.66e-05,5.64e-06,9.86e-06,1.64e-04,2.89e-05,1.51e-05,1.03e-04,9.40e-05,1.05e-04,1.11e-03,1.06e-03,1.80e-04,5.34e-03,5.07e-03,1.30e-03,5.36e-08,3.00e-08,1.12e-08,1.06e-05,1.46e-05,1.08e-05,1.63e-04,4.42e-05,4.79e-05,1.94e-04,1.17e-04,1.44e-04,6.30e-04,4.10e-04,9.87e-04,7.37e-03,8.36e-03,3.80e-03,1.65e-04,2.20e-04,1.93e-04,7.31e-02,1.04e-01,1.08e-01,4.09e-01,4.41e-01,3.98e-01,1.50e+00,1.23e+00,1.61e+00,3.84e+00,4.97e+00,7.19e+00,3.63e+01,5.70e+01,3.03e+01,1.89e-04,1.52e-04,1.60e-04,1.20e-01,8.05e-02,5.83e-02,4.31e-01,6.37e-01,4.80e-01,1.75e+00,1.54e+00,1.01e+00,4.88e+00,6.25e+00,6.82e+00,4.09e+01,3.88e+01,6.40e+01
F1,Times5,2.39e-11,2.07e-09,7.84e-09,6.42e-09,7.76e-09,1.24e-08,3.54e-09,3.18e-08,2.64e-07,4.69e-08,1.49e-06,3.13e-07,1.61e-06,2.81e-06,3.00e-06,4.10e-07,3.05e-08,1.72e-08,2.97e-08,4.18e-06,3.34e-06,6.59e-06,7.42e-05,4.73e-05,2.28e-05,1.26e-04,8.13e-05,5.82e-05,3.13e-04,5.25e-04,1.68e-04,8.03e-03,2.01e-03,2.86e-03,2.85e-08,5.50e-08,1.11e-08,2.70e-05,1.02e-05,2.00e-06,7.12e-05,4.09e-05,4.26e-05,1.85e-04,5.32e-04,5.90e-05,1.09e-03,4.79e-04,4.50e-04,9.56e-03,6.71e-03,5.49e-03,2.51e-04,1.27e-04,2.20e-04,1.17e-01,1.07e-01,1.14e-01,4.55e-01,5.88e-01,5.14e-01,1.68e+00,1.57e+00,9.99e-01,4.21e+00,5.62e+00,5.03e+00,4.62e+01,5.97e+01,5.60e+01,1.59e-04,1.57e-04,1.45e-04,1.09e-01,1.35e-01,1.31e-01,5.76e-01,5.17e-01,5.78e-01,1.29e+00,1.49e+00,1.61e+00,7.40e+00,6.55e+00,7.08e+00,4.62e+01,4.47e+01,4.52e+01
F1,Times6,2.34e-12,2.24e-09,3.71e-09,1.64e-10,3.69e-08,5.37e-09,4.74e-08,3.09e-08,4.17e-08,5.24e-08,4.33e-08,8.33e-07,5.05e-08,8.30e-06,4.17e-06,8.80e-07,4.64e-08,8.03e-09,2.22e-08,1.60e-05,8.10e-06,4.93e-06,6.58e-05,6.59e-05,2.85e-05,2.35e-04,1.34e-04,1.97e-04,5.08e-04,3.22e-04,3.30e-04,1.12e-02,2.37e-03,3.74e-03,4.33e-08,2.93e-08,9.55e-09,2.35e-05,6.55e-06,2.73e-06,7.46e-05,6.95e-05,2.99e-05,1.13e-04,2.63e-04,1.51e-04,1.28e-03,8.40e-04,4.38e-04,5.31e-03,9.99e-03,6.52e-03,1.90e-04,1.95e-04,1.28e-04,1.02e-01,1.05e-01,8.11e-02,2.43e-01,5.86e-01,6.32e-01,1.39e+00,1.49e+00,1.49e+00,7.56e+00,6.39e+00,8.21e+00,4.79e+01,4.26e+01,1.67e+01,1.39e-04,1.77e-04,2.15e-04,1.28e-01,1.31e-01,9.24e-02,6.81e-01,5.57e-01,5.50e-01,1.26e+00,1.21e+00,1.86e+00,5.24e+00,5.22e+00,7.60e+00,5.85e+01,4.45e+01,3.03e+01
F1,Times7,4.04e-13,6.12e-10,1.39e-08,1.39e-09,2.75e-08,3.64e-09,6.94e-11,7.08e-09,5.88e-08,2.63e-09,7.03e-07,7.13e-07,2.93e-07,5.33e-06,1.52e-07,1.13e-06,3.39e-08,3.54e-08,5.56e-09,1.13e-05,6.00e-06,3.36e-06,8.38e-05,3.70e-05,1.17e-05,1.22e-04,2.30e-04,1.03e-04,3.24e-04,4.11e-04,1.12e-03,1.56e-03,8.65e-04,1.55e-03,2.44e-08,3.20e-08,3.02e-08,3.67e-05,1.66e-05,3.25e-06,1.33e-04,5.16e-05,3.93e-05,1.61e-04,2.47e-04,1.01e-04,8.86e-04,2.83e-04,2.23e-04,6.69e-03,5.83e-03,3.24e-03,1.29e-04,1.98e-04,1.52e-04,1.07e-01,1.25e-01,9.97e-02,5.84e-01,5.20e-01,3.92e-01,1.34e+00,1.23e+00,2.08e+00,7.21e+00,8.70e+00,5.71e+00,4.96e+01,4.94e+01,4.35e+01,2.19e-04,2.26e-04,1.30e-04,9.79e-02,1.21e-01,1.41e-01,4.68e-01,6.88e-01,5.83e-01,1.32e+00,1.29e+00,9.53e-01,5.53e+00,7.06e+00,3.58e+00,4.54e+01,5.60e+01,4.90e+01
F1,Times8,1.11e-11,1.11e-09,2.69e-09,4.56e-09,3.11e-09,1.00e-08,2.42e-08,1.42e-08,6.54e-09,2.10e-08,2.21e-08,8.12e-08,3.30e-07,2.88e-07,1.42e-06,1.02e-07,1.78e-08,6.00e-09,1.81e-08,1.39e-05,2.08e-05,7.84e-06,2.28e-05,8.26e-05,6.39e-06,2.58e-04,2.02e-04,1.22e-04,3.70e-04,6.87e-04,6.84e-04,6.85e-03,1.97e-03,5.03e-03,4.42e-08,5.91e-08,1.48e-08,1.23e-05,1.68e-05,5.02e-06,9.84e-05,5.78e-05,3.01e-05,2.23e-04,3.01e-04,9.59e-05,2.31e-03,8.04e-04,7.53e-05,1.26e-02,2.03e-03,6.81e-03,1.96e-04,2.21e-04,1.28e-04,1.20e-01,1.16e-01,6.94e-02,7.38e-01,5.70e-01,6.87e-01,1.46e+00,1.58e+00,6.40e-01,8.03e+00,5.27e+00,6.45e+00,4.28e+01,5.92e+01,4.22e+01,8.59e-05,1.85e-04,1.69e-04,1.13e-01,1.26e-01,1.33e-01,5.02e-01,4.87e-01,7.10e-01,1.87e+00,1.65e+00,1.16e+00,4.72e+00,8.14e+00,7.08e+00,4.13e+01,4.60e+01,2.63e+01
F1,Times9,2.70e-12,2.36e-09,2.23e-08,6.63e-11,1.68e-08,1.48e-08,1.44e-08,1.28e-08,1.71e-08,4.43e-09,2.95e-07,2.75e-08,2.12e-07,8.92e-08,4.73e-06,8.20e-07,2.74e-08,1.52e-08,1.63e-08,3.07e-06,5.84e-06,6.24e-06,4.93e-05,6.18e-05,1.66e-05,7.44e-05,1.23e-04,7.55e-05,6.01e-04,7.98e-04,6.36e-04,4.54e-03,2.21e-03,7.89e-04,1.55e-08,6.82e-09,2.35e-08,1.49e-05,1.57e-05,5.33e-06,1.30e-04,4.72e-05,3.37e-05,2.67e-04,6.44e-05,1.13e-04,2.87e-03,2.90e-04,4.06e-04,4.13e-03,6.05e-03,3.33e-03,2.11e-04,1.94e-04,1.35e-04,1.07e-01,7.27e-02,1.26e-01,5.98e-01,2.90e-01,5.07e-01,1.45e+00,1.32e+00,1.62e+00,8.04e+00,5.59e+00,6.06e+00,3.31e+01,4.64e+01,5.16e+01,2.01e-04,2.21e-04,2.27e-04,3.12e-02,1.24e-01,1.34e-01,3.99e-01,8.07e-01,3.48e-01,1.42e+00,1.75e+00,2.05e-01,5.86e+00,8.89e+00,8.07e+00,4.60e+01,4.29e+01,4.61e+01
F1,Times10,4.01e-12,5.70e-11,1.03e-09,7.65e-10,2.71e-09,3.37e-09,3.56e-08,7.13e-08,2.12e-08,2.98e-08,1.35e-06,1.17e-06,6.34e-09,1.48e-07,3.14e-07,1.57e-06,3.39e-08,1.24e-08,1.36e-08,2.36e-05,6.05e-06,3.10e-06,8.27e-05,3.23e-05,1.28e-04,2.61e-04,6.57e-05,1.77e-04,1.94e-03,3.59e-04,5.56e-04,2.54e-03,1.76e-03,2.45e-03,2.04e-08,1.10e-08,2.46e-08,2.33e-05,4.35e-06,6.69e-06,7.17e-05,4.97e-05,7.08e-05,2.70e-04,3.95e-04,1.93e-05,9.10e-04,9.26e-04,6.24e-04,5.89e-03,3.20e-03,3.85e-03,2.20e-04,2.50e-04,1.96e-04,8.25e-02,1.03e-01,1.21e-01,5.16e-01,2.86e-01,3.53e-01,1.61e+00,1.27e+00,1.63e+00,7.29e+00,8.11e+00,8.58e+00,4.93e+01,1.56e+01,6.06e+01,1.56e-04,1.05e-04,2.24e-04,1.46e-01,1.01e-01,9.61e-02,5.57e-01,4.66e-01,6.18e-01,1.67e+00,7.39e-01,1.34e+00,5.72e+00,8.91e+00,3.78e+00,1.73e+01,6.61e+01,5.03e+01
