,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F1,Times1,1.54e-11,1.99e-09,1.70e-08,1.04e-08,2.98e-08,5.11e-08,2.42e-08,3.15e-07,1.00e-07,1.81e-07,5.69e-07,6.21e-07,3.25e-07,3.50e-06,3.81e-06,2.71e-06,5.51e-08,1.77e-08,2.59e-08,2.55e-05,3.25e-05,1.26e-05,3.85e-05,4.85e-05,1.92e-05,1.99e-04,1.59e-04,1.30e-04,6.63e-04,7.52e-04,3.39e-04,1.61e-02,6.41e-03,6.48e-03,1.43e-07,2.10e-08,2.72e-08,2.40e-05,1.11e-05,5.36e-06,3.03e-04,1.22e-04,7.30e-05,4.75e-04,2.58e-04,1.42e-04,3.05e-03,1.92e-03,1.92e-03,5.54e-03,1.04e-02,1.26e-02,1.98e-04,1.73e-04,1.24e-04,1.26e-01,1.50e-01,6.74e-02,6.10e-01,6.68e-01,5.69e-01,1.21e+00,1.09e+00,1.40e+00,7.72e+00,8.53e+00,9.51e+00,3.70e+01,3.57e+01,4.51e+01,2.28e-04,1.51e-04,2.16e-04,1.24e-01,1.09e-01,9.98e-02,4.47e-01,4.98e-01,7.27e-01,1.56e+00,1.25e+00,1.15e+00,5.87e+00,5.48e+00,3.07e+00,3.92e+01,4.75e+01,3.94e+01
F1,Times2,9.94e-12,2.06e-08,9.80e-09,1.14e-08,5.57e-08,8.52e-08,6.83e-08,5.47e-07,1.31e-07,1.46e-07,7.36e-07,5.07e-07,1.43e-06,9.03e-06,2.17e-06,5.04e-06,2.33e-08,1.01e-08,1.56e-08,2.51e-05,1.74e-05,1.72e-05,1.48e-04,7.59e-05,2.83e-05,1.26e-04,1.07e-04,6.07e-05,7.03e-04,1.66e-03,2.68e-04,5.43e-03,1.11e-03,3.98e-03,5.93e-08,1.63e-08,4.95e-09,8.42e-05,6.65e-06,3.61e-06,1.99e-04,8.55e-05,1.40e-04,2.84e-04,1.80e-04,3.24e-04,3.03e-03,5.57e-04,7.30e-04,9.28e-03,1.54e-02,1.63e-02,1.24e-04,2.76e-04,2.30e-04,1.12e-01,6.24e-02,1.17e-01,4.93e-01,5.83e-01,6.41e-01,1.33e+00,1.52e+00,6.88e-01,6.53e+00,7.69e+00,6.61e+00,4.96e+01,2.53e+01,5.57e+01,1.40e-04,1.74e-04,1.61e-04,9.22e-02,1.25e-01,1.18e-01,5.34e-01,4.56e-01,4.64e-01,1.40e+00,1.46e+00,1.20e+00,8.10e+00,5.81e+00,7.85e+00,2.09e+01,5.24e+01,4.07e+01
F1,Times3,9.85e-12,1.21e-08,9.41e-09,1.57e-08,4.36e-08,4.44e-08,1.91e-08,1.09e-07,2.71e-07,3.04e-07,1.42e-06,1.50e-06,7.25e-07,1.60e-06,5.20e-06,6.88e-06,3.74e-08,2.67e-08,2.37e-08,1.68e-05,1.52e-05,1.19e-05,7.82e-05,1.80e-05,7.29e-05,1.93e-04,9.42e-05,1.21e-04,7.60e-04,5.09e-04,5.99e-04,7.67e-03,7.08e-03,4.61e-03,6.59e-08,6.38e-09,2.25e-08,6.33e-05,2.02e-05,1.61e-05,2.78e-04,2.32e-04,2.24e-05,4.34e-04,2.83e-04,3.35e-04,2.60e-03,4.50e-04,5.11e-04,7.31e-03,5.25e-03,2.36e-03,2.63e-04,2.39e-04,2.14e-04,1.08e-01,1.09e-01,1.46e-01,7.28e-01,4.51e-01,2.98e-01,1.74e+00,2.05e+00,1.49e+00,9.22e+00,8.71e+00,7.06e+00,3.50e+01,3.57e+01,4.63e+01,1.83e-04,2.03e-04,1.87e-04,1.33e-01,1.18e-01,5.71e-02,5.53e-01,4.55e-01,5.98e-01,1.89e+00,9.10e-01,1.36e+00,6.54e+00,6.85e+00,5.99e+00,4.63e+01,5.65e+01,3.58e+01
F1,Times4,1.68e-11,2.39e-08,2.44e-08,1.55e-08,3.32e-08,2.76e-08,9.84e-08,7.95e-08,2.31e-07,6.15e-08,7.19e-07,1.06e-06,2.31e-06,1.53e-06,2.59e-06,1.04e-05,4.64e-08,8.03e-09,1.98e-08,2.50e-05,1.16e-05,1.93e-05,5.65e-05,4.11e-05,5.65e-05,1.35e-04,1.94e-04,1.36e-04,1.61e-03,1.66e-03,2.30e-04,1.74e-02,5.58e-03,1.43e-03,7.29e-08,6.51e-08,2.30e-08,2.51e-05,1.67e-05,2.46e-05,2.51e-04,1.28e-04,2.33e-04,2.59e-04,4.18e-04,3.93e-04,7.18e-04,1.28e-03,4.13e-04,2.13e-02,1.54e-02,4.95e-03,1.84e-04,1.86e-04,2.14e-04,9.80e-02,1.05e-01,1.05e-01,4.73e-01,6.44e-01,6.43e-01,1.40e+00,1.81e+00,1.46e+00,4.76e+00,9.39e+00,4.65e+00,4.39e+01,4.19e+01,5.59e+01,1.43e-04,2.10e-04,1.20e-04,1.17e-01,1.54e-01,1.20e-01,6.46e-01,7.44e-01,5.73e-01,2.09e+00,1.94e+00,1.78e+00,4.30e+00,7.42e+00,5.47e+00,4.95e+01,4.85e+01,5.44e+01
F1,Times5,1.65e-11,3.51e-08,1.76e-08,1.38e-08,1.69e-07,4.92e-08,5.68e-08,1.59e-07,2.19e-07,3.13e-07,5.00e-07,1.53e-07,9.91e-07,4.86e-06,3.58e-06,5.45e-06,3.89e-08,3.75e-08,1.77e-08,1.48e-05,7.79e-06,6.46e-06,8.95e-05,9.81e-05,2.41e-05,9.64e-05,1.42e-04,3.31e-04,1.12e-03,4.54e-04,4.23e-04,8.80e-03,6.29e-03,3.47e-03,6.79e-08,3.39e-08,3.61e-08,6.34e-05,1.64e-05,2.80e-05,1.06e-04,3.85e-05,3.22e-05,5.44e-04,1.74e-04,2.40e-04,6.69e-04,3.11e-03,7.30e-04,8.76e-03,9.69e-03,1.84e-03,2.66e-04,2.24e-04,2.84e-04,1.17e-01,6.72e-02,1.26e-01,5.74e-01,6.12e-01,6.63e-01,1.15e+00,1.69e+00,1.55e+00,3.99e+00,8.96e+00,6.03e+00,3.08e+01,4.65e+01,5.51e+01,2.60e-04,1.42e-04,2.12e-04,1.32e-01,1.24e-01,1.26e-01,4.92e-01,4.19e-01,7.49e-01,1.43e+00,1.52e+00,7.92e-01,7.46e+00,6.10e+00,1.05e+01,3.92e+01,3.23e+01,4.15e+01
F1,Times6,4.40e-11,3.09e-08,3.16e-08,1.61e-08,3.38e-08,5.09e-08,1.10e-07,1.62e-07,1.67e-07,1.36e-07,5.69e-07,3.96e-07,3.42e-07,1.16e-05,4.87e-06,1.04e-05,1.12e-08,5.15e-08,2.11e-08,1.82e-05,1.76e-05,2.15e-05,1.11e-04,1.70e-04,1.98e-05,1.18e-04,1.58e-04,8.77e-05,2.70e-03,6.59e-04,1.16e-03,2.19e-02,5.58e-03,3.07e-03,5.69e-08,1.70e-08,7.86e-09,4.97e-05,2.46e-05,7.02e-06,8.02e-05,1.08e-04,7.29e-05,3.19e-04,1.99e-04,4.97e-05,1.64e-03,1.50e-03,7.69e-04,4.72e-03,7.81e-03,3.76e-03,2.27e-04,1.57e-04,1.56e-04,1.59e-01,1.29e-01,1.59e-01,5.41e-01,5.95e-01,4.77e-01,1.79e+00,2.00e+00,1.39e+00,7.72e+00,9.76e+00,6.30e+00,5.72e+01,5.02e+01,3.21e+01,2.38e-04,1.64e-04,1.84e-04,1.13e-01,1.16e-01,1.59e-01,5.04e-01,5.19e-01,6.19e-01,1.62e+00,1.89e+00,7.89e-01,5.66e+00,8.92e+00,7.00e+00,5.80e+01,4.68e+01,5.80e+01
F1,Times7,1.89e-11,2.03e-08,1.18e-08,1.42e-08,6.71e-08,4.21e-08,1.09e-07,4.03e-08,2.53e-08,6.78e-08,4.46e-07,2.84e-07,9.47e-07,7.61e-07,3.66e-06,3.43e-06,4.01e-08,4.59e-08,2.59e-08,3.81e-05,1.39e-05,8.07e-06,1.07e-05,7.85e-05,3.29e-05,1.11e-04,2.29e-04,1.54e-04,2.52e-04,6.55e-04,8.94e-04,1.92e-02,1.04e-02,7.83e-03,4.85e-08,1.79e-08,2.00e-08,4.05e-05,1.22e-05,2.44e-05,6.53e-05,5.07e-05,5.81e-05,5.97e-04,5.02e-04,3.07e-04,1.22e-03,1.49e-03,6.40e-04,7.66e-03,1.16e-02,1.37e-02,2.22e-04,2.01e-04,1.91e-04,1.43e-01,1.30e-01,8.11e-02,6.82e-01,5.15e-01,6.13e-01,1.71e+00,2.17e+00,1.76e+00,1.05e+01,1.91e+00,5.74e+00,4.08e+01,6.50e+01,3.56e+01,2.15e-04,1.90e-04,2.50e-04,1.19e-01,1.30e-01,1.42e-01,5.63e-01,6.23e-01,5.79e-01,1.43e+00,1.16e+00,1.74e+00,1.00e+01,5.82e+00,6.90e+00,3.82e+01,5.05e+01,3.76e+01
F1,Times8,3.51e-11,9.04e-09,1.69e-08,1.62e-08,6.90e-08,4.88e-08,8.64e-08,3.15e-07,6.06e-08,2.47e-07,1.71e-06,1.47e-06,1.77e-06,6.21e-06,1.20e-05,2.95e-06,2.22e-08,6.43e-08,1.73e-08,2.67e-05,1.70e-05,4.65e-06,9.70e-05,6.59e-05,2.67e-04,3.41e-04,5.96e-05,1.03e-04,1.19e-03,8.14e-04,2.24e-04,7.05e-03,1.31e-03,4.44e-03,4.16e-08,2.80e-08,1.11e-08,3.45e-05,9.36e-06,1.73e-05,1.91e-04,6.79e-05,4.19e-05,8.11e-04,2.63e-04,1.03e-04,1.86e-03,8.29e-04,7.23e-04,1.25e-02,5.56e-03,3.60e-03,2.45e-04,1.31e-04,1.97e-04,1.52e-01,1.17e-01,1.23e-01,4.54e-01,6.38e-01,7.37e-01,1.93e+00,9.28e-01,1.49e+00,4.22e+00,7.82e+00,9.36e+00,3.56e+01,5.55e+01,2.74e+01,1.94e-04,2.08e-04,1.86e-04,1.38e-01,9.37e-02,8.99e-02,6.42e-01,4.86e-01,6.34e-01,1.37e+00,1.22e+00,1.46e+00,7.46e+00,8.21e+00,5.81e+00,6.16e+01,4.92e+01,5.18e+01
F1,Times9,1.01e-11,7.23e-09,1.94e-08,1.84e-08,5.95e-08,1.74e-07,1.49e-07,1.02e-07,2.03e-07,2.37e-07,6.85e-07,5.07e-07,3.24e-07,1.96e-06,3.06e-06,7.87e-06,3.98e-08,2.76e-08,7.31e-09,2.81e-05,1.40e-05,1.97e-05,6.88e-05,3.66e-05,1.86e-05,9.65e-05,1.71e-04,7.40e-05,1.09e-03,6.10e-04,9.40e-04,6.38e-03,7.50e-03,7.63e-03,7.74e-08,1.14e-07,2.99e-08,1.69e-05,1.69e-05,2.21e-05,1.79e-04,1.30e-04,7.14e-05,1.94e-04,1.27e-04,2.26e-04,4.61e-03,1.79e-03,3.48e-04,1.82e-02,1.23e-02,1.30e-02,2.12e-04,1.56e-04,1.90e-04,9.77e-02,1.74e-01,6.80e-02,7.60e-01,5.97e-01,5.55e-01,1.14e+00,1.90e+00,1.41e+00,5.88e+00,8.93e+00,9.41e+00,5.16e+01,4.56e+01,3.90e+01,1.93e-04,1.82e-04,2.51e-04,1.32e-01,9.55e-02,8.30e-02,3.82e-01,4.84e-01,3.52e-01,1.53e+00,1.60e+00,1.32e+00,7.97e+00,6.65e+00,5.05e+00,3.47e+01,4.27e+01,4.88e+01
F1,Times10,1.45e-11,9.66e-09,6.53e-09,2.34e-08,4.24e-08,2.67e-08,8.74e-08,1.28e-07,1.27e-07,1.85e-07,9.52e-07,1.03e-06,2.64e-06,7.68e-06,7.92e-06,6.57e-06,4.09e-08,8.93e-09,3.55e-08,2.83e-05,3.36e-05,1.75e-05,1.29e-04,4.98e-05,8.88e-05,1.64e-04,5.65e-04,6.02e-05,8.86e-04,1.22e-03,8.62e-04,9.27e-03,5.28e-03,2.42e-03,6.71e-08,3.49e-08,1.89e-08,1.15e-05,2.72e-05,1.77e-05,2.74e-04,1.87e-04,8.57e-05,2.19e-04,2.62e-04,4.30e-04,8.97e-04,2.52e-03,6.34e-04,1.96e-02,3.35e-03,4.61e-03,1.41e-04,1.89e-04,1.51e-04,1.14e-01,1.37e-01,1.09e-01,4.59e-01,6.63e-01,6.65e-01,1.73e+00,1.86e+00,1.34e+00,9.55e+00,8.84e+00,5.35e+00,3.24e+01,4.61e+01,6.82e+01,2.42e-04,1.84e-04,1.89e-04,1.27e-01,5.57e-02,1.20e-01,5.34e-01,5.26e-01,6.52e-01,2.00e+00,1.77e+00,1.17e+00,8.57e+00,5.80e+00,8.08e+00,4.09e+01,4.57e+01,4.13e+01
