,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,2.88e-08,2.01e-08,7.32e-08,7.60e-08,5.18e-07,4.18e-07,7.99e-07,4.54e-06,4.19e-12,2.81e-11,6.47e-13,3.00e-09,1.26e-09,1.45e-09,1.62e-09,1.66e-08,1.50e-08,5.11e-09,1.07e-08,3.00e-08,1.52e-07,5.90e-08,4.02e-08,3.15e-07,1.76e-07,1.38e-07,6.14e-12,1.94e-12,2.42e-12,1.20e-09,9.97e-10,1.14e-09,2.78e-09,6.64e-09,9.91e-09,4.26e-09,1.78e-08,6.13e-09,1.41e-07,5.82e-08,5.26e-08,6.22e-07,3.38e-07,6.15e-07,1.42e-12,3.63e-13,3.00e-12,1.03e-09,1.81e-09,5.44e-10,3.06e-09,6.68e-09,3.37e-09,1.20e-08,3.96e-09,2.30e-08,6.85e-08,6.51e-08,4.32e-08,2.48e-07,2.90e-07,2.72e-07,3.39e-12,4.69e-12,8.81e-13,9.22e-10,8.66e-10,9.30e-10,2.54e-09,8.18e-09,1.33e-09,4.26e-09,2.87e-09,1.10e-08,1.65e-08,2.34e-08,1.40e-08,3.15e-07,1.37e-07,9.86e-08,3.56e-12,6.08e-12,8.13e-13,1.00e-09,1.24e-09,1.66e-09,1.20e-08,6.95e-09,1.60e-08,2.80e-08,1.97e-08,1.79e-08,9.72e-08,2.56e-07,2.95e-08,1.44e-07,6.93e-07,8.84e-07,2.95e-12,2.77e-12
F1,Times2,2.02e-08,5.33e-08,3.37e-07,7.15e-08,2.75e-07,3.84e-06,4.85e-06,8.42e-07,2.87e-12,2.89e-12,5.18e-12,7.88e-10,1.98e-09,1.14e-09,4.05e-09,4.83e-09,7.41e-09,1.69e-08,2.02e-08,1.86e-08,1.18e-08,1.48e-08,2.63e-08,8.69e-07,5.94e-07,3.82e-07,6.05e-12,1.28e-11,1.75e-12,4.58e-10,2.08e-09,1.40e-09,4.21e-09,4.29e-09,4.64e-09,7.22e-09,3.69e-08,4.69e-09,8.20e-08,4.95e-08,7.27e-08,5.75e-07,7.73e-07,1.58e-07,1.63e-12,2.03e-12,4.10e-12,4.25e-10,5.72e-10,3.70e-10,1.19e-08,1.86e-09,2.52e-09,4.07e-09,9.44e-09,2.00e-08,1.32e-08,1.01e-08,1.62e-07,3.77e-07,5.31e-07,3.14e-07,1.70e-12,1.74e-12,1.70e-12,1.27e-09,5.40e-10,1.24e-09,4.05e-09,3.89e-09,9.97e-09,5.35e-09,2.78e-08,1.63e-08,5.23e-08,2.94e-08,5.67e-08,2.26e-07,9.32e-08,2.25e-07,2.69e-12,2.92e-12,6.04e-13,3.28e-10,1.49e-09,1.48e-09,1.09e-08,3.21e-09,4.16e-09,6.18e-09,1.22e-08,3.58e-08,1.34e-07,1.65e-07,1.33e-07,3.99e-07,7.93e-07,5.05e-07,9.70e-12,3.23e-12
F1,Times3,1.37e-08,1.66e-07,4.83e-07,2.15e-07,3.64e-08,3.78e-06,1.27e-06,3.54e-06,9.07e-12,2.41e-11,4.13e-12,1.41e-09,5.52e-10,2.01e-09,6.73e-10,4.70e-09,5.34e-09,1.90e-08,1.26e-08,1.34e-08,9.38e-08,3.31e-08,3.38e-08,5.43e-07,5.37e-07,3.71e-07,5.66e-12,4.46e-12,6.47e-12,1.08e-09,5.63e-10,5.40e-10,1.16e-08,3.60e-09,4.26e-09,2.53e-08,2.51e-08,1.54e-08,1.27e-07,5.14e-08,1.13e-07,4.30e-07,4.50e-07,3.08e-07,3.81e-12,7.33e-13,1.57e-12,8.72e-10,4.99e-10,9.12e-10,9.88e-10,1.55e-09,1.86e-09,3.59e-09,1.33e-08,8.22e-09,7.10e-08,6.49e-08,1.68e-07,2.20e-07,2.01e-07,2.33e-07,3.00e-12,2.09e-12,2.20e-12,3.32e-10,2.15e-09,8.59e-10,3.93e-09,4.12e-09,5.81e-09,9.83e-09,2.68e-08,4.38e-09,9.48e-08,9.34e-08,3.21e-08,2.95e-07,6.10e-07,2.88e-07,1.21e-12,4.51e-12,2.32e-12,2.63e-09,1.22e-09,7.65e-10,6.38e-09,1.78e-08,2.47e-09,1.13e-07,1.14e-08,3.19e-08,1.15e-07,8.25e-08,1.47e-07,3.21e-07,1.23e-06,4.68e-07,5.47e-12,1.98e-12
F1,Times4,2.85e-08,5.85e-08,9.14e-08,9.25e-08,2.25e-07,2.06e-07,7.37e-07,2.38e-06,6.72e-12,1.10e-12,2.92e-12,1.40e-09,1.25e-09,1.03e-09,1.11e-08,1.07e-08,6.66e-09,1.22e-08,1.14e-08,1.01e-08,1.02e-07,4.75e-08,1.38e-07,4.00e-07,1.56e-07,9.50e-07,2.09e-12,4.50e-12,5.22e-13,1.49e-09,8.22e-10,7.70e-10,5.75e-09,3.48e-09,3.30e-09,6.13e-08,7.36e-09,2.09e-08,7.18e-08,2.16e-07,1.47e-07,1.36e-06,3.59e-07,1.77e-06,2.37e-12,1.41e-12,3.61e-12,4.21e-10,8.40e-10,8.31e-10,3.70e-09,2.92e-09,1.13e-09,5.34e-09,1.54e-08,6.78e-09,4.76e-08,3.93e-08,1.74e-07,7.41e-07,2.55e-07,1.33e-06,1.70e-12,3.57e-12,1.75e-12,2.80e-09,6.03e-10,6.39e-10,2.14e-09,3.99e-09,2.48e-09,9.22e-09,2.40e-09,7.43e-09,5.66e-08,8.22e-08,6.77e-08,1.51e-07,3.28e-07,5.71e-07,5.15e-12,2.72e-12,1.30e-12,1.17e-09,1.70e-09,1.13e-09,3.01e-09,1.73e-08,1.34e-08,1.36e-08,2.61e-08,1.19e-08,5.67e-08,4.18e-08,7.76e-08,2.08e-06,1.90e-06,1.71e-07,9.35e-13,2.92e-12
F1,Times5,2.65e-08,5.35e-08,2.15e-07,2.61e-07,5.42e-07,8.12e-07,1.08e-06,1.81e-06,2.09e-11,5.60e-12,3.26e-11,2.74e-09,1.60e-09,8.62e-10,4.37e-09,4.56e-09,7.68e-09,3.52e-08,3.75e-08,2.43e-08,1.51e-07,1.06e-07,4.14e-08,2.23e-07,4.94e-07,1.77e-07,6.73e-12,5.32e-12,7.36e-12,5.89e-10,1.84e-09,3.04e-09,3.74e-09,8.33e-09,5.98e-09,1.07e-08,2.38e-08,1.21e-08,5.80e-08,4.34e-08,1.77e-07,1.42e-06,4.09e-07,6.54e-07,2.37e-12,1.82e-12,5.53e-13,9.98e-10,4.63e-10,2.35e-10,2.01e-09,1.48e-09,1.37e-09,2.37e-08,5.78e-09,9.38e-09,6.11e-08,9.55e-09,2.66e-08,2.74e-07,1.04e-06,6.83e-07,2.03e-12,3.33e-12,2.27e-12,1.03e-09,9.14e-10,6.80e-10,3.90e-09,9.12e-09,6.29e-10,3.28e-08,7.32e-09,1.41e-08,1.92e-08,5.06e-08,2.74e-08,1.41e-07,3.69e-07,1.41e-07,2.80e-12,1.86e-12,1.00e-12,9.01e-10,2.87e-09,1.19e-09,6.75e-09,3.45e-09,4.73e-09,1.58e-08,4.32e-09,2.71e-08,2.58e-07,1.16e-07,7.21e-08,9.25e-08,1.81e-06,2.81e-07,4.84e-12,2.40e-12
F1,Times6,3.11e-08,3.24e-08,1.58e-07,1.53e-07,1.84e-07,8.10e-07,8.71e-07,1.44e-06,8.94e-12,4.05e-12,5.48e-12,4.02e-10,7.19e-10,6.44e-10,6.27e-09,5.43e-09,2.24e-09,4.30e-08,9.26e-09,4.81e-09,5.32e-08,3.97e-08,1.74e-07,4.15e-07,2.37e-07,1.09e-06,2.70e-12,2.72e-12,1.39e-12,2.10e-10,9.90e-10,8.10e-10,1.40e-08,4.70e-09,2.74e-09,3.74e-08,1.70e-08,1.39e-08,1.32e-07,7.75e-08,2.48e-08,3.67e-07,1.94e-07,3.07e-07,9.85e-13,1.55e-12,1.92e-12,1.28e-09,2.25e-09,6.77e-10,2.40e-09,4.88e-09,2.28e-09,1.26e-08,8.19e-09,5.83e-09,2.41e-08,3.31e-08,1.90e-07,4.79e-07,8.13e-07,1.72e-07,1.17e-12,5.79e-12,1.59e-12,3.17e-10,1.08e-09,2.47e-10,4.84e-09,5.88e-09,3.15e-09,4.87e-09,2.02e-09,1.35e-08,3.26e-08,7.20e-08,8.28e-08,5.62e-07,1.47e-07,6.34e-08,8.36e-12,2.35e-12,1.41e-12,7.48e-10,4.26e-10,1.35e-09,1.01e-08,1.65e-09,9.28e-09,9.90e-09,1.12e-08,2.86e-08,1.30e-08,3.28e-08,1.07e-07,2.14e-06,7.37e-07,5.03e-07,5.62e-12,1.77e-12
F1,Times7,2.21e-08,5.37e-08,2.35e-07,2.81e-07,3.14e-07,4.79e-07,9.78e-07,1.07e-06,1.16e-11,2.65e-12,7.08e-13,1.65e-09,1.06e-09,1.83e-09,3.39e-09,8.90e-09,1.15e-08,9.90e-09,4.79e-09,1.38e-08,1.19e-07,4.44e-08,1.04e-07,1.79e-06,7.98e-07,3.58e-07,4.46e-12,5.04e-12,2.46e-12,4.05e-10,2.23e-09,7.86e-10,8.38e-10,3.36e-09,9.38e-09,1.77e-08,2.31e-08,4.25e-09,2.25e-08,9.98e-09,7.60e-08,3.29e-07,1.76e-06,7.39e-07,1.93e-12,9.57e-13,1.10e-12,1.68e-09,1.17e-09,4.97e-10,4.21e-09,4.55e-09,3.45e-09,1.21e-08,7.31e-09,2.63e-09,3.06e-08,1.03e-07,4.66e-08,3.77e-07,2.23e-07,7.63e-07,1.69e-12,2.10e-12,1.89e-12,8.41e-10,2.32e-09,4.36e-09,8.88e-09,8.18e-09,3.08e-09,1.15e-08,2.07e-08,1.15e-08,1.34e-07,4.22e-08,2.17e-08,5.45e-07,4.18e-07,2.71e-07,1.57e-12,1.75e-12,1.36e-12,2.52e-09,3.07e-09,1.48e-09,8.31e-09,1.20e-08,9.10e-09,1.33e-08,1.91e-08,2.95e-08,2.11e-07,3.19e-08,1.82e-08,1.36e-06,3.03e-07,2.25e-07,2.52e-12,3.59e-12
F1,Times8,4.07e-08,9.55e-08,2.25e-07,4.07e-07,2.54e-07,4.08e-07,2.56e-07,1.29e-06,6.83e-12,4.63e-12,2.96e-12,9.42e-10,4.21e-09,5.58e-09,2.40e-09,5.24e-09,4.40e-09,2.60e-08,9.82e-09,3.00e-08,5.49e-08,6.92e-08,1.50e-07,6.86e-07,1.87e-07,4.62e-07,7.26e-12,1.21e-12,5.14e-12,9.53e-10,1.13e-09,8.22e-10,5.17e-09,8.78e-09,6.56e-09,2.37e-08,2.41e-08,4.49e-08,5.39e-08,1.62e-07,7.26e-08,3.18e-07,6.19e-07,3.79e-07,7.74e-13,1.40e-12,5.98e-13,1.50e-10,1.01e-09,1.01e-09,1.59e-09,4.34e-09,7.08e-09,8.33e-09,6.44e-09,4.03e-09,1.38e-08,5.49e-08,2.66e-08,5.24e-07,1.59e-07,6.58e-08,1.98e-12,2.13e-12,7.88e-13,1.06e-09,2.98e-10,5.21e-10,2.83e-09,1.08e-09,2.95e-09,1.11e-08,1.86e-08,1.26e-08,2.09e-07,4.30e-08,9.38e-08,1.72e-07,8.43e-07,8.33e-07,2.19e-12,3.57e-12,4.65e-12,1.66e-09,1.89e-09,2.45e-09,1.07e-08,3.44e-09,9.59e-09,1.39e-08,1.41e-08,2.16e-08,8.02e-08,6.19e-08,6.78e-08,6.64e-07,1.54e-06,9.80e-07,2.91e-12,2.24e-12
F1,Times9,3.90e-08,5.42e-08,3.59e-07,2.63e-07,7.59e-08,3.39e-06,1.59e-06,8.84e-07,1.56e-11,2.25e-12,4.12e-12,2.94e-10,3.60e-10,5.71e-10,6.81e-09,2.48e-09,6.73e-09,3.56e-09,1.91e-08,8.74e-09,9.17e-09,8.30e-08,1.02e-07,3.58e-07,3.45e-07,5.88e-07,2.38e-12,4.92e-12,2.41e-12,1.84e-09,9.80e-10,9.14e-10,3.96e-09,3.57e-09,5.31e-09,1.55e-08,1.84e-08,1.01e-08,7.74e-08,7.28e-08,8.06e-08,5.21e-07,3.20e-07,2.30e-07,3.09e-12,1.31e-12,4.17e-12,7.35e-10,4.70e-10,7.87e-10,5.40e-09,2.98e-09,3.47e-09,1.52e-08,1.04e-08,1.44e-08,8.21e-08,6.38e-08,1.88e-08,2.70e-07,5.54e-07,1.65e-07,7.77e-12,3.71e-12,1.34e-12,5.55e-10,1.90e-09,1.49e-09,3.20e-09,1.59e-09,7.85e-09,7.81e-09,8.53e-09,1.45e-08,1.80e-08,2.54e-08,1.55e-08,8.53e-07,1.36e-07,2.39e-07,3.24e-12,1.46e-12,3.42e-12,2.01e-09,7.81e-09,2.25e-09,5.76e-09,7.69e-09,1.98e-08,3.25e-08,1.26e-08,2.28e-08,1.44e-07,2.89e-07,3.75e-08,5.28e-07,2.88e-07,5.46e-07,4.48e-12,4.09e-12
F1,Times10,2.39e-08,2.44e-08,4.14e-07,8.52e-08,3.71e-07,8.92e-07,3.76e-06,1.23e-06,3.59e-12,5.13e-12,7.48e-12,1.74e-09,7.15e-10,2.63e-09,5.10e-09,2.76e-09,5.48e-09,3.88e-08,1.02e-08,1.78e-08,5.44e-08,8.53e-08,4.40e-08,1.53e-06,2.63e-07,3.14e-07,2.00e-11,2.35e-12,6.67e-12,2.32e-09,1.41e-09,2.65e-09,5.66e-09,1.28e-08,3.76e-09,3.55e-08,1.43e-08,1.28e-08,1.80e-07,6.47e-08,8.46e-08,7.53e-07,4.89e-07,1.17e-06,3.46e-12,1.26e-12,6.16e-12,1.01e-09,1.09e-09,3.55e-10,6.52e-09,1.51e-09,3.26e-09,1.10e-08,2.63e-09,7.76e-09,5.36e-08,5.63e-08,2.95e-08,5.11e-07,1.03e-07,1.47e-07,2.08e-12,1.24e-12,5.69e-13,3.35e-10,6.58e-10,1.71e-09,5.01e-09,1.07e-08,3.59e-09,6.02e-09,5.67e-09,1.33e-08,6.78e-08,2.93e-08,1.02e-07,3.81e-07,1.75e-07,4.25e-07,3.10e-12,5.12e-12,3.40e-12,7.51e-10,1.81e-09,1.50e-09,1.91e-08,2.87e-09,6.48e-09,1.02e-08,2.45e-08,1.87e-08,5.18e-07,1.26e-07,8.12e-08,5.86e-07,4.01e-07,9.41e-07,5.52e-12,1.18e-12
