,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,98.54120536518181,4.845606247849709e-11,3.1357254591146648e-09,4.771863571031682e-08,5.647095991206236e-07,4.2564910863943194e-08,7.551917685747753e-09,1.0769424231343702e-06,1.1115322043588955e-08,8.276750691365952e-06,6.864429346002482e-07,6.425726542525727e-08,1.2555292234832917e-05,1.4328495286909277e-06,1.349316698289098e-06,2.1463374613899394e-05,3.3484854259272946e-05,1.941211245770083e-05,3.374200770418585e-10,6.136310866146468e-10,8.316399309323087e-10,4.907441003760881e-08,3.474088189125736e-07,1.8674133944069606e-08,1.0370697799832972e-06,1.557379022786677e-08,1.31288505421279e-08,1.0142135192885934e-06,2.029323147829119e-06,1.777796389722201e-05,3.799212022333986e-06,4.306036906050101e-05,1.5105463905873719e-05,1.4588399921817669e-05,2.7601272268542936e-05,3.4565198529091094e-05,2.297412706372025e-12,9.797938410816793e-13,9.594707951321877e-11,1.109462212363725e-08,5.067224102733559e-07,2.1124422478291874e-08,3.3080765577018085e-07,3.799437553221951e-11,2.5608664065911108e-08,4.5807952733320446e-07,5.049383983071948e-07,2.2023921458579453e-06,2.170215815607975e-06,4.1691104060589347e-07,4.6559714504786616e-07,1.543321901213268e-06,3.8696953545757006e-05,7.474784915005022e-08,2.420446209329635e-10,2.939486700336524e-11,1.5646239432257347e-10,4.908395027625788e-08,2.2140053559046032e-08,1.344576409660072e-09,6.407415617206751e-08,9.926200646077192e-07,5.645167234208713e-08,6.801108488594461e-08,3.04444870560248e-08,7.13458622821766e-08,2.1304543299521828e-06,7.266532772175157e-07,4.810575238411354e-09,6.2107398646196e-08,1.1075158898686131e-05,4.9022439749300785e-06,3.19529491844283e-10,8.792310454105235e-10,1.0228618440823798e-11,4.532192131470326e-08,2.7980890215688755e-07,3.533119825808746e-08,5.0611935275118914e-08,5.156210524405075e-07,6.726576284325377e-09,3.013027033380532e-09,1.5702424535161179e-06,2.7789682419408943e-07,2.8079982760935075e-06,7.799675773900246e-07,1.2407381316050487e-06,4.269011660811934e-06,1.111869242051727e-06,9.780187265337563e-06,1.5767325464548655e-10,1.941019119584567e-11,2.3385895281056506e-10,5.182920477330051e-09,4.742510141687058e-08,4.314869292135148e-08,5.5855929642105893e-08,1.552463969965419e-07,5.0049807204443515e-08,8.538413308424069e-07
F3,Times2,4.0630868937953055e-10,4.94230292577502e-10,3.120547181254175e-10,1.1157655543850821e-07,1.0339389597578865e-07,4.920699587191808e-07,1.260264323033276e-07,6.005913373827087e-08,8.483021544415052e-07,3.7431794419163066e-07,1.543877663897532e-06,5.59902291025861e-06,8.742898000579584e-06,8.77901834107923e-06,7.793925445299105e-08,0.00014158686835864903,1.1582800069903058e-05,1.1814565024335312e-05,9.693420326808204e-12,1.0001335416699807e-09,3.9188642302221945e-10,6.422962224375928e-08,1.3969321604700253e-08,3.596976429156343e-07,7.576703065521982e-08,1.9500469324823157e-07,7.677886199349015e-07,1.397921214152835e-07,1.3792534190129797e-06,1.4919529671301219e-06,1.232713319632813e-08,1.4626230182640423e-05,1.7968246173182052e-07,0.00010038603980193909,3.456521129222629e-05,1.897973969776243e-05,7.286647372428364e-10,2.833544673784784e-11,1.5460144045628353e-09,1.9551294701011073e-08,1.3148308412222492e-08,2.1704060359134067e-09,2.387903344837704e-08,4.1163618348103315e-10,2.6216100205840016e-07,4.911568456305777e-07,1.015696643690148e-09,1.1444648538763738e-07,1.5349647191247453e-07,1.4301354895730127e-07,5.423747945826666e-06,1.8407292911635585e-08,5.0013902430027654e-05,1.0130754965217246e-05,1.4855386096071943e-10,1.2520819921412207e-11,3.571277288896124e-11,3.958254262108089e-08,1.5259612762353324e-08,3.884532306755825e-09,1.4278722161391116e-07,7.076008704835105e-09,2.412868173878725e-08,7.145624943257242e-07,1.4653678525387788e-10,4.848020709546867e-07,1.2984802551196125e-06,5.872040383254449e-07,4.989885796386389e-06,1.5213725208237791e-05,4.199888505100336e-05,1.0819690918914198e-06,1.2894574720512937e-09,9.740194619773939e-11,4.5453432177982914e-11,4.7474115444412564e-08,4.286638536992313e-09,2.482703605665527e-10,8.17696781677268e-08,1.3610745621107553e-07,5.5385751560854794e-11,6.054844286493185e-08,4.224686843516757e-08,1.6645831699173544e-08,1.4102319567324271e-05,7.858927206899667e-06,1.5064636535552512e-05,5.980254043723406e-06,4.094736863325361e-05,1.8341664532674547e-05,9.697263545131918e-11,6.884389207128636e-11,6.232210728609934e-12,2.0408429966297347e-07,2.76991855203671e-08,1.6036911123208298e-07,2.305006562070966e-07,1.958766409689692e-07,5.4834728471879104e-08,1.557382807870339e-07
F3,Times3,2.2921464577876156e-10,6.187774394269599e-09,2.0921337658985055e-09,6.168908966496144e-08,2.439491249038852e-07,4.1569942064395695e-08,5.113404014259739e-07,2.979372365212492e-08,1.052206161100148e-07,9.220152100203501e-07,7.459482163581316e-07,4.583895615407178e-06,4.8004322789197576e-05,8.675802425915644e-07,2.6779712286586655e-05,8.367488026612705e-05,6.87405180455266e-05,3.4412337728636317e-06,5.395871221851415e-11,1.3901106949071017e-12,5.397512199575601e-10,5.553838083374723e-09,1.517181073544035e-07,1.1433176810850769e-07,6.602731011003974e-08,6.123007475030873e-07,9.962437076935871e-07,1.0957432480024112e-06,6.616397995018537e-07,9.030625366942409e-07,5.628070266231135e-06,1.2250995548775972e-05,9.138341498410596e-07,0.00013289200623216915,9.578072508651627e-06,9.188289003461652e-06,7.798885153945537e-11,7.544727163393185e-11,1.1815711537829097e-10,7.95771082638594e-08,8.102960939457955e-08,1.3773441046495465e-08,3.747743980424034e-08,7.284777270822154e-08,3.269939866976083e-10,3.4544290086671814e-07,6.271061333614781e-07,2.2607569977629816e-06,1.3431137964288536e-06,4.495228068943632e-06,7.359686550740386e-07,0.00010763598126608539,5.572492863925988e-05,2.636023962085186e-06,1.4518289380054146e-10,1.3287479306996722e-10,3.1174604028423117e-10,1.3275335065081946e-08,1.1380590221046497e-09,5.366145861531506e-08,3.8410098632900934e-07,4.4799708827583314e-08,5.488625235032061e-08,2.7834466423743914e-06,2.142068574763725e-07,1.9727525034657937e-06,4.4068832091526447e-07,1.350653928509432e-05,2.3297101746971502e-06,1.8689126186086655e-05,7.721226473715466e-06,2.959329814854152e-07,1.5718167153635884e-12,4.584271726665602e-11,7.622747464331601e-11,4.609430932623766e-08,3.969238193426687e-09,2.3494796868520526e-08,2.1212656406345056e-07,8.172993745527217e-07,4.508682223768088e-09,2.6376758640160655e-07,1.2807863065471462e-07,1.3235969212652849e-06,1.1747352379616261e-05,3.910538088883911e-07,3.2858989022967633e-06,3.801352695525389e-06,7.991367635854942e-08,5.767987910292951e-06,5.653710076800964e-10,9.952509268903114e-12,1.15512355415893e-13,7.693022146592233e-08,8.112754940148868e-11,1.5051533860408764e-08,1.3755266204226258e-07,1.649005378220578e-07,3.555232708658905e-07,1.8106326412186818e-07
F3,Times4,2.0261708669826964e-09,5.978543263240541e-08,2.30589526427367e-09,2.1501872644256544e-07,1.349437801785866e-09,8.495354501687549e-08,2.8106393643748607e-06,1.1365212754430629e-07,5.448010918119676e-07,6.68279935514324e-08,3.38699707584258e-07,4.196017468489703e-08,1.4682984140077577e-05,1.0556013632289547e-07,8.086941024566538e-06,1.568742103582816e-06,4.586977470298888e-06,1.993545510205306e-05,9.587303653342706e-10,6.903560784533289e-11,1.846317129268095e-10,5.590215476750773e-08,1.422220450759622e-07,2.813421497958575e-07,3.9963409972223e-07,6.878132753543349e-08,1.1012333250999753e-07,1.6135453804566447e-06,2.124273533777242e-06,4.839693825433886e-06,2.3018683583002695e-05,1.5554179004064112e-06,3.079758457217836e-09,2.5980555544001e-05,1.8599668753570085e-05,1.1544769514866384e-05,1.4565306395739394e-10,7.624366346457541e-11,6.840547706407489e-11,1.836324070025118e-09,1.9512919626563274e-09,1.4684557983267725e-11,2.6120049756313565e-07,7.694495434688759e-09,2.0992289607893478e-07,1.1116035251081794e-07,1.0513577905931475e-10,2.0109287626198978e-08,1.1731976099654715e-07,3.7280241587767448e-06,5.2680636147721696e-08,2.341141941694956e-06,1.4458183206713508e-07,2.7789292667883673e-06,5.525709557313687e-10,1.9246498996978826e-10,8.873787450824779e-11,6.273931170366765e-08,2.2576069487854292e-08,1.6149315099321311e-09,2.7915296158139177e-07,5.118095328525367e-09,7.033530196226574e-08,3.5252958269606225e-07,1.8555282041168184e-07,6.227676272326246e-08,8.779148961013372e-06,5.567038614668705e-07,3.498419938592376e-08,1.3150265627869426e-05,1.9364636816275713e-05,1.1383508428760845e-05,1.2638276229683703e-10,4.995165943380807e-10,1.791266145141129e-11,2.599745558622167e-09,1.4600889365268748e-08,2.299176346610913e-08,2.9599649526524513e-07,1.1747580922858927e-07,8.18724112727976e-09,3.418880607000184e-07,6.482347585876344e-07,5.167677026228761e-09,1.3285731984694314e-06,2.3114446984925113e-06,1.936457886171387e-06,6.256478761078332e-06,4.616272536826519e-05,1.4612345231763659e-06,4.395654995853666e-12,8.400884212715658e-11,4.670394987540453e-10,3.827988756884816e-08,1.0850546624296377e-07,8.593113230056714e-09,4.417138326552527e-07,6.169324185306624e-08,8.463197160390049e-09,3.210978994184856e-07
F3,Times5,6.977487900856697e-09,6.696739735323592e-10,3.411830625025099e-10,2.0433678721517719e-07,1.2151592222942215e-07,1.5059310710031084e-08,1.3694929840247083e-06,7.853492261511392e-07,1.9794860707670996e-06,3.94066888975694e-08,2.8302583870096314e-06,7.335589400242387e-07,2.433818083988491e-06,5.452950815827014e-06,5.484204354701786e-06,8.111098679612783e-05,2.025459701375822e-05,2.1529424392415285e-06,7.583277957699053e-13,1.5405494231592268e-09,4.209900670873441e-11,1.3364440252155713e-07,2.558080457126064e-07,8.689003899681337e-09,4.887191430518564e-07,2.5392197513096772e-08,8.535228132762386e-08,3.8267577283223936e-07,8.522019464207469e-07,2.0057442960476292e-07,5.6627074590974825e-06,3.358711838107559e-06,3.184554929847599e-07,1.9474406353366667e-06,4.8742911111401753e-05,6.985382238618631e-05,1.9601704428307927e-11,5.130551761143505e-10,1.7140492490683428e-11,8.70681057694736e-09,7.638107739345832e-08,7.764671983279979e-17,1.5693720590646576e-07,5.01973608881897e-08,8.115186792234736e-08,2.7749011610615734e-07,3.4486210303289276e-07,1.8536858737596145e-08,8.106434322328289e-06,1.5952735199626262e-06,5.610144053065318e-07,6.165492174917917e-05,2.4104612527715637e-05,9.986275664845684e-07,2.1697850680264273e-10,1.6608954831376133e-10,7.2530265243669e-10,8.457063007066505e-08,6.777712195741884e-09,6.026812173299322e-08,6.25410166692271e-07,5.191315425245536e-08,2.8260527866150187e-06,4.343621925754383e-06,3.8350654434308925e-07,1.9725169129701418e-07,1.0094543586153404e-05,2.2816895442394746e-07,2.4627315115909576e-05,3.8392244902537365e-05,4.241149445549147e-06,7.372195366342309e-06,3.678065830398083e-13,6.473443124262234e-10,1.8820479229200694e-10,6.905825515074955e-09,1.7360843835333615e-09,2.8526276402931064e-08,7.3220938259212756e-09,5.5400988761341036e-08,2.867435502656114e-09,7.49307720713989e-08,1.8213004250643298e-07,3.17147764961109e-07,2.998618075349614e-07,5.652876605903888e-07,7.311910190279969e-06,1.4863056268735196e-06,9.808777882394718e-07,8.15731998780869e-09,9.05744173330052e-11,4.787901799081115e-11,1.5349560330929213e-10,2.2322479108830823e-08,1.9704714025731503e-08,1.7339957658557482e-09,2.1893496636315005e-08,9.162781845908616e-10,2.5396784296250143e-07,8.384141322264267e-07
F3,Times6,1.802854183252803e-09,4.372067659389303e-09,2.5733087529262713e-11,8.318472292081845e-08,1.7976603649906304e-06,5.139180857407463e-08,1.9099749321223582e-07,5.618959063729198e-08,2.531267505194573e-07,3.010781999249827e-06,5.606677603955989e-07,6.871557207442264e-07,1.120912620224002e-05,8.473179913515932e-07,1.2433958566891408e-05,8.228417431249299e-06,0.00012819874492963026,4.4852361702630036e-05,5.643004189875994e-09,2.2175038256732548e-10,3.7090134016364674e-11,5.675859619183883e-08,1.8624695777994347e-08,5.5542900977335815e-08,1.5094804746237223e-07,9.207036869604787e-07,1.6292586911229705e-06,2.07518076403009e-05,1.3409051886028926e-06,7.662784668521174e-06,3.8452825461710814e-06,1.5138260522020668e-06,1.8265015238288956e-06,2.4791948501861927e-08,0.00014300436806810447,9.230221771257e-05,8.463578310562996e-10,6.312471594302454e-11,4.3753950190262614e-11,9.597733760018968e-10,3.5802570713800384e-08,5.727592685046344e-09,1.918320227608709e-07,1.1192319273399734e-08,3.6194162605038194e-07,7.494395073196036e-07,1.667509638568832e-06,1.6254498544036624e-06,4.74772319582001e-06,2.676852101395928e-05,9.043481140422032e-06,8.886852887544177e-06,3.806663636101768e-06,5.0212699546595116e-05,1.862502925603434e-09,6.517866665434603e-11,1.881112833888669e-11,5.7523247506964546e-08,4.662196495107278e-09,3.831121114931885e-07,4.240926067439983e-08,7.184878052518174e-08,2.1555356586094683e-09,3.1729625234707534e-06,1.1052895440662913e-08,6.061925811474279e-09,2.2956883158330404e-05,6.239373025451145e-07,2.3047966703735133e-05,1.4265011689761485e-06,2.0389516039935803e-05,7.386145978486686e-07,9.981071633882015e-12,3.798918637337342e-12,2.5700382693783377e-10,5.647886658754652e-10,1.0478514034986302e-09,8.183541660185717e-08,2.1712769657114486e-07,2.0025732619256617e-08,1.1739504269565194e-06,1.4402514023062874e-06,4.896334050349385e-07,4.460767485976513e-07,4.640764097217872e-07,1.6141123672348537e-06,1.5738451158181514e-06,1.1734675900159721e-06,3.081346772532142e-05,3.2396815148742037e-07,1.5550906038763448e-10,1.6974208688826797e-11,9.595161383631289e-10,2.403851456163976e-08,6.176670018330373e-09,5.593324518432172e-07,2.331363556239993e-09,1.1051467204901413e-08,6.471943948218052e-08,3.4924070737433053e-07
F3,Times7,5.979068907802718e-10,1.161381585408635e-08,1.1807215520789505e-09,1.07002894657868e-07,7.788332210673126e-08,9.633310194119187e-08,2.871235264580904e-07,2.7422554357702793e-07,6.810843207746126e-08,2.0924797004296997e-06,1.2974657738740754e-06,2.3638742924182054e-06,3.801021762759163e-06,2.454483712267911e-06,1.2194951946254414e-06,4.977374530147889e-05,3.2577281341304786e-07,0.00038392995029488817,3.709221835015602e-09,1.3981546492122317e-10,3.393759405127399e-10,1.264641636061967e-08,2.720050459739122e-07,5.593653224153144e-08,5.267013718464741e-08,5.5096810327697e-07,2.14960942453222e-09,9.304387493329544e-07,5.573547269262688e-06,2.2227409996692417e-06,5.826801402275895e-06,3.32082801295244e-06,1.6144240422398775e-11,2.827095567366516e-05,3.43833586294869e-05,1.5283448346217095e-05,2.343427626501145e-10,4.0395492463997603e-13,2.4630835648325417e-11,7.768357407145345e-09,4.5881467949369474e-07,2.1803776238931126e-08,3.6434436420882354e-08,1.2639501118789109e-06,8.147053818365977e-08,1.4162727814437116e-07,9.113917509331242e-08,2.953679970036829e-07,3.934129111296621e-06,2.877153385526897e-07,1.3618929665918154e-09,1.6725211216233787e-05,3.039397261936472e-06,1.1990348498647307e-07,3.362683249564952e-11,1.3534240820993588e-11,5.896646603811489e-11,4.055998502180164e-08,1.9901698113406973e-08,7.58366942605921e-09,1.2903766324644759e-07,2.553290418275605e-08,1.3036001128331357e-07,1.720792032554282e-06,5.783600813222238e-07,1.6668610954020909e-06,5.833259560253781e-07,8.746797608315916e-08,9.994235633135849e-08,7.706498311417991e-06,2.3293132244093675e-05,2.2371551720115556e-06,2.0274090932453732e-10,1.702302296685183e-10,1.1661747260966629e-11,2.306010802901865e-09,6.714413415385956e-09,1.7230910174248943e-08,1.5991066657562018e-07,1.5650260208504906e-07,1.346648693248976e-07,1.03762610248059e-06,3.795105273523552e-07,1.1257657031659221e-07,1.5029030914499311e-06,6.060734023683014e-07,2.5367259761578094e-06,1.2612160449356593e-05,8.532522200695472e-06,3.1000666379216576e-06,3.144298517343182e-11,6.669110616593618e-11,6.455130189261464e-10,2.983798720525212e-08,5.103052526569125e-08,4.123359774725431e-08,2.1046493333779345e-07,9.275693916576789e-08,1.1693072215206355e-07,4.7150263066383054e-07
F3,Times8,6.444428975996858e-09,1.0560654771118292e-09,1.1327569935986354e-11,1.0901146889299584e-06,1.7248393798753412e-07,6.432726854254259e-08,1.8614297583394083e-07,4.035707551547437e-08,3.332481624994127e-08,1.3741448422052737e-06,1.3019978648560419e-06,1.7172288808758115e-06,2.8689575004237654e-05,3.6462921855160972e-06,2.909353706679294e-07,1.9787454330872268e-06,1.4134949916864836e-06,3.9655915839986624e-05,1.0123988339891847e-09,6.290302498445618e-10,2.5628559946745407e-11,2.527395558881744e-07,3.6451134530311406e-07,3.8269183454465885e-08,7.766628851893317e-08,1.8037509507289658e-07,6.087725543280597e-07,1.0871008296790353e-06,1.7543740026836056e-06,8.488236385180577e-06,1.3234711825360992e-08,3.3071854370374777e-06,1.4394224326416643e-05,8.148963927687546e-06,5.077555474877824e-05,1.956458000005847e-05,4.9332261723113445e-09,7.275013382167849e-11,1.208984890100463e-12,1.886343382474343e-08,8.986800536838638e-08,3.2512962036418237e-09,2.512677317114367e-07,5.524900180459362e-08,2.5515517230179565e-08,2.1370368475284578e-07,1.4035791871301743e-06,9.156087812391916e-08,2.1913288035974185e-07,3.934615989607412e-07,2.0152810255072793e-07,4.0133724266119636e-05,1.9214099915459667e-05,7.4845138451638266e-06,4.263031616920635e-10,1.7051675170028812e-10,3.022640375419865e-11,7.025772021366572e-08,1.1022284837173043e-07,8.32003329240535e-09,2.1161641813663066e-07,1.6653417267881283e-07,5.393907886227583e-09,1.4858848077654977e-08,7.586885857893779e-07,1.090557182446791e-06,1.0869843712169737e-06,1.9784068724951045e-07,2.426348062576987e-06,6.330601404931243e-06,2.12389141579561e-05,1.8069529600777105e-05,4.619017144012346e-10,1.6570997795084103e-10,4.1405047243725006e-11,4.9233777060805763e-08,3.3064376715537804e-09,3.6722525624112776e-09,3.527429873793798e-07,2.995174623192234e-08,5.8560197461793154e-08,1.0214927888046936e-07,2.4067841545086446e-09,4.88704633098699e-10,3.080821524878477e-07,1.5400948354536274e-07,2.5740026601846423e-06,4.566811172039198e-05,1.2132888034647333e-05,4.3800028381772905e-07,2.811486924034289e-11,2.3329955979265494e-10,5.991402912992763e-11,2.4986667981883604e-08,4.5365987727105976e-08,1.7568263515306403e-08,1.2266971419943038e-07,4.689386891572465e-09,8.745034512592206e-08,1.342921018193594e-07
F3,Times9,1.0385742453838496e-08,1.4483193415480511e-09,1.6669031679482912e-09,2.418216615075035e-07,6.847837236575286e-10,1.3037339510029534e-09,4.0598749321543876e-07,1.0389888430610341e-07,4.0185575388791756e-08,1.4003664745584896e-06,1.5960751870877568e-07,2.7131728267926633e-07,6.994563630747473e-06,4.5987634115954175e-08,4.6870252617551835e-06,1.7061464619299107e-05,5.785373103928867e-05,1.219308685363419e-06,8.076169292667687e-10,2.3223458061797432e-10,6.930502046128405e-10,6.638464169887048e-08,3.1232904147901276e-07,7.993244134318684e-08,1.903905631708555e-06,1.6255595086034502e-06,5.843495070720241e-08,3.2350040123718765e-08,1.4671816751742665e-06,1.4921772949568988e-07,3.033019352763039e-06,6.718374452037785e-07,4.647975861891583e-06,4.5251070959021195e-05,4.5344733077743704e-06,0.00010577754010791647,8.005235386462675e-12,4.080828589870585e-11,1.1186314901348523e-10,3.6336546912381378e-09,1.1673658059441764e-08,4.7015629826149806e-08,5.610335892856599e-08,5.462316496906124e-07,4.546706550200869e-08,6.666205591482299e-07,3.207471298487776e-08,9.338086157446517e-07,2.058338960664985e-06,2.4985400863620915e-05,4.72734587352131e-06,3.128856945315849e-05,2.074275167138258e-05,7.22437198544885e-06,2.418485730967807e-10,1.1431640066511098e-11,1.4964047113974643e-10,9.998080041025272e-08,2.3066559749062975e-08,1.613243570917352e-08,9.565176328385068e-08,1.255749762625453e-07,1.5670771950307387e-07,9.545756814883307e-08,2.279357189756297e-08,3.3624958606122486e-07,7.769894459711242e-07,1.9082138971607008e-07,5.348813957693147e-07,2.286935124147087e-05,5.7036290164798724e-05,4.393690641751725e-06,6.665261308811124e-11,2.1997424968744632e-10,5.498571339461593e-12,3.4463233240492444e-07,1.3897937366768274e-07,1.7178029081241828e-08,1.445949472972993e-07,1.9546773904507028e-08,4.996291183032745e-08,9.091234793789557e-07,1.4451158114391382e-07,6.676715234307853e-08,1.5922463930835464e-05,2.2714808512363945e-06,3.479036552298847e-08,1.8756296474881406e-05,5.4376131176346245e-06,1.2799171724344511e-05,6.7151562011297e-11,5.840244756502351e-10,2.7438385478211706e-09,2.4273554097759682e-08,7.456987286314917e-09,7.019422919700703e-09,7.209606225724425e-08,5.450931689134233e-08,1.503933036453577e-07,3.6569420638372413e-07
F3,Times10,1.7772474022825723e-09,4.6281596108419175e-11,9.148993715505992e-10,3.1346731696811515e-08,2.9494273423397082e-08,4.9453099532704845e-08,6.930472141561938e-07,5.668082951927743e-07,1.8963149116359656e-06,3.0825065252064867e-06,7.187760397951918e-07,1.0477668884033293e-08,1.2706205291337544e-05,5.17524667227999e-06,3.8439034956186545e-06,3.9489547777721926e-05,3.2686688261476056e-05,2.8409761927261262e-05,9.101297643786796e-09,2.8005686921690163e-10,5.191764732547318e-11,3.1888118469199004e-07,2.729837132789918e-08,1.2573676884229302e-07,3.383362304857091e-07,5.488035103154625e-07,2.2247178206687835e-07,1.4909615109616605e-07,7.986825918267986e-08,6.376744919495114e-07,1.4737512647544115e-05,1.706320174923435e-06,3.2273871554669216e-05,2.260019463727247e-05,0.00010928488516530029,6.139854535252126e-06,7.856490513743891e-11,4.4006916081339414e-10,6.82087716197507e-11,7.788501237235291e-09,6.906943848366838e-08,1.5127512486366234e-11,3.5324605190842334e-07,4.090343124724474e-08,4.1489142362837955e-07,4.1093466941230344e-07,9.085017948963683e-08,7.676249959316245e-07,4.581956026247236e-07,9.6032951936539e-06,1.437741087163631e-07,8.638296398781013e-06,3.821898964952084e-06,2.0503253273087842e-05,8.084404853732569e-13,4.578478077437044e-11,4.878404297834121e-11,4.763759048500177e-08,1.6939698887145295e-08,2.3739515089275218e-08,1.2342392732036822e-09,2.4554844287602136e-08,1.1905319362291047e-06,3.003143707094072e-08,3.16326881362755e-07,4.851892646018153e-07,4.4041396844944905e-06,3.89011209513077e-07,3.5849328282419404e-08,2.0450749432145648e-07,3.212075188060125e-07,1.7571260512171393e-05,7.917882178203596e-10,7.497422502926378e-11,4.980365427633947e-11,5.1866865917546134e-08,1.207836007121404e-08,3.9997884053827636e-10,3.8451635375272504e-10,5.040570062455169e-09,1.1839270331777099e-07,1.734825578983452e-07,4.0258115869282744e-07,1.1748404140883496e-06,5.002910663964996e-07,2.528076660430897e-09,3.914666797043129e-06,1.7024441957453953e-05,2.5964238884040926e-05,3.3054931772323095e-05,1.0740560965187407e-12,1.0605885916291174e-10,6.756958295989639e-11,6.602822403759564e-08,9.383675205201414e-10,7.972043783957773e-09,4.3779257810547205e-08,2.1770617518680394e-07,3.2757759031571915e-06,1.5839261377693361e-06
