,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,9.785522622701323e-06,2.5245100870797256e-05,4.887159101286069e-05,7.276339707050718e-05,7.510382213465524e-05,0.00032407052015147146,0.001181773007486908,0.001243971772329842,1.429033832150034e-09,1.0844061865256948e-09,3.3266016944442455e-10,2.668395189858319e-08,3.531762107767092e-07,5.192304133328494e-07,2.2460054330017816e-06,2.507509846133815e-06,1.2289642288421592e-06,6.534869803393245e-06,1.3847609249639799e-05,8.363514686678665e-06,2.3142183521049848e-05,5.05984674864227e-05,1.3322264344073526e-05,0.00010638738924285726,0.00028244885174070106,0.00013222258375431882,4.455406636440127e-10,9.213288570487217e-10,5.943418133107753e-10,1.6962270974612e-07,6.171639148295873e-07,5.690392604915703e-07,1.6269936755974393e-06,1.965003203842241e-06,2.3537574210775952e-06,2.0312852055565353e-05,4.796015911802636e-06,4.260251353054799e-06,3.6281370242303816e-05,1.4846453539579699e-05,3.5142030798748964e-05,0.00023219425762433467,0.00015374164825814334,7.610560446552714e-05,3.8241830034166296e-10,4.559441897482854e-10,7.215277443206201e-10,2.967101585465322e-07,5.310840372151472e-07,2.2865154036281902e-07,7.1772390031002e-07,1.3912212124753102e-06,8.299291764849421e-07,5.824547877773234e-06,2.679755466551829e-06,2.990643297174847e-06,4.215699538079978e-06,3.261506266706819e-05,1.7716053579463882e-05,0.00011549291935598298,0.0003201464914291963,9.173031710180204e-05,1.9732460939421684e-09,3.6793900298975955e-10,8.438534810264066e-10,8.210528243985113e-08,2.5602326393267345e-07,2.495614259908496e-07,2.885382840735489e-06,3.021397653210977e-06,7.693623767614602e-07,3.563046649561656e-06,3.3353924710249254e-06,1.3557933918263227e-05,2.1425400249752865e-05,1.0553978240038777e-05,4.43216141596069e-05,0.0001559429590056484,0.00013360022278702867,9.084224414942225e-05,1.7216377353188562e-10,2.5752305702277855e-09,5.060364127253694e-10,1.3475984573884807e-06,1.0171687670728093e-06,4.2486074567343366e-07,1.1239218278504349e-06,8.59386713621289e-06,1.7050939550890439e-06,2.2356863321835638e-05,6.73202253560605e-06,8.515060942551116e-06,6.868200661840376e-05,2.5293172285237803e-05,2.237095273505037e-05,0.0008752934542220507,0.0003794541343157274,0.00012086763934943214,2.3247732547033045e-09,1.3480421227656039e-09
F3,Times2,1.681297157658183e-05,1.97308549036056e-05,0.00013319843179005652,4.70128698878273e-05,0.0002170964219357997,0.0012609462125527193,0.00048563850504248536,0.0008485402910652584,2.2131711319800516e-09,4.1586379347874465e-10,1.0277503827791088e-09,4.647107856592913e-07,3.928052137970838e-07,3.561611209766635e-07,1.5576188765615166e-06,1.0018804352105025e-06,3.2944998693125e-07,7.002172214053708e-06,2.726063744716785e-06,9.264503031807435e-06,3.245649199084219e-05,4.9615624874170506e-05,1.7122307381992685e-05,0.0002255743371757765,0.0003747299442633326,9.036744203137385e-05,5.222076972569245e-10,9.153046815478984e-10,6.157041150618489e-10,3.0700855938326685e-07,3.811871311531211e-07,8.537549070417656e-07,2.4884067926311957e-06,1.8396012634622097e-06,1.1741044210259655e-06,2.9125398867768102e-06,5.241882212112604e-06,1.947792666501919e-06,2.5559805407043383e-05,1.7359983109255155e-05,2.0729351392344622e-05,0.00016836163888302885,7.592974345009365e-05,8.965642974721179e-05,2.0803438478979047e-10,1.0378677044331801e-09,1.2776289718358656e-09,1.654935973487218e-07,3.130410575288458e-07,2.630065667372719e-07,1.0663180043044208e-06,2.492674793436083e-06,4.421353641812687e-06,4.928698081496447e-06,4.911142807614068e-06,6.856305388764329e-06,1.53547120795206e-05,2.6515266071763864e-05,2.3983069270346804e-05,0.00021237631748380158,4.818149081439552e-05,0.000344868026941456,9.31702584699544e-10,1.7585267989132556e-09,3.601909688052497e-10,2.2664604924279638e-07,4.68926288549896e-08,1.4624155550837466e-07,7.914123196506893e-07,1.117087263162719e-06,5.643894510531786e-07,8.540363881575153e-06,4.3302136372401435e-07,4.189315020122206e-06,5.913492181493207e-06,2.3139879079074806e-05,1.7339839064098828e-05,0.0003251537194695683,0.00011641483417216608,0.0001067234842769029,1.978831406223424e-09,3.741779489667623e-09,1.4526697020695176e-09,5.574901618327989e-07,1.6604310465686043e-06,6.175819532677934e-07,5.85096355104269e-06,2.9879909986000476e-06,1.398700002153554e-05,9.219375893126735e-06,1.509830822843774e-05,6.639249894315906e-06,1.5111301219445947e-05,1.688821489001162e-05,4.7437174540566225e-05,0.0005880060973768013,0.0002623289037724814,0.00018594613561721287,2.619151112613163e-10,7.132220867661548e-10
F3,Times3,1.0335370640831318e-05,1.1598119778325201e-05,6.584373829540585e-05,0.0001671189163393079,0.00018069840630457958,0.0004406235705839859,0.0008567879871045859,0.0003056146786956104,1.323245922992134e-09,6.136884153666897e-10,1.7160609115257984e-09,3.9256324460269325e-07,6.517483949779889e-07,1.144153723849912e-06,4.02262377615086e-06,3.21151558184381e-06,1.004789660833525e-05,1.0431547790908416e-05,2.344700097569177e-06,4.4642677265247875e-06,2.695527753244459e-05,7.526677653718821e-05,0.00010587852202577001,0.00015287929562846653,0.00021873059377447717,0.0004954240517524236,6.79648831024238e-10,1.3483232966662487e-09,3.713499135972977e-10,1.0742531772529085e-06,6.538636587931928e-07,6.658659694355656e-07,8.811298551135653e-07,1.3294484887012737e-06,2.160493153347704e-06,4.282229133759639e-06,2.4687228007406413e-06,2.489728245861252e-06,2.7545984057924626e-05,1.8390646855390593e-05,5.633043143077536e-06,0.00015837770481397055,0.00016977544242753262,0.0005934867400597388,2.2491819674444022e-10,1.7569101136878007e-09,3.34825696235483e-10,2.3914502607046777e-07,6.137100476101393e-07,2.696335959384431e-07,2.022381258728312e-06,1.984322153290979e-06,2.555365917135045e-06,5.0930749318765014e-06,7.380882129926114e-06,5.065450637855179e-06,1.7858205690390177e-05,6.568146528736705e-06,1.554759059687224e-05,0.00010866215013608803,5.9080950812070336e-05,0.00015749720475184627,1.3412567587603472e-09,1.255663269201557e-09,1.46694158643138e-09,6.891348444822176e-07,5.6586131559619944e-08,2.1279870213412825e-07,2.0004063033233947e-06,5.882683858163135e-07,2.0461232040528715e-06,3.6095131933121636e-06,1.5604139406614206e-06,4.063248973513634e-06,5.218189616237582e-05,1.141355839453823e-05,2.8787633501429304e-05,0.00012982017092265133,7.326734795190474e-05,9.952367874603357e-05,2.660138382586717e-09,9.733345142898327e-10,4.005222810312876e-10,8.248210882134039e-07,3.6539016994575776e-07,1.2125639909259058e-06,1.3104085891732737e-05,5.65607575084451e-06,2.8374498105249294e-06,1.0810278238958496e-05,5.881616158329906e-06,1.0043103841761868e-05,4.119665429235152e-05,5.080797095525419e-05,1.5876554350381566e-05,0.0003182160729898154,0.000302795326767785,0.000458398430122938,2.7614107723289985e-10,5.448200909754818e-10
F3,Times4,3.5300299689552045e-06,4.60216324648653e-05,5.50147608502108e-05,0.00019354376646383228,0.000164281696726282,0.00028023212674118444,0.0004969094639568032,0.0002633262625392482,4.769324172895917e-10,3.3106090863494475e-09,5.577027396854514e-10,3.6123104217543226e-07,1.870217022158869e-07,2.3115257191930284e-07,5.880553499445477e-07,2.8408552065833267e-06,3.67909491121702e-06,1.000663518536444e-05,1.5085264203744003e-05,3.771783080896205e-06,3.0967357523007303e-05,3.536699490881019e-05,1.289800881018536e-05,0.0002477339500692641,0.00019156371106984537,0.00010574891571700844,8.503610860951961e-10,3.585887983062447e-09,2.412826307909662e-09,1.5611604655180096e-07,7.388712158255457e-07,7.907701445881159e-07,4.0337516632141485e-06,3.806801426386974e-06,1.4683308937359352e-06,6.313106879030151e-06,7.292571453735987e-06,7.074461871869096e-06,3.3950640738245215e-05,5.278256547691378e-06,1.788902036010826e-05,0.0001964042581686006,0.00010754962132111952,0.00025231406876207677,5.822491806159547e-10,2.269220724216847e-09,2.623584729707531e-10,4.570058825356898e-08,8.299005221379077e-08,3.7058439103057e-07,1.4433648826977484e-06,1.5115340888893425e-06,2.6242844186732955e-06,2.813130797678285e-06,4.650981724578694e-06,4.054111739389586e-06,6.439208720334692e-05,1.325267411335493e-05,1.3649164380670142e-05,0.00031491244798945416,0.0005974573522441763,5.482436165148869e-05,4.0816059379887526e-10,6.09667436143017e-10,1.1523208364861122e-09,1.0729258502365055e-07,5.434563961008052e-07,2.6771931231163735e-07,3.0988270692473926e-07,2.8701939260967967e-06,1.2496486844398488e-06,8.543440884533806e-06,5.188644923510352e-06,5.012708536657563e-06,2.270591947132284e-05,3.2774499545092264e-05,2.9489637952766953e-05,0.0002539278832041534,0.00016095330599256487,9.866870224405206e-05,5.411801476971342e-10,5.682816830989875e-10,3.0951691648900574e-09,6.941297830314895e-07,3.5273130399991633e-07,9.20389487869893e-07,3.364779179502433e-06,1.7087944798854724e-06,1.429984016479222e-06,5.749836045016579e-06,2.1525735802452917e-06,5.7609511868585434e-06,2.0080204272984725e-05,2.0429512543375784e-05,2.848305092963218e-05,0.0002567827556191252,0.00022806182717063702,0.0005450068405810931,6.465559789309521e-10,1.5769023685144072e-09
F3,Times5,4.8683022577908437e-05,5.045844261062742e-05,0.00010642103356704228,0.0001289901861238183,6.659362808324673e-05,0.0008236492494106925,0.00040727190351061616,0.0008960983059358237,1.404059277982356e-09,7.861287133308924e-10,7.872203860660079e-10,3.7596372317882e-07,7.260687141556464e-07,6.297625792706036e-07,2.776598644819391e-06,2.048220137509277e-06,4.346841269662904e-06,5.27268989490383e-06,2.9822328493603478e-06,4.1261458812964125e-06,2.150894525363613e-05,3.190771741990734e-05,7.752252387895928e-06,0.00015348397815559457,9.617525631498201e-05,5.2292630415614385e-05,2.5788237716046117e-09,8.032883724362972e-10,3.3936641189241133e-09,6.343628367403684e-07,7.592691167617412e-07,2.5765675141812925e-07,2.7185572924701035e-06,1.8705095378809796e-06,2.5243965671012537e-06,3.2778348425521216e-06,1.2991076799901713e-05,3.1728728939864376e-06,2.488413251585694e-05,1.307746971517444e-05,1.808033471389287e-05,0.00016630984291306477,0.00011268914999447347,0.00014170375793795623,7.93233241799142e-10,5.219154304965103e-10,2.237441586846933e-10,1.6167650936193042e-07,2.3609485262073297e-07,4.2449284797955894e-07,1.653801858640902e-06,5.380012369217029e-07,3.037113350144675e-07,3.858185689699917e-06,1.3196795766027553e-05,3.305197106978723e-06,1.4949922498930477e-05,1.5435411905671715e-05,1.1651645537252854e-05,8.046955414488008e-05,6.32739799435541e-05,4.172617404289984e-05,3.675604085510195e-10,6.280923926981412e-10,1.033221701266046e-09,1.085005576690193e-06,2.8076502728015504e-07,4.450214983575112e-07,5.664017044346079e-06,7.069581475128109e-07,9.155406809568772e-07,4.382934327625514e-06,3.0621080793204275e-06,1.0280105368945577e-06,1.699344480104367e-05,2.0856730838430682e-05,3.1612368796224125e-05,2.9115479284518277e-05,6.928956529826703e-05,0.00010205426571890667,1.7188324935678317e-09,6.179961506825503e-10,6.198757574407929e-10,1.9685555752801832e-06,7.903965850047738e-07,6.888574947806677e-07,5.714484302168178e-06,1.848376185250978e-06,2.9920336572152407e-06,4.286476599586539e-06,1.160451301453763e-06,5.085363805560178e-06,2.8208342933539064e-05,7.228344452206114e-05,4.73817017977155e-05,0.0001635241859209155,0.0001925890247285497,0.00048777843493399736,1.0495052889147398e-09,4.44067807947406e-09
F3,Times6,2.2590064907777936e-05,7.253348788394878e-06,4.747946040933593e-05,2.876606468894408e-05,0.00012114810633735248,0.0005434317509674417,0.0005599572300192045,0.0006986932695934384,5.199573003870144e-10,1.1088635741921722e-09,7.448450062423919e-10,3.9523992591511733e-07,4.8068967662512e-07,4.987765936843153e-07,8.302835806861399e-06,6.266775014872772e-06,2.114391198756412e-06,9.812356714018612e-06,3.584749916522281e-06,6.684060858292522e-06,3.505229373720574e-05,1.2140129776101622e-05,4.443833548838398e-05,4.823360601695008e-05,0.00012964835307770396,0.00023018543440387026,5.224205281234073e-10,8.686559527730037e-10,2.9895699103018083e-09,7.9218748907916e-07,4.300634308802548e-07,2.578551016324156e-07,2.5640024614557154e-06,1.970701714703644e-06,2.8055327345440124e-06,6.7242395876863555e-06,1.338011127416457e-06,2.419709820345686e-06,1.998666549449712e-05,6.883613981889698e-05,2.3672706290260262e-05,4.2819443384328735e-05,0.0005345376050621267,3.387296713604521e-05,1.742267773763237e-10,9.3149176288246e-10,7.508325098156594e-10,2.4397840215294436e-07,3.1823395566352216e-07,2.5149492590813405e-07,1.173853560541946e-06,5.29824276720608e-07,1.3366502532287452e-06,2.6971047413168315e-06,2.6474106939665463e-06,4.316714251583794e-06,2.8166963777543288e-05,2.380124150115086e-06,3.099042184013582e-05,0.00012341848174117376,0.00013540892548321117,3.550397131443884e-05,6.545911753490113e-10,9.432381340274248e-11,1.2680758731804576e-09,5.652484851762057e-07,1.2201015614790792e-07,2.1220589456285996e-07,2.3760446522126794e-06,1.4222567123719131e-06,1.446000107599116e-06,2.285051925823371e-06,1.1192077334624853e-05,6.2761762464488755e-06,1.576585349282396e-05,8.575876178109934e-06,1.7153926293758564e-05,5.8882130177135994e-05,9.846494554751645e-05,7.098883232745248e-05,1.0874190526186367e-09,2.4102262833048006e-09,3.593035872855716e-09,5.08244123576648e-07,7.707158689237055e-07,3.6078958911335496e-07,2.73828938308487e-06,5.458315881836026e-06,1.7817719407125606e-06,7.091704506825826e-06,1.0920443434350127e-05,7.200149276914478e-06,7.470378026172466e-06,4.6597630328730856e-05,3.617824225116599e-05,0.00022200767400586341,0.00043493237212163355,0.00014539032479636674,3.548586194464958e-10,1.7673323784761078e-10
F3,Times7,3.6199855627895945e-05,1.0603180330307007e-05,0.0002516908424633489,8.01794613315727e-05,4.077397585090265e-05,0.0001884531561707592,0.00044900389260882345,0.00026645198574050963,5.335896731379374e-10,1.0676701296458137e-09,5.82146353779466e-10,5.236387855310758e-07,4.1892775513376145e-07,1.6361037537789478e-07,1.3924837311386372e-06,3.057648277074269e-06,1.6614830767407247e-06,5.891422632110283e-06,6.7951455572661695e-06,5.591972762235867e-06,4.756360438327111e-05,5.173496521950857e-05,2.3525157249390297e-05,0.00011569805028098932,8.478166647135524e-05,4.13152812872888e-05,1.498164047227133e-09,1.014688907282392e-09,9.136674093174852e-10,5.434858893935669e-07,3.001795346596298e-07,1.0400745557049048e-06,1.9705493229799735e-06,1.2724766849955568e-06,6.859283820437826e-07,1.8473642974654382e-05,5.382718966120135e-06,8.114528022149312e-06,6.255405488653114e-06,2.3018762998502316e-05,1.3041453888919065e-05,7.869371508233417e-05,0.0006574351048246188,0.00011293653492670222,1.2659015423689512e-09,3.9008664165282524e-09,9.076889767875094e-10,5.446208013264662e-07,2.7907397463449606e-07,5.246756082876563e-07,6.112152887383258e-06,1.0726536673391665e-06,1.6687943688478282e-06,3.7625642786227213e-06,2.8067286685803425e-06,1.5595263684314654e-05,7.740108572921432e-05,1.291621546644631e-05,1.5819472756688606e-05,5.497024960601641e-05,0.000623646837254605,4.851885515409899e-05,4.4358625051303976e-10,4.863754984620522e-10,2.371268303969165e-10,2.2136455556824259e-07,1.9052119731763877e-07,2.0401048192309387e-07,1.9274977825848106e-06,1.1536172309355941e-06,4.839990244486475e-07,2.884931302384719e-06,5.023204029970981e-06,5.270993913328051e-06,9.574701423851468e-06,8.729312101395327e-06,1.3865155181452402e-05,0.0001040770745098344,3.6653189364118444e-05,0.0004734323196168297,8.665617323358494e-10,1.3576968977480442e-09,1.9955401879778115e-09,4.1357281828844883e-07,1.1559982590797231e-07,3.203995415030404e-07,5.722956190092871e-06,1.1373829927649386e-06,2.8125970692434633e-06,8.95985316003419e-06,6.312121214979213e-06,5.943486927344044e-06,3.076667293058041e-05,3.4815968877424854e-05,6.277728701073214e-05,0.00012428632919266923,0.00032786735255565895,0.00014515855196918785,1.224478479703636e-09,6.976944869704079e-10
F3,Times8,2.2614751739441235e-05,1.500749270482993e-05,3.699954282921359e-05,5.360657216254268e-05,4.625422888858344e-05,0.0005716821099371428,0.0006386194841730069,0.0006348019571059073,1.2364397263911547e-09,1.161894335087299e-09,1.0555785360729837e-09,8.847565981325106e-07,7.404707746894093e-07,3.154150695948099e-07,7.078484234790055e-07,1.7380700655797613e-06,1.9350971349525723e-06,4.15879062557196e-06,7.39811071963517e-06,3.7597764552451036e-06,3.3403828376622436e-05,2.087972993504095e-05,2.1740209459424447e-05,0.0003507515131531908,0.00010173103968046497,8.292806524289831e-05,1.7428285498431585e-09,4.725971712369664e-10,9.465190869156478e-10,4.1791811635678586e-07,4.1555493325048155e-07,1.0119870990140543e-06,3.581911137585623e-06,5.88702973704246e-06,2.211568513746887e-06,1.0378751348931727e-05,6.73034162463652e-06,8.86904203754548e-06,5.3720380483227926e-05,2.4036389514279965e-06,9.326576258977085e-05,0.00010549387675944215,7.061507432143338e-05,7.691092187092711e-05,6.439035180280041e-10,1.1593710408569227e-09,1.1674733702840435e-09,3.1256905015103814e-07,4.481443304877039e-07,3.450392279097471e-07,2.0781030910912474e-06,2.0534324590358373e-06,1.0969946200409585e-06,2.558670692045016e-06,6.159653058781205e-07,3.084614631623233e-06,1.81448602659261e-05,1.3884004697813173e-05,3.949964815361797e-05,0.0001764878502418483,3.9780377271065444e-05,0.00022468486735485518,2.030011269857278e-09,3.3419621551797464e-10,1.1278082426272014e-10,1.4443682619525334e-07,4.6322202923840525e-07,3.266128617652545e-07,1.262437626016179e-06,1.8540894516801271e-06,5.835207119932317e-07,4.722779221139096e-06,5.609967469296799e-06,1.0518458550017782e-06,1.794511438465566e-05,9.824180047696344e-06,3.651637552727167e-05,8.416320707409336e-05,0.0001044687551497865,0.00012590728095981612,7.016030549894565e-10,2.397484001307746e-09,6.455370409341097e-10,1.0162687888421765e-06,5.078045854066256e-07,4.5099642355362454e-07,5.0658683095814316e-06,2.3323672150178488e-06,3.359811715473867e-06,7.362114665103741e-06,1.1662013637905078e-05,3.0350567036248914e-05,1.626863139948572e-05,3.9261462378599156e-05,4.17326964890602e-05,0.0005316879265248775,0.00011551390998709654,0.00015499792243126015,9.929611162068918e-10,4.809627491126657e-09
F3,Times9,1.4544552286852192e-05,1.74237372470921e-05,0.00014974273417067593,0.00015292386766014765,7.795426650763731e-05,0.0004172193122273367,0.0006299349219505217,0.0008765998323094253,1.6670318475941292e-09,4.3122994622050694e-10,1.045948971900842e-09,9.609935902648344e-07,1.6690709103457187e-07,4.755377815305444e-07,1.0223449303413582e-06,7.902903994908316e-07,1.1566085126469424e-06,8.512417692371389e-06,9.071697583767867e-06,5.2394438819546e-06,3.359805763588251e-05,2.9482090086776912e-06,1.79228222275795e-05,0.0006582213539812606,0.00032654781043302776,0.00017994313841894735,1.1259626246288698e-09,1.3789078459524694e-10,7.892628766322416e-10,5.895962028994547e-07,1.5851588047987516e-06,2.7709566185339437e-07,7.579545270889722e-07,4.38188639512265e-06,4.788881357650921e-06,1.4941270954913747e-05,3.4475824118309724e-06,4.592363447977801e-06,2.4821815424119115e-05,3.9550922405141376e-05,7.426780887779615e-05,9.076278191136601e-05,7.161922918625375e-05,0.0007112480036017879,2.2328669109290308e-10,1.9078695435034956e-10,1.7513429896262812e-09,1.8145980208508124e-07,2.669354033489091e-07,4.2265926938425745e-07,1.940277548476216e-06,7.074735098842998e-07,1.3445100888468309e-06,1.3498142229228918e-05,1.5394943235315992e-06,1.2079306868239277e-05,2.3469718936071007e-05,2.3794833720810477e-05,5.138133171245119e-05,2.1284025355955286e-05,5.864110966801264e-05,0.00033459203972295234,2.2670335016790767e-10,7.264473496214901e-11,5.50172507275146e-10,7.936940206646709e-08,6.284514926120428e-07,4.812802199709254e-07,4.108563473316575e-07,6.242945546483422e-07,3.3577287700846504e-07,2.3464126360417708e-06,7.754744544869362e-06,1.7819845985572938e-06,6.048588812531751e-06,1.598756339395184e-05,1.2677864706665946e-05,0.0002488535912562322,0.00012015836738745828,5.413396368555423e-05,6.193571887973586e-10,2.19081482068383e-09,1.8029247304334104e-09,1.5039964772981238e-06,2.2229072756957392e-07,6.723186673183431e-07,6.3156027738690955e-06,2.829934794764374e-06,5.596136620810598e-07,1.4995396051456495e-05,6.391559067271713e-06,1.8977688491451368e-06,7.864479404803582e-05,1.530018756386299e-05,0.00012429125335768033,5.4033908708779145e-05,0.00028056867968463364,0.00027489385819308594,2.5457562451488986e-10,9.634314583446986e-10
F3,Times10,2.6521591151721465e-05,3.7635870900800594e-05,0.00011173145109190496,0.000230331715045571,0.0002826245283837779,0.00041992855291680633,0.0005781769204685188,8.824607047979283e-05,1.1974407122132444e-09,3.824114998768586e-09,2.865593997180876e-10,7.236228963549068e-07,1.7941890608596292e-07,6.08873806590826e-07,2.609493663279543e-06,1.3466888265835016e-06,1.59364099560945e-06,2.5591348308947734e-05,3.973812025512373e-06,1.0355275257411607e-05,1.775715157137338e-05,2.2078135543667725e-05,4.777585040106223e-05,0.00013552971260087784,0.0007109886203947436,0.00019511081765851958,2.1998847787746964e-09,1.1589098504133488e-09,4.79471920495153e-10,5.215850323437405e-07,8.793182473859832e-07,2.2632620492038892e-07,4.8268622092699705e-06,1.7535532452073282e-06,1.1855321907309528e-06,3.68425098906817e-06,3.0955696588556103e-06,1.094342054560367e-05,2.3459230912222564e-05,8.21249176988514e-06,2.2154218012713278e-05,0.00011581360595931552,0.00015914096792977607,0.0002992984330436455,5.034650394543152e-10,4.90890792619519e-10,6.656345018061247e-10,6.720146250842384e-08,1.2432950437799878e-07,1.465304860868391e-07,1.1541624276653404e-06,8.41163492820574e-07,7.193614843173417e-07,2.1831955179141203e-06,2.567477501771924e-06,3.3224699027425466e-06,1.9602924107531924e-05,2.09206291190272e-05,1.299156125700044e-05,0.00022201699237268984,0.00022066806935949523,0.000124999558967636,5.289100707088738e-10,7.650843292691569e-10,8.989801172504858e-10,3.973091492495885e-07,1.0253398361499281e-07,1.832436099707355e-07,1.2508583855284735e-06,7.493700244217455e-07,6.499410081418709e-07,2.673887820227773e-06,1.1989537783841342e-06,1.8320950083902292e-06,6.61962946385765e-06,1.047693603046538e-05,2.9456669623293284e-05,0.0002047829319122088,0.00031598484569036436,0.0001260556181431994,1.7284465255751508e-09,1.9424368699109264e-09,8.861896489985945e-10,6.426409444805417e-07,8.231282740449342e-07,1.9040820263775841e-06,1.2286520767537704e-06,6.053506899265426e-07,7.058472921503802e-07,5.137295351455437e-06,1.8284170241947502e-05,7.1742939770300685e-06,5.7883017149521625e-05,6.113475814599183e-05,2.0322140862507767e-05,0.00015569533926038272,0.0008615400402783788,0.00020393471675778804,5.981763522288316e-10,8.320529675142945e-10
