,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,570.3792410211031,2574.4466795572007,5.580751869355429e-09,6.879621542694551e-07,6.068919897529155e-07,6.030933144305025e-07,7.2918340573986726e-06,3.0206185452368026e-06,5.466253120341089e-06,1.4073541041037703e-05,2.476809055506948e-06,3.0358886491735437e-05,3.973831802789981e-05,3.8211463037386676e-05,1.6803180650076554e-05,0.00016245434974689483,0.0004353683292499268,0.0002963207354686648,23546.007631978202,2198.9402443709896,2.4744378280887396e-08,5.769556030710916e-07,1.583195389410115e-07,4.712842055372675e-07,1.8022326187514061e-06,3.532554702132378e-06,9.06300138244673e-06,1.1205383733392808e-05,1.3455371348766376e-05,2.787848755608061e-06,6.547236337533525e-05,4.2417534776810383e-05,3.4009712587818375e-05,0.00028972756209223304,0.00010550225231952406,0.00029619824266442324,4.58455153362568e-10,1.7370342203305661e-09,7.0867106456151e-09,9.728509761970134e-07,1.6571056896586695e-07,3.857579573029827e-07,3.5172607459732037e-07,8.009104308605902e-07,1.1184271426964506e-06,3.506693138297668e-06,1.2709917248785212e-06,2.7279746702713e-06,1.1609287954705307e-05,2.9410567414087312e-05,2.378432158278377e-05,2.428136995109556e-05,6.25207357126013e-05,2.4056630847948178e-05,1.9094956157942366e-09,4.4480317831000704e-10,6.658207941401932e-10,1.5980636714261494e-07,5.315865833178715e-07,1.0568457822194834e-06,5.684053996464492e-07,1.553824142189305e-06,1.0074447509003761e-06,2.335820958639642e-06,2.3137965730748247e-06,5.293214151026881e-06,2.304052688427029e-05,1.0975237723777006e-05,1.9020979313024704e-05,0.00016733281196086773,4.4189005792789635e-05,3.476618199816092e-05,4.5733821936960235e-09,209.1035257133738,1.0084784214958408e-08,3.4950103712671984e-07,4.324865625692302e-07,3.135056543635451e-07,2.5095315589819645e-07,6.627470640839477e-07,5.046989834442168e-07,1.7049973229017799e-06,1.932686233167358e-06,1.1926699472665521e-06,1.0645711834317658e-05,1.1876401919553555e-05,2.297907106536489e-05,7.359061267994251e-05,8.622944878292731e-05,3.4691631505959515e-05,3.987556113664161e-10,9.135903097210956e-10,1.0049121978243912e-09,1.378977127773266e-07,1.1823748782935183e-07,1.513833340934861e-07,9.847998757615937e-07,9.518162167536339e-07,1.6054227538486372e-06,4.6433392744725165e-06
F3,Times2,63671.83551418574,2.8348290110949712e-08,3261.2475677135685,1.1481831134103143e-06,4.2669388211820966e-07,3.689005993696123e-07,1.7317474061076535e-06,4.695789590407177e-06,1.0663087543180656e-06,8.478965825608156e-06,2.863679358513428e-05,1.1981373666953273e-05,0.00013772201588694555,4.988322846383942e-05,2.9360181749154016e-05,0.00012181983468581408,0.00025401479797350097,0.0005344753561041805,2774.7844625406638,1947.2729546492292,272.18882868992233,8.828962662212218e-07,4.003759096062948e-07,1.3346756698929231e-06,3.2070359732148587e-06,2.366394388175534e-06,1.951574667315552e-06,9.38479883267008e-06,7.18880377416672e-06,2.0507307237210623e-05,1.723218727115457e-05,2.287938019651448e-05,0.00019036891302697944,7.674246322767501e-05,0.00047080075025482886,0.0004372438805548966,1.5726310022655117e-09,2.660714829535083e-09,1.404394803705371e-08,2.4705015083330185e-07,4.3291864775720707e-07,3.7676792693505005e-07,9.159843626381511e-07,7.888880048661385e-07,3.5029160988835085e-07,1.2098724518214318e-06,1.0261042341480157e-06,6.960462429826217e-06,2.8236544994363754e-05,1.8265009858194707e-05,3.767873958777022e-05,0.00013878293380131617,0.0001860984263852156,0.00010871166186200754,1.0470863846775692e-09,1.8077879598065074e-09,1.9723668137322823e-09,3.673030250671523e-07,2.87495225052244e-07,2.4199778878753295e-07,2.052095842754352e-06,1.0270350052184925e-06,4.79394156545607e-07,2.6429858169564914e-06,2.907464769604878e-06,1.6861728803517947e-06,1.4856704897477673e-05,2.845990514605613e-05,3.1965317916223257e-06,0.00033747211156103126,5.6685795336424815e-05,9.229193663797934e-05,1.4880782183113216e-09,10137.789789121043,6.648626458218181e-10,2.32465657690928e-07,5.089347085166749e-07,9.05316048878398e-08,1.7862294752319602e-06,3.6999651151027917e-07,1.1897322250960587e-06,9.96140220891112e-07,1.7862310837055074e-06,3.757335621392374e-06,2.089509087087393e-05,1.1222005097907075e-05,1.879131357623976e-05,9.56057955349702e-05,0.00031493277723114953,9.235077484266126e-05,6.948144439828685e-09,4.6450223549367505e-09,1.7653999067276892e-10,2.8561995933810416e-07,4.4476178754851984e-07,3.6700845435106054e-08,2.5392615864456365e-06,7.19516313587476e-07,5.711315857166026e-07,5.283976295052521e-06
F3,Times3,3859.13113282082,2.5556560270936777e-08,8447.363160352805,4.214072033947504e-07,3.137167441589027e-07,3.7431499119780143e-07,2.934021396581043e-06,3.0722404703724083e-06,4.359988647824642e-06,5.533426556199866e-06,3.4234452702934836e-06,3.049779793630069e-05,4.657427828915303e-05,3.719255409636687e-05,4.003963603528793e-05,0.0003229697791557695,0.00012281587044860105,0.00027546154423291737,1.449543854329589e-07,5.949290953219636e-09,9916.994379936268,2.5759981926748486e-07,3.6613123322766666e-07,3.6547749324567505e-07,2.7365843129770208e-06,1.3982041156803424e-06,3.782709568507966e-06,5.245728918785245e-06,6.275707449086715e-06,6.232932782017791e-06,2.574298401151905e-05,8.286549501311183e-05,2.6840577564774175e-05,0.00021440990540843173,0.00031115325945717346,0.00040523564418766447,1.1728950769166249e-09,2.1922735097491995e-08,7.443215515490957e-10,1.682553238537835e-07,2.1200600455630002e-07,1.0979328100208583e-07,1.0266199035353171e-06,3.403732888142371e-06,1.3493437235816027e-06,5.094493199302753e-06,2.7918309105000215e-06,4.595244573581355e-06,2.6733607356224497e-05,2.8860530860091747e-05,1.0290547784234615e-05,5.676382695730702e-05,6.915643081534209e-05,0.0001097762740990889,1.4000214604122641e-09,1.203812293181912e-09,8.494895434666514e-10,9.231404700718844e-08,2.2359120380196722e-07,3.104248804193456e-07,1.098682477930237e-06,7.565436835343873e-07,1.4774399136912546e-06,9.395020398829658e-06,1.66406226478439e-06,3.176726412265484e-06,3.997235523160834e-06,8.729330367750284e-06,1.1522897516232107e-05,9.538158032219386e-05,0.0003943589366445888,0.00013121313023729066,1.935053079538257e-09,9.71875999892589e-10,1.3077560100673388e-09,2.229300984363712e-07,2.2674971559172913e-07,8.3989833508234e-08,3.8575645357176363e-07,1.5678047686328469e-06,4.609512590263391e-07,3.5405095105777186e-07,1.9988320680285536e-06,3.2771621089793847e-06,2.2375756842263792e-05,2.83233583479367e-05,6.112055250470949e-06,0.00011677080579752211,5.24957304955713e-05,8.111590694426825e-05,6.897294887066869e-09,4.509022227268845e-09,3.1479923341240067e-10,1.4565334802175327e-07,1.1073894364851684e-07,1.0142685040780265e-07,1.051645050654112e-06,1.3919023811937478e-06,8.362506461995825e-07,1.4060348288929727e-06
F3,Times4,2.3070427241001288e-09,82.64061547695967,339.65532960164325,3.954509792326232e-07,9.290676120802793e-07,1.3960901369925878e-06,1.0432301437563163e-06,3.856769146164163e-06,1.373107237282405e-06,8.171120751557342e-06,7.069010250046735e-07,2.139021322531949e-06,4.098077501615955e-05,5.5075998379858275e-05,5.551694171388286e-05,0.0003224415805603693,0.0002257686766794694,0.00023401838312442304,12039.85976704598,7.768230976503655e-09,3.7079257149197553e-09,8.319714232249616e-07,1.123073658197712e-06,1.8276023573922623e-07,2.4822726231290466e-06,2.2679801723005656e-06,4.802830799865882e-06,7.806815881150217e-06,7.252098336919973e-06,5.122474999251233e-06,2.9576588469331626e-05,6.191589115767052e-05,9.976833808586242e-05,0.00014016499570513032,8.431019380591893e-05,6.969842461265935e-05,6.394036603471312e-10,4.936941655011311,1.3287092568963833e-09,4.063787985280686e-07,2.040108044819477e-07,1.5424060648695708e-07,5.856315303971464e-07,5.513245079974914e-07,6.54170920616223e-07,9.101147895011255e-07,4.696923626584912e-06,2.3614877985708856e-06,7.21911093800137e-05,1.7112874042797833e-05,3.462617975505073e-05,0.00026433531843824727,2.9412604345454698e-05,2.984773952155288e-05,1.6066451269577691e-09,6.860325222911474e-10,3.002285834805848e-10,3.855998902064416e-08,3.163073768338679e-07,5.495706174567344e-07,1.8181914340716597e-06,3.0892821411024784e-06,1.8129753607772256e-06,3.3511714251189643e-06,1.2315867278586416e-06,1.486107703957509e-06,7.296403019462611e-06,4.645868597494858e-05,6.3882134369672465e-06,0.00016684465004204678,4.81503304963173e-05,0.00010773771172835957,3.887615295825447e-09,9.401553491980477e-10,6.609542115740833e-10,3.0993947264385634e-07,4.829559692409677e-07,2.0069771855575054e-07,1.0008178515584542e-06,1.3931409491699744e-06,5.303023057168205e-07,3.006678074308452e-06,2.2636126896314868e-06,1.3019513190546202e-06,1.0105489174468589e-05,1.3778579927665186e-05,1.472072938219886e-05,3.7810688949463524e-05,1.8589261375550338e-05,6.670951119578881e-05,261.44901434593964,6.902204008145357e-10,9.062658946279605e-10,1.0069711976518411e-07,4.3562681108159174e-07,1.7415289608605058e-07,1.5793466813189984e-06,1.3353913047481967e-06,5.8569746397254e-07,1.3325768623465333e-06
F3,Times5,2225.6056276444483,2492.698390770693,3.399967179980848e-07,5.010563530628762e-07,7.516824601224885e-07,2.3162827544905516e-06,1.1938243557395109e-06,3.0713819768576685e-06,3.0895874468605724e-06,1.0829815879576245e-05,3.48108817672286e-06,5.233778325712714e-06,8.552208268024106e-06,6.67069688194853e-05,3.517841500451394e-05,0.00033552585510927314,0.0001674814232199183,0.0010530757960763855,310.968403079462,7602.024419518044,5.778642441563515e-06,2.3355433480005546e-07,1.7877722555277125e-07,6.43412379280141e-07,4.791646947702479e-06,6.937387794286945e-07,9.860280678554269e-07,1.3833664801642736e-05,6.618861799516103e-06,5.531309951517052e-06,4.58600740100141e-05,2.2946330908528694e-05,3.817127321515641e-05,0.0004182752985053363,0.00030400403082291445,0.0002427152058231668,6710.107497549005,6.0077338685486e-09,10.710017685217595,1.5807324789493145e-07,3.120718669675715e-07,2.53318996948592e-07,5.007923434074112e-07,1.3148387232269354e-06,1.0436002146643798e-06,3.3257177680834703e-06,1.135819724601738e-06,9.902581188750928e-07,1.275491108452437e-05,1.203687782032202e-05,1.2369763230030737e-05,3.273010341959616e-05,0.00026708980870275583,0.00012095158082125004,3.450167526108299e-10,5.122646642590288e-10,4.236002432485905e-09,3.193542312707493e-07,1.361875627196357e-07,6.312572685230346e-07,2.3098308705999897e-06,1.1174569717616908e-06,5.028486816444404e-07,1.7366655497940632e-06,2.846089347493256e-06,3.676517369345846e-06,2.4058172690423202e-05,5.7336838070039345e-06,5.112485038792282e-05,0.00016915049859911294,7.589637734981263e-05,0.00021965898646642202,4.540003841429687e-10,2574.340707050938,8.419495368680944e-10,1.020068546093052e-07,7.32531493666316e-08,3.151572101781263e-08,6.504898307868965e-07,5.192318348122075e-06,2.1446077278577507e-07,2.2815123560349525e-07,7.671614426704394e-07,4.814020123034117e-06,1.3424484516763255e-06,1.5481334044803042e-05,5.104196908743151e-06,0.0001806467515311379,4.506051031936202e-05,6.78151958918167e-05,8.174838606202854e-10,1.5454745578758669e-09,2.1070801106962218e-09,1.7576075230508052e-07,3.155172367727462e-08,9.971280192369959e-08,7.660515450175752e-07,5.312986127431358e-07,4.609052910955121e-07,1.2177626208812132e-06
F3,Times6,5317.66512342393,4496.939356392515,264.4360127162452,5.279295723375739e-07,5.800781211592853e-07,2.5334970384055496e-07,7.214211854543641e-06,4.20190947588095e-06,1.3723016284617502e-06,1.50115203160293e-05,3.154108977855039e-05,7.848323497291909e-06,2.936699145845199e-05,6.276029380651277e-05,1.9383069200908103e-05,0.0008751636878150013,0.000165267705746405,0.00017562581959513094,221.8702610574915,6.589992007615862e-09,2.5950559310017114e-09,4.7531943580288634e-07,5.404143517767612e-07,4.330636491425653e-07,2.5418681429860993e-06,5.4470380986799485e-06,7.760784038922137e-07,5.826354592555547e-06,1.602574495350128e-05,1.8042505290622035e-05,0.00011309756444926809,4.574820708849149e-05,3.564841927768608e-05,0.0005222557193590861,0.0004635693131588186,0.0001346790570220191,6.433421132869511e-10,6411.013953862185,1.0146249031939715e-09,3.871467654935164e-07,7.115696496298695e-08,2.4999014315270005e-07,1.3081993809918374e-06,1.029167504125735e-06,8.531485608993252e-07,3.0554680876773856e-06,4.955712673746287e-06,2.4969557272036716e-06,2.632920893364333e-06,6.235409975946395e-06,2.003309868715698e-05,0.00010374459558354258,7.571246971906553e-05,0.00017787748566281075,1.9048234268659978e-09,1.7741671756362388e-09,1.045955493546076e-09,1.0651271521236976e-07,1.3210881587710502e-07,6.978300081671208e-08,4.216692289373574e-06,2.901987500547095e-06,5.056782380906477e-07,1.782725250737793e-06,2.6962375913094125e-06,4.564907603031952e-06,1.1029037973778567e-05,9.793951450201668e-06,2.9943652394269183e-05,2.621774734949225e-05,0.00013918535002224977,0.00023133299117397983,4.937590718647632e-10,3.4152480709690488e-09,6.300164079961849e-10,3.9381490538308585e-07,1.632087354556911e-07,1.7729094134031062e-07,7.011050915257666e-07,1.1686742670490225e-06,7.07005139469542e-07,5.187088432938343e-06,2.31821738538313e-06,3.742616803078741e-06,4.329114685372085e-05,1.1345337646822195e-05,1.0541051160608117e-05,8.300067696029369e-05,5.103320372316013e-05,0.0001122790503480009,1.4910448246117633e-09,2.414243731198394e-09,1.6550879131988925,7.407025966873567e-07,3.7444149470156883e-07,6.688156672836217e-08,9.757097498987002e-07,1.674027012049161e-06,2.4253174127141096e-07,1.8266484001657894e-06
F3,Times7,2787.0779651653243,13927.718426244392,1217.2743360416493,5.670591833581186e-07,6.432196995499149e-07,4.082380508285971e-07,2.4317596571241533e-06,5.14688520505535e-06,3.902613601969007e-06,1.0473994588566271e-05,1.1751730291013614e-05,5.255766088967953e-06,9.396936671367641e-05,3.1537099794255196e-05,4.5710075622458485e-05,0.00016032025316147134,0.0003880157573659375,0.0003521836875958121,1.486230298787696e-09,1863.1787001005982,1.694785587493951e-08,2.2820345830415115e-07,3.3997903127760063e-07,1.0726886816683402e-06,5.529740157743158e-06,7.275937090985191e-06,4.195423675640342e-06,3.957279481051533e-06,6.812176952559868e-06,7.991820802700522e-06,3.308327238650796e-05,2.1082801599502422e-05,2.3513636897571862e-05,4.1372632308864566e-05,0.00015641727106658587,0.00011158160472761724,1.183020622626452e-08,6.383498999591545e-06,5.446890258394158e-09,3.045513307431096e-07,1.860602932952084e-07,5.318626251321848e-07,1.7473283314076442e-07,1.3270932021397874e-06,5.574271452951475e-07,6.660387908411496e-06,8.982245484174392e-07,9.399052430194463e-06,9.091841169887318e-06,2.3535892194940022e-05,2.1524747762821046e-05,7.687266565572991e-05,6.112505456408824e-05,4.57968002529071e-05,1.5597306867638884e-09,9.054292665766917e-10,8.236051779736778e-10,3.1345242742900314e-07,2.2862097334778842e-07,4.351387087618235e-07,6.259042796092329e-07,6.204087004290676e-07,1.264453232335701e-06,5.507309897989775e-06,2.2828932540951036e-07,1.5162935417154502e-06,2.408066002611212e-06,3.339350836061893e-05,2.565450247095852e-05,5.220823652997363e-05,0.00018263320632060364,7.46943987741059e-05,3.300312793512609e-09,2.881653966865763e-09,2.7273892915952016e-09,9.051229151230307e-08,1.5607111388352324e-07,1.6045982934109896e-07,1.6849768007884656e-06,1.5140226007170787e-06,3.628748835788007e-07,1.0789306711248077e-06,3.0666127260708126e-06,3.327310531668904e-06,1.0110349280686525e-05,4.050575803570064e-05,5.246847812572117e-06,6.974426277612688e-05,0.0001679575260480175,0.00040790152343779523,2.92677111757309e-10,8.996302129782437e-10,1.4521192554526262e-09,5.08797943231929e-07,6.389945653559151e-08,2.856451411663805e-07,3.3320605345208333e-07,1.5817504583513428e-06,6.386527735363648e-07,1.4664039311414719e-06
F3,Times8,27.523922867977145,69767.70171091956,52627.24165096539,5.787282877018626e-07,6.213992865367086e-07,1.1130636674818017e-06,2.3279600531139368e-06,4.460556081785777e-06,3.188654522159238e-06,8.653822894575228e-06,1.3823157103177667e-05,1.246631417205021e-05,4.661212137353958e-05,3.0220534157910732e-05,5.992074541388062e-05,0.000469726746396452,0.00020487943462233382,0.00023112173757201525,2022.4636659532969,172.81744712194148,1.883907732856044e-07,5.037579299597489e-07,6.445161746492016e-07,3.648955454301723e-07,1.700251271540638e-06,3.1393730997694357e-06,6.168472564693344e-07,9.250004656020276e-06,1.8381428401036487e-05,6.702142454093102e-06,4.095352024602434e-05,4.323730819508995e-05,5.608402520786287e-05,0.0004788504320118636,0.001222441371036058,0.00024832270051660993,2597.1799214480297,1.0069559632351844e-09,1800.730361585449,3.3529472184067984e-07,1.211514791412814e-07,2.763041760771831e-07,1.2475779511634696e-06,1.5928411902504157e-06,2.0865960910515703e-06,3.7992087435635573e-06,1.812904722434929e-06,2.4278694578614644e-06,4.186865970614752e-06,1.5270266505179722e-05,4.227067783892692e-06,3.808261663102596e-05,0.0002977610869683569,2.8126204593224877e-05,3.3610238259598083e-09,9.287416288162043e-10,4.239879163195036e-10,1.2183434073955237e-07,2.609230773766146e-07,2.44124933101664e-07,2.6335188961151677e-07,3.103268917879587e-06,1.1925044931542192e-06,8.744183896205044e-07,1.7696131842844056e-06,1.938564473003507e-06,1.1835327258617218e-05,1.4671075241655712e-05,1.0396386581198027e-05,8.883508576774597e-05,0.00015549832959068548,5.591663867072497e-05,1.0889493270412467e-09,8.169675472637405e-10,9.065954220726691e-09,1.202262373253729e-07,3.7899727655580937e-07,1.8442513788117233e-07,6.816234273442927e-07,5.258407098367246e-07,1.2876470110732505e-06,2.344539761361377e-06,1.0644974307898645e-06,1.175501035793458e-06,5.6332218870940945e-05,1.906108720403684e-05,3.2854345671344705e-05,3.0065238520645158e-05,6.292724153463241e-05,0.00022215480662404378,8.644034028023051e-10,1.9022026985508585e-09,4.338615261705532e-10,4.770060902904873e-07,1.3287370011517753e-07,2.2177557514841082e-07,1.135677752951691e-06,3.5947444385161063e-07,2.4181905331858626e-06,2.27797847565113e-06
F3,Times9,16100.786243584278,10905.71364921229,26667.148473628873,1.84579947514284e-07,7.112548219340863e-07,1.0546004861615657e-06,3.459272205486437e-06,5.190304269167627e-06,3.725388082403078e-06,7.083940956525509e-06,1.0141645205082143e-05,3.697520552857505e-06,4.845852532449665e-05,8.713040703086495e-05,3.885791153122093e-05,0.00018744211906845384,0.0003160467661574485,0.00016556587685825,3413.560329248699,1.2594512996991635e-08,9851.516478677033,1.9740198405262513e-07,3.541771754084343e-07,4.887171473668917e-07,1.6564016792568674e-06,4.899657404130861e-06,1.2544701452400102e-06,9.375256609077382e-06,8.374894043257028e-06,7.381915547807823e-06,8.981717044291713e-05,2.7547330231597217e-05,6.826047939430629e-05,0.00014994981537257257,0.0003389088807645945,0.0007695519951444416,5.693153256698736e-09,3.823881313810693e-09,1.3827670650665872e-09,2.490043052321365e-07,4.01955197331344e-07,3.9936022524110657e-07,9.882708659812066e-07,8.244257728387106e-07,1.1004966913593275e-06,5.327028995767401e-06,2.9232664987820095e-06,4.511692188746636e-06,3.974032741129043e-05,1.7542693284732444e-05,7.826495755716406e-06,2.8081454454165486e-05,0.00013450418725656233,3.939491208660707e-05,4.617205629390055e-09,1.2543726160895235e-09,1.1160355796784676e-09,1.6379149851871567e-07,2.2393061872952786e-07,9.036718522794848e-08,8.599966227600697e-06,1.0576595495406304e-06,2.921398994483272e-07,3.859058093921445e-07,4.113065892291061e-06,1.7452251743974762e-06,8.987595199511533e-06,2.9381829296752477e-05,5.854949950121637e-06,3.1858957297273494e-05,8.463410659956379e-05,5.674670167340653e-05,4.4213070827189103e-10,4.5215554418386196e-10,1.2362057749274888e-09,1.7042735591118758e-07,1.4086590522574123e-07,1.5710351667729212e-07,1.7325596347338071e-06,3.134528023229245e-07,4.289556537908299e-07,1.053211465987778e-06,2.1043025520102345e-06,6.229548061048582e-07,1.642159752838652e-05,7.698912062040686e-06,2.1741484811379682e-05,3.4383237165036734e-05,0.0001080182166103025,2.7195837660320535e-05,1.6513416607342266e-09,3.465457305327618e-10,4.465283078014261e-10,1.1050382864758535e-07,2.1157151235017145e-07,1.4987904800331532e-07,2.487511932920058e-06,6.706221798881739e-07,6.575568427038729e-07,8.472818592484574e-07
F3,Times10,1197.090958532747,32122.326641487507,38376.34904227228,8.812871762430293e-07,1.1747604330383843e-07,3.9154656862759723e-07,2.8789513924640006e-06,1.7550277421748538e-06,3.322648803104072e-06,1.8282553366664627e-05,2.1481727212762362e-05,4.369907143789404e-06,0.00018400748568405843,8.694189896316493e-05,4.122305708940464e-05,2.7934267136470314e-05,0.00012154987591494372,0.0008508121257955839,655.6999627874048,1003.2686279728996,3372.8331877647215,7.804205611011047e-07,3.0468607912122267e-07,6.534406517264469e-07,8.55832753917951e-07,2.430886552553145e-06,1.3302720804813408e-06,4.914229199018845e-06,8.935297186042263e-06,4.69181427580019e-06,2.7907619997383087e-05,4.3228506681093254e-05,3.583312874737317e-05,0.00035763403693461375,0.0005628855478890173,0.0007004180652474421,8.714283786218072e-10,7.3906571023633275e-09,5.946380512071786e-09,1.3859552392163902e-07,2.7056390623020576e-07,4.488881236435436e-07,2.931862182261198e-06,7.725275957329239e-07,5.343116598617001e-07,2.4701814588199435e-06,3.095494947763709e-06,1.8756656056272893e-06,1.9817713539794745e-05,3.2588803523620844e-05,2.0584603870766022e-05,4.252325247357137e-05,5.745549379883755e-05,0.00012977794143400074,3.977835274214315e-10,5.295792710824157e-09,2.742932305679472e-09,3.1665919962203864e-07,2.641962245167075e-07,7.353126005117832e-07,4.5029590872778636e-07,2.8096458064767378e-06,6.638211114534562e-07,1.6702045064587845e-06,2.6147708092288453e-06,2.884924118048525e-06,1.1223629775866113e-05,1.2933648245579909e-05,3.793240104475273e-05,0.00020139824388075932,3.451219972138938e-05,7.587419529385615e-05,1.1565134433557456e-09,3.9849924775944383e-10,3.3489592472155506e-09,6.882464583777459e-08,2.9386184530267085e-07,2.8393970531040346e-07,2.6704118249396607e-06,7.675121183363087e-07,1.084688283057894e-06,1.6344544548934397e-06,2.545220268704424e-06,1.359587345600726e-06,1.6028481089667537e-05,6.888359126529367e-06,1.2255948020824729e-05,4.702454616708152e-05,8.7588785459731e-05,6.903014248129142e-05,1.5109183524007251e-09,6.458008390316758e-09,1.907190159191929e-09,3.5799703025724923e-07,1.2726272042784207e-07,1.064219095703523e-07,1.6436490223476128e-06,3.8714708696001744e-07,2.96614032353164e-06,5.063657957067408e-06
