,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,5.831720096948521e-06,3.173326559186457e-06,1.0281304089694879e-05,1.1181253579063692e-05,3.2543690956056056e-06,7.169728304718994e-05,8.51502042921298e-05,4.422273766764556e-05,2.9259622995011146e-10,2.768817402070913e-10,1.0456441241431056e-10,2.2887137898369406e-08,2.0780365830520363e-07,1.9499070969251385e-08,1.0021000531032774e-06,4.193592777584083e-07,4.1533070381854195e-07,1.0959799514934318e-06,1.1967368245102633e-06,1.559696316712573e-06,2.084324497245072e-06,4.461004455805775e-06,3.617099145585604e-06,1.8107793010142563e-05,1.6787726822300588e-05,7.620759756222022e-06,2.2505617054777394e-10,2.217085451649101e-10,1.2999086242268115e-10,3.502922364334979e-08,1.1590995793246493e-07,8.49387588451348e-08,3.1233403111311813e-07,7.347697211941517e-07,5.506719180184892e-07,3.6530736158456077e-07,7.497053278888074e-07,2.2675133372833493e-06,6.771268661162609e-06,3.3147206735986894e-06,1.7581937511685937e-06,3.1142354525875366e-05,2.610066906118892e-05,3.056234447883152e-05,1.0533209392790541e-10,8.363822317503025e-11,1.1514622452821173e-10,2.536157278675799e-08,6.870573027971709e-08,4.029460061770956e-08,9.886666784668957e-08,1.6297045099302217e-07,6.273850791712461e-08,1.3285846751026026e-07,1.3724914985464274e-06,8.52588235127537e-07,1.5542050694356258e-06,2.8506663332407795e-06,1.9900744221645408e-06,1.240981326670557e-05,3.0095318275981497e-05,2.353458280572028e-05,3.192170471929702e-10,4.447957456347047e-11,2.0130886499265504e-10,9.732022934985827e-09,2.796851923424657e-08,6.946824333359861e-08,3.2888503828464773e-07,1.0485802430844778e-07,1.4833156938511248e-07,2.358276617773176e-07,1.6045153054427638e-06,4.884096493794102e-07,2.0642413858358523e-06,7.75503233203909e-07,1.9100559642860414e-06,5.566509657032428e-06,1.743633832944267e-05,1.0369346601538127e-05,7.040803334130732e-10,2.0013522869357968e-10,6.658263553671094e-10,2.0257878629071806e-07,3.8556364676453464e-08,8.23445463608888e-08,3.782864744804796e-07,3.06129318889476e-07,4.0905129289885765e-07,1.5690446302374841e-06,3.573198618221844e-06,1.2345743050802147e-06,6.615959434684244e-07,1.6010987161392071e-06,7.654068172264358e-06,1.4670805749864057e-05,2.8389944874840095e-05,1.2919170152319075e-05,5.498611507148577e-10,1.1322844523499872e-10
F3,Times2,8.84971203312845e-07,3.1671244140958227e-06,1.8029364883340915e-05,1.0937188960638885e-05,7.2120827318929846e-06,6.406588325075337e-05,9.97794027977084e-05,0.00015003347342381257,5.67857309490768e-10,1.1656513930086511e-10,1.3754204712758532e-10,7.92102628539219e-08,2.608603814828927e-08,1.6568309742980744e-07,4.053197455429654e-07,1.5796859928543502e-07,2.3282009519763567e-07,7.138938948680089e-07,1.3451170267471108e-06,2.5167192415191924e-07,5.162181969201669e-06,4.700097149362721e-06,1.8661294201235906e-06,1.1313563033200095e-05,2.507206063599334e-05,2.787210939122511e-05,5.104359995854347e-10,4.379403689657918e-10,2.529541031736261e-10,3.260984179066918e-08,1.2999895330322764e-07,7.519424776364805e-08,2.264827033993956e-07,6.165534963341023e-08,3.985507066107218e-07,9.557911605312497e-07,8.224004633909956e-07,1.3384614815183127e-06,5.943214039906616e-07,2.372467062127495e-06,4.300490095054894e-06,7.95016466890051e-06,4.584105527269372e-05,1.6736577269463483e-05,1.6180731836452123e-10,7.852554095656869e-11,1.0983563012769978e-10,3.3017166663932294e-08,7.348971138298051e-08,3.52506350259072e-08,2.048279384804313e-07,2.466911561912721e-07,3.357715978196222e-08,9.150883855718475e-07,4.5361566533483753e-07,5.755880767756356e-07,3.915524585877496e-06,1.4517127928527507e-06,2.3325563701967842e-06,1.1423345686195552e-05,2.1373067900933493e-05,2.8066182208537777e-05,1.0927051904307739e-10,6.364269826192618e-11,5.928941259914756e-11,4.9132469632515785e-08,4.521999435636579e-08,3.53466492740157e-08,4.5108068026476454e-08,1.7848060678836326e-07,1.7555707750417537e-07,1.4314418607893928e-06,9.79413678888745e-07,3.271853274933014e-07,4.536156765914621e-06,2.744551517936716e-06,2.532570069683975e-06,5.689505652226347e-06,2.3649392941661817e-05,3.5614374994975976e-06,1.1428880850067846e-10,8.651704269542752e-11,3.3126727104823575e-11,1.807897076573962e-07,5.643619539783107e-08,7.357137498172856e-08,2.389653391316548e-07,3.3050086170989577e-07,2.8828132724065e-07,1.0910751162103763e-06,1.4499269092391474e-06,5.839290711969299e-07,1.92478792080094e-05,6.0709819394363835e-06,1.670856182939101e-06,2.427267018595527e-05,7.883216141631855e-06,3.4205492082176366e-05,6.252317927372235e-11,2.255191108506508e-10
F3,Times3,1.8672382902712577e-06,2.941556011569557e-06,1.295469606646077e-05,5.682129593882273e-06,2.4581517165399004e-05,7.029895596292566e-05,6.049700023053787e-05,0.0001191342286494094,3.206682314793914e-10,3.360538566567096e-10,1.551651041095889e-10,3.6581699108751225e-08,2.5181909618784843e-08,2.1659391882670344e-08,1.0185313062203616e-07,2.9386648924270103e-07,2.1312047973699776e-07,3.6193408642327127e-07,7.20368159166087e-07,2.1310659498156874e-07,5.109480556248276e-07,2.057357439697721e-06,1.962372876416355e-06,1.655114800221979e-05,1.3971182490928475e-05,9.06299629223474e-06,1.3907895823710026e-10,1.12317624196804e-10,3.302972399198253e-10,8.938093843398515e-08,4.0065288884810816e-08,5.4460637896158926e-08,3.283431770353202e-07,1.5088995937579552e-07,2.2764408673360355e-07,1.3411021699974358e-06,5.586327260813303e-07,8.435026287395702e-08,3.6643812961034595e-06,1.2998539713756256e-05,1.4303903168189195e-05,2.4670846646916115e-05,2.503753266315503e-05,0.00010356311288078967,2.1779475935395233e-10,2.121196872291587e-11,3.0912846237654407e-11,3.8680236975448776e-08,9.85490973881627e-08,5.218982922465136e-08,2.0556541117657038e-07,1.2207702048762412e-07,1.4371508021265317e-07,7.929379449761687e-07,5.868741702063543e-07,3.7665688567846367e-07,3.95183372462191e-06,1.1089148342024467e-06,2.777165446117813e-06,6.774702803833468e-06,6.978128419717206e-06,1.0842667863608896e-05,5.077138731437999e-11,1.1867393886774966e-10,2.500435088009396e-10,2.7818901332684357e-08,2.5353437350993588e-08,2.4497463184356022e-08,1.5958353877351433e-07,7.457027773793725e-08,9.70280000068744e-08,4.347254932785288e-07,3.6883143495045854e-07,9.21388333170969e-07,4.720384449100239e-06,4.044787340211604e-06,1.7655595449316995e-06,2.1882437250053207e-05,9.2159157305704e-06,3.9652792784255716e-05,3.5148148394591734e-10,2.651684757207873e-10,1.7733358566980766e-10,5.689470687027504e-08,8.074999209558477e-08,9.032247581448354e-08,2.1433695177608735e-07,6.001686358512288e-07,5.605627400526092e-07,7.330884315410947e-07,8.334919951101608e-07,7.249073630962081e-07,3.0187148496881117e-06,1.1976428948134048e-06,6.4267230675899395e-06,2.3790609931459547e-05,3.9888305142360925e-05,3.694507430803981e-05,7.734636113852354e-10,1.5951184247693537e-10
F3,Times4,1.9288115974880495e-06,1.2257301052436126e-06,2.0904809634052826e-05,4.5350144190509695e-05,9.823637722140389e-06,5.1524249639674055e-05,0.00012629673705563245,8.754379933795912e-05,2.6555303637987266e-10,1.744904718960007e-10,3.133807708579429e-10,3.785740411231807e-08,3.931393952783651e-08,5.645361980123239e-08,4.923473805395133e-07,2.901727855425918e-07,1.2667237079274597e-07,3.0848341553672123e-07,1.3381895698564328e-06,4.412190774372983e-07,3.323317369433288e-06,8.772209467349053e-06,3.3411817484924965e-06,2.7268408849086707e-05,1.578463720311661e-05,2.16117460037962e-05,2.4433150591468444e-10,2.996027952768702e-10,1.4397654607141483e-10,5.3567140453820153e-08,2.8812399615595725e-08,7.384889126919733e-08,4.016561015661253e-07,5.468314914771558e-07,1.4410219821160443e-07,9.165878711616966e-07,2.8162202065186335e-07,3.522970163346853e-07,1.5487007400477545e-06,3.5933892391842273e-06,3.1843759449952162e-06,2.7260390735415055e-05,1.602198903570158e-06,3.6056990755829484e-05,1.6778641383776608e-10,2.815142167449991e-10,5.064245450708502e-11,3.363644668614342e-08,2.4905453174398356e-08,3.9973720674599474e-08,1.8701784547871243e-07,3.7344803970930293e-07,2.2222827108015494e-07,5.775386291632513e-07,2.755316231569756e-07,3.5456952316060226e-07,4.949548226128038e-06,5.256115923320293e-06,1.018318464713096e-06,2.691252378952357e-05,1.0156049050587692e-05,3.910005605443602e-06,5.382897944592152e-11,1.894381534682159e-10,1.2154113813303587e-10,4.571787526412914e-08,9.373548026521734e-08,9.156986953588996e-08,2.1883450922074987e-07,1.1551164400099411e-07,6.823915655838678e-08,3.014280538554429e-07,6.217143085556909e-07,1.803079169099909e-07,1.1133821066676374e-06,2.506019817486528e-06,7.197071938523913e-07,2.0306702484741037e-05,2.931396638118795e-05,3.4775047366174404e-06,3.5154143322574664e-10,1.181767367469492e-10,1.273694635244984e-10,7.794562954888824e-08,2.2192747861034607e-07,1.3506024714782074e-07,4.071893081911749e-07,7.465157284405998e-08,2.9328675920886477e-07,2.28347815296448e-06,2.476490938301172e-06,8.816917110132796e-07,3.655882065223125e-06,6.895987362128173e-06,4.959224399419856e-06,2.3483746500513292e-05,2.423067315914307e-05,3.044614147821625e-05,1.4669220269091753e-10,1.3770572471385834e-10
F3,Times5,3.05867639276345e-07,2.623052528206838e-06,1.1183368692505348e-05,1.0354813729903788e-05,4.240636360760663e-06,0.00011607332670781721,4.903730336899485e-05,0.00016602114240747871,7.356656274024417e-11,4.3569898333482275e-11,6.681930870279016e-10,1.3695526144421505e-08,4.9249607830872834e-08,1.8123977142438668e-07,1.8397725264359262e-07,3.107031898964521e-07,1.526084310308445e-07,2.81222958240942e-07,2.7786927143250184e-07,5.285955649512605e-07,3.030523536745423e-06,2.0656219551986316e-06,1.976809604342094e-06,8.707187261718117e-06,3.6641992122025176e-05,1.1949914029743147e-05,3.727669097536549e-11,2.707722445758252e-10,1.1154359955036058e-10,8.368745609072283e-08,3.387533750347036e-08,1.1397285032004146e-07,6.02105503587808e-08,1.9928799315993671e-07,3.259387488972147e-07,1.7445277074975133e-06,5.51663281306932e-07,3.227064929279137e-07,3.4221449494058187e-06,1.2435849922556195e-06,1.1468701041997824e-06,3.549723188824292e-05,2.01643808450309e-05,1.7160864210600287e-05,3.747440305960563e-10,3.7523125388476913e-11,7.974593474502005e-11,4.448721346719501e-08,4.272233881843027e-08,3.634923344260302e-08,2.372487020809507e-07,1.7750045745313733e-07,9.063012224137683e-07,7.503691698560653e-07,2.0977146483789105e-06,9.020176008313345e-07,3.1061769594633977e-06,2.8774458588615633e-06,1.389226064367715e-06,1.9982531407460014e-05,5.03916529160359e-06,2.1661212485577268e-05,1.788296737316083e-11,2.483145427633554e-11,1.110527439902654e-10,5.1135043272665535e-08,4.189259055418314e-08,2.5796243584256658e-08,4.2992435674911255e-07,9.136725311366865e-08,1.6064510082135534e-07,1.1318657227526007e-07,1.0472852788778646e-06,1.070277036295306e-07,2.2460950544995504e-06,1.1552395546897835e-06,4.4882564966980835e-06,2.0433084123816114e-05,2.432903638860807e-05,4.063329781962125e-05,2.789275837984548e-10,4.947995646245517e-10,5.679042988272549e-11,1.1683092271992694e-07,3.606450494077308e-08,5.101269730804384e-08,1.9563660661479567e-07,1.2072034096328652e-06,4.3383945227116627e-07,6.008666897948429e-07,2.2767585670339491e-07,2.4684978833599827e-07,3.4306056178693008e-06,8.863653085235517e-06,5.789102827309845e-06,1.924275200329894e-05,1.5948392839425608e-05,3.821738287015668e-05,2.9799252816185953e-10,5.171370694458265e-10
F3,Times6,1.0218564157216194e-06,2.4813507647227984e-06,1.8445900470830744e-05,4.678563733895863e-06,8.852285206636656e-06,5.589265558007334e-05,7.299066179542626e-05,6.571408673825723e-05,3.479011198379904e-10,1.9953861768460832e-10,3.4690771640796413e-10,3.592627100982555e-08,8.362998564225715e-08,4.170312117535928e-08,3.3217799399351403e-07,4.884501263046547e-08,3.787268526561223e-07,8.823894880397594e-07,3.4203679212039993e-07,1.977645363288075e-06,1.1055150679852691e-05,9.7867941742349e-07,2.8924642346624923e-06,7.431566071344036e-06,1.1796373996623857e-05,8.08615612830535e-06,6.35799231229509e-11,5.96233214048906e-11,1.9030185292033463e-10,6.569616668519472e-08,9.639013723859917e-08,1.6589708991535767e-07,5.562429865760508e-07,5.152709342604347e-07,1.0611165664037216e-06,5.720236339357527e-07,5.699933111810424e-07,5.891408832272779e-07,5.638944396424756e-06,4.044183314492593e-06,5.257699634421976e-06,1.0131872155814337e-05,5.654086885689164e-05,6.175439746192001e-06,1.3597039584567862e-10,6.390254170114541e-11,9.620517156586365e-11,5.53454327650179e-08,2.0405952625247996e-08,1.3178559493840645e-08,2.0708668152646943e-07,9.578816963337704e-08,4.637302741487172e-07,1.9895799387736364e-07,2.225272479166787e-07,3.634949062627649e-07,2.7920913753868968e-06,2.538642981452491e-06,2.0117175121360815e-06,2.386566451773559e-06,5.2562913771962215e-06,1.10937916762657e-05,7.444946645004665e-11,2.3299603399755144e-10,2.4621124289080466e-10,1.7080902586246125e-08,9.089543242040817e-08,6.773530403110929e-08,2.571319497302303e-07,1.5520746962573024e-07,1.5995832129498273e-07,2.219088246999115e-06,4.095262902621423e-07,7.804060232051063e-07,2.225976240575887e-06,1.2674954818174956e-06,3.8435672955797044e-07,9.47555622316422e-06,5.6080978521200694e-06,1.311787649507411e-05,8.667571295804213e-11,1.5892876060452856e-10,2.7889701788128796e-10,1.3767551234587584e-07,1.5709177689121426e-07,3.13305870584995e-08,3.3104997945996686e-07,1.1043945098398023e-07,3.1692834876038805e-07,1.4957616039544015e-06,1.6719980693883713e-06,6.155199929475619e-07,8.320521183883347e-06,2.3169808043551366e-06,6.467653171247381e-06,5.0141502951744766e-05,4.4295289684208264e-05,2.7086010999682035e-05,2.495364465336753e-10,2.5252710214942444e-10
F3,Times7,3.2229225303693054e-06,3.6277269703365107e-06,2.416238970326252e-05,4.141075265950181e-06,1.63756473246312e-05,0.00020717331914481277,3.3442837056321015e-05,7.916625178542104e-05,6.189490086566154e-10,2.3473478698282905e-10,1.0547564534796916e-10,7.598907017742277e-08,9.639830254682688e-09,2.3715334771534484e-07,3.156878810396505e-07,2.036601301667218e-07,9.555474960549328e-07,2.782726117013311e-07,4.878834238937502e-07,6.413000148758091e-07,4.328785789171136e-06,1.9622313719752297e-06,4.5402505080764125e-06,2.1585881585639953e-05,4.610489886971237e-05,2.9513152458447095e-05,2.793116234361884e-10,8.007560913063768e-11,9.608837902942786e-11,3.155726422839102e-08,5.389545247772885e-08,2.4733577197594657e-08,1.1920726715832542e-07,1.5410883186179733e-07,5.115976472559428e-07,2.3770843094583317e-07,4.839812688187541e-07,7.624656849109876e-07,8.333791113312581e-07,1.1627629291298614e-06,1.1377596750331522e-05,1.103277570917508e-05,3.486057122715662e-05,4.406508025709089e-05,5.672902048282109e-10,2.0289103537588136e-10,4.206239439083944e-11,3.906436878452261e-08,5.996097075750853e-08,3.939353440002251e-08,1.8902322866999903e-07,6.707208750239278e-07,3.9053005273713023e-07,6.194213867684788e-07,5.843304289030352e-07,6.078032948444458e-07,3.1419961790101707e-06,8.621915495420916e-07,2.97248683720358e-06,7.3132129560047905e-06,6.9642081531897426e-06,2.0187680498643243e-05,1.7259492490984715e-10,1.1225573214760175e-10,1.0893044308921078e-10,6.603689706657268e-08,5.448970604813526e-08,3.6248809895532947e-08,1.0446918758858126e-07,1.5689147822213784e-07,1.3612756188728515e-07,2.207108584570008e-07,2.1774719399258027e-07,9.609342569115226e-07,2.0062801524626813e-06,1.509998989529086e-06,9.42283452228138e-07,6.395789847570347e-06,1.3582239280282283e-05,6.45515121280747e-06,3.0213212596792004e-10,2.7366553356784416e-10,1.820705380787702e-10,5.7807630474345106e-08,7.955174093347836e-08,7.449914489923165e-08,7.386055963457329e-07,2.2522800197265345e-07,5.245264362342151e-07,3.969278680414735e-07,1.2664466466226436e-06,4.505048844636796e-07,9.151365776782567e-06,5.287545032797893e-06,4.741615162904579e-06,5.382072722740442e-05,6.376835769504481e-05,2.7571764415614626e-05,1.210176046832744e-10,5.898253242942253e-10
F3,Times8,2.289019156279753e-06,8.622024395059003e-06,3.517263197451602e-05,1.6639338429430697e-05,3.814871643077928e-05,4.513894199524692e-05,0.00016471778860711387,0.00016832065721866796,6.105540257988081e-10,2.7088386023134704e-10,1.430104216787739e-10,1.090895121286415e-07,4.00234870174155e-08,1.1577361393757646e-07,3.2344962701496016e-07,1.779632748644457e-07,2.2715903929324896e-07,1.4384975404961104e-06,4.2820722060572165e-07,2.102107710231803e-06,3.117512640705778e-06,2.2681646591915565e-06,1.9992164360562017e-06,1.3284241428615435e-05,5.291904666307121e-05,1.1193015151729593e-05,1.0848130930757798e-10,5.0410435436471495e-11,2.4299033922803527e-10,1.7420116437618694e-07,8.22654527464272e-08,1.1269940548143858e-07,4.1105369712698557e-07,2.2164082018523486e-07,1.0278212012347518e-07,3.430052531437804e-07,3.550864364764149e-07,1.066943866212403e-06,3.064437970705408e-06,3.45725809587487e-06,2.5493458871279723e-06,1.2917008979106597e-05,3.2472111552260535e-05,6.927828889712254e-06,5.655745464861017e-11,2.412467213045036e-10,4.942937178016727e-11,4.348343261727355e-08,1.4566596126066052e-08,1.1837576371004766e-08,2.3205369558606413e-07,3.214546496288367e-07,1.6425475431272908e-07,3.112081620510689e-07,3.504078885238318e-07,4.5742130843351745e-07,1.9993249888458747e-06,1.185048740983444e-06,7.986969836065521e-07,1.331215307246508e-05,2.8078133049616395e-06,2.082535501925546e-05,7.654943753110664e-11,5.612414677423472e-11,2.805857971524753e-11,2.0398118091633076e-08,3.090758659729957e-08,2.571173604055333e-08,1.0216464093379889e-07,3.404908914186916e-07,5.0327882905210116e-08,3.0252376836461104e-07,3.0044737875307305e-07,9.039588813642632e-07,6.1847291084843194e-06,1.6412611342993727e-06,2.108242080296255e-06,1.49259466305974e-05,1.863443257895002e-05,2.104538653509626e-05,1.0199980898496105e-09,6.016156207421594e-11,1.6236838661134654e-10,1.4990203401875276e-07,7.903249395909586e-08,2.1835780405860522e-08,6.984057623351513e-07,7.747659662653835e-07,1.7032350130714492e-07,1.3183359304401143e-06,1.171494986198128e-06,4.879078800032833e-07,7.77638220449133e-06,4.632684348079706e-06,1.0129366108175339e-05,6.221380227020336e-05,3.5776383915544305e-05,5.325773901044988e-05,1.1178983395815906e-10,1.8679312528883079e-10
F3,Times9,2.395659658972243e-06,2.2704444869963137e-06,1.212442860090231e-05,9.232909153171931e-06,3.832211118084825e-06,8.544178394904683e-05,0.00015578573525891094,0.0001871108383581058,1.612339572664152e-10,2.3168776730849423e-10,2.940322339369675e-10,7.293062299846037e-08,6.174620557287135e-08,5.248135947342502e-08,1.4981502489081428e-07,1.44251611023352e-07,5.25724592080651e-07,1.2138468088904916e-06,6.608027225910123e-07,6.359376581930451e-07,3.556727940294894e-06,5.906385341242927e-06,3.4243952216679788e-06,2.6128471933226162e-05,2.802338346775829e-05,1.1069381371757452e-05,2.388026843129255e-10,1.6394065167370867e-11,1.752669195748895e-10,4.8134176478510606e-08,1.0649651862165287e-08,6.528396054294823e-08,1.493373519645905e-07,8.129088879338249e-08,3.672603788489319e-07,9.438631834375758e-07,5.092993386625413e-07,8.118993727688509e-07,5.477031876690143e-06,3.298950651862265e-06,1.8558157406633308e-06,1.4302873177486106e-05,7.897454568893392e-06,3.022878264219945e-05,4.8844094110443185e-11,2.331973644790259e-10,3.753066920548164e-11,2.0848587085030492e-08,2.843561514171875e-08,1.928497546906537e-08,3.6973686423409977e-07,1.3257189622212584e-07,9.354789881196292e-08,3.06905722026533e-07,2.928780907367561e-07,4.103204566279205e-07,3.185347929564176e-06,7.493960343769612e-07,2.1545771916140214e-06,1.0578470410637134e-05,2.245935446036935e-05,2.5667216224344832e-05,1.7434892368780084e-10,1.7072441826662715e-10,4.4322657701840976e-11,1.7849002136178824e-08,2.059241615446993e-08,6.715958726065259e-08,1.4497069325055426e-07,9.636759162181384e-08,5.695192215965844e-07,2.4570274360370196e-07,1.0837202201203018e-07,2.514417299364641e-07,1.104767641828807e-06,2.196946202174985e-06,2.036456823283011e-06,1.2070252136508354e-05,5.685705261228457e-06,1.644204254692018e-05,5.936074420441549e-11,2.636000376085373e-10,1.9151271424175645e-10,9.730566087272184e-08,3.315757723633232e-08,4.036162668536624e-08,2.1300239617589698e-07,2.1924815225378116e-07,1.9728236114212638e-07,3.126730409692406e-07,6.786177343851486e-07,5.178275657933318e-07,2.5034703217102728e-06,2.590885702931853e-06,2.8300618099711843e-06,1.1393064814011088e-05,2.3017128402563603e-05,2.4572672238353814e-05,3.2694430480307457e-10,2.853777310432621e-10
F3,Times10,3.084892856258603e-06,2.271093473552438e-06,7.468809956207831e-06,1.5527917303041152e-05,1.4295454323765672e-05,9.912381388643383e-05,6.70169947260584e-05,7.149095429292186e-05,2.6075778875365954e-10,4.6401004481839894e-11,2.1282213627999622e-11,4.173060834351714e-08,9.09113614422224e-09,2.298004453412707e-08,1.4066769799279865e-07,8.376190916579442e-07,7.66486990231978e-07,2.206149052664238e-06,9.057673336969905e-07,1.1056656294840111e-06,2.29594558152793e-06,7.409724451745536e-07,2.3829650106933077e-06,1.1242363401346873e-05,1.6146110877948124e-05,3.2728778298283342e-06,2.045685004753146e-10,5.1740316778286776e-11,1.8315097794389654e-10,6.479824019393967e-08,3.271933205288349e-08,1.779864013143991e-07,3.7554540043326507e-07,3.87886464165198e-07,2.6405687367503225e-07,9.19913195991084e-07,1.1520112115626224e-06,2.7363228046601386e-06,3.7983726608656476e-06,6.356250790452892e-06,4.421085679614353e-06,1.819023810297036e-05,1.638671393276431e-05,1.8851610339307367e-05,2.643641371477029e-11,2.069091203516764e-10,3.979099485680062e-10,8.346015038644693e-08,3.061787836127329e-08,4.051267282539119e-08,4.3040484705411317e-07,3.9409587798260986e-08,4.247851443365194e-07,2.0787465435548873e-07,6.58630743777393e-07,3.2434970660546784e-07,2.1621122578602237e-06,2.654264459634559e-06,3.2455894038253435e-06,1.3417553681955928e-05,1.2194944298788256e-05,8.857519375884384e-06,5.6421208163914314e-11,1.4668300721158335e-10,1.7027496116570866e-10,3.5426583217977324e-08,4.718345595205717e-08,5.29257664756452e-08,3.220781799330921e-07,3.9891891330011357e-07,1.44344606413904e-07,4.1544450115719893e-07,7.144887840977458e-07,2.1277426297575357e-07,1.618416927849575e-06,2.137653125865903e-06,4.037659614591408e-07,4.2593259370555065e-06,2.6895502268366634e-05,1.7188556863569253e-05,3.394437125328173e-10,2.894409664645125e-10,2.613581806415885e-10,1.6772561111123814e-08,7.051749859973314e-08,2.6435780013832665e-07,3.330800652464631e-07,2.475988241582422e-07,2.8715204976379454e-07,2.1496337164054654e-06,9.207524495999397e-07,5.64060132895516e-07,1.5095242295855387e-05,1.5133616173414882e-05,4.405645322174693e-06,9.41964981533539e-06,5.9838091916290855e-05,4.930300323705853e-05,1.7759772000523232e-10,5.375520583111362e-10
