,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,3.3517364900466424e-08,8.866382638887854e-10,3.008250505589027e-07,4.746267098135211e-07,6.194648502197219e-07,3.214026896106851e-06,1.1971105879744848e-06,1.1323186163491566e-06,1.8737176456216733e-12,1.4300445796826669e-12,1.4408880959961498e-12,7.992162922472029e-10,2.037286101629414e-09,8.14292220592539e-09,1.151155004654526e-09,3.22233039440809e-08,4.35604920513282e-10,1.2489293070302424e-08,2.2318104383466834e-09,3.5750877512450126e-08,3.26756681992761e-08,7.457004678389573e-08,9.976263358218517e-09,5.7019774067052456e-08,1.2077803833587765e-06,9.194076563340271e-08,1.926500356029457e-12,7.91956706677022e-12,7.892933731536555e-12,4.8301070913462104e-09,2.876010999407725e-11,1.1359081569129402e-09,3.900941016729357e-09,2.801021694418526e-09,1.3400122873112966e-09,7.782735968144698e-09,1.9596262559919432e-07,1.2033136730239409e-08,4.782075361011659e-08,1.436978874689542e-08,1.9849303689549758e-07,2.4784577145231654e-07,1.7629037706052559e-06,2.8626598379173215e-07,3.1611445690545123e-12,8.642717415921339e-14,1.0279291639762366e-12,3.7512631523974455e-10,5.752057336666565e-10,1.0952088961637648e-08,1.1894813529851564e-08,7.719019684193265e-10,1.7935722245597382e-08,1.0461788744544619e-08,6.87510644028644e-09,1.914154375860945e-08,2.876573548262769e-07,2.081518807701807e-07,1.2560617703672822e-08,1.202042992853335e-07,3.4021461796287886e-07,1.2559637729044707e-07,3.662564428379558e-13,1.0739381931038156e-11,1.6137583390791227e-11,3.1674046027433204e-09,2.004144631865567e-09,4.776307953135867e-10,9.360428230714194e-10,1.1665967154902156e-09,8.37511201632686e-09,5.867651388985647e-09,6.010812157521506e-09,5.3682224762907073e-08,2.1090666074668528e-07,6.279875030394324e-08,5.793205913867432e-08,6.788080465282211e-08,3.087103816963205e-07,6.247420962663796e-07,5.5797813942450945e-14,5.912275786632284e-12,1.0915973719479587e-11,6.79290103641045e-09,3.2588810077826096e-09,2.0048865958599871e-10,9.021128303971773e-12,1.607304371422001e-08,7.872854680411768e-09,1.096020028006206e-07,9.19598117694628e-08,1.3890029175225185e-08,2.3036800048448867e-07,4.5223403604058125e-08,1.3593054904117767e-07,6.04685857414034e-07,9.108317832523723e-08,4.947114515263943e-06,8.475976821556652e-12,7.661015816996829e-13
F1,Times2,1.0177670767707688e-07,2.982864185588579e-08,5.798973336048123e-07,3.0070669983223305e-07,2.0014756988018047e-06,1.4233251218202728e-06,1.311652608680254e-06,7.284751456691662e-07,4.562619034094121e-12,2.344681550344918e-12,6.015208352313919e-15,5.60847183895751e-10,7.630487947009696e-10,2.135027924282398e-09,3.0380704582420683e-09,9.682121887114343e-10,1.7473497470179648e-08,4.947262248382805e-09,1.8682613315757003e-08,1.28458001213959e-08,6.186993690136624e-08,5.8638673097145955e-09,3.0916022395708536e-07,2.631327739558908e-07,1.039986898562208e-07,5.149082267758617e-07,2.9497900830579243e-12,5.483294216562044e-13,2.6101143148203465e-13,2.8847345482131116e-09,5.234251654919728e-09,3.8443249927181725e-09,6.390512312172819e-09,2.118770005090719e-08,9.183951107235293e-11,5.470209707670807e-08,4.174411956898418e-08,1.7133805683295338e-08,2.7481727977545547e-08,1.1982664125799827e-07,6.116498053154704e-08,5.974815007534793e-06,4.4835015396807484e-07,2.933277174161412e-06,1.7389215966717423e-11,1.6001705259660077e-13,2.4699637463143003e-12,4.1464606532165555e-09,1.026818486630426e-09,3.9490923209131285e-09,1.3971557736884861e-08,1.4049101236800958e-08,1.1320661633682246e-08,5.369575265161449e-09,5.258065576305622e-10,3.3329874684188555e-08,5.877418123979668e-09,8.314108267138641e-08,1.645041586703236e-07,3.770411566513427e-07,1.5220553954819133e-07,8.191012242393492e-08,2.2292690249555e-13,3.2458124388852085e-12,2.2595437966720822e-13,4.562189987354387e-10,1.5936555931680903e-10,8.55940184449535e-12,3.0985933230229444e-09,8.70938799330751e-10,1.177769917136776e-09,8.652173952720702e-09,2.0911426425210504e-08,4.2677686499066324e-09,1.6187160315843992e-06,4.15165088927404e-08,1.4866902904458855e-07,5.801525817069778e-07,1.3618286339729265e-07,8.672173468459239e-08,2.7022603734480214e-11,5.4851134986301205e-12,9.674516799671248e-12,1.2531229727922043e-09,9.49631511332464e-10,1.440407206011488e-09,1.1915060355289835e-08,6.441556621008483e-09,1.8952777142291648e-08,1.1217547636951863e-07,5.1367922265279146e-09,1.381315427424949e-07,1.5357369378142537e-07,3.5208237938868226e-08,9.198988906759393e-08,1.2898191193883126e-07,2.9687948192283213e-06,2.971793923642448e-07,1.594619689195328e-11,2.325695592463138e-12
F1,Times3,3.2340166675195614e-10,1.2627753600206554e-07,1.1489034285651288e-06,3.180422741847116e-07,2.2933581581030263e-07,3.6847761234951096e-06,1.4434454009895468e-06,4.017313440313506e-06,4.1345390654717277e-13,4.331887423382593e-12,1.8599564638019183e-13,1.3488409924231616e-09,1.2361626545141531e-09,5.493595423906051e-10,1.8877428026564942e-10,2.2911039983340535e-08,7.405188544946521e-09,7.927382766424095e-09,5.79799281592683e-10,6.795834726684645e-09,1.3197821018875263e-08,3.0596618584107414e-09,3.384323951492221e-08,6.87163696470608e-09,2.794762473948097e-07,5.352952120898593e-06,6.426291403116504e-12,7.41846583011701e-12,3.608474322215213e-13,3.3938494156348505e-10,3.2952139945569285e-09,9.680211077400905e-09,8.547695405726446e-09,9.067817046442445e-10,5.92505980091569e-09,3.919079188889285e-09,1.3968870739542005e-08,3.278316048153973e-08,5.3826405128914664e-08,1.2944074853553644e-06,2.6438669861912967e-07,5.639636705656669e-07,8.818308123041698e-07,2.7312403825868872e-08,4.953084738495012e-13,1.5423866498264774e-12,7.369920993782422e-12,1.9451191422510764e-09,7.016078439421947e-10,2.2342870835540104e-09,2.6691782370101516e-08,3.6508666933886068e-09,8.091698436502728e-09,9.069945374086586e-09,4.9845198357866e-10,3.412786201895839e-10,9.495947538168287e-08,1.0377892624345324e-08,2.530421529639694e-08,1.2491785892262383e-07,3.537745381406657e-08,1.0394459714221829e-07,7.824351469791791e-13,2.6415153929911614e-12,9.076342430800972e-14,9.358683271272948e-10,8.556700688593611e-10,2.5201848580857465e-09,1.6475211137917393e-08,5.408864213042084e-10,7.619390905644268e-09,5.255073384259311e-10,6.666151023970847e-09,7.751612860578698e-08,2.8377809055195972e-08,9.21461729108762e-09,1.4738396468840172e-07,1.8161282548593472e-09,3.1313505286630687e-07,6.219744259680537e-08,9.983835595262924e-12,1.8768492964687614e-13,1.1246371907120002e-12,1.9040741653728185e-10,1.0539382253659733e-09,3.819037033185946e-09,4.2740819570924116e-09,3.6708531681851664e-09,1.4184490037879175e-07,7.066073193135786e-08,1.670456687497528e-08,1.3838289711828715e-08,1.516096234044662e-08,2.8580020968282757e-08,1.9547095648148187e-07,7.793900138226558e-06,1.8193465696439216e-06,3.5693058321061568e-06,2.7719768842299845e-12,7.519255808614549e-12
F1,Times4,3.930242545823845e-08,8.548196514967934e-09,3.859099347245003e-07,6.254061461678105e-08,1.2235361678085577e-07,7.620680776518368e-07,2.2136419697154083e-07,2.248902739666524e-08,2.532350897350102e-13,1.7513706935714e-11,2.882916643222012e-12,4.1417267853100026e-10,1.1144880057856992e-11,6.10757468999144e-09,2.4281181066612642e-08,5.084353808518418e-09,1.912859116722655e-08,5.608136578853319e-10,1.0334502033768333e-07,8.299612172770571e-09,1.2797013296927288e-06,3.0603624720903846e-07,1.126685671310612e-09,1.0579596524901943e-06,3.250601037982175e-07,1.183643096782676e-07,5.00988241615311e-12,1.2006046704048902e-11,8.821036383490244e-12,1.945424649737067e-09,5.978552217548801e-09,6.6466390040045884e-12,7.058717824999054e-09,1.509807535505903e-08,4.89527927728405e-10,2.5479575520117256e-09,3.0060204052220195e-08,5.520670404283432e-10,3.765228494891613e-09,1.0782102563843281e-06,3.3031142747526996e-08,4.2661702596720973e-10,6.974620893127708e-07,1.8960360708650908e-06,6.265899259179352e-13,9.77545714580128e-13,2.042884622015207e-13,4.286362443031706e-10,9.343524819019774e-09,2.86546318144052e-09,7.877042171937195e-09,2.5846288387316263e-09,2.1981398852309565e-09,8.794728165576617e-08,1.596026370169149e-08,3.129620039823978e-09,3.223732981373306e-08,8.952286434562631e-08,1.1449624949237017e-07,8.782377271464974e-07,1.5388243229025294e-10,1.2693843490225973e-06,1.6508015759330427e-12,5.127381157141971e-12,7.414928899217633e-14,1.704894668909229e-10,1.068472573798716e-10,3.2264879463925142e-09,7.814254443295964e-11,1.622414172694001e-08,4.4266281130703845e-09,1.4612919169164413e-08,1.1889553027706346e-08,9.400813520382587e-09,2.1999878187870495e-07,2.675427919226085e-09,9.612250671712664e-10,5.415116819102598e-07,1.6131283294597803e-06,5.919009396102847e-07,3.507981871572679e-12,7.468660826505087e-12,1.0171723681503539e-13,1.3578461814485123e-10,1.7976214589208764e-10,3.6366472558534297e-09,1.1354959266504956e-08,4.897602693957958e-08,3.6572215024383156e-10,1.3285238173176638e-08,9.256939218541106e-09,1.1316632758842744e-08,1.727284017035209e-07,1.3724283171765306e-07,5.241997210317804e-07,5.581922500929228e-07,1.698481142419281e-08,4.8716120478728355e-06,2.764318915745533e-12,2.6639544108200688e-12
F1,Times5,2.262919066885947e-08,2.493244491231481e-07,8.271463182813256e-07,1.1141595323040029e-07,5.77874154028071e-08,8.575354856149635e-07,2.6545956221946985e-06,1.2334836086342332e-06,1.003682767166363e-12,5.942089537872323e-14,6.851078911436584e-12,8.66778363218532e-12,3.7369663993605856e-10,9.293414535821971e-13,2.3051274936541027e-09,1.2176785390304838e-08,1.4760592120260796e-09,1.757847700246455e-09,3.9442899155495683e-08,5.40233314355277e-11,9.553530824346711e-08,4.0687405006377634e-08,5.880361993993316e-09,6.676161940575382e-08,4.952208681414262e-07,4.2031129289950194e-07,3.0824646459534174e-13,4.969760213462952e-12,1.6319027933774946e-14,1.3460518673241729e-09,1.4331427610625772e-10,7.269713204817441e-10,2.7010109455956995e-08,2.2441920719553127e-08,2.9918761747363985e-09,1.7178765286747965e-08,1.2916884763801864e-08,1.0221724650099122e-08,7.1306291778205485e-09,1.7385010418110123e-08,1.1922778278164371e-08,4.0402350673961694e-07,4.499300958411278e-06,1.4478291799613223e-06,3.5848427172984333e-13,6.863152215215207e-13,1.8066770339438944e-12,7.110592108694617e-11,1.2033848928636614e-08,2.408470517088492e-11,4.553619805590597e-09,4.9729820716446e-09,6.498638545069221e-09,9.302793417624451e-10,1.6904165243126937e-08,4.074072924492149e-09,4.4820718326654005e-08,1.9819324657178265e-07,2.9358630415031445e-09,3.977838312874799e-09,3.233319801771262e-07,9.318666081328513e-07,8.382562801655889e-12,8.406883208329669e-14,4.906047244652284e-13,8.144282432715167e-10,2.7547355745368527e-09,5.975129668286907e-10,3.047118442306016e-09,2.44249632329849e-09,4.261039056288744e-09,5.205774649392748e-09,2.0489185584146725e-08,1.4008932466096376e-09,2.04457517417049e-08,1.0090654677783447e-08,1.7987573277337917e-09,5.408065035796344e-07,6.553755002123309e-07,7.873553091180515e-08,2.0924839142205442e-11,4.682812125762578e-12,1.6304577894001668e-11,2.904504854956834e-09,5.7361637846913146e-11,2.3284972565325063e-10,7.443594964328421e-08,1.109718784348935e-08,1.806071721995453e-08,1.66749916241115e-08,2.5426255367811396e-08,4.433704743636412e-09,8.675420983243299e-07,9.919106921244933e-08,8.234978819069932e-07,1.109574603394062e-07,1.8136357616184184e-06,4.079199476346365e-07,5.710155136157131e-12,1.9880597137498865e-11
F1,Times6,2.407286461390131e-08,5.8893239006030216e-08,2.4057508629536083e-07,2.8100237787150805e-08,9.281735245568164e-09,1.3742019317869868e-05,3.330844973546108e-06,1.253077402694376e-06,1.4576432098130155e-12,5.711299430823374e-13,4.426911544997434e-12,1.4878951424591413e-10,2.264077885827744e-09,2.2005838360330854e-10,1.1162723078849822e-08,2.0907512885531463e-08,4.272837368654555e-10,9.904972292925902e-08,1.5477882720907958e-08,1.3450803747530762e-08,2.0979532744198968e-08,5.4842085654542096e-11,1.4159434149335022e-07,1.2965204786261302e-07,2.1292095780166148e-08,1.9594760796742844e-07,2.1496227098826135e-13,6.679559289817305e-13,1.1633411364333388e-14,2.901744420113911e-10,5.144569761822508e-09,3.246450365025206e-09,5.546271607782463e-09,8.01418709021276e-09,6.4485348427403e-09,8.335139536329985e-10,1.577947899608051e-08,4.77900525974333e-09,3.322776281048441e-08,7.587863618292348e-08,7.883549572100407e-09,2.9523896371157363e-06,3.7952419987077717e-07,6.845590025332674e-07,4.0363900708950705e-13,5.161835778631579e-13,1.6897942370800544e-12,1.723972964531222e-11,1.691023428173729e-09,3.0306706950630764e-10,4.010882159602581e-09,8.468986978864538e-10,1.4913392641868655e-08,2.4017374090387043e-09,6.296183147833565e-09,4.0214733910887423e-08,1.859647732769969e-08,3.3380220904400134e-09,2.859798812715637e-07,2.7137237500354753e-08,1.038407964230587e-07,3.045820271171992e-08,2.1001192879525665e-12,1.1550817983799912e-11,1.940189267698435e-12,1.681925557417569e-09,1.700204549880625e-09,3.002245654798419e-10,2.5284437330056628e-09,5.939436200609951e-09,2.9372402915778395e-09,6.049055378751807e-09,5.619861210855219e-09,7.06164369305318e-10,3.142518163010073e-08,4.124524411086044e-08,2.0229898234601483e-07,6.427623134287405e-07,1.5526464381462184e-09,4.542247177965124e-09,5.8608264413702744e-12,9.272394434469445e-12,8.414818767473571e-12,6.819306053048979e-10,3.193247507506099e-10,2.810894874128161e-09,1.0199183204899344e-08,2.095004793564924e-08,1.585218681211547e-08,6.432280709018232e-08,1.0719958100125645e-08,1.4263050892478087e-08,3.8573483209695177e-07,5.868615053951733e-07,1.4679135237058238e-08,5.886393779395184e-07,6.184411322032839e-07,1.1794555052787134e-06,3.4489779400401547e-12,3.2731073617169436e-12
F1,Times7,4.5519414440293144e-08,5.424887114754085e-08,4.866341571852309e-08,3.27196565045857e-07,2.3559275191581354e-07,4.357596754590927e-06,6.02473291873546e-06,1.7144650076912405e-07,5.39434688791356e-12,1.851501134572419e-12,7.342450867469855e-13,2.757652406496905e-10,1.5476191438208e-08,2.6231165335765226e-09,4.625392131101148e-09,3.158040751402479e-08,6.5029557096428004e-09,3.573222494505331e-08,2.498753987847392e-10,8.023704439068048e-10,6.561720255388288e-08,2.6010781567947123e-09,9.911110459547272e-08,5.676662580308509e-08,5.875534654620161e-07,3.6732108003905244e-07,6.869879686823328e-14,6.9767240831900135e-12,1.0506319702769959e-12,5.259832088187791e-09,1.4189145668153277e-10,1.734731740837108e-09,4.427057863550034e-09,4.366550881043117e-09,8.523482235090304e-10,6.00005913519081e-09,4.0266187014335716e-08,1.961832761659366e-08,6.88631063778021e-08,7.954240009142531e-09,9.569504171424496e-08,3.708427233954587e-07,3.8081753828509e-07,1.7507635509731108e-07,7.416230384014713e-13,2.485158536776064e-13,2.114792526820899e-12,1.2463073188213297e-08,1.0691340577194218e-09,2.973154333381681e-11,7.262261187802229e-09,6.466636426304481e-09,6.984877348809877e-08,4.957491770161197e-09,1.26534729745827e-08,1.313139895076649e-09,4.610232615556119e-09,3.3418616713183987e-08,2.3769812451199367e-08,1.9362579315977472e-07,6.347352545060054e-07,2.195261474853033e-06,5.60480246415357e-13,2.0579598732052407e-13,2.592566145638853e-12,5.668127307387997e-10,3.0282614194461304e-09,1.893154178405042e-09,6.5649308133692056e-09,1.3164086825004108e-09,4.696821231757544e-09,1.4078915449177306e-08,1.0789434752108628e-07,3.757354973138642e-08,7.861647666455022e-08,2.834477098002339e-08,1.6444246256012546e-08,1.8280782242682546e-06,1.5042818056119768e-06,1.0354206099442647e-06,6.958534561831439e-12,8.707911986452494e-12,2.409793468147397e-13,2.2879029233185975e-08,2.9209107425188125e-09,8.159405213135913e-10,4.2760878563919575e-09,5.7632404793986595e-08,5.315923033390792e-09,4.048312528883896e-08,1.3853811044655116e-08,1.0248511095081666e-08,1.408011172908765e-07,7.047510755172605e-08,2.764772136953939e-07,3.866822835636631e-07,7.50856138128069e-07,1.6984998182821874e-06,7.971752065924703e-12,2.4194273404060083e-12
F1,Times8,2.8364453342831907e-08,1.6389897575085015e-07,7.567818913365338e-08,2.415365016079812e-07,8.816951347687419e-09,4.3584359164167e-09,2.55994506380468e-06,1.4227103234079624e-07,4.021054010918562e-12,9.833415943688436e-14,8.262902448749363e-14,7.019558221490653e-10,3.6427094492744778e-09,3.316414952928791e-11,3.4882555013510725e-09,9.148597264314075e-10,8.90739018237511e-09,1.2875066539842143e-08,9.540360894044017e-09,1.6939666979996405e-08,1.2417748255004273e-08,3.634293421372508e-08,2.2990747369929096e-07,1.0269080467543549e-07,1.765425618861541e-06,4.549894562784334e-09,2.4447765786430163e-13,5.739031469105519e-12,3.0667718418535716e-12,2.189882996205888e-09,4.5592010018968776e-10,2.2408725947904834e-09,1.3592965121829168e-09,4.541323880385361e-09,2.161014811136497e-07,5.006005333444959e-08,1.337924893593739e-07,2.1309142363583395e-08,1.213007728106702e-07,4.2659911672926285e-08,4.802641628984006e-08,5.491304450422436e-07,3.007099136821642e-06,3.9464790463915534e-08,6.859677742835449e-12,7.040831469481874e-14,1.2319265080407854e-11,1.996812857439374e-08,2.749142347258042e-11,3.956789325645546e-09,1.5731396616144697e-08,1.2243009595812895e-08,3.5796145813749557e-09,2.0365781914968636e-09,1.7266658064042168e-08,7.945610187690095e-08,2.47822658827984e-08,5.379086176094858e-09,1.5378533982209345e-07,2.123838192810363e-08,2.9826817993155783e-07,7.764939355708572e-09,3.886825087327681e-12,3.421062448089965e-13,1.1446020862636404e-11,4.477243260146208e-09,1.0755594265117677e-09,2.789798238055891e-09,8.117998903202176e-11,4.4459979519177445e-09,9.016357805086507e-10,1.2905063758592258e-08,5.098950958632754e-09,1.0119444025763318e-08,4.385238612610739e-08,2.8317273180166144e-08,2.466427551235621e-07,3.507984955436772e-08,1.2672349912584102e-06,3.743162507287866e-07,4.58581277111521e-12,2.2525352986843633e-12,3.0381454856072728e-12,1.3704236054875607e-09,8.463765232499583e-10,2.1899111406151048e-09,6.208952110158712e-09,1.6254373332262757e-09,2.371059661563648e-08,3.165179919616686e-08,1.4187686604400026e-08,7.669739919928473e-08,8.265429768823452e-08,2.5388888580258874e-07,6.984121177883579e-08,8.989552526823071e-09,3.8325886503063625e-07,5.653062394751804e-07,1.683160577424123e-12,2.2525019858965394e-13
F1,Times9,2.6882566076294564e-08,1.2906989265631343e-07,1.6060185261086062e-07,4.8092127797545705e-08,1.257556502620538e-07,1.2375648754246913e-06,2.050756168236311e-06,7.174529059843745e-07,2.8667379748822947e-13,6.4771841605600535e-15,5.3676654729005305e-12,3.607557224833401e-10,2.2416230795763934e-09,3.024190186540271e-10,6.009781058480715e-09,8.272549517237588e-09,4.116836535861368e-09,1.550972521532703e-08,3.407663411127389e-08,5.132671769110121e-10,2.035015847740777e-07,4.546925123877203e-09,9.28798679615753e-09,2.7267854106688684e-07,2.7288915708199127e-07,7.281698240341896e-07,1.3352528496325886e-12,1.300210567375683e-11,3.1658221753168025e-12,1.1836449324205413e-09,3.714108021732567e-10,2.0711785396671663e-11,3.4103853303551905e-09,1.0836586777670304e-09,1.223627278411421e-08,4.660224758988095e-13,6.046123502603405e-08,6.115469157513656e-09,1.073444957758182e-09,2.950222901033417e-07,4.739546820819467e-09,1.1685787799284088e-07,2.7862337528541425e-08,1.2232852501437973e-08,6.871286376571245e-12,4.487232011514766e-13,1.9670966575916463e-13,7.424478727333245e-10,7.86939069728477e-11,1.1648230184208594e-10,7.266398959228496e-10,6.271250283469396e-10,1.2008165704230656e-08,9.346454688790473e-09,3.0180958056054255e-08,3.4010522562805978e-09,8.130628747930661e-08,1.3023693659495593e-07,2.8707039253410756e-09,6.447576125050828e-08,1.583619912280326e-06,1.0111099246715244e-07,1.137771488106534e-12,2.6122150482980256e-13,4.4106950945049315e-12,3.384709906662038e-10,2.9841904682479145e-09,9.240311057217784e-10,6.610615033820207e-09,4.65107720651769e-09,3.313830112637088e-08,1.2650558784836114e-08,3.97736175409555e-08,2.444116430422013e-08,5.461136560711139e-07,1.8612884729158617e-08,1.1454585589620001e-07,3.731788299099846e-08,1.42141875929351e-06,2.1679060931162902e-07,1.8100941591418684e-11,1.5408658687706948e-12,6.713074180497135e-15,8.683716269664117e-11,4.639981724654246e-13,2.421325424210789e-12,1.0993891005987316e-08,1.436894785253946e-10,5.796846561162386e-09,3.2741719789305166e-07,1.57770928952325e-08,2.939021372474344e-08,2.528846862864516e-09,3.1132377437096956e-07,3.174885493817462e-08,1.0355319512139484e-07,8.369519739904676e-09,1.4547573862953556e-06,4.374586535021767e-12,1.1015652545327779e-11
F1,Times10,6.875588907500603e-08,2.8861013167306636e-08,1.2599475413631975e-06,3.0830189729607277e-07,6.675366190988172e-07,8.142904972335655e-06,2.4296638098988096e-06,3.960240215933647e-08,4.144531168629183e-13,4.6867782278379405e-12,1.7771831570617775e-12,2.1745597640605315e-11,2.945619356298175e-09,1.6522473220507468e-09,2.1193362247313308e-08,6.286595773989472e-09,2.5803595664667103e-09,5.783504085841147e-08,8.006545209630018e-09,1.1930944676389575e-08,2.0111429371085243e-07,1.2229330131260537e-07,8.694476722759795e-09,9.302501434419046e-07,4.562414700508864e-08,1.942945673904216e-07,5.140241770073828e-14,1.6947040328417616e-12,7.817800888053588e-12,1.139655855996661e-09,1.3358620824406722e-09,3.47046029084405e-10,3.5441321364057797e-09,6.438083941940729e-09,5.029001912787901e-08,4.503367760963947e-08,2.430090681397059e-09,9.368925038479564e-09,4.5112334165136426e-08,1.411267080105078e-07,1.8322925004354326e-08,1.0544321405428693e-06,7.331297736480519e-08,5.546528967167312e-06,6.67630589861532e-13,5.1707214675644596e-14,9.269120763271945e-12,2.786180127201102e-10,2.8410249274709707e-10,1.1269451170396381e-09,1.3005273913522035e-08,1.0281782914920462e-09,3.833827201219527e-09,5.289788847337665e-09,2.0076746736447906e-08,9.77733850360581e-08,6.221851415112479e-08,8.930678593029647e-08,2.158132265817602e-08,2.3456570861196342e-07,1.3507132149849734e-07,4.94059190966592e-07,1.8428000131475885e-12,9.052171687634712e-13,8.22345337854401e-13,8.89124430095427e-11,4.6248602697395414e-10,1.1353669935007557e-09,5.637202622408135e-09,5.63642951247184e-09,1.041438466945044e-08,1.938958662068759e-08,1.875072138562077e-08,1.8421163464705263e-08,1.656302992578847e-07,9.057249346127182e-08,7.349138949217082e-08,6.613967604676539e-07,1.2478832614977343e-07,8.2310057270936e-11,2.9190360562593837e-12,8.676273488474654e-12,1.2308026354099554e-11,5.693537143026309e-09,1.4962340238937513e-09,1.1011899810416221e-09,1.2682070350232268e-08,2.1416451584549335e-08,1.4731179404692585e-08,2.8322044724566295e-08,9.183691551633429e-08,1.765500179855335e-09,4.9502559792510044e-08,3.755039353591974e-08,3.2302336407157443e-08,6.111933038920592e-07,9.66399486423065e-07,8.639490723460358e-06,4.0011107715622213e-13,3.1480621948015785e-12
