,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F1,Times1,5.848119444306086e-12,4.6972712212254084e-09,7.08892165640004e-10,7.597712903148316e-09,1.2068989352903906e-08,2.163092137315326e-09,1.5267522244308516e-09,4.150035474478009e-08,1.49874743682905e-08,1.098812285149976e-07,9.852937071932894e-08,1.125465536487298e-07,3.2823845401331175e-08,5.961252516084583e-07,1.037461345380395e-06,1.264271539772304e-07,8.574544976782137e-09,3.773281009420677e-09,1.670604242287995e-08,1.5599260784123904e-05,5.810879104050389e-06,1.3998302274288484e-05,1.9513991241616035e-05,3.156404526663222e-05,5.31000613584449e-05,0.00012885914231808838,0.00013101075513051184,5.726446697533466e-05,0.0006169000612670903,0.0009664356246700207,0.0006189235491725063,0.005717813463505916,0.003510205389513817,0.0021087561857998567,4.014538617673843e-08,1.0413838832068467e-08,8.534990678827145e-09,3.625274041263031e-05,1.7046511411347294e-05,1.1951820098716277e-05,0.00013593909470737526,5.786915113781564e-05,1.3882395040140516e-05,0.0006394783259044149,0.00035322676752372003,0.00013851923421851004,0.0012770212993809186,0.0004691448473357765,0.0008005495640594506,0.009184918164500188,0.0053248387854320095,0.001778583419331862,0.00016394411828639456,0.00024274054086028505,0.0001345662007312041,0.11797108724589836,0.17076793196946036,0.11330924646104673,0.6433436370403816,0.6465569122164629,0.5842380086162601,1.128342109155082,1.8773548658363473,1.4477902186745972,6.405979043591966,6.967243665133413,6.556358130356506,49.644509419083015,45.82982678690326,55.40198435064741,0.00018201770307295449,0.00013598798999984085,5.654371544268862e-05,0.11303600130071263,0.14795146794444414,0.12064843808839351,0.45860759561312486,0.5809517080681179,0.5028789939856829,1.5909622835748425,1.449651623139775,1.1307176825822782,6.985066652693118,7.726174806077827,5.190135020962441,49.836356737323214,52.980607519398156,33.76035527438252
F1,Times2,1.6032921955495313e-11,4.931486614727657e-10,1.6918139204639955e-08,1.2531332224284956e-08,1.660485278931374e-08,3.611250896241891e-09,9.230160942835145e-09,5.518581166328009e-09,2.8520791611224716e-08,6.676102537755057e-08,8.427489513207162e-08,2.183361508614787e-07,1.3278851159408323e-08,4.750058354858773e-06,7.557122614276911e-07,2.57459072863425e-06,5.386114096527485e-08,9.086529588217267e-09,1.7826337341058182e-08,5.556456259523361e-06,1.9891436041816454e-05,4.1374459579686035e-06,0.0001282064675772104,4.2494603260123675e-05,1.4044304965307605e-05,0.00021097191959274154,0.00010671156296839333,8.168108581716459e-05,0.0003381953358129812,0.00140836764346909,0.00038335715764310183,0.003689372592991538,0.0016992943255450383,0.003358434795682304,4.0888644015173916e-08,2.7284628032343006e-08,2.137307849715325e-08,2.5631523708666076e-05,9.666904190972665e-06,9.528720938002147e-06,4.6007995895875744e-05,4.184832591331198e-05,8.70434670930628e-05,0.0003695708317561642,5.393061900179027e-05,0.00026352483887896315,0.0038474381310260306,0.001099784401352133,0.0005926355284444763,0.001862686466218911,0.006818775966713981,0.003913204908136406,0.00021697619485006977,0.00017044509632955644,0.00011472453977880968,0.07341227861758245,0.11107946179491515,0.1593028124070477,0.5596990212256413,0.5668590134457729,0.5139022217738769,0.9395283985338062,1.723825610634597,1.9484315295594596,7.895428743461204,5.9421291498071245,6.356440582889753,47.642525022302834,46.712531149979014,33.27499009473531,0.0001407355995362755,0.00022021857997440205,0.00021123975100695568,0.12967016888895908,0.16453057342540978,0.06770102672421871,0.5960200569183282,0.44268783607281226,0.2759185136312806,1.4033084238695126,1.7310289351705967,0.7536051170604794,5.905047020962937,8.63830981708384,6.203742744617627,46.5561631662596,34.786432440978935,37.685374837959095
F1,Times3,1.8429173032964505e-12,3.3010094514463135e-09,9.804706940773306e-09,1.5258549079117005e-09,4.7783023413276635e-08,9.071763560657567e-10,8.05197902989089e-09,1.6914476135572062e-07,3.006066267279193e-07,3.897910756796486e-09,3.7182357610298434e-07,7.33524627335329e-08,5.919749897227782e-08,1.1052688534049553e-07,2.6592157730539936e-07,3.4575584017815195e-06,3.1589054054102955e-08,3.1090243065538364e-08,6.335040492473708e-09,1.449013379666434e-05,7.726565452303062e-06,1.9263276966032037e-06,8.960377368825324e-05,3.7805439313850104e-05,1.637572293020921e-05,0.00047682293212982136,9.644355748201223e-05,0.00010043619469930736,0.0007315695501200765,0.0009182940175789661,0.0010121438175572527,0.005047573424194957,0.009552553899602011,0.0011519480984750587,6.102376333016487e-08,2.2751186907074897e-08,1.8455874641284098e-08,2.170157182608313e-05,1.3112465556957524e-05,4.540652337452075e-06,5.141920323889008e-05,5.7075981837183555e-05,1.928413580208238e-05,7.781106269785748e-05,0.00012328030083127374,0.0001201492683227944,0.0030760423288355722,0.0022201575410983722,0.00022003901959451606,0.02137728581319091,0.005169381707173046,0.0019481952175886606,0.00016007125609448158,0.00014331164707102794,0.0002563686612948629,0.12636738428788277,0.10722482622281099,0.07220465752106524,0.2719148655255963,0.4454116730623118,0.5491257033354137,1.7227465030149602,1.465848603600296,1.469817895646324,7.055986172882603,4.832927693850815,6.41309321880566,61.01195079421109,52.75812334116422,63.74813498483948,0.0002054221859096001,7.461459982345767e-05,0.00023551106209052572,0.08167391175722001,0.098269435942163,0.15128428590001763,0.595395145976166,0.31749573947067,0.3552849907184303,1.134937349500879,2.183876699631878,1.1297491394919479,8.311971793334848,4.537857269793837,5.321692801643238,35.01449895039476,59.711353448738606,50.270331068558605
F1,Times4,1.652016123833909e-13,4.019972804466435e-09,2.360873880711684e-09,5.982117918913428e-09,5.351691488334735e-09,1.0463273921868322e-08,5.1346983699200725e-09,1.60276055058277e-07,2.4516214766516263e-08,1.5948790707608186e-08,3.647364001537752e-07,7.04436841530933e-08,1.3664836764060135e-08,2.356946321170442e-06,3.415038345808033e-07,2.8761464452680488e-06,1.2267565023850722e-08,7.58710092058243e-09,9.856384257343365e-09,1.6629669622192594e-05,5.638545566056268e-06,9.864521312817654e-06,0.00016428035917424362,2.8932558434059686e-05,1.5089844655356696e-05,0.00010253911945430712,9.397285538645625e-05,0.00010519570405924463,0.0011082159503453019,0.0010591335919220132,0.00017954109607680327,0.005335584006443058,0.005068484696711863,0.0012973595778468646,5.360079742043314e-08,3.00232693553209e-08,1.123321805938464e-08,1.0599252482096682e-05,1.4609981915635852e-05,1.0753724540053056e-05,0.0001629740736358503,4.420575100535731e-05,4.786541860225545e-05,0.0001935366422733105,0.0001167375299723472,0.0001436666983238592,0.0006295077591093845,0.0004104487550564749,0.0009870212893654763,0.007369037196804982,0.008362824872993922,0.0037962758195658353,0.00016505076183303993,0.00021966291711426344,0.00019302016834725255,0.07312811685864862,0.10426129248272695,0.10755752282474135,0.40851567824810064,0.44132510439001194,0.3983476550460085,1.496299555425706,1.2319104510972554,1.613274923504611,3.837702233195283,4.970992442362566,7.185618704278427,36.26382475851899,56.98726308702604,30.339777549696908,0.00018870853990831732,0.00015237331850418052,0.0001595887345569232,0.11959952901395682,0.08052046527746548,0.05834732010775187,0.4308661106724156,0.6374321956816347,0.48020022520678285,1.7488602434152294,1.5408588100232887,1.0080705352345327,4.87712414401485,6.2452337049962106,6.821678215806317,40.8780155486283,38.842277436327436,64.03371604096299
F1,Times5,2.3882987588732063e-11,2.0668761276385554e-09,7.842693293948493e-09,6.4210636414618166e-09,7.758530435280741e-09,1.2354862437515815e-08,3.5395493729606276e-09,3.182397713325022e-08,2.641195269028352e-07,4.687222415453118e-08,1.4907763090676014e-06,3.133512478035773e-07,1.613457284022241e-06,2.810309453637024e-06,3.0040484832211304e-06,4.104047639893652e-07,3.054902014839156e-08,1.717518930778791e-08,2.967566815302687e-08,4.178046355751812e-06,3.336436876008106e-06,6.594425555796256e-06,7.41678330404017e-05,4.72836927826199e-05,2.2823974882110607e-05,0.00012578724238786315,8.128195133202201e-05,5.8228875404150196e-05,0.0003130919608036666,0.0005249593665564512,0.00016771243805646944,0.008028855938836522,0.0020071497111208694,0.002864623612521293,2.8486625548442824e-08,5.4953505116768595e-08,1.112616473478113e-08,2.7023520194779713e-05,1.0174180361714819e-05,1.9972465528628314e-06,7.115327877924729e-05,4.0895339513836235e-05,4.255539184770968e-05,0.00018532004826230701,0.0005319895583989361,5.902215704682918e-05,0.001092958895262858,0.0004788832185367437,0.0004496824262052221,0.009560370164080033,0.00671486286482401,0.0054868503972610606,0.0002507328259918575,0.00012745602413941938,0.00021999126602001757,0.11691227582833902,0.10685929887489579,0.1140337528363744,0.45461556829212474,0.5882903753023506,0.514306030218167,1.6791704953890407,1.5679535545514438,0.9987397680811808,4.2058713131135175,5.619141225780483,5.031572128767407,46.16934827945819,59.66272666107096,55.984687162060574,0.00015855390282662745,0.00015729880923518298,0.00014528775783515712,0.10868410691617085,0.13515591147768324,0.13054094734310417,0.5758669158961864,0.5166968031857049,0.5776527536613902,1.2875013141767317,1.4947827185802591,1.605998543095689,7.404485479048,6.550229339689852,7.08137833144902,46.195716509666,44.657623293739995,45.170017568219805
F1,Times6,2.3425489284122135e-12,2.2444632852337654e-09,3.7071183992285877e-09,1.6373360113840152e-10,3.690977441398037e-08,5.372444027340037e-09,4.738053665021344e-08,3.090675274419641e-08,4.1738381907561596e-08,5.240242539990146e-08,4.3292410305592355e-08,8.327930104916201e-07,5.0478455422961495e-08,8.295318754861898e-06,4.173452763949377e-06,8.801771566543683e-07,4.6407243238993094e-08,8.029047896526438e-09,2.223335968705861e-08,1.5958210851431078e-05,8.102390988977143e-06,4.930866146772902e-06,6.579978418463338e-05,6.589159242196776e-05,2.8457285449070003e-05,0.00023464838016439674,0.00013354820903860114,0.0001972589110997217,0.0005079711837730497,0.00032215114074342653,0.00032974713092213747,0.011181006061943086,0.0023671733820385165,0.0037391104554317916,4.327913302829928e-08,2.926339891382022e-08,9.55420140722954e-09,2.3523774462177912e-05,6.5544954386317725e-06,2.7256981448806555e-06,7.462354744458856e-05,6.950283185775888e-05,2.9900538990994813e-05,0.00011348611505074345,0.0002625054638647188,0.00015052039524936009,0.0012757632197697825,0.0008401243887924794,0.0004381417771062244,0.005308547167939303,0.009994399061506934,0.006519189403379635,0.00018999975836465582,0.0001949806319497518,0.00012808679778199608,0.10234999580035056,0.10545478320408842,0.08114634592482306,0.24303224363548045,0.5856416193839826,0.6322526177703416,1.394861971738131,1.4907716821498804,1.4866881567120032,7.559503111162334,6.385430860889937,8.206983425631556,47.94781510648138,42.56558227600398,16.690273120927632,0.00013896019506492142,0.00017703114079662348,0.00021523048399105623,0.12840100719535552,0.13097658641580023,0.09235468428250923,0.6812572412384601,0.556643125621035,0.5501254725329836,1.2558436237881745,1.2137604611925923,1.8623145225263067,5.244323001409627,5.223270993055249,7.595484123819225,58.47723021323234,44.50709258805089,30.343397832258276
F1,Times7,4.04481191786945e-13,6.117398357753641e-10,1.3930860059010462e-08,1.388494367742078e-09,2.745474796293871e-08,3.635399714228569e-09,6.94450444645491e-11,7.08185539166487e-09,5.88377687516127e-08,2.6329206172248094e-09,7.032978498824764e-07,7.128114795196977e-07,2.9319641295852875e-07,5.33289516834877e-06,1.5237475352979226e-07,1.1280818977528348e-06,3.3895339107723426e-08,3.540385773142048e-08,5.5550169671653414e-09,1.1267012012083281e-05,6.001250284817841e-06,3.358802763682576e-06,8.380127734331092e-05,3.6961818348287166e-05,1.1733015050747437e-05,0.0001220031742039881,0.0002296673356033109,0.0001028340542728494,0.00032389863319502303,0.00041094221473711266,0.0011186302337901442,0.0015594594084122673,0.0008651138290572012,0.0015517410960003725,2.438405041770304e-08,3.197166293693637e-08,3.017648421995536e-08,3.6715460066642236e-05,1.6558762221093086e-05,3.2500621028670284e-06,0.00013279424338083837,5.164924178280393e-05,3.9329602421712994e-05,0.00016075475789521145,0.0002474302985316919,0.00010104008478000782,0.000886306391560878,0.0002825432365445255,0.00022297406316578163,0.006690300326734991,0.005832273961251139,0.003237181259122209,0.00012900752621511417,0.00019760842551174815,0.00015181294082567865,0.10746595101242541,0.12486136910346907,0.09966701415030951,0.5841789058259219,0.5202522858140904,0.39155710259014015,1.338394218625366,1.2276879604995004,2.0831759709857,7.211459456662892,8.703729238906831,5.70844910504667,49.64526627420062,49.384808906018094,43.5466699058114,0.00021944696046173801,0.0002257472757888742,0.00013049700428879304,0.09787257704320941,0.12108636345899285,0.14132262915346613,0.46785092585381205,0.688386849605667,0.5833556892016539,1.3216818228980467,1.2902487986163447,0.9530974279952932,5.531251858104209,7.062701695667101,3.5822617997006594,45.42478003866671,55.99324205508756,48.9991689204056
F1,Times8,1.1121406491163168e-11,1.1087249184453096e-09,2.6912268183829735e-09,4.561545202809437e-09,3.1115786104499006e-09,1.00450871920372e-08,2.416249858877331e-08,1.4181298871241053e-08,6.544035783336035e-09,2.104822007676206e-08,2.213622052692596e-08,8.11714960164233e-08,3.302784223293427e-07,2.8843244297035757e-07,1.4205631289552855e-06,1.0184259978471331e-07,1.7769988125863493e-08,6.000446736411738e-09,1.8137334783862043e-08,1.3910749159881856e-05,2.080110340047547e-05,7.838801491152412e-06,2.2756823966544802e-05,8.258971033916555e-05,6.3929680439801355e-06,0.00025812502883725973,0.00020179920456459544,0.00012150294973212246,0.0003697454161494639,0.0006873838282442341,0.0006840366239161382,0.006848032538135553,0.0019684137717492604,0.005030394660670529,4.420576442263422e-08,5.907572982592637e-08,1.4761814810413745e-08,1.2278548264273835e-05,1.681235244724742e-05,5.02432092161999e-06,9.838833764705019e-05,5.780058749352152e-05,3.0097584596765714e-05,0.00022268482423255887,0.00030051076742248806,9.590932981026287e-05,0.0023083806677271393,0.0008041104143607535,7.528891998009346e-05,0.01257851466864323,0.0020273614530303074,0.006809068979932761,0.00019581221511159538,0.0002214522141588751,0.00012828812738438006,0.11968946082720132,0.1162407999796677,0.06938096315454499,0.7378284890216069,0.569747742120174,0.6867233435393616,1.4592354665547254,1.5814445149631218,0.6395191204521531,8.026063486218282,5.272199492134948,6.446933606090121,42.796808811708196,59.19316315159266,42.17782826951759,8.593015554337713e-05,0.00018532083858699454,0.00016928453060167207,0.1125019571880755,0.12629056827462787,0.13278954346194968,0.5020667344720827,0.4874948373871479,0.7100661132709452,1.8744056886953195,1.6487839846385497,1.1620324728845384,4.71877167466903,8.140546659582276,7.081609995559203,41.29605262838108,46.02621350054965,26.266541082021057
F1,Times9,2.6950584395022237e-12,2.359964087717145e-09,2.2260865724132103e-08,6.632029805317416e-11,1.6762442678231828e-08,1.4761605130786802e-08,1.438287057023955e-08,1.2830488715862037e-08,1.7053784449773508e-08,4.4264139187483545e-09,2.954106912536553e-07,2.7547987371137722e-08,2.121045444597712e-07,8.916204232786145e-08,4.7293533581488105e-06,8.199523219107655e-07,2.7384009845299992e-08,1.517356946604312e-08,1.6313042268823887e-08,3.070597337195527e-06,5.835588836101387e-06,6.237348452572841e-06,4.932371613063147e-05,6.183623481600834e-05,1.6572786919019167e-05,7.440817852480518e-05,0.00012320595143409534,7.548976467986963e-05,0.0006010046733531442,0.000797675614717785,0.000636457761577903,0.004538154850473535,0.0022078909896074816,0.0007886159002064453,1.548585134889001e-08,6.8173264395486265e-09,2.3456670232110397e-08,1.4933364294204654e-05,1.568425104996495e-05,5.326531256039777e-06,0.00012967519359820224,4.716215531365429e-05,3.371115053057172e-05,0.00026722242787823573,6.437450417996734e-05,0.00011256432846927695,0.0028679097233652007,0.0002902457927608341,0.0004055743416658488,0.0041327956976642925,0.006048843249183052,0.003331966512386108,0.00021081714232375383,0.00019359353937120914,0.00013535786704865261,0.10743042498098924,0.07271180430245168,0.12552565849396757,0.5980668875338951,0.2895769521266378,0.5069459983151406,1.4499908775343315,1.317326031420184,1.6243372812113084,8.039928594285792,5.5880766565856845,6.0571937769196404,33.06657022834049,46.44909621738468,51.61179260460703,0.00020052343652963354,0.00022113915163580347,0.0002270445343809835,0.03116070517742004,0.1242412157647535,0.13398071509785545,0.398648211631138,0.8068242186810419,0.34812644628024997,1.4245239341696558,1.7461548364722919,0.20461898785876192,5.855630476194493,8.892771115310145,8.074663481986343,46.03651903602141,42.894165069876976,46.07771131548532
F1,Times10,4.012872789333444e-12,5.7036050167260106e-11,1.0285461840699576e-09,7.648399676691737e-10,2.7111642862725635e-09,3.3730396150023775e-09,3.560721833771921e-08,7.127058270655126e-08,2.1236005344062895e-08,2.9800483395193433e-08,1.3459366413445395e-06,1.1654125182984067e-06,6.337629259911877e-09,1.476080193273971e-07,3.1421829880071886e-07,1.5667108842960292e-06,3.3888620498919014e-08,1.236004407993995e-08,1.3647706201239166e-08,2.362633316589709e-05,6.049605562078879e-06,3.103471729006061e-06,8.265462795265217e-05,3.234183533494946e-05,0.00012782172313871207,0.00026116104658413075,6.565911532563716e-05,0.00017733653716129363,0.0019442817874302158,0.0003593086098921841,0.0005560489779450865,0.0025444108851501984,0.0017563568865517198,0.0024479123410848696,2.0379166560804368e-08,1.0987615021825597e-08,2.4576559497051266e-08,2.3298080400022482e-05,4.35159630095753e-06,6.686329305744059e-06,7.172445812474374e-05,4.972110260378123e-05,7.081615217459314e-05,0.0002698842945105069,0.00039466367703459485,1.9315308365237662e-05,0.0009096400890325512,0.0009264980796205671,0.0006235213884945412,0.005890040968922628,0.003195675095915915,0.003848796863583322,0.00021972662769098857,0.0002497038305861304,0.0001964709103855783,0.08249396509101656,0.10287319183355047,0.12059304174494584,0.5160180155403159,0.286217565446865,0.3530190457925393,1.61111411641072,1.2704741274578413,1.6267410980666623,7.289658559559758,8.105307345343608,8.575059032676027,49.275272007030374,15.630281294938184,60.59257555851203,0.0001563859256323799,0.00010461372388906746,0.00022362502360881518,0.14584636938613443,0.1007093662529056,0.09614147643920377,0.556571664555212,0.466490163531496,0.6184020864199884,1.6724412267266697,0.7387415167330029,1.3388068694991961,5.7192601318138,8.914233727829128,3.779400655288154,17.259163601302724,66.08557397741428,50.347540471202294
