,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,1.513361314880576e-11,9.836324489180962e-12,9.974779186690481e-11,5.553664073550116e-09,2.4725353915687223e-11,7.918005631531122e-11,4.2764194466727e-11,2.1098671351180178e-08,7.931334258954665e-10,3.781431896181661e-08,7.0310939526864986e-09,1.2959475985770303e-08,2.52490877805537e-09,8.480370792112369e-08,1.3626343658243758e-08,2.540198275252005e-07,7.773165553075339e-07,7.823174109944532e-10,9.042554524713281e-11,2.001016089088109e-12,1.9094090480974337e-11,8.519827616306048e-10,2.3402946896777077e-09,3.009119621945773e-09,2.5338165484062446e-09,1.1022161764592768e-08,9.038408889433921e-08,1.5731345540907314e-08,4.1063858776755837e-07,4.638482126621593e-09,1.163500898736329e-07,8.083656409443889e-07,4.8841370933697745e-08,5.091264763306404e-06,2.658681292663435e-07,1.481806351400052e-06,1.8951795754615132e-12,5.905116188037526e-13,9.536860894898854e-12,3.4693720125454284e-10,3.3391261931976885e-11,1.2127877458278e-10,6.770760887121763e-09,6.441510914460211e-09,3.2083815414943178e-09,3.302047861931036e-08,3.245541337829497e-09,7.138084378509119e-10,1.4055632175391255e-08,5.290235564724325e-07,5.181705103504865e-09,8.15010181160713e-08,5.96144982161778e-07,2.956788637256391e-07,6.562775464778893e-12,1.6601615279794406e-11,1.223202173030581e-13,2.949232652125421e-11,1.2658863436702946e-09,1.05348396977587e-09,4.6346036011283075e-09,5.021837783627563e-09,9.892634795344597e-09,3.4726061144607955e-09,1.754762347093347e-08,5.4545659206299875e-09,1.7033263351894502e-07,1.3557025243326755e-07,2.212397039849953e-08,7.773802496116953e-07,2.4404739257154997e-07,4.944146744425804e-07,2.5383097362085543e-12,4.86240714216094e-13,1.8254353760647325e-13,9.58021848033669e-10,8.561290291290328e-11,2.8721793158219258e-09,5.649239387023716e-09,2.8695988875612326e-10,7.970988754187416e-10,4.12715638204954e-09,3.547498976374735e-08,4.725205408326158e-11,2.9757958506480397e-09,2.453296629270233e-08,2.4913060420378296e-12,2.717269688870636e-07,2.230416966561785e-07,7.445835065313354e-09,4.1980869999132565e-12,8.913234982635373e-12,3.6377559033178805e-12,4.203901630912818e-10,1.2993767369669857e-10,1.0441569497327618e-10,2.0324017613685613e-08,1.9820553513828237e-09,3.9945912820866897e-10,3.627568288374091e-09
F1,Times2,4.6539207077496945e-11,9.445843069790173e-12,1.1039264381653257e-11,4.7544011171110205e-09,5.102993822160659e-10,9.820728717256211e-12,2.368561127911217e-08,8.215345786270912e-09,8.055741007337082e-08,1.6726109786190488e-10,3.556977109515974e-08,8.861218185746327e-08,5.391865251150167e-07,1.8237301887287473e-08,4.032904736955558e-07,4.982227845146058e-07,1.2627103492690675e-07,8.59962571432257e-08,2.5024563324576576e-13,2.6064418803385214e-11,1.3676638934647524e-12,5.327432261286381e-09,2.5340561167773162e-09,3.596089046905166e-10,1.054971268227734e-09,3.137573945910919e-09,3.1675346619752322e-09,8.867165587001318e-10,1.1179089031135077e-07,1.4454110540446401e-08,8.876925344358505e-08,2.8129536664900626e-07,8.554475347904282e-07,5.493580947662743e-07,1.6441730600126047e-07,1.6767737272949338e-06,1.2580391995013382e-12,3.698430919924938e-12,8.00233687690577e-14,1.386952327758219e-09,1.27268222236474e-10,1.842091098665405e-10,3.058473597891876e-09,9.27311041858202e-09,2.0181648538500285e-09,1.120393512968769e-08,1.1133735816801607e-08,3.112745435032487e-09,8.643656047507018e-09,2.439439160413856e-08,2.0238391878122438e-07,5.5587581155678e-07,5.208198108150171e-07,4.7693009553611035e-08,2.6044216069741e-11,4.956337059162411e-12,8.966237700821576e-12,3.385023556490368e-12,1.8308576943101808e-11,2.989501629482622e-11,4.3001020637280844e-08,3.2840384386580813e-09,4.955965232845165e-10,1.1114467988333026e-08,1.5807705585139724e-09,4.4397380580838956e-10,7.638717571341949e-08,4.223725252660025e-08,1.219430914280499e-07,5.268101431396889e-07,2.2457922149545296e-06,1.7425424038399579e-07,3.883135337810318e-12,1.391082052806411e-11,5.900932496101864e-12,3.4475453604116606e-17,2.9215125080223936e-10,1.4357049164914671e-11,4.5049427313930077e-10,1.0388947253271091e-10,2.713049262030133e-10,2.857692799769381e-09,1.0086701030916192e-10,1.1380395983079844e-08,1.0182431622527378e-07,2.458023101613178e-08,3.6107770015584878e-09,1.2331130589342214e-07,1.447646683619307e-07,2.3392438188151606e-07,1.206749772853057e-10,5.713083752689064e-13,1.1248729887142712e-12,9.497869916440375e-10,9.277195201757962e-10,4.2294305431829595e-10,1.478900304604912e-09,1.1752854487627571e-10,6.228320692784187e-09,2.0241097694541956e-09
F1,Times3,3.3547007939837945e-12,3.3484405625986844e-13,1.1241525680484506e-11,9.629114127152344e-11,1.1452856170471216e-09,2.9796725839649776e-09,1.0969516183442464e-08,4.9455162484387195e-09,3.5283285647579538e-09,9.415651194766906e-09,1.1904416538865792e-10,2.014260353333531e-08,1.2324287172216096e-06,1.593018724366014e-08,2.3606611736739592e-08,1.0942343839468492e-06,1.9796665939719267e-07,7.868386392166283e-08,8.355077123268517e-11,4.176542206197863e-12,2.399314715417327e-12,6.710480742211694e-11,3.0664782212586296e-09,2.1087258407905027e-09,3.550505028398466e-10,1.1433612730907368e-08,6.218557445098967e-11,8.041610540434033e-08,7.781587330538498e-09,7.920036572773291e-09,9.365502684373754e-07,4.1593738349049146e-11,5.740152582626378e-10,3.005143992584966e-06,3.5212169834810923e-07,4.6184193093194095e-06,9.761291762330635e-13,3.1990114960815984e-12,4.216794700304813e-12,2.7760161859778904e-09,8.580225248501954e-13,2.7429561310276883e-11,2.2689414503069873e-09,3.6667612788798957e-10,1.9932294107814202e-08,1.4548276620723825e-08,3.600191752168053e-10,3.0792135158081146e-08,2.8008699328079365e-09,8.830670514365154e-11,7.124376663013122e-09,1.6555648448098015e-07,5.398383956830001e-08,2.2726681353717766e-08,1.3358329899845316e-12,2.678011665599739e-12,4.2703261543250627e-13,6.0402229415567e-09,8.62408992135087e-10,2.606941744847261e-09,2.3196256676301905e-09,7.901670175570459e-10,4.49451188529848e-10,6.108447603151504e-08,6.196000425056817e-17,6.835815343218998e-09,1.0736845862911016e-08,6.741015580297622e-08,9.647390035770258e-08,2.3407828841851366e-07,2.1422569283358638e-07,7.254628463515642e-07,6.569711340748674e-13,2.414704390342939e-12,1.445417875448454e-12,2.698838098511643e-10,3.1765965176696947e-10,7.093222951151728e-09,1.482649292454492e-09,6.17476588386517e-09,1.0755174864827602e-09,2.888781532311361e-09,1.5406363297376298e-09,1.4529670275705946e-08,9.145790601709113e-08,5.30508210638179e-08,8.007582228944877e-12,1.7174840060478643e-07,3.515672559813251e-08,5.228270099519518e-07,4.65868648671782e-12,7.73645591483267e-14,2.4439837619801336e-13,1.2762367584336173e-09,3.1811014915687777e-12,1.214184795271618e-10,1.3914619655824794e-08,2.5142871863376112e-09,3.8168284950905743e-13,3.012952905415132e-10
F1,Times4,6.170646495947471e-12,8.898747788676972e-12,1.5398806987667428e-11,7.636423657046788e-10,7.741898694680655e-10,3.614864607170494e-09,2.5516403973481882e-09,4.3281418454350455e-09,3.879875055084722e-09,1.8698864898511924e-08,2.874851634150644e-09,2.8105178940918266e-09,9.746385966035694e-08,5.6712319839204865e-08,6.813150872806249e-08,4.127754219881478e-06,6.177831123449012e-07,9.588369313847405e-09,2.1224929787240482e-11,1.66414802408424e-11,9.599012969832918e-14,1.8681428467262315e-09,1.305197099584194e-10,4.372674995876442e-10,3.417847689303877e-09,1.9930818758685634e-10,6.2000414584856076e-09,2.095637030827986e-08,3.997103499047582e-09,4.502226531749327e-09,8.817173363203739e-08,2.260970253098749e-08,1.6055946339664826e-07,1.4003728472450143e-06,1.2098223169442737e-06,3.4140701897444067e-06,1.1080268942609988e-11,7.142739098077175e-12,2.4054190541054524e-12,3.453797977933355e-12,1.2663229426805774e-11,1.846417789904652e-11,6.873937567001151e-10,7.764447727532957e-10,7.423038487338543e-12,1.6173266565215728e-09,1.3807497957467242e-08,1.4413811857544764e-08,1.330283428572009e-07,1.3302408201881164e-07,3.7644290173867054e-09,2.4001269422997786e-08,2.2583669898644725e-08,1.1405442975601763e-07,2.5975366398050663e-11,2.479873454711034e-12,4.4655484331614505e-13,2.6844565507112055e-09,6.564762254247076e-10,4.753245355403002e-10,1.1987865112805187e-09,6.261063668812571e-10,4.930145668106869e-10,2.9715151636833476e-08,1.0546210156103014e-08,7.6965155451155e-09,2.9319607589170562e-08,5.060264045189406e-09,1.2096670417413821e-09,7.671782315423845e-07,1.8918950953655118e-07,7.00662942805325e-07,7.777553386613276e-13,1.7931609908159406e-13,1.5736156562965572e-12,1.0210789055621609e-10,1.2799700934135896e-09,2.989175095723119e-11,1.0743386841189174e-08,1.429701282006507e-08,8.922432552793468e-10,1.7289772776442209e-09,1.825371899791604e-09,4.193576655833741e-09,6.911897821816356e-08,8.965584115513714e-08,1.1484539825823752e-07,4.522545771608816e-08,5.212516837721379e-07,1.4642193688980282e-06,1.0255023053837404e-11,1.9823712094935422e-12,4.446801886266014e-12,1.4627280542498184e-10,1.102974638228478e-09,6.093819721292827e-11,1.4189745274612204e-09,4.201748259021105e-09,3.9073936706519537e-10,4.0241873767737556e-09
F1,Times5,4.005618423670662e-11,7.2594420621486615e-12,7.783880542260328e-12,4.973470570068629e-11,1.677104150434298e-09,2.0579396212704373e-09,7.730366099342327e-09,2.0606794099045122e-08,5.268946044633988e-08,1.7690381299549126e-08,2.4959736546758363e-08,1.4624513795477714e-10,4.890343007766979e-08,5.11928739964198e-07,4.6545761623397503e-07,4.2104613002175124e-07,2.7281766555674023e-07,1.6127844897987997e-09,1.1056419613820419e-11,9.879601344420422e-11,4.103486520564753e-12,2.793533620980877e-09,6.143813123896512e-09,1.0581575354766925e-09,3.3411757413601135e-09,4.4892117333642794e-08,3.706621588946973e-12,1.6920607850292605e-08,1.0875410277745503e-08,4.827275743421967e-09,8.057701464170726e-08,4.377150577329605e-08,5.8979764598916735e-08,4.0265566560544074e-09,1.3617199987773528e-06,1.5058304658150924e-07,5.211874101017022e-13,1.7274931584233255e-12,4.012576808081556e-13,7.819625948030699e-11,2.716135491688713e-12,1.9821441021478508e-10,5.448969266212864e-09,1.1473422701422313e-10,2.397833147328389e-08,1.408282687889739e-08,6.380209735180552e-10,6.081054458897949e-09,6.550501641342939e-08,6.61692813287878e-10,6.215015712715844e-08,3.8542930521368624e-07,5.07225134332654e-07,1.922562238984272e-07,9.496336089519652e-13,2.119720949815392e-12,4.265017663636823e-12,9.412301245562434e-10,1.9951179676588997e-09,7.527163435412155e-10,3.029354799295889e-11,2.7951453939216142e-09,3.0715168031863313e-10,5.677999340716493e-10,3.782981897856939e-08,6.201421942618764e-09,1.9512757479943505e-08,5.530646917701516e-09,6.063693148919164e-08,1.3146537358259492e-07,9.443889671760599e-08,1.7035278998756497e-06,1.3261000671440204e-12,1.7017544240421784e-13,1.54180390799672e-12,1.8645913996367727e-10,5.5680490846650635e-11,2.5315016379958176e-12,1.665125344392572e-08,1.751496031893448e-09,3.7240290462656206e-08,8.656478298288084e-09,2.0026933460714312e-08,9.140012716744002e-11,1.4737701458228218e-08,1.0765992228545476e-07,2.3738451292840008e-08,1.163581001573882e-07,1.9318449916032177e-07,7.539427578045576e-07,2.7260002944331737e-13,1.1270561102484142e-12,2.439015607662199e-12,2.335525516651657e-10,2.803399921464809e-09,6.928141015458107e-10,2.3315335561933333e-09,7.248580767049373e-10,1.7420413385302872e-08,2.7388472550595287e-09
F1,Times6,1.4860557252287778e-12,6.764177300543814e-13,1.822792678274279e-11,2.7345324157227856e-09,3.966658598823644e-10,3.174066255141448e-09,5.570676798844237e-10,3.0363051547785066e-08,3.6185936646444783e-09,6.713066158617923e-08,7.320927566522473e-08,1.3610047799282073e-08,1.0165176820199692e-07,3.860465075108893e-08,8.42845757705673e-09,4.74500560670199e-07,9.46327377990595e-07,2.8093613332970646e-08,2.8748393029952556e-12,7.741050932787525e-12,2.7281608957020686e-12,4.662928916608091e-09,1.2720022929427434e-10,5.664795072110552e-10,3.3509629244659886e-09,5.409729524102034e-09,2.7743808188042087e-09,6.520105940521283e-11,1.232271528265417e-08,1.0805357695491625e-08,2.0427017827143213e-09,3.1235739631948255e-08,1.9099221459412376e-07,3.294573361796679e-07,3.8815949182632025e-07,7.985629763731926e-07,2.8806044636287673e-11,2.5787696651205976e-12,5.461431362060364e-13,5.363848096793553e-10,5.3792721097339145e-09,8.192237835629692e-12,1.9191101198760285e-11,6.5826516590529565e-09,1.1917858595108735e-09,1.2568240688441879e-08,3.310509749814592e-09,3.2950909025807054e-09,6.443030573837619e-08,1.0337940591953322e-09,6.253973178338559e-08,1.57518492998234e-06,2.465319669480112e-07,3.917739214616481e-09,4.865737074246521e-12,1.0438106405839377e-12,6.159060235418741e-14,3.556247838530334e-10,3.269369887995741e-10,8.605315880192773e-10,2.7718938036678657e-09,1.3505137846017327e-09,2.3018917298985027e-09,1.693356481126098e-08,5.850920961692436e-08,2.1228731926528374e-08,1.1887288587662328e-08,1.0675200727800061e-07,4.8457158793144326e-08,9.474245576569367e-08,4.427618673365888e-08,5.170812696294661e-07,2.8470750656909885e-14,3.7139590189930793e-13,4.520877582654904e-12,3.3017367240486604e-10,1.0405927879692196e-10,1.6479708700473366e-09,3.2819982076588524e-09,4.670200429401371e-09,3.301498109355265e-09,1.5574706274274742e-08,3.0273783069240256e-09,4.820867682566718e-09,6.584964733164051e-09,1.5190171211663775e-07,8.326519245153404e-08,4.621843976045576e-08,8.111390687523366e-08,5.7624103877566596e-08,1.8807742009754347e-14,1.935459162087306e-13,4.6168692362172555e-15,9.529040882602092e-11,9.432751111265458e-11,2.0901459498671484e-09,4.95123112827308e-09,2.3858610108311077e-09,9.014803679557613e-11,6.1201731137232474e-09
F1,Times7,5.459008610492113e-12,9.685749619794671e-13,1.3948681092330052e-12,4.459144603074585e-09,6.9183080392440605e-09,4.550992818138971e-10,5.62887338237448e-09,5.998899037373642e-09,1.1382605510427705e-08,2.210137830541074e-08,1.1698806783293697e-08,3.40855025416577e-09,8.820419012170243e-10,3.028462591820392e-07,2.0066172369786902e-07,6.308527746595197e-06,2.436865267943815e-07,1.620943829035494e-07,1.4974951346740954e-12,5.656096565958043e-12,6.9285067849573624e-12,1.4718099684719544e-08,1.1877266078083448e-09,1.1613173372736566e-09,1.8002886302341137e-09,1.0296036538335444e-08,4.14289637211752e-08,2.861409346007752e-08,1.667342824535559e-07,1.044649009270131e-07,1.654514339474779e-08,1.7274252348749915e-08,1.372215540861829e-07,7.740461577239623e-07,3.894675426287827e-06,3.2452425352324e-07,1.5702343993983688e-13,1.1008388874195776e-11,7.231708335787166e-13,1.0594100125366095e-09,4.8059312811610134e-09,5.30265825427041e-11,5.162356865160495e-09,6.492630720210271e-10,1.8023314065470394e-09,1.0875826529012765e-07,1.4159984757148544e-08,5.664996713215292e-09,1.205403703662612e-07,2.385227010972261e-07,8.681615282113735e-08,6.077434327875116e-07,7.302389866975368e-07,2.274158661976484e-07,8.207789835325681e-13,1.2152333603950157e-11,6.13865296570391e-12,1.6774626782886112e-10,3.964792043580417e-10,4.839894562540737e-09,2.973830233111948e-10,6.029708242070498e-10,1.029856764948175e-09,1.7966292590928366e-09,1.0599705456126186e-08,5.4100974688484995e-09,1.2020565079154755e-08,3.0141494314446314e-08,8.235904286277624e-08,1.0822840097458067e-07,6.836814226169647e-08,2.697227173410508e-07,2.6668528557848873e-12,6.621668064066461e-13,4.8343115847857e-12,1.1044117788020249e-11,5.156775706329565e-10,2.6659344794806143e-09,1.8388765565563178e-09,1.7042373665128066e-11,6.3783904392068105e-09,1.23946052147679e-09,5.189239735713523e-09,8.951140492569599e-09,2.0317234671478834e-07,8.114012982804815e-10,1.2571647779238698e-08,2.759113060937339e-07,2.9123059464084803e-08,4.6857503536602143e-07,1.7213810678698756e-11,3.5946162869005915e-12,5.868272735489733e-14,3.0973524937825307e-09,1.4476088011526952e-10,1.539395209585657e-11,1.1005814738010933e-08,2.1085274502362444e-08,3.742235076230857e-09,3.568139074466551e-09
F1,Times8,1.1268118573614659e-11,1.6735096131731115e-11,3.1394565888813297e-10,3.093055552281852e-10,4.1096480692883196e-11,2.468891641535447e-10,3.628031369604745e-09,1.3742640112130385e-09,7.71149361126125e-09,2.3147366407309621e-07,2.087088956930963e-10,3.226951558351567e-08,1.8542591703722928e-08,1.1214004549518324e-07,6.488296936095765e-07,5.656334848388802e-07,8.520982634771854e-07,4.0063272342687696e-07,5.370682792624663e-10,2.6665713805275204e-13,2.9998996001083965e-13,1.731606373105766e-08,1.2223225871499694e-09,6.05772140945215e-11,4.387980440114055e-09,1.6799301363868877e-08,1.1925371582862572e-08,1.3956091972479306e-07,2.813060923348926e-08,2.445153314988811e-08,1.201003691507145e-06,2.6937929570382623e-08,7.414068049127117e-10,2.586041930248103e-06,1.8250670094017338e-08,1.2777282434786862e-06,5.294451867087901e-11,2.9036137745360633e-12,4.145607271757645e-12,3.3102577536430436e-11,1.024252536541228e-11,7.457383033833425e-10,4.252096257882494e-10,2.8604069003868805e-08,1.417241235922109e-09,2.2200605385437245e-08,1.0365221087744523e-08,2.3160019352162047e-08,4.195539056950282e-08,1.7141457749333568e-08,2.4781078172808082e-08,1.23624830260485e-08,1.0142413653293937e-06,1.0849040660532558e-06,6.023921209500704e-13,9.831615824504633e-12,5.016230443222532e-12,3.9492451311967647e-10,3.05973217935978e-14,3.2788993397256592e-09,1.5515371131501393e-09,1.1846885796440254e-09,3.559035697852262e-09,1.4469475399587604e-08,1.2309378702259705e-08,2.452530945387106e-10,5.713847236263881e-09,1.637726601462605e-08,8.281686067925885e-09,9.735419353431788e-08,8.830074586488511e-08,1.2555013256743768e-07,1.803469416572582e-11,9.90334586140922e-14,4.006623075033425e-12,2.9787194247373574e-11,2.293467833824002e-09,4.172037638711745e-09,1.9205068713927774e-10,2.891005629094435e-08,2.7481682271109783e-10,5.894406354527955e-09,6.937842555074702e-09,1.7935308475861043e-09,4.2455969296898514e-08,1.1465179396377222e-08,8.849820454410977e-09,1.7913085122676203e-07,1.7011210502504782e-07,1.7240456911071516e-07,2.9838455711597376e-12,3.2380448926100975e-12,1.1167190227821674e-12,1.73768116859027e-10,2.6436000438935943e-10,1.8696558015499985e-10,4.700805762028815e-09,3.144855222942502e-11,2.5419522988348886e-09,5.182173175792345e-09
F1,Times9,1.9111432630410006e-09,2.2458591248604755e-11,4.5176145888131284e-11,1.7276641375224494e-09,4.1710193079610597e-10,2.7697863211963475e-09,9.663866652417799e-09,2.587534176632099e-09,1.4930643995371794e-08,1.3465027637161524e-07,1.217192932303312e-09,7.899574117439377e-09,1.218220737755737e-07,6.889664137736009e-10,3.895423623779367e-08,6.031229500737464e-08,1.0017139771679839e-06,7.893931185319001e-08,7.872061557230402e-12,4.3460495609410535e-13,3.480520967035355e-12,2.3772154268638384e-08,8.971437563267338e-09,2.2197150621362516e-09,3.8121416625515694e-08,4.705305169634884e-09,4.4735469654131595e-09,1.1179730571968111e-07,1.9031650062006606e-08,8.20266168999676e-09,2.296124990353547e-08,1.4024037612679861e-07,4.21678480030985e-08,2.3118148295706513e-07,1.2681026842090178e-06,3.9463606860454597e-08,2.9340762714027476e-12,1.9073248842231187e-12,1.861939067726561e-12,4.062913962556717e-10,1.2384628089484512e-09,3.2900635638261955e-10,1.0208398988224944e-08,1.3925120974798932e-09,8.878362642900675e-10,6.1335029547479e-08,1.0877929915083639e-08,1.5206076829859712e-09,4.045926272251676e-09,1.114259262599882e-07,6.260498223156296e-08,1.364547128924215e-07,1.3401045872263956e-07,3.482005541906733e-07,1.334169780181817e-11,4.6794153994706444e-12,3.0393382197246415e-12,2.1081731467035566e-10,5.314381245100591e-10,1.1537122952768097e-10,2.5926931302554778e-09,8.371118302375436e-10,6.974718383634093e-10,3.798756680072569e-08,1.6540892445604131e-09,6.843666745845578e-08,1.2586440108300776e-08,5.1289993419673914e-08,6.379065899192327e-07,2.720016210772367e-07,2.0701716006830307e-07,3.6867708847743116e-06,1.1278145651683363e-12,3.667252937447263e-14,2.6740163375586194e-12,8.280285152992123e-12,1.066102216638112e-09,4.648361792438307e-11,7.262126882591378e-09,5.705973571299443e-09,1.897544387516513e-09,9.425509998089236e-09,1.0251714716962476e-08,2.152962568559071e-09,1.3609389124975547e-10,1.9557021943841125e-09,1.726915876596488e-07,1.1663779396359228e-08,3.0722477893375085e-08,1.900605722509055e-07,3.440298062868746e-12,4.1388030062727225e-15,4.221595876304386e-12,4.900242788656191e-11,5.230930027940979e-11,1.7262555532733571e-10,2.7462458669001896e-09,1.0976864781827648e-09,1.9428380782077775e-10,6.6013453346790615e-09
F1,Times10,0.415939638801188,9.329957745457182,2.3557580836901968e-11,6.885000317772598e-09,6.6553364626648426e-12,1.042040611277732e-09,3.465375614780067e-09,8.805922531255903e-09,3.914838484727038e-12,7.784536797534718e-09,2.2346977473231948e-08,4.623546734213482e-08,4.81088503953536e-09,1.2781834083222258e-07,2.1536182054025416e-08,1.1661237879415025e-07,1.980062606871082e-06,9.565521360968813e-08,1.2496335259606194e-12,8.592153557892798e-13,1.4613942790005303e-12,9.22080550470647e-10,2.904377620688997e-10,6.543135190308751e-10,1.3958738274702036e-08,3.0464549714287928e-09,3.908527483661608e-09,2.583368185359938e-07,7.398149652296864e-08,1.8089788315036008e-08,2.0428285053379412e-07,1.3623401230415753e-07,1.5679730792254408e-07,7.892072534469047e-07,2.3400191258450825e-06,3.487696043612727e-08,3.0467114103336488e-12,6.345859168872383e-13,1.2966197422292826e-11,5.879931077187958e-10,5.122162452841659e-09,5.874170854794655e-10,6.615282460569921e-10,4.474117265579461e-10,5.1013253458266835e-09,4.129114006217124e-09,4.1103150481831366e-08,2.03363282730627e-09,8.441147161884534e-15,2.067535546971607e-08,5.649878237862507e-08,6.65845476441778e-07,1.270333620933819e-07,1.0887548557573378e-06,1.4211823347281117e-12,9.315343021445123e-14,4.3245376389263913e-13,2.3022030966985178e-09,5.0018849877113805e-09,8.872385220380323e-10,1.4873973489111429e-08,5.35669411229728e-09,5.991738019018321e-10,1.561510700469087e-09,2.0049192830068464e-09,2.836068745923885e-09,4.993629230890752e-07,1.0811443636133316e-08,8.226196496346014e-09,4.0631141070454027e-07,1.359336661879513e-06,4.882303183947195e-08,1.6031988396947393e-11,8.923224300755462e-13,5.594806389316169e-16,1.216029670311729e-09,2.671493135859132e-11,8.551093358833572e-12,9.225280581325617e-09,1.138219448119406e-09,4.789962340253158e-10,4.050908492460419e-09,3.416788491650826e-08,2.952510868420269e-09,1.1469687867384044e-08,2.4395221814285478e-08,1.2610125264132532e-07,6.2888028923253605e-09,1.1092529955897853e-07,2.3726888855231368e-08,1.804472476268701e-12,5.642481984725586e-12,2.4021487036938734e-12,3.9718882422387643e-10,4.0708201565505445e-10,1.1252806299447123e-09,2.1730773199715857e-09,1.6511518756585433e-09,7.1408214965310694e-09,5.1572508477778096e-08
