,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,1.6017379546860212e-09,1.006021207408801e-09,6.116693947665699e-09,9.066178358350258e-08,1.8455670412247396e-08,2.009697079551093e-07,2.9692736387781425e-07,5.573312608098721e-08,3.765402267143861e-13,4.183160985813881e-13,2.700591709759256e-14,1.5395372173820561e-09,3.193281389378461e-12,9.021321182553598e-10,1.6863507681021865e-09,8.992560001871176e-10,8.688809075986161e-10,1.643632762635288e-08,6.990628619219866e-10,3.4871235796356534e-10,1.3106718836483486e-09,7.850686822245757e-09,4.873809341203253e-08,2.3797930187842822e-09,2.1551336386047697e-07,3.335513814737725e-08,8.521511772104678e-14,5.738348883138823e-14,3.8039102338878383e-13,1.7856043316801042e-10,2.5111427521362456e-10,2.6500468351073767e-11,6.25945149305531e-09,2.9147539883379004e-09,3.7925332632800697e-10,3.840006450300579e-09,2.361147207479903e-09,1.2587297572826805e-09,3.196007498055054e-09,4.82409222933837e-09,1.9646710324336778e-08,1.0066759717006621e-07,1.0872904882158541e-07,1.0202108536183071e-08,2.2709061723395302e-13,4.118217435673722e-14,3.6971421623922897e-13,9.447214001123104e-11,3.3032662917487236e-10,5.912573407913895e-12,1.995111300563106e-10,2.4431152139343494e-09,1.3710302243360264e-11,1.4342930944737986e-10,2.0431391743538758e-09,2.3085577498367458e-08,1.907201826741251e-08,4.733150949291661e-09,1.0851183339662714e-08,1.8967785518510363e-10,4.662114091753629e-09,2.999696994468856e-07,1.9930920333256415e-13,1.2170630775773326e-12,9.337541913621028e-13,5.1038354902905675e-11,3.1048320621988177e-10,9.762991708059123e-11,1.4118457561480706e-10,1.3112113086354795e-10,2.2223210260231167e-09,3.3586710890274896e-09,3.0048463832378364e-11,1.0656998313671152e-08,1.4636778949547878e-08,3.702448118758498e-08,5.101742311098892e-09,1.010940037014546e-07,2.923979437344702e-08,2.572780649212845e-08,1.5377974959745482e-13,7.30833332600319e-13,6.201968271024316e-14,4.584146915659297e-10,3.229623732324135e-10,1.517878944546501e-10,9.46372399242573e-11,6.116762871923943e-09,2.870086990721997e-10,5.714196807623446e-09,5.42516141546923e-09,1.550988634666596e-08,2.6605173515230697e-09,2.775823399371561e-10,2.601074270941888e-09,4.0580240387342165e-07,1.2213210058285096e-07,2.4661373699627475e-09,4.2790746294022805e-13,2.6905142655907604e-12
F1,Times2,1.949024250571852e-09,2.7158624675763143e-10,5.0527913932734255e-08,1.2285620850148721e-08,1.0469424406175443e-07,5.294559618666942e-07,2.0003062007387117e-07,1.0068974547080928e-06,3.067637857569666e-14,6.044543233664812e-13,7.961385465477109e-13,1.1494418311618765e-10,1.1700666178200975e-12,1.8470052562939426e-11,1.3310623323081197e-09,3.598915146620641e-09,3.5532361637511947e-10,1.7972385900022142e-09,4.809283656502554e-09,6.398218942674311e-09,5.16379255804594e-09,2.6353934348054228e-09,1.4594400688794679e-08,1.4023423706027396e-08,2.7079346486768045e-08,7.321385759951279e-08,3.12517432830261e-13,4.266877716815306e-14,1.2767022342356388e-14,2.3791103822286004e-11,1.1959385371016291e-11,4.71241405564867e-11,5.55147105925308e-10,1.5927969572554203e-09,8.946032182577271e-10,1.0963526607631498e-08,1.034092274013563e-08,7.910501382340363e-09,5.7108775113458794e-09,7.1886908482834635e-09,3.5502089376530654e-09,5.43060160251902e-09,6.077601701501208e-09,1.0994149780408075e-07,2.7843879584204643e-13,1.0568575678510572e-12,3.353846498825299e-13,1.5053012531849807e-11,2.94767950353385e-11,2.703784360589436e-10,1.7751026815330238e-10,1.0843325161562771e-10,2.4109431890715074e-09,1.2440304603613643e-09,1.3858380008471953e-10,3.6237742484542305e-09,5.880713409309742e-09,2.92296170769451e-08,4.538891410030132e-09,1.310573141121223e-07,6.96482146305789e-09,7.46734814978105e-08,6.916458112214799e-13,6.627855447801193e-17,7.233152592248461e-13,1.402187738126764e-09,1.6500622210505034e-11,4.8952194926297875e-11,9.968910168131798e-10,1.7718866397575147e-10,3.5017106442963925e-11,9.579476769465951e-10,5.113594373616068e-10,3.7075553969959236e-10,1.7264565827865894e-09,4.9351050160107e-09,1.1414458330397401e-08,4.19693884520804e-07,4.014049940212823e-08,2.7203230602884547e-08,1.7815627616091674e-12,6.584893700429962e-13,2.46701815694118e-13,5.273347655237815e-10,2.4531555579814284e-10,1.939358749967989e-10,8.686254648490346e-10,3.805770945919893e-10,2.3676440018106797e-09,1.190795148004934e-08,3.0147795929253335e-10,1.938458470665189e-09,2.313609441473451e-09,5.339440551706632e-10,8.818226612442339e-10,5.473184179092607e-08,4.0779361002169036e-08,6.198722119865335e-08,1.2849854047236718e-12,9.594929138598797e-13
F1,Times3,5.745561368866332e-09,4.956641530236365e-10,1.4011983642674253e-07,1.7391958563212062e-09,5.209038780760581e-09,1.1585140732184216e-07,1.426496270427646e-06,2.6715910459121274e-07,3.133546330426853e-14,6.529454422114223e-14,3.0340600201319187e-15,2.605238671441052e-12,6.208769892771121e-11,8.98908208793143e-12,4.3273540563056635e-10,6.528222643985283e-10,7.043727929733621e-10,2.132153960908952e-09,2.0180872616713383e-10,1.7198853174308489e-10,3.9629114230485666e-08,1.3017106793464718e-08,7.54475197971683e-08,1.7245245434567515e-09,1.5340570957232803e-07,2.806900461157286e-08,2.815472207791217e-14,5.208838163920248e-14,5.4550318684282377e-14,4.933936989120858e-10,1.3235748974353934e-09,8.96187254748185e-10,1.2412936833321503e-12,5.4337513225343614e-11,6.28140324105497e-11,9.377105486946174e-10,1.8328950375747054e-09,6.686855125213638e-09,1.2340866309261595e-09,1.3463069503493692e-08,1.2904310460062058e-08,4.398667279173747e-08,3.19659466375459e-08,1.2611398453908674e-07,1.0555322416056832e-12,2.5016007920085146e-12,3.9865202413899125e-13,1.1567481036434637e-10,3.691703579628784e-11,4.811461734690134e-11,3.6047166158677845e-10,6.948245135515574e-10,1.5159700033404062e-09,1.1229226974850584e-09,4.566771001271111e-10,5.637931210984618e-09,2.3596081077074056e-09,8.998134372107996e-09,2.8385545745421198e-08,2.509699679514172e-07,2.5873691457485514e-07,2.975696927323248e-07,1.6120651357472308e-14,8.782552295613855e-14,4.413110417530549e-13,7.466336435509927e-11,1.37738008636127e-10,1.3008514533304251e-12,4.357682659358452e-09,1.2478403363536981e-10,4.924603807781417e-10,6.153188017400515e-11,4.449694024801682e-09,8.826420617930851e-09,1.9442364168070668e-09,8.294406268999875e-09,4.218531236158083e-09,5.221952924636914e-08,1.5617859885301865e-07,1.0859989708385667e-08,4.2414755910129957e-13,3.119670919200325e-13,9.359959921677957e-13,2.926178351553173e-10,1.7063936756081266e-10,2.505552211139551e-10,1.0183258320454518e-09,5.069259164443472e-09,2.011319516365115e-10,1.8137971132214665e-09,1.3985225249614863e-09,6.267558130827524e-09,1.5358209994138388e-08,6.866114254256381e-09,5.4226384691588154e-09,5.28360760701705e-07,1.0358705331337054e-07,5.260702518925982e-09,1.7573630106317538e-12,1.113243063435936e-12
F1,Times4,7.733746404558167e-09,5.4609373452060226e-08,9.403867227681705e-08,2.857380332019872e-07,2.7866460428092897e-07,1.584513830239739e-06,6.111387588106667e-07,5.087575202617521e-07,1.447859367102869e-13,4.892750896060383e-13,5.805675335802134e-13,4.163676496667124e-12,1.7550828928497265e-10,5.1483966957597787e-11,2.055177169494888e-09,1.7364508782057408e-10,1.3033510209320142e-09,2.570355618019182e-10,7.1993094093023704e-09,2.1787169439308604e-09,1.1047242956118337e-08,3.2609117542658835e-09,6.6756123990912e-10,7.055147535494522e-08,2.4054415872540968e-09,5.760758744447403e-07,4.6524239821121934e-14,7.735878159221618e-15,7.257475296441193e-14,1.6479057299069018e-10,4.5507350653531144e-11,3.879975562743229e-11,7.233149314530279e-10,1.8836538830023928e-09,7.893722878939817e-09,2.3090977273917416e-08,1.3188006625225944e-08,2.6995726827005656e-09,2.0161613632452004e-08,1.412206043977719e-07,1.7870035477558375e-09,3.5592397599184063e-07,4.90666391159477e-08,1.5677734251811541e-07,6.682941404365274e-14,7.662221278813395e-13,3.2473150735524884e-14,3.759951800504842e-11,2.739850310721641e-10,3.290248018848034e-10,7.279228693484626e-10,8.38488472665556e-10,2.296047747315844e-09,8.588555265204557e-09,1.2141477192932947e-10,4.327135031695071e-09,1.7549789473494515e-08,1.9324625050575552e-08,3.115826784757358e-09,5.519467468564733e-09,5.327634083885848e-08,5.792728064259551e-08,2.7296942834688056e-14,9.349273056580426e-14,3.801435027227817e-15,2.2201582667488075e-10,3.167556365957487e-11,3.998863935350744e-11,2.75733357596786e-10,3.388493170141548e-10,6.871175310023263e-10,1.903159025136171e-09,4.454552497417405e-12,3.481743355925123e-10,1.228127129265749e-08,1.4417726718193162e-08,9.533496574740633e-09,3.8926116993757197e-08,1.1032319033709639e-07,1.7170935878702074e-08,4.203989380110111e-13,5.745512900924057e-14,1.2641923960334402e-13,2.3907107474554027e-11,1.7315437531614162e-10,6.70306557065343e-11,8.842385127337978e-11,1.1522309198687282e-08,3.0621671575832165e-10,1.299355705480655e-09,3.4338921127772772e-09,7.496122526713402e-09,4.633264188729997e-09,8.345417901399473e-11,1.1274711483025601e-08,9.885031556469433e-08,1.1389428973427136e-07,2.2609213420255813e-08,4.191237671192806e-13,3.1660414454178037e-12
F1,Times5,1.156420130260254e-08,1.580916837414193e-08,6.923755489550011e-10,1.976548635146166e-07,1.1878877021309441e-07,2.971808707972168e-13,2.5622917155607504e-09,1.4181544592191413e-07,7.592165261056783e-14,6.333051383840345e-13,8.865005636958613e-14,2.486358798671403e-10,1.7297189116865555e-12,2.584228120948322e-10,1.3549894934235876e-10,5.708741965879962e-10,2.0800010099378427e-11,1.898565411608573e-09,7.64489615514235e-11,6.688858679305791e-10,3.754321598686262e-10,1.3078971422137067e-10,9.091844858093496e-11,4.46088703392904e-08,2.0319874937634565e-08,1.663145890350918e-07,2.1823625645670968e-13,1.4089740645859164e-14,2.600205140831168e-13,3.051255347723137e-10,5.918555622122813e-11,5.7682335867260804e-12,1.202299605226509e-09,1.0005400013932188e-09,2.1751191787052306e-11,1.0866023690103722e-09,1.288081164906968e-09,2.4871929411217788e-09,6.233217158209002e-09,1.2651090437245299e-09,9.239618254392624e-09,4.2194532404935705e-08,1.8985046613779912e-07,2.6811941510423105e-07,4.114960164396196e-13,1.0656985142230624e-12,6.24199158299523e-14,3.7397755171149386e-11,1.3526514269907253e-10,9.316155865838879e-11,1.3826598768016546e-11,3.971721101018992e-10,1.7210288847767705e-09,7.610412787505769e-09,1.6661687192397473e-09,1.1921118554308511e-09,3.405296742167366e-09,1.2164796540164284e-10,5.511576051781725e-09,6.059478843395674e-08,4.4132406884290854e-08,1.2012220288360157e-07,1.4352865906200062e-12,2.6971774504479054e-13,3.2761064089540397e-13,2.445886913075601e-10,1.3254909516624332e-11,3.638882868845342e-10,3.4400487240408085e-10,8.749447097821416e-11,7.871054538442673e-10,5.466897746207553e-10,2.4032489795332517e-09,6.4966008233483e-10,2.195794423235235e-08,5.856980215043233e-10,5.145234139851851e-10,3.90883038893661e-08,9.266058633749609e-08,4.468388958324371e-08,7.567841056742731e-13,9.46291121356013e-14,9.896599213878336e-14,3.4252833701903986e-10,1.1044465721960258e-09,3.117099750276878e-10,6.744561156751273e-10,1.1366672646761365e-09,8.700999149829834e-09,1.4654296596222923e-09,2.498489516774751e-09,4.073667218710004e-10,1.9348111401715488e-08,2.5309740005966644e-09,2.7646202990724582e-08,1.264294534140618e-08,5.7944325931961943e-08,2.9492561297741374e-07,1.8175195525251757e-12,3.049315359182512e-13
F1,Times6,2.73599334791717e-09,6.687295880806545e-09,4.1198609310283445e-07,4.578899874745254e-08,5.806295336660421e-09,9.430709652840665e-07,2.3623757849005288e-07,4.314418113945353e-07,1.2542549094127907e-12,2.2722999431158877e-13,7.289963580657879e-14,1.1352705380888838e-11,2.156301600696706e-10,7.069244529307362e-11,3.95592842424865e-09,8.50504350376045e-10,6.743357378514311e-12,1.1633445268931971e-11,3.591199006564218e-10,3.3337150018096623e-09,1.199541105165846e-08,1.6626767997196102e-08,3.464661211394501e-09,1.6131807507439671e-09,3.6687149975524323e-09,2.357342252579873e-08,1.2112694852573783e-13,3.326580690491704e-13,7.01342424152581e-14,7.978899749789242e-11,1.28619298221423e-09,3.098650236820766e-10,5.827308993309286e-11,7.072502682659206e-10,3.866878268834231e-10,3.687726123172956e-09,1.3243604947934847e-10,6.301800606203459e-10,1.6361598828203596e-08,7.714121792873254e-08,8.365282964209339e-09,2.215829840950031e-08,1.5221068620693111e-07,1.4587970155658246e-08,1.0530977925006535e-12,6.123657353495333e-13,5.67025617349565e-14,2.436300207003703e-10,1.7970846342423766e-10,2.746548393992404e-16,4.2075522557048194e-10,1.5625292963160752e-10,1.518596603355756e-10,3.449693667036781e-09,1.4438381679052478e-09,3.391575968442506e-09,3.978313286383141e-08,5.2677105632089535e-09,2.0932846978111545e-11,2.7904082942151623e-08,4.5386933986138116e-09,5.6246306046478985e-08,2.8627515954556743e-13,1.3564414670062815e-13,6.009121379286414e-13,3.5257182218588996e-10,3.3287025593908223e-10,3.0750726157184126e-11,3.76565965895949e-09,3.1511422076178365e-10,2.0625186246335307e-10,1.579152551724517e-09,6.258876283587006e-13,1.1228836366532666e-08,3.5036678780352643e-09,3.6861356115089195e-08,7.979156163297606e-09,1.121654388131621e-07,2.0410668069266727e-07,8.108621975078859e-08,3.4531250457558456e-12,8.678788327916557e-14,6.714345594711429e-13,3.283468196991937e-10,8.471581992162876e-10,1.7968333487414932e-10,1.9352616675117153e-10,1.9511169138532793e-09,8.31200331779375e-10,1.0334653644209e-08,1.7031524068274623e-09,8.148962750861037e-09,6.669103537417748e-09,3.7242488490447163e-09,8.44811066155998e-09,1.8917663609821763e-07,1.2259288300209288e-07,8.560425224047078e-08,1.6983859054571266e-12,1.4463803047531812e-13
F1,Times7,2.998515938292226e-09,6.54468952445493e-11,1.9802603643687098e-07,2.3563845888470807e-08,2.3034639112632567e-08,9.69869130534207e-07,3.211157900975841e-07,2.9034009722205185e-09,8.467206549361598e-13,3.665724666228881e-12,5.423526420194397e-13,1.1783126415435713e-11,5.944137967731308e-11,9.76841137386256e-11,1.0421085660588188e-09,4.820512540818215e-10,2.689757977147958e-09,8.23339911063634e-11,6.383056983050995e-10,2.059440779082913e-10,8.554945887978687e-08,2.0315279749213992e-08,6.938017918888272e-10,3.899303006408997e-09,1.0758360165702264e-07,2.0408999710940877e-09,1.5258171185249297e-12,4.248870492855645e-12,2.3464125339541785e-13,1.8817043502989398e-10,1.4491565112616547e-09,4.3937761148977435e-10,2.9159165151377416e-09,6.981464727325567e-10,7.088788593504468e-11,1.7969126931397337e-09,5.4084683656924135e-09,3.9398045784840825e-09,6.653738794088058e-09,1.440822820695321e-09,2.3434206706988618e-09,2.8867003966308316e-07,3.2012606949096944e-07,3.5447707524098046e-08,1.2718646534159836e-12,2.483218418211936e-13,2.7172816781183557e-13,5.081954143927963e-10,4.459800978919762e-11,5.7625141588866284e-11,6.78678327192472e-11,1.611260636901595e-10,3.540634111792095e-11,8.734414713223558e-11,7.309806024902081e-10,1.2614187722111082e-11,1.2612497628619948e-10,8.365909600537571e-09,3.3446265734818576e-09,3.502449370448262e-07,6.051763583911541e-08,7.796025089994905e-10,6.979441591646627e-14,1.1083990535802956e-12,2.892865113701897e-13,6.988641215936449e-11,2.444325212504377e-10,2.359595294782717e-10,1.0440761104802237e-09,2.2122347741536833e-10,8.35298872380044e-12,6.237903596126823e-10,2.6910834877953885e-09,4.78240122209838e-10,6.314958538231454e-08,1.9815651681088405e-08,2.991273701679491e-09,7.421725895291338e-08,4.790993073163534e-08,8.23511298899174e-08,6.071419656013304e-13,4.682516779372414e-13,4.2148032699893567e-14,6.93249703316543e-11,3.24982515973375e-10,1.778454492937636e-10,5.025548730129006e-10,3.2167496627930715e-09,6.494791186123638e-10,3.3991942370426932e-09,8.257140561443882e-09,5.448528014148558e-09,5.6036683004570446e-08,1.4481534676758739e-08,3.229207472785564e-08,2.7325799201215788e-08,1.0273040869295018e-07,1.2370965956451573e-09,3.37949873359176e-13,3.811674243814646e-13
F1,Times8,1.7606917076957602e-09,1.9049053836525423e-10,9.011673780581133e-09,1.5661249683932423e-08,2.0698560460469706e-09,6.86874960448245e-08,3.116637426630112e-07,5.992284270288236e-07,9.728104746487279e-14,7.262209137473542e-14,3.685018346878682e-14,3.8191039566758195e-11,5.341645338444325e-10,7.276159748679748e-12,2.3030468115255716e-10,9.048725072748701e-11,9.799449841740707e-10,7.312017357801455e-10,1.5398581577526753e-10,4.789595853427755e-09,1.1484943704673576e-08,7.0112025406866725e-09,3.996118141952374e-09,4.287984955645208e-08,1.77999068015916e-08,7.712080993653991e-08,1.9709495750147666e-13,1.2345993517023165e-12,7.562502787927302e-13,1.7537066512853663e-10,7.864413790106092e-12,3.2410744057642443e-10,9.384197328883155e-10,3.7339277262029505e-10,8.960201740274506e-11,2.1872141966327447e-08,1.1060060837009511e-09,1.0735740193228147e-09,4.9017381647622746e-09,5.954263950732192e-09,1.7154580110314374e-08,4.072810071721153e-08,7.495254907924078e-09,1.109029139273552e-08,3.650899113509443e-13,4.0101262263532754e-13,3.734330880061268e-15,1.6286713426530627e-12,2.6345295562497113e-10,1.4210750804585863e-11,2.325635940842783e-09,4.248687327928397e-10,1.317395053638922e-10,7.888929094973396e-10,7.249791996021963e-09,1.2331437655276267e-09,3.6117013831325017e-09,2.4707368067830308e-08,8.401938071047046e-09,3.79345571024683e-08,2.358801567057095e-08,6.456265463042052e-08,4.0467233499907457e-14,4.389615947603235e-13,1.0265913180350143e-16,1.194130487560727e-10,9.758927797315432e-11,1.4400219154191487e-10,4.9738404117573356e-11,6.078923329299557e-10,2.14561205834135e-12,1.0272994881389672e-09,1.2711187805860587e-09,4.890339606262551e-10,1.2481013102470536e-08,4.708015173826749e-09,2.0925594015897992e-09,9.402982452162053e-08,1.2185392508845117e-09,2.2162500155362582e-08,4.8833686259178986e-15,1.0874642843035176e-12,3.1036959455962967e-13,2.547955953077343e-10,9.3428191495975e-10,1.6630429174519844e-10,5.579181610833598e-11,6.076423048998685e-10,5.033182619772172e-09,2.502137591002235e-09,1.804221158561837e-08,1.1554725051753943e-08,3.539409597773955e-09,2.7274365906975054e-08,1.0853353604168651e-08,1.4529727826983318e-07,3.4345924651708873e-07,1.0138395811913895e-07,1.0857405210064096e-12,5.024961194205055e-14
F1,Times9,1.316432868046758e-08,3.542626265474596e-08,1.424188582106352e-07,1.8081142607200757e-07,1.1173095836117742e-08,1.9589356227823912e-07,6.927649424696652e-08,1.3582357538322492e-07,1.1713354295275461e-12,1.6179827400599438e-13,2.0257589727070385e-13,1.2522227242943565e-10,2.5719125564745135e-12,1.0177406825787032e-10,7.233401344864969e-10,8.447571838090456e-10,5.487986076337758e-10,7.095292123654235e-10,3.327001604153429e-09,2.940677987524826e-11,1.2692029677554282e-08,5.940399635491097e-09,6.230601496729894e-10,1.6321003269416523e-07,1.3235433027745017e-08,2.5986191768884553e-08,3.346487543001013e-12,1.2611375044545594e-12,3.108969666253865e-13,2.920287744306091e-10,1.1860046174852065e-09,1.0135507962958414e-10,2.58850362708337e-10,1.042292970136075e-09,4.907908175473393e-10,3.216861856123351e-09,3.311584878023546e-10,5.627112303639743e-10,7.751509645069241e-10,8.550553933231573e-08,9.647342940579313e-10,4.331147449221672e-08,1.8180175721311925e-07,1.6385366904049363e-09,2.461806713706989e-13,6.026846904741052e-13,1.8824508925963446e-14,1.5799589209774602e-10,1.0921122365376909e-10,6.909247297940692e-11,1.0966847898827933e-10,8.959051878419559e-10,2.3551299078431795e-10,1.4858427618733641e-09,3.8822404709092905e-09,2.8089738349988398e-09,4.227247243480976e-09,1.6777047804419223e-08,1.3928473089952913e-09,6.539340306270236e-08,6.341745212199961e-08,2.877448375123599e-07,4.787056990594632e-13,5.255914622320942e-12,3.798525739462241e-13,1.1951150869885158e-10,1.0447157618157256e-09,4.8564373748018015e-11,4.1546130394469223e-10,3.579886298055143e-10,1.245960562513153e-10,2.6068039358769665e-09,1.5346379958434354e-09,6.695634468030259e-09,7.592927087851867e-09,1.4990869716948194e-08,2.4406202918713225e-08,2.655603128131799e-07,2.6815758304342448e-08,9.246007721552471e-08,1.3917384917954918e-12,2.465056750313779e-13,1.9190973656760868e-13,4.8104868020569254e-11,1.1791716296096968e-10,1.2215888865131826e-11,7.566110956390555e-09,1.5263585024877236e-09,6.77081624832787e-09,6.058970058360266e-09,3.987176291827604e-09,1.6930517344862627e-12,7.822128051051639e-08,3.518683473680369e-08,2.910417886034698e-08,1.667032395171302e-07,2.099170715815134e-08,2.5383218959692713e-08,6.836605533814872e-13,1.2626539530090598e-12
F1,Times10,2.2394704832464002e-08,6.758328711490442e-09,1.2320236122939474e-07,1.2632411375404521e-12,1.0162016112566115e-08,1.3635633280836258e-07,1.8503930538802414e-07,4.82536880065065e-07,2.816676811106297e-12,3.4870773011551077e-13,1.9959113192075378e-14,8.216206963982045e-10,4.3365635490430774e-10,7.092521461831854e-12,3.140129223640365e-10,6.600699048251262e-11,1.7391574107976158e-10,5.006756130769116e-10,4.298791692591509e-10,8.965009122061572e-10,2.40655396907847e-08,4.485260588260554e-09,2.116665912058373e-09,7.253452308431236e-08,7.337331792447229e-09,3.308216000980605e-08,4.976502159737455e-13,8.294711391843224e-13,1.7490525386962435e-12,2.9475056156227834e-12,3.8207203657942603e-10,8.021808270705545e-11,9.331468126391688e-10,1.5722065710844106e-10,1.3617151145247912e-10,6.500323278496175e-10,3.038219196698691e-10,1.4521482073582681e-09,2.7845851231392476e-08,1.1263411851696474e-08,4.883482313180118e-09,9.011891807354273e-08,7.501148288233102e-08,6.084213725654843e-08,6.670301284985827e-13,4.905945910202866e-14,6.27532448224642e-13,1.6185844787657316e-10,2.684247687622698e-10,1.429261420673842e-10,1.0132144022527123e-09,4.264842639699067e-12,3.4679413597275997e-09,6.914604502767285e-10,4.3096017063426344e-10,4.1148864435214455e-09,1.931228754014018e-08,7.733837444711709e-09,1.9139312368284683e-09,1.9333492991165943e-08,9.759042507161905e-08,1.4656518767799046e-07,4.4293281417486547e-13,7.011497780120922e-13,6.380046321562424e-14,2.885082051576807e-10,2.8473221819127678e-11,2.3083499423100738e-11,5.28212033432376e-11,2.1464169974786524e-10,4.509449719753911e-10,1.2801010605243313e-09,2.532477959521905e-09,1.5327315621523507e-09,8.200900601772686e-09,8.123713452393317e-09,1.9655014107141046e-08,1.643467925782929e-07,5.699664025672064e-09,2.4288040315801195e-08,2.161982063642935e-12,3.666043891636744e-13,2.2010674062293595e-14,4.8244325945692254e-11,8.873261351412682e-10,2.778316640914723e-10,1.355928361617566e-09,3.771431405693652e-10,5.286991207412067e-09,1.7876187208967388e-10,8.04731074523316e-09,7.914883195543866e-12,1.4080455710417283e-09,4.573731057541692e-09,1.0889810058725905e-08,2.7779104340613263e-07,3.3050285325519104e-07,1.883622779541304e-07,1.5306991990923032e-12,2.4665712742103224e-12
