,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,8.083342838644964e-07,5.367008552514047e-07,1.2068134818614405e-06,8.145688932337435e-07,5.76247340066592e-06,7.875069862308567e-06,9.754504118942917e-06,5.478902756881464e-06,1.903084741214386e-11,4.960650512991775e-11,2.2279193034003934e-11,7.593131502725565e-09,1.553074618098532e-08,2.4571809447457518e-08,9.3326674764207e-08,2.985082051006689e-08,1.2991422497995995e-07,4.9342267735576416e-08,9.442634066847781e-08,2.0630209062626437e-07,1.8875261655471466e-07,2.0977227782987516e-07,8.425437598111309e-07,6.797957679616377e-06,5.359155323248465e-06,2.3901959414166157e-06,2.091248432196609e-11,3.369109160039907e-11,1.5246701568948556e-11,6.561765539875561e-09,1.1388444516539366e-08,4.804569778192866e-09,1.2649281730393764e-08,1.176978356490069e-07,2.103374172295193e-08,1.1564217799015645e-07,1.329942218282251e-07,1.6265730722383468e-07,1.5800297426405082e-07,9.063261620975963e-07,6.80989093708635e-07,3.32774490260767e-06,8.460343483472654e-06,4.64947564432196e-06,3.299554468117974e-11,1.8457115359779298e-11,1.6700505277158324e-11,1.0869012240101936e-08,7.116908922676162e-09,5.5453084531159224e-09,3.319446152245773e-08,5.819359474395114e-08,3.328239670947797e-08,7.241122688472668e-08,1.476018430422151e-07,5.355512148127747e-08,1.3694141343720074e-07,4.4571690804419125e-07,4.107121394954389e-07,2.528416497818382e-06,2.145258516992571e-06,2.303831928142004e-06,7.556580121162782e-12,8.724763907727862e-12,3.439483916126092e-11,6.87026918124954e-09,6.127889712328232e-09,6.86333230853132e-09,5.951456317734081e-08,6.034599284778591e-08,2.2832802808566544e-08,1.192601833520933e-07,4.633979453831531e-08,9.401653034942694e-08,4.2662922520281145e-07,5.486110169007074e-07,8.341071305575656e-07,2.638396512728259e-06,2.507211993213489e-06,1.3221504710823469e-06,2.225307675782114e-11,3.923162711291268e-12,7.379397062379588e-11,1.0370012492403979e-08,2.454024049222167e-09,7.075730049302187e-09,6.28922936322755e-08,2.8217497010464288e-08,9.42231908742765e-08,2.5396226498983417e-07,2.2137451220106967e-07,1.3449918596040886e-07,4.226509592649294e-07,4.47669835371021e-07,1.1241601286971475e-06,6.482332034236702e-06,4.688171653878727e-06,6.1359606328846706e-06,2.4304209937139117e-11,2.936526803833047e-11
F1,Times2,1.9039879827974268e-07,3.968227135707051e-08,2.563120179583562e-06,8.902776128261263e-07,5.884393288797628e-06,1.1413111383611433e-05,1.272793681037084e-05,1.1311398782268223e-05,1.1537940652854429e-11,1.1881871068476263e-11,4.649846384565383e-12,9.475276459327586e-09,2.8651790335642537e-09,1.0181950982201484e-08,7.30376578474003e-08,4.5250806281241835e-08,5.7154639717654804e-08,2.526138477182908e-07,4.885527632089018e-08,9.171600502245547e-08,3.7291735631264327e-07,2.6643777749963546e-06,4.991077411470766e-07,4.566468601850009e-06,9.00537598021121e-07,5.559981494783396e-06,4.595700475251966e-11,9.0654956118029e-12,4.258874702809564e-11,5.081801081396525e-09,5.445387652849404e-09,2.1265626327231413e-08,3.3619945229096986e-08,7.011301287903261e-08,1.6009879853616693e-08,8.587679899312272e-08,2.477940082038062e-07,4.2466943144380265e-07,2.788359679764914e-07,1.7198813100603015e-07,9.167870352925268e-07,5.6670456695258055e-06,2.347285838127884e-05,4.3535064459775864e-06,8.08983356280519e-12,2.4689195463009024e-11,7.147223277798918e-12,4.735234486319392e-09,2.973382883758962e-09,4.0709136602472006e-09,5.16048727254603e-08,8.9490805077981e-08,1.3616181196973734e-08,1.5207550212471667e-07,5.638574659942537e-08,3.6351247590206485e-08,1.7123462349649646e-07,1.4537058256774276e-07,4.0500019865301615e-07,1.3965528474957517e-06,1.5207527819617403e-06,2.569946785346005e-06,8.547554445141257e-12,3.174510744587548e-11,1.3725691471868125e-11,1.970692141188689e-09,1.7536990796176665e-09,9.24809870781255e-09,2.3292210492808555e-08,5.0088357044165955e-08,9.989886360680994e-08,9.045786675328373e-08,1.0598380579140247e-07,6.257616963728191e-08,5.697281565641946e-07,8.513884062297682e-08,1.7437308989064993e-07,3.1144406931488295e-06,8.729654168161182e-07,1.942084231135558e-06,9.228867894679515e-12,4.189766291492011e-11,3.132735491044669e-11,1.577383744408553e-08,9.441226211001637e-09,1.4215881663094564e-08,9.910433883677937e-08,1.2800651643619077e-07,1.5912589555694037e-07,3.066301232114912e-07,9.809912783071264e-08,1.3024981655781965e-07,6.404309227761187e-07,6.840547112662988e-07,7.654704614579804e-07,3.6109215643388702e-06,2.420897698403262e-06,9.384349295464013e-06,3.757894316288536e-11,9.131331757528831e-12
F1,Times3,5.346759668873025e-07,1.1330083945526564e-07,1.700695326148232e-06,1.20119759472252e-06,3.946115344297485e-06,6.519684720447586e-06,3.937023165365488e-05,8.92577351051669e-06,1.0009589383092717e-11,1.1799400288404826e-11,1.4448795950949541e-11,5.998300196398861e-09,3.7972522325256005e-09,1.7518030505805306e-08,6.084751394130632e-08,3.9666726035634497e-08,3.9395997965374746e-08,2.3177198632160088e-07,2.836653564026716e-07,1.19800259282019e-07,1.2252037323439883e-06,1.828242696511116e-06,4.840760694337025e-07,8.787241414656423e-06,5.249126068789801e-06,4.6959201092306075e-06,1.856220113360209e-11,2.2823440938625678e-11,2.969314292259686e-11,1.0867244329891373e-09,6.6038251762185115e-09,6.849086199540038e-09,1.7676135891875086e-07,4.95980768651105e-08,3.6503655548136434e-08,3.239664213523661e-08,8.403031884430432e-08,5.791237160368361e-08,6.774623233461765e-07,7.159321207713356e-07,5.375689131570432e-07,1.2966324142386764e-06,1.6070705188874303e-06,8.848346268123896e-06,2.1132172983090715e-11,7.0620882046658355e-12,7.959161308616225e-12,7.821068379897286e-09,2.041337080894681e-09,9.358879243864838e-09,4.424479228293453e-08,1.5760688322514003e-08,4.635957176519998e-08,3.55407958696611e-08,1.417674290870535e-07,1.2164174549278368e-07,2.0246393004091263e-07,4.3730062288646176e-07,2.5974488036860035e-07,6.600979267955732e-06,3.870277482471376e-06,1.3455606995411273e-06,1.2058331794694898e-11,1.3646823237996565e-11,4.676912359804146e-12,5.833575306183942e-09,1.877690347774398e-09,3.5030852589116405e-09,9.827105423080036e-08,1.7193342101934457e-08,1.186821172806543e-08,1.0635690772854614e-07,1.4196659825317755e-07,3.3810859091666245e-08,7.747674784250522e-07,3.3357743078520785e-07,1.1614990069648308e-07,3.5261255789228274e-06,2.903514839196076e-06,1.2938227648923985e-06,1.8714464923545145e-11,8.459676900411546e-11,2.5972720403183658e-12,1.1530042359998285e-08,9.386910027093007e-09,2.3633284484715496e-08,9.574070230056043e-08,4.8158638747417014e-08,3.4941916876709675e-08,2.6872478632591043e-08,2.570923537975846e-07,1.1383229651287801e-07,3.194502913579905e-07,6.072942060294991e-07,3.2585217956679256e-07,4.057158362617132e-06,4.2859507915967695e-06,1.6223000776943458e-05,1.829760533520468e-11,1.168487741389691e-11
F1,Times4,5.139963433396056e-07,4.68164000470714e-07,1.992313767697491e-06,9.521658380179382e-07,2.267778024354649e-06,1.4116620499509726e-05,1.7096604739771958e-05,9.85500349874401e-06,1.1101261352143006e-11,5.942519711873779e-12,4.527152263729828e-12,5.885052889625585e-09,5.157423191188588e-09,4.923280269763102e-09,8.797824847461818e-08,1.1846367343664519e-07,7.233304461180052e-08,6.24550537184681e-08,7.04413503267036e-08,5.5968047569107164e-08,1.328844344974868e-06,3.788587984135871e-07,2.483418938464636e-07,3.542343470900033e-06,4.212776506958524e-06,1.7451233532804763e-06,1.6707962236335562e-11,2.7050565024338358e-11,3.873249620939626e-11,1.0132307402486536e-08,2.0031616437880558e-08,2.0427629886622414e-08,1.972026769993207e-08,2.8247462864610277e-08,6.138095809626144e-08,5.710834732270767e-08,1.5292907283990747e-07,7.729502354628995e-08,4.3724012989328053e-07,2.4866900375528313e-07,3.1258700719722926e-07,2.2905375183237316e-06,4.81265998335431e-06,4.945831954390424e-06,5.811827257955631e-12,1.1022438297469364e-11,1.5709456492536976e-11,4.965614869652577e-09,4.031564615998999e-09,3.812824329133817e-09,4.3930235933261665e-08,8.079199382417794e-09,5.222941245775059e-08,1.1980227786840147e-07,2.1150247307111303e-08,1.472499580742334e-07,2.0851530322616185e-07,3.189660546674489e-07,7.669477202371961e-07,3.527304212294887e-06,1.7661726833465072e-06,2.7617147669955557e-06,9.907165826674182e-12,6.779801345790167e-12,1.9034382861739014e-11,7.0566953271767944e-09,4.557510758698808e-09,1.2962503869751978e-08,1.4068673749874956e-08,2.1556286287129134e-08,1.1634951727753269e-08,5.932766828870507e-08,1.928618980652743e-07,7.878350026931112e-08,8.794745345034407e-07,2.6230295893338583e-07,4.12324901450706e-07,1.979410023531081e-06,2.255738407003574e-06,1.6375650775464841e-06,1.079292848153017e-11,5.961678552292157e-11,8.072066500680816e-12,3.271601998261841e-08,7.351676324441435e-09,1.3436582154829962e-08,1.632441775915737e-07,6.318156177392749e-08,3.610575208735819e-08,2.416489400887426e-07,7.83574585619601e-08,4.0794126457057114e-08,1.807781425216888e-07,1.0204486418091417e-06,5.899721362275109e-07,1.158504706306494e-06,3.8012990824982974e-06,4.244198623768237e-06,6.8152108869936585e-12,2.60438694000344e-11
F1,Times5,6.834247189654589e-07,1.3824688695792178e-07,1.746222254231954e-06,1.4767400666787697e-06,2.126998085550497e-06,3.581960848921555e-06,2.238703847749188e-05,8.732474558152297e-06,5.732418898644177e-12,3.0200893713446175e-11,4.757637395580151e-11,5.348425480737044e-09,1.4881614903975994e-08,9.650164802618975e-09,4.4924611978245e-08,1.6127952500176534e-08,6.045116885599792e-08,1.0595509816682064e-08,6.31573585484992e-08,6.028277999191975e-08,4.7264647736428464e-07,3.5068635051892803e-07,2.57654673533776e-07,2.4919144191578612e-06,7.908128862490469e-07,6.110938444855478e-06,2.6700880678034868e-11,1.4218840523187803e-11,2.6078774703486294e-11,6.8028927951418445e-09,6.9858222811888095e-09,1.4874958770248726e-08,1.301130388583716e-07,5.164135938924398e-08,2.9024860076412376e-08,2.3479146102126146e-07,4.28672159990412e-08,2.6454618578019408e-08,1.4811739259971984e-07,1.8254168146302244e-07,1.1846852245452373e-07,2.800086990896048e-06,3.7713918707148504e-06,3.638872509743381e-06,2.912799019067628e-11,3.669499929728918e-12,4.161877775937639e-11,3.837538987752635e-09,3.0362248504750874e-09,6.301149825353871e-09,2.2939909976793597e-08,1.13333008384332e-08,3.0606755195392186e-08,5.616760267621005e-08,1.0961789229829633e-07,6.279812507981428e-08,5.216706870714563e-07,3.6625408819490603e-07,5.395730096027003e-07,1.1781915638344767e-06,2.4233968663377517e-06,5.035659920500818e-07,8.965956954816903e-12,7.498516530288552e-12,1.4861922404133385e-11,5.878074576772199e-09,6.644603331040044e-09,2.7554919929085365e-09,3.240777389900844e-08,3.854064267440425e-08,3.369385057273767e-08,6.787738885124674e-08,9.514991189381768e-08,1.5031246654560747e-08,8.002825598766864e-07,2.3085854275397237e-07,3.426846491712985e-07,5.264171952230338e-07,1.4516484405276701e-06,1.2160856316219587e-06,2.324607032548825e-11,1.0261883925289687e-11,1.132563835954008e-11,9.317941818086876e-09,4.617455902619465e-09,2.2621312565331578e-08,2.709056792593193e-07,6.108335906832369e-08,3.7938294548040666e-08,3.2353033479704344e-08,2.935658883641689e-08,1.930562378525035e-07,2.0075413170227764e-06,1.4389327364416892e-06,8.039750552482801e-07,8.376464489144647e-06,1.579065335359229e-06,6.251609237228328e-06,1.1636254375707583e-11,2.454798591040518e-11
F1,Times6,2.7130668978614384e-07,3.966130479453908e-07,9.917616710173184e-07,1.3126671764397415e-06,1.0658026894893993e-06,1.2531183531990835e-05,1.846002201070212e-05,2.2164388201962268e-05,3.8106088872830147e-11,1.5785867414755484e-11,2.064170916230738e-11,9.12766248608986e-09,3.7908606380838066e-09,1.0119940113862958e-08,1.0548243150939088e-08,2.3269573171759586e-08,1.293540836522923e-07,1.653759630540615e-08,4.7730368969860715e-08,1.7791263970546963e-07,3.103833521519344e-07,3.288557343747708e-07,5.952722744576784e-07,8.826802846364053e-06,1.3768831243870376e-06,3.8000021129375635e-06,1.4530933245952598e-11,4.559617703572259e-11,9.990392466438726e-12,2.879586955266226e-09,3.86096501552605e-09,1.5851435755018094e-08,2.644506736685748e-08,3.722620701554366e-08,1.4970286808249886e-08,1.3996077275418417e-07,6.109185359947391e-08,1.0622686365739064e-07,2.6994613205403695e-07,8.535408236006242e-07,2.7133055179853726e-07,2.8053857071983436e-06,2.215231926090315e-06,2.5057994435100566e-06,9.035021237387653e-12,7.2540411582168914e-12,3.4754900804502573e-12,1.1806243085512256e-08,3.922461441549336e-09,6.1324250663734916e-09,5.57859420488316e-08,1.8149146096008067e-08,8.422326099406674e-09,5.0852966926672713e-08,5.721374106278098e-08,3.1077883039750774e-08,1.6386169669088422e-07,5.507077072408899e-07,2.43781747088294e-07,2.0962305581776173e-06,2.4085175457877825e-06,2.494693035719909e-06,2.2002823916012698e-11,1.8131460678813138e-11,1.9964324624570626e-12,6.080639348425366e-09,1.6204638796853014e-08,1.4489208247532171e-09,2.5586076233749183e-08,1.526896284691088e-08,3.186488230759703e-08,7.739579710539201e-08,2.8307296847857023e-08,4.1212239751124365e-08,2.5717334522621024e-07,3.6265665838039047e-07,3.458477171807812e-07,1.2331046491031334e-06,1.3916862600658906e-06,3.1986753279171075e-06,2.2547062185714703e-11,3.862973919144937e-11,1.8924624408440708e-11,2.3468382087200005e-08,1.4722366750900564e-08,5.54804360568378e-09,9.218516969041307e-08,3.01673058422146e-08,1.8688707014643536e-07,9.454874278138063e-08,4.646093736102513e-08,8.232104301287515e-08,1.1222617811550562e-06,8.602648884192514e-07,7.770515617633501e-07,5.202859639009404e-06,7.171233351131631e-06,6.904796692926707e-06,4.751904846478019e-11,3.7014356280469834e-11
F1,Times7,9.786746126267152e-08,1.454158698317549e-06,3.3861823963049153e-06,2.7847972637110485e-06,3.102805474531605e-06,9.200296420170768e-06,1.4965027520180564e-06,7.949352099131535e-06,1.0206270209132452e-11,5.3257818147021595e-11,2.5629183195467877e-11,1.8892209106869954e-08,9.63416747858461e-09,7.152562687777527e-09,1.8970272226532322e-08,4.542039918412362e-08,1.0197364221873745e-07,6.571457856041544e-08,7.333620280897715e-08,2.045161226112529e-07,7.93663143306866e-07,1.3049053026406732e-06,9.24942443219011e-08,6.2449353609450445e-06,1.2167523908017464e-06,1.1163458989600672e-06,6.5004374453446354e-12,5.13234746746252e-11,5.324233602999493e-11,6.166950680112721e-09,9.262267268305517e-09,3.1010793858400845e-09,8.710655659553945e-08,2.7391281921864345e-08,5.880208280352444e-08,3.975971894398447e-07,1.5562193758793078e-07,4.4757848140186905e-08,7.575832228947676e-07,1.142471681189542e-06,4.6974408289619676e-07,1.1221220234074528e-05,4.32714779841694e-06,4.0796246867317025e-06,4.39020008461899e-11,4.113668655319574e-12,4.019666764116505e-12,2.549692737824253e-09,7.66807518407259e-09,2.813965475547658e-09,1.3262063420165597e-08,7.443371663232804e-09,2.5324762624620853e-08,3.78595508257389e-08,1.1702300952770036e-07,4.6968227330877344e-08,1.4865704362178937e-07,3.505969115663829e-07,6.544154210083533e-07,7.676031657849285e-07,1.7683761546174408e-06,2.651556498253293e-06,9.488909692787324e-12,8.738207056832173e-12,1.8498988440445615e-12,3.326804104293385e-09,5.238001846580081e-09,1.3843298446066843e-09,1.5835885475490164e-08,1.4707848593222868e-08,1.7300939568973224e-08,6.70758110200722e-08,1.8487251520024563e-07,3.810559507926518e-08,5.393748705674126e-07,3.723044274475581e-07,3.837733123440042e-07,2.5159329175000694e-06,1.0492034949173207e-05,2.5543661093353016e-06,1.6826492923787866e-11,2.3339787257938144e-11,4.649885715790102e-11,7.6006965276896e-09,1.2409346038852346e-08,4.705777232136403e-09,4.198992630181567e-08,3.657446449294189e-08,3.783272655805315e-08,1.1639346343291094e-07,1.0897051771729745e-07,2.0161950210370835e-07,2.5405524508336286e-06,1.1712286745709747e-06,1.9251381681902318e-07,8.979718541918394e-06,2.916673902769431e-06,5.012848216103886e-06,4.007066588190366e-12,4.323669143004819e-11
F1,Times8,6.269624630670965e-07,5.789095712781711e-07,2.9916778477982293e-06,3.218912867867622e-06,1.4791397903027335e-06,1.965443703694722e-05,1.120945490206488e-05,2.944885844737575e-05,8.818665914156888e-12,1.681372617169956e-11,1.1557820118360332e-11,5.878997679191641e-09,1.1607847106587535e-08,1.9503416185227556e-08,7.533023033399882e-08,5.5707561605624336e-08,4.1218828058315087e-08,6.91184707928742e-08,1.3784003047685223e-07,2.948155666546493e-07,5.737314270674683e-07,5.385842307556473e-07,6.617463168637711e-07,7.092557623727953e-06,8.137969850573529e-06,5.111984637874183e-06,1.693226472102916e-11,1.634610314803376e-11,5.836936937760983e-12,1.1968428114132507e-08,2.801506203220681e-08,1.1898165980127074e-08,1.3162976494183103e-08,9.49077673052011e-08,1.7970022611981922e-07,1.3322083014318845e-07,3.587585354326198e-07,8.339187624321999e-08,1.2199911995038392e-06,6.062133966170262e-07,1.3162457365193575e-06,9.461070280886064e-06,9.10763770270528e-06,2.4935502030097235e-06,1.6740838209300752e-11,1.161870861591056e-11,3.51099506526128e-12,3.789234199601442e-09,8.813876146978132e-09,4.389553363233371e-09,4.690401172658093e-08,9.13630807770194e-09,2.3213865502733568e-08,4.1436157536579525e-08,5.404195194982599e-08,7.976065289289861e-08,8.006946229137401e-08,4.179506991865136e-07,3.3166846060747295e-07,1.1820227648212102e-06,4.144444088942058e-06,6.035349969378866e-06,3.264580005004942e-11,2.110562775020128e-11,1.0493590714071202e-11,1.7145282792055295e-09,1.1355585145760501e-08,1.659501251882008e-08,6.786828854654653e-09,5.784030661685081e-08,1.6443204546110443e-08,3.181398654396e-08,1.911688433528127e-07,2.0525133618347627e-08,8.419051771690355e-08,5.575873271659922e-07,1.4726273431243e-07,8.197812314399793e-07,2.2248481639998764e-06,1.1209856259372475e-06,3.481964228529588e-11,2.644564771193393e-11,1.6142703218957657e-11,2.0308624610687315e-08,1.60720885643591e-08,1.9752389136386408e-08,6.976016806614082e-08,4.164048856531266e-08,3.2533665402098446e-08,2.618419934169676e-07,1.3960709113955185e-07,2.17403331646074e-07,5.872339814143647e-07,1.0334296616584578e-07,6.680089772005378e-07,1.0819468842283211e-05,9.680116246671217e-06,4.043442268859346e-06,2.152773493782065e-11,1.8615327380096936e-11
F1,Times9,2.978708982072025e-07,3.6861872654456914e-07,8.221309204165942e-07,2.4256361541865495e-06,1.0307558163679858e-06,2.0728961239316126e-05,6.569045024810789e-06,8.175154978038355e-06,2.2572558925176072e-11,1.2868543585314926e-11,1.2796132465447388e-11,1.3418794886812208e-08,8.566490518139564e-09,1.7713000957531738e-08,1.2090340717569028e-07,8.382312182999028e-09,5.76211976274916e-08,7.020812039008198e-08,5.037822116586162e-08,6.772602661983414e-08,9.748896759205665e-07,6.170181794737313e-07,3.9332603392444535e-07,3.4000129570842056e-06,2.4881518316514687e-06,3.933816684981585e-06,1.721973533252814e-11,8.338578234240733e-11,1.4313598803616442e-11,1.951732925692502e-09,1.3162366871519895e-08,8.108630748043523e-09,2.8622816984842305e-08,6.02450007478078e-08,3.501734093749822e-08,1.257207355266501e-07,4.554927234610728e-07,9.137574798461621e-08,9.933710197640878e-07,4.4485466462406534e-07,2.2952068729502347e-07,1.789005826330835e-05,1.9813364723300406e-06,2.52925435852194e-06,4.497094380309796e-12,1.0889671441106353e-11,6.889961410379219e-12,7.17697185236823e-09,4.7995967956191444e-09,3.1206662039730277e-09,2.110546213346786e-08,2.52937857920141e-08,3.1961325226457016e-08,2.0935629651840748e-07,3.6230454344607215e-08,5.63112685121014e-08,1.8709928929415015e-07,4.6060195811742e-07,2.1603359854539476e-07,4.48317454774768e-07,2.0764772684336543e-06,1.7118640098343845e-06,2.3050668887595363e-11,9.68447194109578e-12,1.635533422832061e-11,8.087074466042287e-09,2.8935358176068973e-09,1.745528991274654e-08,2.0204345259170685e-08,4.624339765306338e-09,7.292396542717386e-09,4.266899269120262e-08,8.794363371810691e-08,2.380168603122225e-08,2.2467813274402487e-07,1.0508148589435636e-06,1.8551331713422784e-07,5.9173294205330045e-06,1.915880702476148e-06,2.7782257839849426e-06,1.0183106728160368e-10,3.1377454605725954e-11,3.217493392194294e-11,4.113985658846363e-09,7.971690555175322e-09,2.8178113023313625e-09,7.166309698769833e-08,2.7965560527585157e-08,3.416429858807175e-08,5.977911274942208e-08,2.0613737749976554e-07,3.3762235782765606e-07,8.415415624629987e-07,1.70135391938599e-07,9.813316411140322e-07,3.4849359798002293e-06,6.35915199813912e-06,3.3387777446100817e-06,8.729061084812795e-12,2.7461446052194485e-11
F1,Times10,2.154894627778693e-07,3.8916263804087946e-07,1.0591763114683712e-06,3.619162694513955e-06,5.043829815992732e-06,1.2237738476444266e-05,6.834632882438008e-06,7.067014486017248e-06,2.364158227435434e-11,3.6584209930613956e-11,1.236085066672649e-11,2.0951303065843263e-09,5.776347387281103e-09,7.881406208552159e-09,6.380152412291324e-08,7.169539901099154e-08,1.496893195111493e-07,4.345905054529182e-07,6.962507128690347e-07,1.6339825304798826e-07,1.96012639023437e-07,7.654198720370003e-07,1.4823015553590416e-06,1.7808572416950377e-06,4.166103445308843e-06,2.3314728341084765e-06,3.360549824016928e-11,8.483596274013172e-12,3.0768864209145294e-11,1.10503734874725e-08,1.2457807369766472e-08,1.30848768835654e-08,2.1804385193479922e-08,6.700142462951255e-09,1.1087082442917122e-07,1.0166841166288613e-07,1.449559988672619e-07,1.8704929516348637e-07,4.3689161699461195e-07,9.58090482624945e-07,1.3276186714007283e-07,1.255697778142063e-05,3.3802915923399195e-06,1.1501658102247313e-06,1.29198528887727e-11,1.3750701758590123e-11,8.659404630477991e-12,2.919024743333471e-09,6.271103418836241e-09,1.5701233365709583e-08,6.381546962129554e-08,3.503246007148465e-08,2.3245652256608995e-08,5.086485821327251e-08,3.000795390332346e-08,7.957646311517347e-08,3.794651451169821e-07,2.5872466831461114e-07,4.1255568061878455e-07,1.984127271311465e-06,2.7113416945178074e-06,1.981648032052804e-06,1.2760639066203687e-11,1.1413303999008135e-11,3.780732718173531e-12,2.76115505249926e-09,1.3764232914822319e-08,6.22306271748906e-09,6.573435475305717e-08,7.54192052358333e-08,1.738510932778847e-08,5.780927959568728e-08,7.501128637529325e-08,8.800178415498848e-08,3.3088397577468715e-07,1.4809825931306075e-07,3.0211614804907133e-07,6.314258060504219e-06,2.7687024190938464e-06,2.1848855734757357e-06,1.4733634119549866e-11,1.4964841746678977e-11,3.811196094247531e-11,1.946185150737929e-08,3.853950510792472e-09,1.6586013023834312e-09,1.0837092852033812e-07,8.205189963995419e-08,5.544309084713577e-08,2.0659026362071543e-07,2.9325060566210806e-08,8.392513402780866e-08,7.467908199081049e-07,8.937993474329968e-08,5.204282428339467e-07,1.0014971927262645e-05,8.888514889882268e-06,3.2217006806805193e-06,1.0386725319355407e-11,7.62952669470553e-12
