,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,4.75e-07,4.67e-06,2.89e-06,1.76e-06,3.12e-05,1.73e-04,3.87e-04,3.05e-05,4.59e-10,1.14e-10,2.23e-11,1.35e-08,4.54e-09,1.94e-09,4.02e-07,2.70e-10,1.31e-07,3.20e-07,2.70e-07,1.46e-06,9.50e-06,6.92e-06,2.14e-08,3.97e-06,1.67e-05,6.40e-06,1.62e-10,2.15e-12,1.23e-11,1.66e-08,1.58e-07,4.30e-08,7.86e-08,1.81e-07,4.96e-09,2.24e-06,3.29e-07,1.28e-08,5.24e-06,8.46e-06,7.44e-07,1.52e-05,1.47e-05,1.68e-04,2.14e-10,2.47e-10,2.47e-11,1.84e-08,2.40e-08,1.95e-11,2.18e-07,3.65e-08,3.75e-09,1.04e-07,6.68e-08,4.88e-08,5.99e-06,3.54e-06,5.70e-07,1.67e-05,9.86e-05,2.70e-06,4.75e-11,1.05e-09,2.45e-10,5.19e-09,2.13e-07,1.08e-09,1.61e-09,6.00e-08,3.13e-07,5.16e-07,3.19e-06,2.11e-07,2.40e-08,3.64e-06,9.43e-06,1.74e-05,1.32e-05,3.55e-05,4.29e-11,1.74e-10,4.44e-10,2.63e-08,1.16e-07,4.46e-09,3.70e-07,1.69e-06,3.74e-08,5.19e-06,8.29e-08,7.90e-08,1.92e-05,1.53e-05,2.07e-07,4.06e-05,1.40e-05,1.84e-04,8.57e-10,8.11e-11
F3,Times2,7.78e-06,2.94e-06,7.02e-06,6.71e-05,5.77e-05,3.28e-05,2.19e-05,9.15e-07,6.24e-11,3.50e-11,1.72e-11,4.55e-08,7.08e-08,1.16e-08,1.57e-07,2.26e-06,5.11e-07,1.78e-06,6.02e-07,6.29e-07,1.27e-06,1.07e-05,1.04e-05,1.44e-05,1.23e-04,7.74e-09,6.13e-10,3.61e-10,3.32e-10,1.49e-07,6.12e-09,3.56e-08,6.10e-07,1.13e-06,1.41e-06,5.25e-07,7.51e-07,2.16e-07,1.33e-06,5.18e-06,5.19e-06,7.05e-06,2.48e-04,6.60e-06,4.60e-11,4.07e-11,2.59e-11,7.75e-08,3.05e-07,2.93e-08,1.84e-06,4.70e-07,7.53e-07,2.46e-06,2.49e-06,1.31e-06,5.29e-06,8.07e-08,1.69e-07,8.21e-05,4.07e-06,2.19e-05,2.79e-10,3.01e-11,3.00e-13,2.83e-07,4.54e-09,9.07e-09,9.47e-08,5.74e-07,8.82e-07,1.57e-06,2.84e-06,2.65e-08,5.83e-06,9.09e-06,4.45e-06,3.40e-04,3.77e-05,7.25e-07,1.38e-09,4.80e-10,6.72e-11,1.45e-08,1.48e-07,2.03e-07,6.31e-07,4.00e-07,1.47e-06,1.90e-07,4.49e-07,8.42e-07,1.40e-05,3.43e-05,4.42e-06,4.06e-05,2.07e-04,9.88e-08,1.12e-10,9.50e-11
F3,Times3,5.95e-06,7.39e-07,1.10e-06,1.02e-06,1.45e-06,4.24e-06,6.58e-06,2.26e-08,7.34e-12,8.78e-11,1.82e-11,1.07e-07,2.76e-09,3.49e-09,5.42e-07,1.74e-07,5.13e-09,3.54e-06,2.74e-06,1.42e-07,4.94e-07,4.05e-07,3.17e-06,7.22e-05,1.90e-07,8.41e-05,2.50e-10,4.46e-11,4.46e-11,3.99e-08,2.26e-07,8.98e-08,4.81e-08,6.56e-07,2.55e-08,5.89e-06,7.53e-07,2.44e-08,4.60e-07,8.81e-07,1.62e-08,1.30e-05,2.29e-05,2.62e-06,2.71e-10,1.25e-10,4.90e-11,2.33e-09,8.54e-09,4.02e-08,3.03e-07,4.77e-08,2.12e-07,3.28e-07,4.90e-06,4.51e-08,4.92e-06,2.29e-06,1.99e-07,9.64e-06,9.30e-06,3.53e-06,1.19e-10,8.02e-11,9.96e-13,8.93e-08,3.21e-07,3.95e-08,6.51e-07,2.87e-07,6.83e-07,6.33e-07,1.12e-06,7.79e-07,7.39e-06,1.20e-06,2.32e-07,1.06e-05,2.67e-04,5.31e-07,5.21e-10,2.10e-10,1.92e-11,7.98e-08,1.09e-07,4.22e-08,9.14e-07,4.81e-07,9.77e-08,1.28e-06,1.34e-06,3.25e-06,4.43e-06,6.30e-06,1.21e-05,1.38e-05,1.97e-04,5.20e-05,2.04e-10,4.01e-10
F3,Times4,1.16e-05,4.60e-07,5.79e-05,1.16e-05,2.65e-06,1.49e-05,6.79e-05,1.74e-08,3.71e-10,2.51e-10,3.45e-11,6.03e-08,5.98e-08,3.04e-09,3.78e-06,6.26e-07,1.27e-08,1.51e-07,7.78e-06,4.59e-06,2.99e-06,8.21e-06,8.67e-05,7.41e-06,4.20e-07,2.11e-05,2.68e-11,6.60e-11,1.60e-10,1.13e-08,4.21e-08,2.04e-08,7.11e-07,5.72e-07,3.79e-08,5.15e-07,2.68e-07,1.06e-07,1.08e-05,1.29e-06,2.83e-06,1.09e-05,2.16e-05,2.66e-05,9.89e-11,1.77e-13,3.85e-10,7.87e-09,1.17e-07,1.35e-08,1.03e-07,4.62e-07,9.97e-08,1.58e-07,3.14e-07,1.56e-06,9.36e-07,5.40e-06,5.23e-06,1.30e-05,2.30e-06,7.93e-07,1.28e-10,3.18e-10,7.84e-12,3.50e-09,3.37e-08,1.36e-08,4.92e-07,1.95e-07,9.65e-07,2.94e-07,6.83e-08,6.31e-07,1.81e-06,1.06e-05,6.00e-07,3.78e-05,1.64e-05,2.27e-05,1.58e-11,7.44e-11,3.98e-11,1.36e-08,1.00e-07,2.66e-07,1.49e-06,2.03e-06,2.47e-07,1.37e-06,3.47e-06,6.20e-07,1.50e-05,2.96e-05,1.43e-05,1.81e-05,6.13e-06,6.89e-06,3.45e-11,1.22e-12
F3,Times5,1.97e-06,2.72e-08,8.07e-08,2.24e-05,3.29e-06,5.25e-04,1.51e-04,2.53e-05,4.61e-11,6.95e-10,9.95e-11,1.27e-07,5.87e-08,9.54e-08,2.00e-07,1.49e-07,2.97e-09,4.50e-07,1.62e-06,5.50e-07,7.31e-06,6.56e-06,3.70e-06,2.74e-05,9.59e-06,7.51e-08,1.66e-10,2.03e-10,8.89e-12,4.33e-08,1.73e-07,2.68e-09,8.25e-07,9.93e-08,3.11e-07,1.65e-06,3.15e-07,4.26e-06,9.19e-06,5.96e-05,1.76e-06,4.81e-06,3.80e-05,8.36e-05,5.52e-12,6.81e-10,9.47e-11,3.02e-08,1.82e-08,3.85e-07,9.69e-07,1.01e-08,5.05e-08,1.58e-06,2.52e-06,5.19e-08,5.99e-05,1.28e-06,3.52e-06,3.91e-07,2.69e-05,2.41e-05,3.45e-11,4.12e-10,1.24e-10,1.71e-07,1.12e-07,8.86e-09,7.79e-07,1.26e-07,3.40e-09,8.88e-07,1.99e-07,2.29e-06,6.44e-07,6.83e-07,3.08e-06,5.53e-05,3.86e-05,7.36e-05,8.67e-10,3.21e-11,2.25e-10,1.58e-08,5.65e-07,1.17e-06,6.87e-07,8.26e-08,4.17e-08,7.18e-07,7.99e-07,9.81e-08,1.22e-05,2.79e-07,6.05e-06,2.21e-05,6.44e-05,7.24e-05,1.71e-10,8.72e-10
F3,Times6,7.27e-06,8.72e-07,1.92e-06,1.49e-06,5.17e-05,8.51e-05,1.26e-05,4.68e-05,6.97e-10,1.47e-11,1.85e-10,1.23e-06,9.40e-08,7.74e-08,1.30e-07,9.59e-07,1.17e-07,1.96e-07,1.11e-06,4.31e-07,2.49e-06,1.68e-05,2.35e-07,5.27e-05,5.49e-05,3.05e-04,5.70e-10,6.00e-10,3.77e-10,5.82e-07,6.40e-09,8.08e-09,4.73e-07,1.43e-06,2.95e-07,1.27e-06,1.26e-07,3.29e-06,9.58e-06,1.42e-04,1.92e-06,1.78e-05,5.81e-05,5.47e-06,3.86e-10,1.86e-10,1.17e-11,1.78e-09,6.33e-08,1.57e-08,2.35e-07,1.67e-07,4.51e-08,5.56e-07,5.91e-07,8.11e-07,3.04e-06,1.66e-06,1.67e-05,2.36e-06,6.50e-05,3.81e-05,4.41e-10,2.97e-11,1.13e-11,5.96e-08,1.64e-07,2.77e-09,7.01e-07,6.48e-08,1.52e-06,9.19e-07,8.86e-07,6.38e-07,1.73e-06,1.08e-06,5.05e-06,6.06e-05,1.61e-06,3.72e-05,7.60e-11,3.76e-10,7.30e-10,5.30e-08,1.15e-07,1.26e-07,3.14e-06,1.44e-06,5.78e-08,1.10e-05,4.16e-06,2.60e-06,2.93e-06,1.71e-06,1.22e-06,3.91e-05,1.85e-04,4.11e-05,1.09e-10,5.62e-10
F3,Times7,1.27e-05,1.23e-06,3.51e-07,2.57e-05,1.57e-05,6.82e-04,1.22e-05,2.85e-05,3.12e-10,1.01e-10,1.24e-10,6.61e-08,4.86e-07,3.94e-08,7.34e-08,1.54e-07,1.40e-07,4.60e-08,2.83e-07,7.56e-08,8.78e-07,2.41e-05,1.83e-05,4.25e-05,1.52e-07,2.07e-06,1.99e-10,5.49e-10,9.11e-11,7.24e-08,1.67e-08,5.87e-08,7.22e-07,4.75e-07,5.88e-08,1.25e-06,3.92e-07,9.53e-08,1.85e-06,9.53e-08,2.66e-07,6.24e-05,7.83e-06,7.57e-06,2.66e-11,6.21e-12,3.30e-10,1.30e-07,1.04e-08,2.02e-08,1.45e-07,9.75e-08,4.52e-09,2.59e-07,3.73e-07,3.58e-07,8.73e-06,1.21e-06,2.99e-07,8.32e-07,9.74e-05,3.47e-06,1.34e-10,5.18e-11,4.67e-11,7.30e-08,2.86e-07,2.10e-08,3.59e-07,7.79e-08,2.08e-07,1.59e-07,1.28e-06,6.50e-07,1.77e-06,4.18e-06,5.55e-06,3.20e-05,8.43e-05,2.29e-05,4.52e-11,1.00e-10,1.41e-10,3.78e-09,5.36e-08,5.02e-09,4.86e-07,1.08e-07,3.25e-07,1.71e-06,1.08e-05,1.20e-05,3.36e-06,1.73e-06,2.80e-05,9.54e-05,7.52e-06,7.75e-06,4.12e-10,6.58e-12
F3,Times8,2.25e-06,5.75e-06,1.22e-05,1.71e-06,9.41e-07,2.11e-06,1.86e-04,3.31e-04,2.88e-10,8.04e-11,2.58e-10,2.19e-08,1.30e-08,3.52e-08,1.01e-07,1.28e-06,8.04e-07,2.02e-07,1.30e-06,1.60e-07,5.34e-06,4.95e-06,4.18e-06,2.56e-07,1.86e-05,4.55e-05,2.07e-11,8.61e-12,2.14e-15,7.02e-09,3.07e-08,2.01e-10,8.76e-07,4.43e-07,3.37e-07,3.20e-06,1.19e-06,5.95e-07,7.07e-07,5.32e-07,3.67e-08,2.93e-06,1.04e-04,9.30e-06,2.41e-11,3.02e-10,4.60e-11,9.39e-08,5.88e-09,2.58e-09,4.30e-07,9.45e-08,1.26e-07,3.95e-06,1.95e-07,8.08e-07,1.30e-05,7.83e-06,2.74e-08,6.97e-07,1.10e-06,1.28e-05,8.90e-12,2.93e-12,1.61e-10,2.70e-08,1.66e-09,8.15e-08,3.93e-08,1.33e-06,4.14e-08,2.26e-07,6.36e-07,1.31e-07,2.65e-06,1.38e-05,6.92e-07,3.22e-05,1.10e-05,7.16e-05,2.31e-11,1.90e-09,8.11e-11,8.91e-08,1.41e-07,7.74e-08,1.72e-06,1.03e-06,3.30e-07,3.44e-06,7.09e-06,1.59e-06,1.10e-05,4.58e-05,8.44e-07,1.55e-04,5.43e-05,1.28e-05,3.73e-10,1.32e-10
F3,Times9,2.51e-07,3.13e-07,6.23e-05,7.82e-06,1.45e-06,3.67e-04,9.47e-05,7.34e-06,1.94e-10,2.33e-11,4.00e-12,5.38e-08,7.76e-10,2.18e-07,9.96e-08,6.42e-08,2.57e-07,5.23e-07,3.63e-07,1.32e-08,6.71e-07,6.50e-06,8.62e-05,8.70e-05,7.07e-05,1.00e-07,2.09e-10,1.35e-11,2.20e-12,5.58e-08,1.18e-07,4.97e-10,1.57e-07,7.62e-07,1.57e-07,8.43e-07,1.91e-06,6.73e-08,2.18e-06,3.28e-06,1.28e-06,4.96e-05,7.63e-05,2.42e-06,7.13e-11,4.94e-12,3.34e-12,5.06e-08,9.11e-08,4.77e-08,1.72e-07,6.36e-09,1.18e-07,1.02e-06,2.19e-07,1.73e-08,1.23e-05,2.95e-06,6.19e-07,2.79e-06,6.50e-06,1.42e-05,4.44e-11,5.94e-10,2.97e-10,9.32e-08,1.63e-07,2.70e-08,2.16e-07,2.08e-07,9.84e-08,1.47e-06,1.55e-06,2.38e-07,8.36e-06,2.97e-06,2.72e-07,2.80e-05,1.19e-05,1.69e-05,2.74e-10,1.04e-10,1.17e-11,3.36e-08,5.33e-08,1.08e-08,4.24e-07,2.84e-06,4.30e-07,1.14e-06,1.71e-07,1.81e-06,7.94e-06,3.06e-06,2.61e-06,8.26e-05,3.31e-05,2.14e-05,7.78e-11,7.08e-11
F3,Times10,5.98e-06,1.43e-06,1.83e-05,2.84e-05,4.54e-08,2.47e-05,3.65e-05,8.08e-04,1.11e-13,2.31e-10,1.05e-10,2.17e-09,9.59e-09,5.22e-12,4.26e-08,2.09e-07,1.09e-06,2.01e-08,2.97e-08,1.12e-08,2.74e-05,1.68e-06,2.12e-06,3.50e-05,1.46e-06,2.66e-06,1.67e-11,2.39e-11,1.58e-11,1.21e-07,1.26e-07,1.05e-07,2.58e-07,1.11e-06,2.50e-08,9.87e-08,7.46e-06,1.35e-06,1.68e-05,4.43e-06,1.68e-06,6.94e-05,6.20e-06,2.82e-05,9.42e-11,1.39e-11,2.52e-10,1.38e-07,2.20e-08,9.64e-08,5.65e-08,8.97e-07,2.19e-07,2.50e-06,1.07e-07,1.12e-06,8.34e-07,3.17e-06,2.17e-06,1.48e-04,4.26e-06,1.63e-04,8.88e-11,4.14e-11,1.17e-11,2.91e-07,8.42e-08,7.94e-09,5.28e-07,9.47e-07,3.48e-07,1.13e-06,4.35e-07,4.43e-08,8.24e-08,6.97e-06,1.55e-06,1.61e-05,6.03e-06,3.47e-05,1.04e-10,5.09e-11,1.99e-10,1.18e-07,2.89e-08,7.05e-08,1.52e-07,3.93e-08,8.11e-07,1.09e-06,2.49e-06,5.32e-07,7.35e-06,6.03e-06,1.87e-06,3.04e-05,1.68e-05,8.06e-06,3.15e-11,2.98e-10
