iterations,mutation_rate,num_individuals,range_mutation,crossover_probability
1000000,0.1,100,0.01,0.5
1000000,0.1,100,0.01,0.6
1000000,0.1,100,0.01,0.7
1000000,0.1,100,0.25,0.5
1000000,0.1,100,0.25,0.6
1000000,0.1,100,0.25,0.7
1000000,0.1,100,0.55,0.5
1000000,0.1,100,0.55,0.6
1000000,0.1,100,0.55,0.7
1000000,0.1,100,0.9,0.5
1000000,0.1,100,0.9,0.6
1000000,0.1,100,0.9,0.7
1000000,0.1,100,2.0,0.5
1000000,0.1,100,2.0,0.6
1000000,0.1,100,2.0,0.7
1000000,0.1,100,5.0,0.5
1000000,0.1,100,5.0,0.6
1000000,0.1,100,5.0,0.7
1000000,0.1,200,0.01,0.5
1000000,0.1,200,0.01,0.6
1000000,0.1,200,0.01,0.7
1000000,0.1,200,0.25,0.5
1000000,0.1,200,0.25,0.6
1000000,0.1,200,0.25,0.7
1000000,0.1,200,0.55,0.5
1000000,0.1,200,0.55,0.6
1000000,0.1,200,0.55,0.7
1000000,0.1,200,0.9,0.5
1000000,0.1,200,0.9,0.6
1000000,0.1,200,0.9,0.7
1000000,0.1,200,2.0,0.5
1000000,0.1,200,2.0,0.6
1000000,0.1,200,2.0,0.7
1000000,0.1,200,5.0,0.5
1000000,0.1,200,5.0,0.6
1000000,0.1,200,5.0,0.7
1000000,0.18,100,0.01,0.5
1000000,0.18,100,0.01,0.6
1000000,0.18,100,0.01,0.7
1000000,0.18,100,0.25,0.5
1000000,0.18,100,0.25,0.6
1000000,0.18,100,0.25,0.7
1000000,0.18,100,0.55,0.5
1000000,0.18,100,0.55,0.6
1000000,0.18,100,0.55,0.7
1000000,0.18,100,0.9,0.5
1000000,0.18,100,0.9,0.6
1000000,0.18,100,0.9,0.7
1000000,0.18,100,2.0,0.5
1000000,0.18,100,2.0,0.6
1000000,0.18,100,2.0,0.7
1000000,0.18,100,5.0,0.5
1000000,0.18,100,5.0,0.6
1000000,0.18,100,5.0,0.7
1000000,0.18,200,0.01,0.5
1000000,0.18,200,0.01,0.6
1000000,0.18,200,0.01,0.7
1000000,0.18,200,0.25,0.5
1000000,0.18,200,0.25,0.6
1000000,0.18,200,0.25,0.7
1000000,0.18,200,0.55,0.5
1000000,0.18,200,0.55,0.6
1000000,0.18,200,0.55,0.7
1000000,0.18,200,0.9,0.5
1000000,0.18,200,0.9,0.6
1000000,0.18,200,0.9,0.7
1000000,0.18,200,2.0,0.5
1000000,0.18,200,2.0,0.6
1000000,0.18,200,2.0,0.7
1000000,0.18,200,5.0,0.5
1000000,0.18,200,5.0,0.6
1000000,0.18,200,5.0,0.7
1000000,0.2,100,0.01,0.5
1000000,0.2,100,0.01,0.6
1000000,0.2,100,0.01,0.7
1000000,0.2,100,0.25,0.5
1000000,0.2,100,0.25,0.6
1000000,0.2,100,0.25,0.7
1000000,0.2,100,0.55,0.5
1000000,0.2,100,0.55,0.6
1000000,0.2,100,0.55,0.7
1000000,0.2,100,0.9,0.5
1000000,0.2,100,0.9,0.6
1000000,0.2,100,0.9,0.7
1000000,0.2,100,2.0,0.5
1000000,0.2,100,2.0,0.6
1000000,0.2,100,2.0,0.7
1000000,0.2,100,5.0,0.5
1000000,0.2,100,5.0,0.6
1000000,0.2,100,5.0,0.7
1000000,0.2,200,0.01,0.5
1000000,0.2,200,0.01,0.6
1000000,0.2,200,0.01,0.7
1000000,0.2,200,0.25,0.5
1000000,0.2,200,0.25,0.6
1000000,0.2,200,0.25,0.7
1000000,0.2,200,0.55,0.5
1000000,0.2,200,0.55,0.6
1000000,0.2,200,0.55,0.7
1000000,0.2,200,0.9,0.5
1000000,0.2,200,0.9,0.6
1000000,0.2,200,0.9,0.7
1000000,0.2,200,2.0,0.5
1000000,0.2,200,2.0,0.6
1000000,0.2,200,2.0,0.7
1000000,0.2,200,5.0,0.5
1000000,0.2,200,5.0,0.6
1000000,0.2,200,5.0,0.7
1000000,0.5,100,0.01,0.5
1000000,0.5,100,0.01,0.6
1000000,0.5,100,0.01,0.7
1000000,0.5,100,0.25,0.5
1000000,0.5,100,0.25,0.6
1000000,0.5,100,0.25,0.7
1000000,0.5,100,0.55,0.5
1000000,0.5,100,0.55,0.6
1000000,0.5,100,0.55,0.7
1000000,0.5,100,0.9,0.5
1000000,0.5,100,0.9,0.6
1000000,0.5,100,0.9,0.7
1000000,0.5,100,2.0,0.5
1000000,0.5,100,2.0,0.6
1000000,0.5,100,2.0,0.7
1000000,0.5,100,5.0,0.5
1000000,0.5,100,5.0,0.6
1000000,0.5,100,5.0,0.7
1000000,0.5,200,0.01,0.5
1000000,0.5,200,0.01,0.6
1000000,0.5,200,0.01,0.7
1000000,0.5,200,0.25,0.5
1000000,0.5,200,0.25,0.6
1000000,0.5,200,0.25,0.7
1000000,0.5,200,0.55,0.5
