Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,3454.33511355214,3768.212102399536,4947.215764124139,3214.524271365492,3207.111553306626,3847.271772448372,4459.894156450824,4146.946917758777,2729.656510815088,3995.891879349341,6073.217395066444,4650.757523255127,7943.653637276288,5342.282514161816,7337.33085839344,6469.392602157246,5370.67649647964,6561.718159034289,5024.294366105904,2814.556447292809
F1,Times2,3833.653818068187,3375.3524302642,4033.301754805948,2984.141387058242,4630.119070579792,2661.163115148789,2153.982159550549,7879.196597538249,3420.395088416457,5832.385530498138,5352.095715213214,5108.350433723813,6546.831207585582,7819.059691181666,6792.242605646283,5127.66417028892,5091.63112339502,3984.191099965349,3795.124774673875,3029.786777218531
F1,Times3,4780.689094515647,3156.76184523252,2928.534721036171,3187.256847300797,2663.592110656284,2904.303761427331,1665.498989571265,5815.492764778938,2627.732879263123,4167.582627180675,6392.861852714658,4811.047661350929,5269.698169019031,7440.31251537518,10312.34226782944,7590.85509204639,3783.193467132849,4766.595380559321,4827.221559186642,2011.791168984075
F1,Times4,2672.394266372429,2693.913544374222,4513.844065408263,3259.494305758089,3879.504824953673,2753.114644202883,3296.579637483723,4523.154573467607,2735.574663157123,4324.822712890893,6556.689947269881,6068.279077565474,7678.600007530566,11701.612885285,3796.521502004408,4443.535556094321,3503.289512450469,3968.848827794512,5284.787909984952,4027.765428627848
F1,Times5,4387.280398066058,4394.394549719837,6227.065122519294,2931.499473149852,2707.905654481962,3209.003133413318,2915.149478704715,6004.827746994369,2930.44540141743,5134.699747055199,7016.98284724692,6370.297397347212,7847.12419054038,7639.051583710422,4683.358338476532,5369.235820195272,3285.040341100861,4132.372387317208,5233.891637913243,3101.758806254703
F1,Times6,3385.81823766534,3184.291252471852,6167.415031128446,2839.681706064206,3766.641809908615,3697.149411282163,3442.91413757705,5611.838691702952,3056.185387875381,5561.672330550416,4826.463405882718,5847.68605911343,4692.140326895238,5550.490763890374,6037.751077348771,4230.039569296014,5871.680783703097,3993.334579418771,5588.967033576191,2572.290586890098
F1,Times7,3470.454500777941,4377.175030173348,3274.421365147808,4598.296953778657,4537.131641560591,2983.846606230435,2916.726165517106,7153.217870299894,3686.083435654161,4477.436830351875,6884.808146265367,6568.042086371203,4344.201880647588,6706.37542112675,4004.822702675347,4944.283412345514,4644.031597755209,3364.291395730968,6611.269991099777,3498.948660782119
F1,Times8,2978.23822293897,3705.249345304621,4526.189830822872,2836.323411454747,2281.781332457208,2803.163303743022,2213.514074329889,9336.004090829014,3284.235502260893,5568.028910636262,5729.020818188136,6198.430980112725,8585.147694167132,6209.408895664191,4208.265818720191,3918.839419252838,3761.555199341904,5796.630680299328,4223.307730191509,4299.731173012279
F1,Times9,4219.712801800884,2912.945088583589,3893.251249541937,4061.192431268785,3299.778909836629,3124.637304670639,2038.551871181202,6005.168525869526,3250.088545303725,5160.506568882794,6227.851754277816,3838.759489746137,7407.57910524403,5770.686825523713,4591.755691906576,4585.771746982097,4158.259256578765,4167.698132602884,5856.045926461689,2521.3403194966
F1,Times10,2909.829497186054,3308.677693979233,4023.780572927293,2146.280699414455,4977.931763045067,2865.617781773139,2997.421966036946,3758.255850598168,3185.545621359993,5153.567917831601,5631.616376280867,5066.259714739096,8904.753539728956,8553.898559231502,5957.301084000328,3069.954069193561,5425.450352228261,3135.83090459058,3619.784839305521,2344.017060158377
