Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,2527.443030078644,2908.061367457166,3858.290658696133,2207.343279195685,3601.878656010627,3091.397917653678,2956.496972659418,6918.709387031785,3041.707812622495,4476.243831601088,6258.941236654474,5960.070347032081,5007.567570060474,7690.382532947392,7210.417713576764,5593.028543199489,4905.46495910308,3108.030890832603,4997.446731582371,3733.956862595684
F1,Times2,4596.220776158741,4262.604342401518,3464.051549222305,3325.643489405508,2914.688476113967,3039.220419266221,3254.109737359053,5810.820654842752,3337.539112213864,3752.012483052381,4921.022202778404,6814.211096070093,6031.214234111292,6464.648928489006,8108.589959131261,7452.862504595885,5751.546847303395,4000.526435106073,5844.809794317714,3313.009729901071
F1,Times3,3389.734016213953,3777.576077342854,4400.68733784548,2608.13909174436,3631.484072943421,1941.626049107513,3172.37372882115,3487.111033603384,2505.202170607236,3677.682241961266,6427.671337012622,4565.983067210933,4552.644393478553,4795.500987555053,5169.764810102835,4351.191085573298,4689.316929383461,5163.638447924831,7379.058391972087,3569.090648577629
F1,Times4,2621.950183431972,4400.284733923314,4436.92785098864,3640.594118511623,2661.521475948761,2703.528175269212,2587.484222359881,3524.084186151661,2530.395352608478,2906.680659870204,4719.638883694578,3205.884295348786,4100.175915486543,5221.314425343357,6923.172025968591,7588.04224886887,4708.382175657426,3870.615795248627,4555.822789124871,4095.211293394497
F1,Times5,2825.62149836963,3893.485566038546,4430.195716621871,3365.104190805864,4089.125468546874,2201.468011574254,2873.892543491382,5047.078857493295,2562.793999643323,3186.408427632375,4867.477738848537,3963.975047133069,6632.646807107995,7434.881123061409,6215.078732236235,6846.362667523588,4559.504285137253,4675.400647651206,4350.023186906405,3000.068653444601
F1,Times6,4620.07210582086,3092.700722858907,3983.06006133017,2996.710371656117,3138.372281634223,1543.714812995564,2765.613895988678,5535.457254205938,2892.786522913942,3692.837426001286,7784.236156095946,6717.24803276987,8692.522721033545,6027.2161091875,5448.843334317673,5373.15124776071,4539.973056297586,4470.463593825662,5037.8570496453,4131.211098105804
F1,Times7,3511.904688630125,3572.672481084721,4027.456823512003,2451.409756141008,3774.552428577804,1524.792484855837,2516.904514163294,4576.714936663053,2896.21779448088,3782.123668305081,5117.788972064058,3828.715288780878,5898.158701503142,6125.798177451695,6227.818618541814,4995.527118623512,4120.317714324637,5068.231877736798,5586.524550547364,2338.324169174711
F1,Times8,3617.376520112806,3557.667213121394,5361.842294209943,1831.171660082469,3633.355859438323,1303.526703924136,1560.378871881434,5638.011269511378,3649.563333169582,4013.60537138567,5023.120750041709,5324.359094795577,7912.215776773171,4507.687801339145,5053.822114403713,6171.36870466498,6269.357651910249,3841.557128871526,6590.173708776802,3506.423899854981
F1,Times9,3976.5882237771,3851.841202932953,3486.628903388927,2817.703949070795,3139.517734669262,2803.993554964494,2828.374185141651,4028.983029677964,2229.06857871117,4751.476104274198,6176.675512342008,7710.528516978965,3959.391232669544,7074.80439768243,9269.9670227576,5919.781399217121,5321.044464947565,3444.689242489104,5443.281517743096,4029.148129281965
F1,Times10,4813.109687467868,4364.915348181175,5392.875849453621,2779.687064320876,2904.411860893274,2680.110073389518,2762.199218126357,4466.107361033335,4585.304172190599,3786.47756898686,5125.829162865506,6570.775481439614,9552.766639235542,6786.770002853367,5300.724143492907,5399.212082352679,6421.642105758172,3164.611715021658,5319.051519877506,3053.381536082994
F2,Times1,2.436352131408651e+27,1.203049586874661e+22,7.732514411442278e+29,3.827579927020442e+30,6.532478426487044e+20,3.145849013179175e+28,3.047890153507928e+19,4283441957892934.0,645304264352.3496,4.620314489419354e+29,8.555105995788991e+24,7.492407286795279e+41,3.430876028093787e+36,5.861156990780751e+18,1.149443072145452e+16,5.498534222575132e+21,10093283.68957098,1.322943533925242e+21,7.916971389818728e+24,2.123411266270771e+23
F2,Times2,9.595366691662907e+28,1.323969089580846e+25,8.267152855256552e+20,3.232567420732398e+19,4.012511805003345e+31,2911138722121264.0,5.199947402683594e+21,56195.81708467859,5.517562799069662e+25,7.117017801582127e+27,3660975833473321.0,274169562618.0761,2.140408568987314e+29,2.87540304687162e+19,5.378615698747994e+25,9500080090084.512,7.346698360141751e+22,1.154045610198905e+28,546346.0353509487,8845285728367532.0
F2,Times3,1.509555194437987e+24,1.874919678366173e+21,6.115564399197083e+26,1.648792261944707e+25,5209823473624276.0,2.807462010010706e+24,715887129030085.5,2539413989023.993,2.104191770094793e+24,1.014434077855622e+28,5.298771692416444e+23,104408794080727.0,1.84946694833198e+37,3.470187684246183e+23,151206367001169.8,286686.8121101328,45058069400.65929,2.986094498659888e+25,2.639175025255476e+28,5.928682688306734e+19
F2,Times4,2.544671842857063e+19,1.435488529326673e+20,2.156588446392033e+28,3.000688756795475e+23,2.393463120860831e+22,1.622800770060951e+25,1.454253652326106e+24,158365072600574.4,1.721826246090226e+18,3.084503649098258e+24,1.100522735622075e+39,7.270711523348489e+27,3.170638622504224e+21,3.105518432108052e+20,5284522109857124.0,81860941.06463291,7090215405035280.0,7.859752673291203e+18,7.895620352836927e+22,1.639716718386989e+20
F2,Times5,7.868465927942405e+16,6.074205606453905e+23,5.060146779677611e+24,6.958434285058269e+22,4.234117712197817e+31,3.746124079238373e+25,1.606770002075874e+16,5.198322259724123e+22,4.922652620523891e+31,7.663075875007037e+26,1.700247870268585e+22,6.605001573384423e+21,2.104115767806748e+39,5.195505268144687e+21,13740701293727.92,249887406933203.1,6946846488482287.0,4.37147036068304e+26,786695018138403.0,1.143305189086695e+26
F2,Times6,7.813133189650258e+26,1.199972222132659e+24,1.506771284543607e+25,2.548858682363667e+22,2.562279074983417e+24,1.515085344587063e+21,6.022383738133617e+20,4.652187744843472e+19,663738095532840.5,2.895219293584667e+25,3.720622778044546e+19,2415575793668294.0,8.548966345645275e+30,1.207732174089664e+24,1167680429.652679,5909167158442.843,3390899.979259604,1.326263954850037e+24,114850771338708.0,1.501275032324598e+32
F2,Times7,8.898171034510136e+30,5.630926252217263e+19,1.077842953185381e+29,3.201519315513848e+17,5.779079374295557e+25,1.570109215599022e+19,4.464777278517079e+24,644818954206665.0,2.046689286388624e+27,5.746869752475918e+30,1.445521427046802e+25,8.133104132167772e+17,4.351651480458958e+26,6.476722155826536e+25,5.659815755234131e+16,250656166256.1522,3446469768.284034,2.82630311644555e+24,670259343873.2699,73465338515.22935
F2,Times8,2.657207307865965e+26,3.395808079912668e+24,2.329426265480283e+21,4.23043913268498e+16,2.818405227216709e+24,1.018425403615483e+19,2.518969438663434e+19,1959423919.709689,2.577834487465964e+28,6.529617563223581e+28,1.310494623475893e+23,64033494104.56478,6.179212589949928e+27,4.0924718875037e+28,2.14326350076612e+20,89530650736026.66,1.218600884735302e+18,6.756687437849194e+24,4040803.587905678,2.676876042427811e+22
F2,Times9,2.16996973863796e+28,5.769332763097515e+23,1.695840613748476e+29,1.156025770214121e+29,7.113715057685977e+25,6.344279392242775e+18,8.638175731735469e+17,3.237579519662532e+26,2.94029385593186e+30,2.162062253017014e+25,8854141525573870.0,4964826804657188.0,3.936452206566198e+25,2.076751573052656e+31,1.293943168170836e+24,1.071088208688449e+18,1.901633984493532e+19,7.04562679763818e+20,2.622565917284581e+25,6.570849833035667e+20
F2,Times10,3.466817528357685e+21,2.966318264482822e+26,689494857272644.5,1.548934558587608e+29,4.965291229511868e+16,6.217611102619474e+19,3.541457212247163e+16,1.828680819859216e+23,1.843035973454487e+28,3.762529813444005e+26,8.207957857538448e+20,49499487934470.91,7.865087292305492e+24,6.415991979549962e+16,1.080191912348066e+21,8.036705637627383e+19,3727357318.991134,3.417224518151169e+26,708966180.4782132,1.253429911364823e+21
F3,Times1,180388.700540217,217244.7817010199,192200.2885308255,163721.4473866208,231873.0079310226,95980.65733342775,130651.287975065,216690.2877939696,131164.8190915765,209972.6553225332,261782.3485386659,387010.4387130869,364644.0446031929,342183.9817983405,220298.10158502,308889.7581071822,262763.043101982,196759.3009385977,170455.6289092286,154401.9983695197
F3,Times2,180345.9935987402,151571.8730738577,239246.3977369655,120754.7516513457,142042.9154701392,113593.4838085121,155333.9142393927,302994.5063171939,147537.9612240253,172637.6704856735,260063.1035131182,317278.0027034032,401861.7886698656,308475.7015342701,230644.3630640828,220979.0234185959,141999.8609683589,209541.4571695742,315170.4817300002,158927.6810204764
F3,Times3,224969.6194618946,204573.694453512,137034.5804379802,104321.5609631512,100110.4036177408,164061.9868645373,191711.2666563554,229343.0130129182,176903.3105133905,181322.7789366104,312094.3262183929,278835.6343879351,283525.0950163697,233564.5278920967,275263.6113297831,283521.6919717272,206625.6593172776,251475.8795395668,253027.6769718392,133777.3024428684
F3,Times4,170837.4415190235,236150.4530240061,139862.3735216428,164785.2835419546,123660.8418222554,134009.5170064835,137422.7496724699,359161.8954286731,200931.7252795254,249116.3218143777,260485.8704445264,333484.5984174871,355630.7151788954,231549.2916566005,371657.7311161507,240005.8421015321,600664.8770953091,213225.1427479715,351871.067616961,250910.9372165753
F3,Times5,160919.1829148022,165218.7926695298,218193.6971749224,148085.5523829577,203293.7067227083,166911.0705611452,139888.3639822886,275092.6559669388,181830.558037717,245509.4936998984,242723.9286065395,286382.489024481,445030.4648326071,329252.0502686301,260451.6901253152,263748.5507430693,161842.5953715374,190323.2980969633,214823.0324934082,107147.4502483111
F3,Times6,177962.602825186,202204.7555875056,225154.5642459781,155642.4496112345,190787.1060904749,152154.9834382428,133005.7225665512,227009.6303377608,136799.5170003972,198465.912373547,358371.8492788564,289172.1881754502,354848.56337287,261379.3399910105,301732.817742304,126323.9737000624,238450.0992944027,238964.4664466277,221548.7387466168,194245.9357613205
F3,Times7,201536.5510057363,227807.3289493399,164482.1554134082,165612.3823045068,160221.8812148383,141277.1619916561,132507.1825616315,219338.780901851,131903.6382100066,174024.835683373,351727.7850217776,204797.4337845168,331998.6364418565,243262.8113538666,159063.5558518551,232700.1812820082,258400.5715553749,164817.896690429,249291.3019490451,164405.2547247066
F3,Times8,189641.546332134,187501.8843891756,211716.5929146429,123933.9195196363,145076.5323910099,156999.1752913038,128917.9361268844,225775.5727061335,118197.5255946583,178140.7269178131,344710.0304397254,220222.8156874753,327555.9692735796,376404.2987129649,265073.8341786234,279335.4991261414,255053.7861491826,294315.2348791284,325143.1583940518,156658.9531763042
F3,Times9,272050.0035115872,140130.5563046335,176532.7063735428,92927.92637874284,93781.17827664592,167248.9615844794,143589.4134129609,175504.556219009,186094.1733382662,281209.6164411993,173612.7859451817,238817.0695611201,291219.1278229289,299374.6692113577,302129.4922166069,312821.3215187558,181943.3128842012,278331.8395503841,285956.8604599704,154729.6733474838
F3,Times10,142954.4731825512,142705.8026778346,210920.1528588218,144096.1941409574,179696.1731242669,177185.146936725,125929.911053198,280888.4298010212,171639.0938578171,300177.9117850485,274720.1235024993,294440.0103922649,388455.9230191226,416721.5265760386,230943.0691362724,221588.6606926162,217799.3678798821,180400.3169873511,254521.2312753602,155398.1559348747
F4,Times1,17.50474306068059,19.63791064603768,30.02877986338597,19.08478459875639,22.75527375073156,18.32100137636187,18.39658072100689,26.39618068223719,18.89792484509702,27.93887826098363,20.87206558179881,26.79727808377881,28.77083510265881,22.37862356543231,24.74702976626773,33.04074061854098,25.60014475020965,19.51269912096155,32.75685543006227,17.4724906653732
F4,Times2,23.78921247742037,25.96245423073111,21.49836578886982,19.34984391637174,21.38327909398707,25.47035983789706,19.21962287994565,26.56349249403811,17.50482333900571,19.80499641443513,27.39680481685959,31.9185840745642,25.44724362824572,29.05096702001187,24.30705472911301,24.07369879212003,23.54761669098399,30.89343924368331,30.19971133419563,21.02917846665797
F4,Times3,18.75858663480684,22.68190854092843,24.10395427570461,18.80041161390722,14.92975656364029,25.40232844838069,18.58144493443154,28.17227207510276,17.40077391653468,21.84806302052413,42.84446453106565,25.16678421682898,25.21403648144008,45.27348434410224,28.11538867962912,30.09876783341268,23.39800852792641,19.25743530899011,28.19952530292025,18.50718506137481
F4,Times4,20.4908776381501,18.09467174394279,23.10518476215364,25.39009021521053,19.41513557830703,23.1576667248316,23.94394692476333,27.73048060329136,21.70935966955884,26.64156968850737,28.07359890170392,27.58470504276653,29.51069606712013,39.55126543371072,26.22796441059902,25.37317146915366,24.33083828285994,30.90581904901116,25.78113966858277,21.99343112243204
F4,Times5,25.976716723181,21.88652507966428,17.93575400992838,20.38148589270877,27.11950003610908,26.35968151536663,18.88029312362517,20.41896904141462,22.73340853344392,21.50209025034502,27.98296056883476,33.29683350936575,23.9889682137065,21.14151055118057,28.81406757606042,20.81688191188477,31.56893332472751,22.7994469315896,32.8909323013373,16.21186459827898
F4,Times6,20.89152614176326,17.66402372726764,21.19601314824745,29.51053809679197,26.91257443448211,26.2810333095731,21.80822723061987,21.88961774423477,18.56021846040221,19.10993597140221,22.32412968907296,35.13051141743877,27.8808096672266,32.58782413084196,22.8201392528291,29.42630337805756,27.69488502809039,25.88247405468602,22.51621343494309,15.43233081465275
F4,Times7,24.90571795004253,21.11358351625164,24.01405480062156,17.78647504725,19.76134490538783,23.74315406011211,17.54057132979185,27.26326058740963,24.59688758867134,30.4370244219729,26.12235125270123,22.84955697045952,30.77244071307767,24.80392081804899,25.29785473803793,30.97092877576415,29.03396704222315,25.84177128350527,26.74151068131431,22.57187096206223
F4,Times8,32.77631810048183,20.74981520053985,25.67839151960428,22.93684773126738,20.6219691977176,24.9630791994627,23.3113333693889,20.48754326086768,24.15633508601251,24.67100158264513,29.76195404601675,23.28609877515515,25.81679842331509,22.21658625915573,31.31553703581275,24.09936783904946,27.13021705919464,20.33635868855588,28.77588072876326,20.03374397815184
F4,Times9,19.74484687765144,21.67163587044796,30.41051927725121,19.52194891801683,21.53951651330353,23.43512088999487,22.53830635186471,23.72267363804427,20.04866674342709,21.80588733453711,25.15355436774195,26.02746027965777,37.76968640779381,25.21484440025713,28.73578052815316,20.97226242633199,33.50862737479282,27.34801911656172,25.19312322240606,18.3326736136667
F4,Times10,20.21528284060866,22.40392017891403,22.28334813726325,30.43923117543836,20.0396884729616,24.25215939509773,15.73091087837862,21.64719085230123,23.55822192161199,34.12170784279549,22.1514048541446,22.24718501365751,25.64062397118144,31.64144474343662,29.8283596868388,21.51780779275911,22.47619214216766,23.3381456647695,25.80321601660474,19.79995429257545
F5,Times1,210567.2369300984,432546.7202275236,637358.1507992756,125019.4398208131,472284.2765624943,257426.5375500064,55243.58015045526,646795.6298716957,378875.2061725309,915068.8782686649,1406848.575763281,1017637.058939364,828720.5219417096,1311278.565137476,1339802.680634716,725949.1808295932,434980.7220111365,858278.6358393483,1817305.82144665,230701.2305963622
F5,Times2,399924.3282731121,633496.4024350732,1397475.494235946,413680.6723398992,575380.4260722456,295324.5719515903,196493.0390443369,1276855.406160898,233384.3565071877,301096.0745392918,1070085.607928561,1141298.560405841,1300493.907214268,2553393.544499144,665008.7325379036,1224625.941248607,464472.8538441468,980666.5015478265,830631.5322455823,242056.2678311121
F5,Times3,629026.8762270644,614098.5521455423,820610.2976556944,483189.1884900142,380744.3984562957,309029.7869886057,137664.6628068914,512039.2834960831,545066.0280051271,359561.1073945742,1246433.888315058,577015.0191869239,1233947.312239929,2312669.55424051,1243849.300531345,765612.5953371599,774885.0088142626,1396370.646497396,1202614.577770884,626193.0161028177
F5,Times4,609380.1980135465,406261.9645677492,946143.6224069892,441628.7897194991,671717.9018841201,298965.3223945211,317265.9168756125,1727164.969039804,545647.9964808788,688108.1291334977,859856.2654758594,1389990.042640585,1907077.789357191,668183.7977268214,3504049.617265139,821230.3618070685,1586119.556087404,1053408.129589859,1427086.877620804,413014.3682123937
F5,Times5,554650.5650884543,146857.9717449769,963974.0302733203,161280.4713100734,566279.9275338958,213736.3464650677,172030.5311159462,2391447.109398743,156626.6948981684,627062.9246865097,1776504.936908067,1062412.640869147,2587755.996141701,1417410.931356483,1101637.715719805,790021.7716974234,313275.8440704184,486672.0565004916,738717.3067384062,670932.5371222227
F5,Times6,703329.5225515302,303467.1661118821,1121138.740416361,306538.2809306075,408701.3904877166,435649.8350262481,145146.0702380411,847115.9269001787,446059.9107719768,1823362.002696449,1927276.616779312,929070.643603134,1445341.963976766,1620428.847543123,726822.6916614044,1755386.488183346,619531.9575984745,860893.6534285204,1851295.350283358,262522.3644093375
F5,Times7,457177.6281926497,278363.8789014942,318673.6381429799,414336.9336233888,1118694.284529622,340437.3266000903,209272.3363819378,1106899.048232651,363858.1417269942,901429.2129713979,3145009.965185094,1225994.409851846,2395784.174183291,2122938.114016203,2393682.693645875,358840.5147683983,870218.4684957837,572711.8328214836,2401360.059453601,534100.6999601766
F5,Times8,595327.4832241461,478625.8640997974,1012733.090612287,499849.2924349144,365706.5072052575,624045.4419702233,250719.1258742384,1388637.046057325,740252.5369841798,1104600.537191336,1514784.890805181,1063779.031210461,3217565.79303885,1386669.337248883,719184.4570063198,951290.9525808288,540812.4742436921,582219.295692265,1910751.435610316,533460.3020296334
F5,Times9,444507.5665975396,638219.8401002301,638745.0817426649,523772.7318425465,594541.1553440382,385629.4312399563,90998.8970556741,995350.3864070075,343093.2313001925,614294.1086010943,1404557.798152428,411355.9295896225,2075042.182182123,1857835.796460467,2809989.660283342,821525.7837583765,1732235.723252255,788195.5786346527,611463.315771415,572520.2654936637
