Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,4310.476818338823,2064.619386856004,3323.323089749169,3070.260678046308,3050.012448295017,2307.23490771803,3273.662254452182,5204.750694803705,2750.353687354607,3975.420897392024,5459.277969054286,5440.288636581394,5398.438001310535,5318.887335660372,4563.890855237846,6108.279974662937,3122.098187227297,2661.495182518327,5278.614509927907,3319.678874033734
F1,Times2,3610.213479487945,3398.817759479454,3541.366007132409,2104.057464672987,3417.516629064957,3116.583200176172,3649.11348110527,3728.84647769903,4704.564519624084,3981.132616938047,5690.922205068393,6978.122556143573,7213.826599319957,7484.578706000249,4999.600090480693,2998.422516972796,4468.001459794988,3939.476292324516,8278.764263972756,2524.23138581621
F1,Times3,2667.883512972691,3020.734616185198,3999.529209375776,1528.590269298599,3329.455286584427,1884.382490872204,2884.542233252977,7749.643998509828,3968.961119481442,3562.148430315358,7706.853624834132,6199.225850351659,4618.36095863332,8620.370370071654,4304.435107159921,4025.703118140987,4506.927019890272,4646.515461570762,5733.67315836853,3533.970115093196
F1,Times4,4665.926790235638,2687.326090729071,4091.047261731815,3262.779971609933,2878.048316528053,2709.039047588378,2246.859293290916,6411.437791566397,3389.069290311913,3216.095999561146,8305.579293347295,4418.897595920197,5514.817965079711,6083.096851996189,4449.148042877505,4104.856858528162,6529.068095764137,5296.714321106893,6690.11459072242,2219.214807595586
F1,Times5,2134.748534840792,4450.613201335856,3904.185345412665,2547.62218433422,3283.144828785271,3308.927946728751,2983.966100770397,4555.845073796733,3243.502256829943,5400.805837808341,6245.22067336923,6210.908733466364,4462.91019635797,7171.226167635416,6744.70921686761,3248.809122791634,4648.238360136154,2613.693886044654,6078.874280802489,3235.99345104075
F1,Times6,4022.415700918144,3352.939720520877,4786.372402507889,3603.99390572083,4390.932382206636,2936.127119767979,3167.334286300654,6486.986381188088,3007.353414838977,3800.154554883093,4613.596601519625,3763.540075040278,7863.301785439292,7415.721815435593,5485.810201063575,6551.002203363817,4216.443024459422,3472.532856000989,3654.127369859975,4285.525223613523
F1,Times7,3787.269040920487,2482.130564045217,4095.884889772269,2207.292899546007,4721.811742343002,2966.774030293464,1892.761917605803,6069.377477092306,2525.452760436584,5279.033025331516,5942.471462675166,5125.623816099966,5808.971804744494,4929.079478639834,5932.461759904646,3372.911723512628,4272.284247673636,4492.400349228259,5400.013598041584,3441.553816130563
F1,Times8,4116.512586552984,3614.314812614583,4993.968460971659,1965.145781121996,3095.640559592487,3005.444979472104,2077.114332930006,4989.759730560771,3437.43524312858,3380.149582050916,5404.16552721139,4273.05073261589,5935.271896966308,8635.669848281024,4772.582538712365,4044.407383151107,3604.46201003372,3761.830303397943,5403.910727583781,2738.74953513181
F1,Times9,3228.06554073534,3509.499953960078,3817.885826625052,3143.10515815438,2481.064753277899,2208.830960099189,2352.808479517902,4084.741206612699,3401.382254493248,4051.610613502293,6878.994217787841,6403.149862407427,7092.629265208861,4027.751451517407,4089.501674949758,3469.377695447925,5163.472039352363,3529.605725347656,4711.627416662549,3785.573106626162
F1,Times10,2539.685454791843,3946.473993722588,2912.593744913163,2257.42096815491,3073.077975385776,2930.609793923715,3406.685543694325,3687.877707267834,3154.774180386916,3987.000749754436,6152.267299886342,5039.797768950561,9156.77089692053,8792.114907487501,8161.864159299075,4420.767349205994,6225.640425207696,3401.290070190664,3787.093286410227,2701.953458603718
F2,Times1,3.532906404493747e+25,6.450232557011166e+18,3.535386569921217e+26,29701190159.91227,5.528799647584331e+32,7.937640608482005e+24,6.701911167062163e+21,811616249899917.0,4902957898166187.0,9.986650336571558e+28,3.328519124428364e+20,268844445495419.6,2505357587915293.0,1.412418808393507e+25,3.575348729028129e+22,27230361565.20457,4764084565536213.0,3.444763611492657e+36,198546729.7911107,1006155256451904.0
F2,Times2,508376955420831.4,1.337263175990996e+34,1.80108572023522e+24,2.550545558501462e+24,893212652112.8704,4.726503006884077e+30,3445454424925.447,42474513409357.02,3.043225850248761e+21,3.558288733684801e+31,3.05144190520284e+27,4.269651548395312e+19,8.687849865258448e+24,2.27743595025209e+24,1.41812887347208e+17,24792135.2180361,2.838599625372148e+19,3.286665833777865e+28,4.651692439274638e+22,5.035181953778351e+16
F2,Times3,3.195683300491538e+37,1.058703682917268e+22,1.093255163267537e+27,7.819462513428906e+19,7.92954267317577e+21,298091770970041.4,2.7338659304717e+17,6033968660150692.0,6.314042257986022e+23,6.438754592818806e+24,5.75905027101256e+18,2045466.257011708,6.6202345198582e+26,7.190791331940759e+19,6.723582719211485e+19,178719842979.3216,2446500.85392949,3.764900220077008e+32,2544976591779.56,1.453767501871076e+21
