,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,50%,100%,100%,100%,100%,100%,100%,30%,100%,100%,60%,100%,100%,100%,100%,100%,70%,80%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F3,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F4,30%,20%,20%,40%,20%,20%,30%,10%,10%,10%,10%,30%,0%,10%,20%,10%,0%,30%,20%,0%
F5,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F6,0%,0%,20%,10%,0%,0%,0%,0%,10%,0%,0%,0%,10%,0%,10%,20%,0%,0%,0%,10%
F7,60%,90%,70%,0%,0%,10%,0%,40%,80%,70%,70%,50%,60%,50%,80%,10%,0%,0%,30%,80%
F8,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F9,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F10,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,20%,10%,0%,0%,0%,100%,100%,100%,0%,0%
F13,50%,30%,60%,70%,40%,30%,60%,50%,30%,30%,50%,40%,40%,40%,50%,50%,60%,20%,50%,50%
F14,60%,30%,60%,30%,50%,30%,20%,20%,50%,50%,40%,50%,40%,40%,70%,20%,50%,50%,40%,40%
F15,0%,0%,70%,20%,20%,20%,10%,30%,40%,30%,30%,10%,30%,40%,30%,10%,20%,30%,20%,30%
F16,30%,30%,40%,0%,40%,20%,0%,30%,20%,20%,30%,20%,50%,20%,20%,10%,0%,20%,30%,30%
F17,90%,100%,80%,100%,100%,100%,100%,100%,100%,50%,100%,100%,50%,90%,100%,100%,100%,100%,80%,100%
F18,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,100%,100%,60%,100%,100%,100%,100%,100%,100%,10%,100%,100%,80%,100%,100%,100%,100%,100%,100%,90%
F21,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F22,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F23,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
