,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability
163,1000000.0,1.0,200.0,0.01,0.6
199,1000000.0,2.0,200.0,0.01,0.6
198,1000000.0,2.0,200.0,0.01,0.5
23,1000000.0,0.1,200.0,0.25,0.7
22,1000000.0,0.1,200.0,0.25,0.6
59,1000000.0,0.18,200.0,0.25,0.7
95,1000000.0,0.2,200.0,0.25,0.7
146,1000000.0,1.0,100.0,0.01,0.7
164,1000000.0,1.0,200.0,0.01,0.7
145,1000000.0,1.0,100.0,0.01,0.6
162,1000000.0,1.0,200.0,0.01,0.5
144,1000000.0,1.0,100.0,0.01,0.5
182,1000000.0,2.0,100.0,0.01,0.7
180,1000000.0,2.0,100.0,0.01,0.5
181,1000000.0,2.0,100.0,0.01,0.6
5,1000000.0,0.1,100.0,0.25,0.7
41,1000000.0,0.18,100.0,0.25,0.7
21,1000000.0,0.1,200.0,0.25,0.5
110,1000000.0,0.5,100.0,0.01,0.7
128,1000000.0,0.5,200.0,0.01,0.7
