Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,0%,0%,0%,20%,10%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,10%,90%,0%,0%,0%
F10,0%,0%,0%,10%,0%,70%,40%,0%,0%,0%,0%,0%,0%,0%,0%,10%,60%,0%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,0%,0%,30%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,20%,20%,20%,10%,0%,0%,0%,10%,10%,10%,10%,10%,0%,0%,0%,10%,0%,0%,0%,10%
F15,80%,70%,70%,0%,0%,0%,0%,80%,60%,70%,60%,30%,60%,70%,60%,0%,0%,0%,50%,40%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,60%,50%,80%,70%,20%,50%,60%,40%,70%,60%,50%,80%,60%,50%,60%,30%,30%,70%,60%,40%
F21,60%,50%,60%,40%,30%,20%,20%,40%,40%,60%,40%,60%,60%,40%,70%,60%,50%,50%,50%,10%
F22,20%,50%,20%,10%,40%,10%,30%,30%,20%,30%,20%,40%,10%,20%,50%,20%,0%,10%,30%,20%
F23,20%,40%,20%,30%,30%,30%,20%,50%,40%,30%,40%,30%,50%,30%,20%,10%,20%,10%,10%,40%
F3,0%,0%,0%,0%,0%,20%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,30%,10%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,10%,90%,0%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
