Function,combination0,combination1,combination2,combination3,combination4,combination5,combination6,combination7,combination8,combination9,combination10,combination11,combination12,combination13,combination14,combination15,combination16,combination17,combination18,combination19,combination20,combination21,combination22,combination23,combination24,combination25,combination26,combination27,combination28,combination29,combination30,combination31,combination32,combination33,combination34,combination35,combination36,combination37,combination38,combination39,combination40,combination41,combination42,combination43,combination44,combination45,combination46,combination47,combination48,combination49,combination50,combination51,combination52,combination53,combination54,combination55,combination56,combination57,combination58,combination59,combination60,combination61,combination62,combination63,combination64,combination65,combination66,combination67,combination68,combination69,combination70,combination71,combination72,combination73,combination74,combination75,combination76,combination77,combination78,combination79,combination80,combination81,combination82,combination83,combination84,combination85,combination86,combination87,combination88,combination89,combination90,combination91,combination92,combination93,combination94,combination95,combination96,combination97,combination98,combination99,combination100,combination101,combination102,combination103,combination104,combination105,combination106,combination107,combination108,combination109,combination110,combination111,combination112,combination113,combination114,combination115,combination116,combination117,combination118,combination119,combination120,combination121,combination122,combination123,combination124,combination125,combination126,combination127,combination128,combination129,combination130,combination131,combination132,combination133,combination134,combination135,combination136,combination137,combination138,combination139,combination140,combination141,combination142,combination143,combination144,combination145,combination146,combination147,combination148,combination149,combination150,combination151,combination152,combination153,combination154,combination155,combination156,combination157,combination158,combination159,combination160,combination161,combination162,combination163,combination164,combination165,combination166,combination167,combination168,combination169,combination170,combination171,combination172,combination173,combination174,combination175,combination176,combination177,combination178,combination179,combination180,combination181,combination182,combination183,combination184,combination185,combination186,combination187,combination188,combination189,combination190,combination191,combination192,combination193,combination194,combination195,combination196,combination197,combination198,combination199,combination200,combination201,combination202,combination203,combination204,combination205,combination206,combination207,combination208,combination209,combination210,combination211,combination212,combination213,combination214,combination215
F1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,0%,10%,0%,0%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,10%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,10%,20%,0%,0%,0%,10%,0%,0%,10%,20%,20%
F16,60%,60%,90%,70%,70%,90%,20%,60%,100%,20%,70%,100%,100%,90%,100%,100%,80%,100%,10%,70%,100%,0%,50%,90%,100%,90%,100%,80%,90%,90%,20%,70%,100%,10%,60%,80%,100%,100%,100%,50%,70%,90%,30%,90%,100%,0%,30%,60%,100%,100%,100%,20%,70%,90%,20%,90%,100%,0%,0%,30%,90%,100%,80%,0%,0%,0%,20%,80%,80%,0%,0%,0%,100%,100%,100%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,80%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,10%,0%,100%,100%,100%,10%,20%,10%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,20%,10%,100%,100%,100%,0%,0%,40%
F17,30%,60%,60%,60%,30%,40%,20%,50%,30%,20%,20%,60%,30%,40%,30%,40%,40%,50%,30%,40%,10%,30%,30%,30%,30%,20%,30%,30%,40%,50%,20%,30%,50%,30%,40%,40%,20%,50%,80%,50%,10%,40%,50%,70%,60%,10%,40%,20%,20%,50%,40%,10%,10%,40%,50%,20%,60%,0%,0%,20%,40%,60%,40%,0%,10%,0%,40%,20%,50%,0%,0%,0%,60%,50%,50%,40%,50%,10%,50%,40%,50%,50%,50%,60%,60%,40%,50%,60%,50%,30%,30%,40%,40%,50%,30%,30%,60%,60%,70%,50%,50%,60%,40%,50%,40%,40%,30%,70%,60%,30%,40%,60%,40%,80%,50%,40%,60%,40%,30%,60%,40%,40%,60%,50%,50%,70%,30%,30%,60%,40%,40%,40%,70%,60%,20%,10%,10%,30%,40%,60%,40%,0%,0%,0%,80%,20%,70%,90%,40%,10%,60%,40%,40%,50%,70%,60%,60%,60%,50%,40%,50%,60%,30%,30%,50%,60%,50%,60%,60%,40%,70%,60%,30%,70%,40%,30%,30%,60%,50%,30%,20%,30%,50%,60%,50%,70%,40%,60%,50%,40%,40%,60%,50%,30%,30%,40%,50%,80%,40%,20%,50%,30%,40%,40%,30%,20%,40%,30%,20%,10%,40%,40%,30%,20%,30%,20%
F18,60%,70%,40%,20%,40%,50%,0%,20%,70%,0%,20%,40%,60%,80%,90%,10%,60%,50%,10%,10%,80%,0%,0%,50%,30%,70%,90%,30%,40%,50%,0%,10%,80%,0%,20%,20%,60%,100%,90%,0%,40%,50%,0%,10%,70%,0%,20%,0%,20%,70%,90%,10%,0%,10%,10%,20%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,80%,90%,70%,40%,50%,60%,100%,100%,100%,80%,90%,100%,70%,80%,90%,70%,50%,30%,100%,100%,100%,100%,100%,70%,100%,90%,90%,40%,30%,50%,100%,100%,90%,100%,90%,100%,100%,100%,100%,80%,80%,60%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,80%,100%,100%,100%,100%,20%,90%,100%,20%,40%,10%,0%,0%,0%,20%,40%,20%,0%,0%,0%,100%,80%,80%,70%,60%,60%,100%,100%,100%,100%,100%,70%,100%,100%,100%,60%,40%,70%,100%,100%,100%,80%,90%,100%,100%,90%,90%,70%,70%,50%,100%,100%,100%,100%,90%,90%,100%,100%,100%,80%,90%,90%,100%,100%,100%,90%,100%,100%,100%,100%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,40%,50%,50%,0%,0%,0%,50%,40%,60%,0%,0%,0%
