,,Combination1
F15,Times1,3000197.0
F15,Times2,3000197.0
F15,Times3,3000197.0
F15,Times4,2441606.0
F15,Times5,3000197.0
F15,Times6,3000197.0
F15,Times7,3000197.0
F15,Times8,3000197.0
F15,Times9,3000197.0
F15,Times10,3000197.0
F15,Times11,2040617.0
F15,Times12,3000197.0
F15,Times13,3000197.0
F15,Times14,1755134.0
F15,Times15,3000197.0
F15,Times16,3000197.0
F15,Times17,3000197.0
F15,Times18,3000197.0
F15,Times19,3000197.0
F15,Times20,3000197.0
F15,Times21,3000197.0
F15,Times22,3000197.0
F15,Times23,3000197.0
F15,Times24,3000197.0
F15,Times25,1511738.0
F15,Times26,3000197.0
F15,Times27,3000197.0
F15,Times28,3000197.0
F15,Times29,3000197.0
F15,Times30,3000197.0
F20,Times1,1391.0
F20,Times2,2063.0
F20,Times3,3000197.0
F20,Times4,2324.0
F20,Times5,1997.0
F20,Times6,3000197.0
F20,Times7,3000197.0
F20,Times8,1769.0
F20,Times9,3000197.0
F20,Times10,3000197.0
F20,Times11,3000197.0
F20,Times12,3000197.0
F20,Times13,3000197.0
F20,Times14,2330.0
F20,Times15,2204.0
F20,Times16,3000197.0
F20,Times17,1676.0
F20,Times18,3000197.0
F20,Times19,3000197.0
F20,Times20,2606.0
F20,Times21,1301.0
F20,Times22,3000197.0
F20,Times23,3000197.0
F20,Times24,1709.0
F20,Times25,3000197.0
F20,Times26,3000197.0
F20,Times27,3000197.0
F20,Times28,3000197.0
F20,Times29,1496.0
F20,Times30,1154.0
