,,Combination1
F15,Times1,0.0006678052564801877
F15,Times2,0.02036334955439865
F15,Times3,0.0006807031437336278
F15,Times4,0.0003498913132282051
F15,Times5,0.0006524644960919411
F15,Times6,0.0006989422912678131
F15,Times7,0.0004321029197981677
F15,Times8,0.000361082874899575
F15,Times9,0.0007350793194959802
F15,Times10,0.02036335290350216
F15,Times11,0.00042030727355032126
F15,Times12,0.0005204953546352436
F15,Times13,0.0003539867992479278
F15,Times14,0.00034978262796528885
F15,Times15,0.0003488238915834802
F15,Times16,0.020363345229173158
F15,Times17,0.00035787491750622285
F15,Times18,0.0003707229159165945
F15,Times19,0.000445514438436041
F15,Times20,0.0004185259456340232
F15,Times21,0.00034980251609642473
F15,Times22,0.0005026514480351689
F15,Times23,0.0005020821439035501
F15,Times24,0.020363354649033917
F15,Times25,0.0004574822517076741
F15,Times26,0.0004438790813328652
F15,Times27,0.0003499803106152904
F15,Times28,0.00122321102170797
F15,Times29,0.0004338062781454005
F15,Times30,0.00044758348556797335
F20,Times1,-3.3174058703539013
F20,Times2,-3.203102049422454
F20,Times3,-3.203102049958423
F20,Times4,-3.2031020502173684
F20,Times5,-3.2031020501145857
F20,Times6,-3.2031020490365374
F20,Times7,-3.3151260322409906
F20,Times8,-3.203102048383931
F20,Times9,-3.203102049972079
F20,Times10,-3.203102047044058
F20,Times11,-3.3151177638226983
F20,Times12,-3.3154859855097754
F20,Times13,-3.203102049820223
F20,Times14,-3.3159040033951146
F20,Times15,-3.3158477304411647
F20,Times16,-3.2031020501507874
F20,Times17,-3.203102049706646
F20,Times18,-3.2031020496392464
F20,Times19,-3.203102048015742
F20,Times20,-3.2031020500836975
F20,Times21,-3.2031020494716946
F20,Times22,-3.2031020500892167
F20,Times23,-3.2031020478994114
F20,Times24,-3.3167284805772983
F20,Times25,-3.2031020494415117
F20,Times26,-3.316278975113346
F20,Times27,-3.31571862818775
F20,Times28,-3.3162569794150834
F20,Times29,-3.3158962708815403
F20,Times30,-3.2031020498207683
