,,Combination1
F15,Times1,2.16119613941084
F15,Times2,0.5757154178116276
F15,Times3,1.7903768228477834
F15,Times4,0.5549066503733617
F15,Times5,0.05094053551617589
F15,Times6,2.3177032727379525
F15,Times7,1.4848903604976695
F15,Times8,0.8307361905004464
F15,Times9,2.4851724315173023
F15,Times10,2.4935662489318555
F20,Times1,0.062003564770389846
F20,Times2,7.61211095694367
F20,Times3,0.15752157510769174
F20,Times4,4.121735674832985
F20,Times5,4.02537998330637
F20,Times6,10.758673105366208
F20,Times7,0.1423164238814619
F20,Times8,0.005672352330573616
F20,Times9,0.0
F20,Times10,0.0
