,,Combination1
F1,Times1,127963.0
F1,Times2,140167.0
F1,Times3,165361.0
F1,Times4,177967.0
F1,Times5,140653.0
F1,Times6,175324.0
F1,Times7,153067.0
F1,Times8,142660.0
F1,Times9,145288.0
F1,Times10,215212.0
F2,Times1,1254748.0
F2,Times2,945424.0
F2,Times3,1032790.0
F2,Times4,980041.0
F2,Times5,795265.0
F2,Times6,1304848.0
F2,Times7,1070659.0
F2,Times8,851488.0
F2,Times9,1177864.0
F2,Times10,1230340.0
F3,Times1,923203.0
F3,Times2,935110.0
F3,Times3,1014148.0
F3,Times4,1106638.0
F3,Times5,904519.0
F3,Times6,877645.0
F3,Times7,931294.0
F3,Times8,1228048.0
F3,Times9,753472.0
F3,Times10,932563.0
F4,Times1,837394.0
F4,Times2,1158493.0
F4,Times3,958342.0
F4,Times4,863737.0
F4,Times5,868834.0
F4,Times6,1019467.0
F4,Times7,1029505.0
F4,Times8,749116.0
F4,Times9,841171.0
F4,Times10,1049581.0
F5,Times1,3000097.0
F5,Times2,3000097.0
F5,Times3,3000097.0
F5,Times4,3000097.0
F5,Times5,3000097.0
F5,Times6,3000097.0
F5,Times7,3000097.0
F5,Times8,3000097.0
F5,Times9,3000097.0
F5,Times10,3000097.0
F6,Times1,172303.0
F6,Times2,124879.0
F6,Times3,141667.0
F6,Times4,161146.0
F6,Times5,141424.0
F6,Times6,154606.0
F6,Times7,144661.0
F6,Times8,175708.0
F6,Times9,164485.0
F6,Times10,131026.0
F7,Times1,5146.0
F7,Times2,4609.0
F7,Times3,4111.0
F7,Times4,6151.0
F7,Times5,28825.0
F7,Times6,5500.0
F7,Times7,6571.0
F7,Times8,4642.0
F7,Times9,6388.0
F7,Times10,4105.0
F8,Times1,3000097.0
F8,Times2,3000097.0
F8,Times3,3000097.0
F8,Times4,3000097.0
F8,Times5,3000097.0
F8,Times6,3000097.0
F8,Times7,3000097.0
F8,Times8,3000097.0
F8,Times9,3000097.0
F8,Times10,3000097.0
F9,Times1,114412.0
F9,Times2,130204.0
F9,Times3,122026.0
F9,Times4,93343.0
F9,Times5,128881.0
F9,Times6,114952.0
F9,Times7,141853.0
F9,Times8,152857.0
F9,Times9,138298.0
F9,Times10,109033.0
F10,Times1,65605.0
F10,Times2,81034.0
F10,Times3,66949.0
F10,Times4,78913.0
F10,Times5,84796.0
F10,Times6,85735.0
F10,Times7,65512.0
F10,Times8,73153.0
F10,Times9,62071.0
F10,Times10,81334.0
F11,Times1,153835.0
F11,Times2,205240.0
F11,Times3,145378.0
F11,Times4,115558.0
F11,Times5,155332.0
F11,Times6,146611.0
F11,Times7,137881.0
F11,Times8,168946.0
F11,Times9,132943.0
F11,Times10,144817.0
F12,Times1,15838.0
F12,Times2,18019.0
F12,Times3,63169.0
F12,Times4,20941.0
F12,Times5,20713.0
F12,Times6,24421.0
F12,Times7,24574.0
F12,Times8,18361.0
F12,Times9,17470.0
F12,Times10,18196.0
F13,Times1,43537.0
F13,Times2,48940.0
F13,Times3,43411.0
F13,Times4,40771.0
F13,Times5,47011.0
F13,Times6,48079.0
F13,Times7,50203.0
F13,Times8,40465.0
F13,Times9,50317.0
F13,Times10,47836.0
F14,Times1,4090.0
F14,Times2,208.0
F14,Times3,619.0
F14,Times4,631.0
F14,Times5,541.0
F14,Times6,559.0
F14,Times7,862.0
F14,Times8,247.0
F14,Times9,145.0
F14,Times10,928.0
F15,Times1,3000097.0
F15,Times2,3000097.0
F15,Times3,3000097.0
F15,Times4,3000097.0
F15,Times5,3000097.0
F15,Times6,3000097.0
F15,Times7,3000097.0
F15,Times8,3000097.0
F15,Times9,3000097.0
F15,Times10,3000097.0
F16,Times1,6832.0
F16,Times2,3727.0
F16,Times3,4801.0
F16,Times4,12316.0
F16,Times5,5995.0
F16,Times6,2188.0
F16,Times7,2371.0
F16,Times8,6565.0
F16,Times9,8191.0
F16,Times10,11065.0
F17,Times1,2893.0
