,,Combination1
F1,Times1,69.05985402420157
F1,Times2,161.97383809330353
F1,Times3,63.40858212933018
F1,Times4,56.45206180337528
F1,Times5,90.50639532979261
F1,Times6,85.81983091259205
F1,Times7,22.007085132747587
F1,Times8,40.4740402087413
F1,Times9,56.25966723282526
F1,Times10,61.691501966852506
F2,Times1,0.5179103006294324
F2,Times2,1.58384512418661
F2,Times3,4.692382136198118
F2,Times4,4.593916834477747
F2,Times5,8.479892705115343
F2,Times6,2.2038940830090112
F2,Times7,2.3159760682777444
F2,Times8,10.061866221591838
F2,Times9,6.4364366689876755
F2,Times10,3.0718729765182915
F3,Times1,13.75773988772704
F3,Times2,4.071344207196468
F3,Times3,9.364884225306206
F3,Times4,8.0688326508499
F3,Times5,12.092297193495702
F3,Times6,5.633252834183837
F3,Times7,1.2264207914367133
F3,Times8,1.4354766040777835
F3,Times9,6.727473564800338
F3,Times10,5.036752637204373
F4,Times1,81.78760616673684
F4,Times2,64.9930845545628
F4,Times3,82.02096302146407
F4,Times4,193.16960430543915
F4,Times5,17.76614972111736
F4,Times6,199.168489345405
F4,Times7,176.37750881212693
F4,Times8,64.03029076571194
F4,Times9,19.641878230410306
F4,Times10,205.7388747411238
F5,Times1,15.732479586241398
F5,Times2,19.467777885462095
F5,Times3,1.2132977882790508
F5,Times4,0.0
F5,Times5,14.277813025996153
F5,Times6,4.487172585986627
F5,Times7,0.0
F5,Times8,1.0815551164871542
F5,Times9,9.01931096990755
F5,Times10,14.512776707844786
F6,Times1,63.14490423207554
F6,Times2,67.36724439226765
F6,Times3,103.18886674617617
F6,Times4,136.8624079827482
F6,Times5,164.97393827382103
F6,Times6,190.56766330242084
F6,Times7,86.05441794340668
F6,Times8,86.71303947513108
F6,Times9,71.34846940553713
F6,Times10,154.0280850668012
F7,Times1,134.9263030762291
F7,Times2,94.8965507957652
F7,Times3,111.00795783687508
F7,Times4,138.0393941628599
F7,Times5,76.7478249889051
F7,Times6,95.7850708059295
F7,Times7,92.8091233523365
F7,Times8,107.43581010631333
F7,Times9,113.75538264195909
F7,Times10,138.98287544483404
F8,Times1,151.39313057358586
F8,Times2,0.0
F8,Times3,55.80746932924478
F8,Times4,0.0
F8,Times5,90.8475166859609
F8,Times6,150.55163173591313
F8,Times7,0.0
F8,Times8,0.0
F8,Times9,208.71374896141648
F8,Times10,0.0
F9,Times1,9.295305015388653
F9,Times2,3.2097157031528885
F9,Times3,5.95800551178612
F9,Times4,4.612896202291942
F9,Times5,7.7252205136075744
F9,Times6,1.658054848413642
F9,Times7,4.072159212076396
F9,Times8,3.4913522447608845
F9,Times9,3.8071586783102984
F9,Times10,2.252815266492532
F10,Times1,36.506559908416826
F10,Times2,79.0118397925606
F10,Times3,43.71227498970967
F10,Times4,17.60914481687665
F10,Times5,17.255198357668863
F10,Times6,54.35807632096059
F10,Times7,34.759851755275065
F10,Times8,43.5605641731098
F10,Times9,12.59432382283783
F10,Times10,29.989275724182765
F11,Times1,548.1643757517977
F11,Times2,259.63723101613687
F11,Times3,808.1048765709959
F11,Times4,155.60950677388888
F11,Times5,367.81005280189686
F11,Times6,258.124580590303
F11,Times7,2744.5522679360984
F11,Times8,1851.6858439184548
F11,Times9,1571.3887372607542
F11,Times10,228.9258437847208
F12,Times1,1002.0024853351598
F12,Times2,1280.5230987962211
F12,Times3,692.8366558042987
F12,Times4,1052.5266762013302
F12,Times5,355.76434443798655
F12,Times6,1268.0127333165321
F12,Times7,699.8349816836513
F12,Times8,684.7200153395536
F12,Times9,782.3797326171904
F12,Times10,726.9055645691823
F13,Times1,129.56166275432878
F13,Times2,218.63690377623996
F13,Times3,138.21572373531015
F13,Times4,219.86740209854898
F13,Times5,121.63467764474173
F13,Times6,106.5243176180481
F13,Times7,78.97466853527679
F13,Times8,222.24523655748234
F13,Times9,199.19005389952545
F13,Times10,66.35247064783955
F14,Times1,8196.307447609732
F14,Times2,9512.486951962423
F14,Times3,9246.473755842988
F14,Times4,9190.392409795932
F14,Times5,6228.471771525951
F14,Times6,3921.5275641523176
F14,Times7,7333.283311767914
F14,Times8,7610.238485473745
F14,Times9,10175.623769159343
F14,Times10,8251.142557437073
F15,Times1,0.5034127341419325
F15,Times2,144.90847246574592
F15,Times3,0.04106172752587778
F15,Times4,0.0
F15,Times5,0.27477385499809287
F15,Times6,0.13476405793250126
F15,Times7,1.00653195296762
F15,Times8,1.8230278222849108
F15,Times9,2.3087657747678154
F15,Times10,2.3862107482417323
F16,Times1,7.366192607941719
F16,Times2,0.8362668270245607
F16,Times3,0.31180798889576855
F16,Times4,23.590754592219916
F16,Times5,40.272493856899864
F16,Times6,61.78050887429849
F16,Times7,1.5295791706633748
F16,Times8,3.741876835737218
F16,Times9,0.7741634458312188
F16,Times10,2.393351160684597
F17,Times1,20.860047079853548
F17,Times2,101.38834065834543
F17,Times3,5.737445154553378
F17,Times4,32.020737028763605
F17,Times5,18.224486687644085
F17,Times6,53.42894944344643
F17,Times7,47.23254057608095
F17,Times8,486.6846853543258
F17,Times9,307.15867247942606
F17,Times10,11.991997619748568
F18,Times1,178.06553614024543
F18,Times2,174.82396177232104
F18,Times3,179.58374928918204
F18,Times4,187.72981097575126
F18,Times5,178.70934357605574
F18,Times6,138.34490719760302
F18,Times7,333.14147794717695
F18,Times8,275.2506606530749
F18,Times9,245.84953684412926
F18,Times10,121.87368998029643
F19,Times1,0.09561442965318534
F19,Times2,0.10970824696696102
F19,Times3,0.19779307007012917
F19,Times4,0.18072721397567104
F19,Times5,0.4824286571338332
F19,Times6,0.7656667683272341
F19,Times7,0.4767392279612064
F19,Times8,0.04295530800935898
F19,Times9,0.33798632854314486
F19,Times10,0.0
F20,Times1,0.14231100370991157
F20,Times2,6.5841968626771585
F20,Times3,0.16794166716361755
F20,Times4,10.31643605403061
F20,Times5,0.14366517994347205
F20,Times6,0.0
F20,Times7,0.17777942204802905
F20,Times8,3.6317302997917746
F20,Times9,21.162555991923746
F20,Times10,0.12179577896037021
F21,Times1,0.0
