,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,Function
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
