,,Combination1
F1,Times1,216622.0
F1,Times2,264445.0
F1,Times3,211969.0
F1,Times4,296284.0
F1,Times5,202396.0
F1,Times6,228304.0
F1,Times7,233653.0
F1,Times8,228898.0
F1,Times9,209188.0
F1,Times10,194932.0
F2,Times1,1325662.0
F2,Times2,1635586.0
F2,Times3,1496326.0
F2,Times4,1616083.0
F2,Times5,1365889.0
F2,Times6,1571638.0
F2,Times7,2325277.0
F2,Times8,1813717.0
F2,Times9,1148944.0
F2,Times10,1377799.0
F3,Times1,1347772.0
F3,Times2,1283020.0
F3,Times3,1663036.0
F3,Times4,1496929.0
F3,Times5,1991410.0
F3,Times6,1532461.0
F3,Times7,1482529.0
F3,Times8,1329952.0
F3,Times9,1381435.0
F3,Times10,1279372.0
F4,Times1,1316629.0
F4,Times2,1338382.0
F4,Times3,1447024.0
F4,Times4,1344664.0
F4,Times5,1167619.0
F4,Times6,1043293.0
F4,Times7,1138651.0
F4,Times8,1159738.0
F4,Times9,1415476.0
F4,Times10,1061899.0
F5,Times1,3000097.0
F5,Times2,3000097.0
F5,Times3,3000097.0
F5,Times4,3000097.0
F5,Times5,3000097.0
F5,Times6,3000097.0
F5,Times7,3000097.0
F5,Times8,3000097.0
F5,Times9,3000097.0
F5,Times10,3000097.0
F6,Times1,194329.0
F6,Times2,220105.0
F6,Times3,178426.0
F6,Times4,271627.0
F6,Times5,205681.0
F6,Times6,223444.0
F6,Times7,192262.0
F6,Times8,210046.0
F6,Times9,157933.0
F6,Times10,210574.0
F7,Times1,3817.0
F7,Times2,3991.0
F7,Times3,3988.0
F7,Times4,3340.0
F7,Times5,3874.0
F7,Times6,4045.0
F7,Times7,3976.0
F7,Times8,3658.0
F7,Times9,4360.0
F7,Times10,3652.0
F8,Times1,3000097.0
F8,Times2,3000097.0
F8,Times3,3000097.0
F8,Times4,3000097.0
F8,Times5,3000097.0
F8,Times6,3000097.0
F8,Times7,3000097.0
F8,Times8,3000097.0
F8,Times9,3000097.0
F8,Times10,3000097.0
F9,Times1,144721.0
F9,Times2,161035.0
F9,Times3,137701.0
F9,Times4,154522.0
F9,Times5,158500.0
F9,Times6,183343.0
F9,Times7,210478.0
F9,Times8,152779.0
F9,Times9,162967.0
F9,Times10,161200.0
F10,Times1,115078.0
F10,Times2,105190.0
F10,Times3,89746.0
F10,Times4,107584.0
F10,Times5,75067.0
F10,Times6,77017.0
F10,Times7,86794.0
F10,Times8,100288.0
F10,Times9,96367.0
F10,Times10,100144.0
F11,Times1,182362.0
F11,Times2,158575.0
F11,Times3,161257.0
F11,Times4,242299.0
F11,Times5,177181.0
F11,Times6,204466.0
F11,Times7,226201.0
F11,Times8,189589.0
F11,Times9,241078.0
F11,Times10,195076.0
F12,Times1,17272.0
F12,Times2,21376.0
F12,Times3,21103.0
F12,Times4,17002.0
F12,Times5,16903.0
F12,Times6,16933.0
F12,Times7,20059.0
F12,Times8,19705.0
F12,Times9,14560.0
F12,Times10,16522.0
F13,Times1,65062.0
F13,Times2,66331.0
F13,Times3,66721.0
F13,Times4,64423.0
F13,Times5,55117.0
F13,Times6,51928.0
F13,Times7,71650.0
F13,Times8,68698.0
F13,Times9,50782.0
F13,Times10,42685.0
F14,Times1,2740.0
F14,Times2,1405.0
F14,Times3,3091.0
F14,Times4,1867.0
F14,Times5,1639.0
F14,Times6,4315.0
F14,Times7,1165.0
F14,Times8,2953.0
F14,Times9,2557.0
F14,Times10,685.0
F15,Times1,1681378.0
F15,Times2,3000097.0
F15,Times3,1286620.0
F15,Times4,3000097.0
F15,Times5,3000097.0
F15,Times6,1477972.0
F15,Times7,404941.0
F15,Times8,3000097.0
F15,Times9,2079517.0
F15,Times10,13399.0
F16,Times1,345085.0
F16,Times2,598813.0
F16,Times3,128083.0
F16,Times4,319129.0
F16,Times5,149305.0
F16,Times6,295741.0
F16,Times7,172612.0
F16,Times8,158920.0
F16,Times9,147139.0
F16,Times10,419248.0
F17,Times1,1615.0
F17,Times2,304.0
F17,Times3,9685.0
F17,Times4,4735.0
