,,Combination1
F1,Times1,0.44163412194221946
F1,Times2,0.49518322191667546
F1,Times3,0.4748992255246487
F1,Times4,0.4970610821698584
F1,Times5,0.4741925241358736
F1,Times6,0.47834148841720436
F1,Times7,0.49262337734604217
F1,Times8,0.48907020811002183
F1,Times9,0.47635623619639006
F1,Times10,0.48082822436348627
F2,Times1,0.48090848196973895
F2,Times2,0.497922915934444
F2,Times3,0.4987589020070893
F2,Times4,0.4991524789538565
F2,Times5,0.48819624854476956
F2,Times6,0.49907334655508884
F2,Times7,0.4850986452366833
F2,Times8,0.4921834120306014
F2,Times9,0.4932984602835314
F2,Times10,0.4841762271031549
F3,Times1,0.49826068786988964
F3,Times2,0.49482088251303424
F3,Times3,0.4811983584764471
F3,Times4,0.4051537202317818
F3,Times5,0.49782985049982725
F3,Times6,0.4962539269030129
F3,Times7,0.40465807086155936
F3,Times8,0.3046425755419331
F3,Times9,0.4787415210547449
F3,Times10,0.4202092131533981
F4,Times1,0.45481399273037537
F4,Times2,0.4802250583531584
F4,Times3,0.4826245523724184
F4,Times4,0.4889052936911491
F4,Times5,0.49085633860031397
F4,Times6,0.49044775893857073
F4,Times7,0.4981829703828222
F4,Times8,0.4962601029496492
F4,Times9,0.485138941239729
F4,Times10,0.4985015215469508
F5,Times1,208.49113309267395
F5,Times2,110.11078108933422
F5,Times3,122.1268179165321
F5,Times4,94.24616889647217
F5,Times5,74.60095451479727
F5,Times6,101.64245587842575
F5,Times7,47.238135426016704
F5,Times8,101.96936526088793
F5,Times9,144.54768954689368
F5,Times10,144.97944494716216
F6,Times1,0.4950880623668186
F6,Times2,0.4802063464836738
F6,Times3,0.4160956412064861
F6,Times4,0.49196847488814954
F6,Times5,0.49832506168528873
F6,Times6,0.48453041590207446
F6,Times7,0.4985280843451473
F6,Times8,0.4970919630219392
F6,Times9,0.47677707803064345
F6,Times10,0.4949076314759296
F7,Times1,0.4989513643752092
F7,Times2,0.4848889459170873
F7,Times3,0.4987773424410411
F7,Times4,0.48270385200660676
F7,Times5,0.4264728952931251
F7,Times6,0.4839311010065259
F7,Times7,0.46301283707302177
F7,Times8,0.4958660920699112
F7,Times9,0.48737568493089306
F7,Times10,0.47250575950479806
F8,Times1,-18343.49062142651
F8,Times2,-18698.80928427559
F8,Times3,-17632.863477014285
F8,Times4,-18343.488874853087
F8,Times5,-18580.368382472203
F8,Times6,-19054.124247478878
F8,Times7,-17632.86302431744
F8,Times8,-19172.56279820449
F8,Times9,-18817.24719838353
F8,Times10,-17988.17892700627
F9,Times1,0.49655430315823956
F9,Times2,0.47046659925669765
F9,Times3,0.46215894972745275
F9,Times4,0.4724758854750011
F9,Times5,0.48294534681556733
F9,Times6,0.48458652894402654
F9,Times7,0.4921357747178625
F9,Times8,0.4955604255615107
F9,Times9,0.4417053804119284
F9,Times10,0.4970517785911355
F10,Times1,0.49779156695363724
F10,Times2,0.4893987527269772
F10,Times3,0.4786590185556996
F10,Times4,0.479030632609728
F10,Times5,0.47149707181126743
F10,Times6,0.4923481205521867
F10,Times7,0.4984417034391839
F10,Times8,0.4772754227082032
F10,Times9,0.4664177892828718
F10,Times10,0.28547236425652045
F11,Times1,0.4551044381187881
F11,Times2,0.4114786382220741
F11,Times3,0.4394849427229377
F11,Times4,0.4874911849340199
F11,Times5,0.48534627853162204
F11,Times6,0.49680414358618774
F11,Times7,0.4955775925511491
F11,Times8,0.49407423903448733
F11,Times9,0.45067562302278064
F11,Times10,0.4663574701683135
F12,Times1,0.4808912265087753
F12,Times2,0.49387289888464314
F12,Times3,0.49196501059257747
F12,Times4,0.49537875832290246
F12,Times5,0.493215684285412
F12,Times6,0.4812297213461952
F12,Times7,0.45288127300319847
F12,Times8,0.4973605673071011
F12,Times9,0.4720547965788822
F12,Times10,0.49859757932544096
F13,Times1,0.4978466005610523
F13,Times2,0.4919663851721319
F13,Times3,0.49004316936574677
F13,Times4,0.47466367995821496
F13,Times5,0.4979263944678485
F13,Times6,0.48446956492292276
F13,Times7,0.4984578220248735
F13,Times8,0.48929624709242553
F13,Times9,0.44825140437885475
F13,Times10,0.49119072430628263
F14,Times1,1.0967840843637096
F14,Times2,1.0926306194943172
F14,Times3,0.9980270020742528
F14,Times4,1.2941988418418622
F14,Times5,1.0873420988482954
F14,Times6,1.0125743487488177
F14,Times7,0.9983719668273985
F14,Times8,1.4127632868655866
F14,Times9,1.386684895796349
F14,Times10,1.074653096731883
F15,Times1,0.0003498848127370669
F15,Times2,0.0004467652954056737
F15,Times3,0.020363346296257065
F15,Times4,0.00034996037978111174
F15,Times5,0.0003479326526729399
F15,Times6,0.00045100493311222894
F15,Times7,0.0003435006413467383
F15,Times8,0.00034935380540646125
F15,Times9,0.000362996118213381
F15,Times10,0.00034891157194414887
F16,Times1,-1.031569364626048
F16,Times2,-1.0315882083215049
F16,Times3,-1.0315673405846837
F16,Times4,-1.0316158164929383
F16,Times5,-1.0315536180104086
F16,Times6,-1.0315917055971269
F16,Times7,-1.0315923888718166
F16,Times8,-1.0315761982030205
F16,Times9,-1.0315945345110478
F16,Times10,-1.0315630352935283
F17,Times1,0.3984772790674658
F17,Times2,0.39834679917052007
F17,Times3,0.3984725078559048
