,,Combination1
F1,Times1,1.1087970619884304
F1,Times2,35.879767058474584
F1,Times3,44.69411234684595
F1,Times4,1.1295570179592498
F1,Times5,13.663782855680589
F1,Times6,13.41087915716419
F1,Times7,9.51271660929707
F1,Times8,30.132617736274916
F1,Times9,19.674751562746337
F1,Times10,17.388330514689326
F2,Times1,9.998270239374664
F2,Times2,3.312257923025304
F2,Times3,0.18694588423926348
F2,Times4,0.8929502734613811
F2,Times5,1.6678859398042436
F2,Times6,4.5471234389440705
F2,Times7,0.5129093942318929
F2,Times8,1.67970891607069
F2,Times9,1.4032463860831061
F2,Times10,6.484165871254086
F3,Times1,5.977142021028612
F3,Times2,3.384993896438839
F3,Times3,3.08313436443806
F3,Times4,5.488386587334423
F3,Times5,2.4313199193026374
F3,Times6,0.8889318017565772
F3,Times7,5.0290569681667465
F3,Times8,1.049045082852544
F3,Times9,3.880881551253103
F3,Times10,2.4630286811522284
F4,Times1,13.334431026248435
F4,Times2,8.404245148877274
F4,Times3,81.31068852501805
F4,Times4,32.988843779786116
F4,Times5,41.46813241618568
F4,Times6,98.28446064916879
F4,Times7,20.98800134888512
F4,Times8,81.93403710456474
F4,Times9,106.32951517396414
F4,Times10,4.774014754174293
F5,Times1,2.4316442395446227
F5,Times2,1.0954937905705926
F5,Times3,6.326631251699543
F5,Times4,7.541269742808774
F5,Times5,6.600238154447454
F5,Times6,1.7230517647911725
F5,Times7,7.0062823723903
F5,Times8,9.6981147400808
F5,Times9,0.0
F5,Times10,0.0
F6,Times1,517.3715750606499
F6,Times2,141.65463235180985
F6,Times3,302.33520015079057
F6,Times4,141.09987315990367
F6,Times5,127.37541356304496
F6,Times6,177.09027254478346
F6,Times7,102.14239113803121
F6,Times8,80.4888859686407
F6,Times9,100.95008010257062
F6,Times10,42.00855086468967
F7,Times1,70.68815452659535
F7,Times2,47.2513753820899
F7,Times3,72.92369394518214
F7,Times4,78.61645994229407
F7,Times5,73.3923930351049
F7,Times6,85.30945275295704
F7,Times7,51.38102635269264
F7,Times8,91.68241617261039
F7,Times9,49.43911560816633
F7,Times10,67.24471803714937
F8,Times1,46.454846914466316
F8,Times2,97.49017083848409
F8,Times3,80.19685375103404
F8,Times4,0.0
F8,Times5,38.26146816528673
F8,Times6,83.85110434953246
F8,Times7,183.23958140063283
F8,Times8,116.96403604489504
F8,Times9,159.3078760987958
F8,Times10,68.48181997072594
F9,Times1,4.120409505923832
F9,Times2,2.1822924401769295
F9,Times3,2.933725320637906
F9,Times4,0.5038527513464203
F9,Times5,4.6483689038984055
F9,Times6,1.8515771189894077
F9,Times7,0.8774396115542276
F9,Times8,3.4404828555879194
F9,Times9,0.3733075858706286
F9,Times10,3.190309451375425
F10,Times1,20.596558479433764
F10,Times2,8.639001645987857
F10,Times3,9.897486038644407
F10,Times4,16.028874435560738
F10,Times5,19.486076043491163
F10,Times6,16.545322708899903
F10,Times7,28.412571886658892
F10,Times8,7.0437164098046345
F10,Times9,13.334777129531306
F10,Times10,17.38616177212832
F11,Times1,65.17513761177632
F11,Times2,443.6756099033468
F11,Times3,52.22652425802762
F11,Times4,74.19454922043428
F11,Times5,319.9574409632384
F11,Times6,90.79643305062038
F11,Times7,68.72805741184956
F11,Times8,185.16858570111833
F11,Times9,80.86447793673243
F11,Times10,170.7278869169346
F12,Times1,416.1765472200296
F12,Times2,922.8081626506449
F12,Times3,560.8977168835828
F12,Times4,984.7667195145779
F12,Times5,820.9022311289044
F12,Times6,414.20593032274803
F12,Times7,491.8078430598471
F12,Times8,471.4062903460521
F12,Times9,629.4838399908223
F12,Times10,613.6310902037535
F13,Times1,90.24703703446775
F13,Times2,73.86608045032052
F13,Times3,133.6184443578418
F13,Times4,79.96803486428199
F13,Times5,66.20452687422504
F13,Times6,125.98973174229587
F13,Times7,77.92224656867516
F13,Times8,107.2535707288073
F13,Times9,83.13557356231566
F13,Times10,92.93180483009603
F14,Times1,3159.53606990117
F14,Times2,3793.205181011837
F14,Times3,3922.1285987580914
F14,Times4,4524.713434471497
F14,Times5,3362.526704610995
F14,Times6,3830.4584237878316
F14,Times7,3860.554595179847
F14,Times8,4104.448451657033
F14,Times9,3944.238903178968
F14,Times10,3176.0800382612797
F15,Times1,0.29199104343495974
F15,Times2,0.1320571353937556
F15,Times3,0.950775520070766
F15,Times4,4.908923889274179
F15,Times5,2.6539444620868524
F15,Times6,2.644606674872178
F15,Times7,4.325993860589363
F15,Times8,2.639738637953844
F15,Times9,1.0668483098566777
F15,Times10,1.2653885358182957
F16,Times1,68.83669074375788
F16,Times2,72.28413936636704
F16,Times3,74.21890629999228
F16,Times4,87.97228759865911
F16,Times5,94.11725458440795
F16,Times6,92.17209548711871
F16,Times7,55.746948628563864
F16,Times8,92.40034677048116
F16,Times9,85.55092738981712
F16,Times10,72.87574486427663
F17,Times1,28.328448170433322
F17,Times2,19.654500181720504
F17,Times3,29.13825869962566
F17,Times4,21.835814961225587
F17,Times5,9.241412523834288
F17,Times6,13.60471525761754
F17,Times7,28.364332103684752
F17,Times8,9.47839577051623
F17,Times9,17.133506881911607
F17,Times10,31.789485195133167
F18,Times1,70.4787542905574
F18,Times2,33.0216583467857
