,,Combination1
F15,Times1,0.0003935636748965333
F15,Times2,0.0006874318020434475
F15,Times3,0.0003693318576343771
F15,Times4,0.0012232922106191434
F15,Times5,0.0003648766855645234
F15,Times6,0.00034142885182755864
F15,Times7,0.0006545871059306246
F15,Times8,0.0006913765875928474
F15,Times9,0.020363346463900832
F15,Times10,0.00047353718451523453
F20,Times1,-3.316516344265539
F20,Times2,-3.3195046244839945
F20,Times3,-3.2031020501793965
F20,Times4,-3.2031020435119197
F20,Times5,-3.203102049238935
F20,Times6,-3.3153554216977006
F20,Times7,-3.315150580367538
F20,Times8,-3.315918610267878
F20,Times9,-3.2031020486217368
F20,Times10,-3.3162073114581663
