,,Combination1
F15,Times1,2.7947536170173577
F15,Times2,0.4551298366158643
F15,Times3,0.005560531907265465
F15,Times4,2.185414285993069
F15,Times5,1.8728728915794994
F15,Times6,0.18473848555967462
F15,Times7,1.0600156370336449
F15,Times8,1.6337640502502175
F15,Times9,0.02612682926493115
F15,Times10,0.15645192349246206
F20,Times1,0.117548588075712
F20,Times2,6.109452950107083
F20,Times3,0.03256589025379389
F20,Times4,1.1769435449664543
F20,Times5,0.1562126255366651
F20,Times6,0.15742716647219102
F20,Times7,10.98543622374756
F20,Times8,0.0
F20,Times9,5.379677985583582
F20,Times10,0.030231434992250894
