,,Combination1
F1,Times1,76145.0
F1,Times2,93161.0
F1,Times3,73978.0
F1,Times4,87753.0
F1,Times5,75844.0
F1,Times6,75415.0
F1,Times7,95947.0
F1,Times8,74997.0
F1,Times9,71468.0
F1,Times10,79272.0
F2,Times1,451798.0
F2,Times2,536591.0
F2,Times3,569122.0
F2,Times4,477304.0
F2,Times5,463789.0
F2,Times6,507147.0
F2,Times7,542049.0
F2,Times8,522854.0
F2,Times9,443491.0
F2,Times10,504625.0
F3,Times1,477357.0
F3,Times2,519303.0
F3,Times3,431565.0
F3,Times4,514756.0
F3,Times5,468406.0
F3,Times6,439104.0
F3,Times7,558082.0
F3,Times8,622610.0
F3,Times9,510180.0
F3,Times10,609592.0
F4,Times1,453393.0
F4,Times2,409788.0
F4,Times3,439166.0
F4,Times4,327924.0
F4,Times5,463322.0
F4,Times6,543848.0
F4,Times7,414280.0
F4,Times8,391010.0
F4,Times9,310170.0
F4,Times10,450299.0
F5,Times1,1000099.0
F5,Times2,1000099.0
F5,Times3,1000099.0
F5,Times4,1000099.0
F5,Times5,1000099.0
F5,Times6,1000099.0
F5,Times7,1000099.0
F5,Times8,1000099.0
F5,Times9,1000099.0
F5,Times10,1000099.0
F6,Times1,82094.0
F6,Times2,95441.0
F6,Times3,69523.0
F6,Times4,91791.0
F6,Times5,87667.0
F6,Times6,81237.0
F6,Times7,67141.0
F6,Times8,85531.0
F6,Times9,82073.0
F6,Times10,72606.0
F7,Times1,2144.0
F7,Times2,2120.0
F7,Times3,2141.0
F7,Times4,1860.0
F7,Times5,2365.0
F7,Times6,2246.0
F7,Times7,2123.0
F7,Times8,1761.0
F7,Times9,2292.0
F7,Times10,2187.0
F8,Times1,1000099.0
F8,Times2,1000099.0
F8,Times3,1000099.0
F8,Times4,1000099.0
F8,Times5,1000099.0
F8,Times6,1000099.0
F8,Times7,1000099.0
F8,Times8,1000099.0
F8,Times9,1000099.0
F8,Times10,1000099.0
F9,Times1,68845.0
F9,Times2,58231.0
F9,Times3,65576.0
F9,Times4,76355.0
F9,Times5,59645.0
F9,Times6,63621.0
F9,Times7,69984.0
F9,Times8,75096.0
F9,Times9,75108.0
F9,Times10,64091.0
F10,Times1,38693.0
F10,Times2,35135.0
F10,Times3,31963.0
F10,Times4,54647.0
F10,Times5,31974.0
F10,Times6,38131.0
F10,Times7,44766.0
F10,Times8,40851.0
F10,Times9,39835.0
F10,Times10,40693.0
F11,Times1,79717.0
F11,Times2,64621.0
F11,Times3,85642.0
F11,Times4,72324.0
F11,Times5,71488.0
F11,Times6,81487.0
F11,Times7,68581.0
F11,Times8,60665.0
F11,Times9,72368.0
F11,Times10,80972.0
F12,Times1,9814.0
F12,Times2,8987.0
F12,Times3,8220.0
F12,Times4,10777.0
F12,Times5,8696.0
F12,Times6,9280.0
F12,Times7,10206.0
F12,Times8,9315.0
F12,Times9,9530.0
F12,Times10,6830.0
F13,Times1,26163.0
F13,Times2,27536.0
F13,Times3,28959.0
F13,Times4,28711.0
F13,Times5,26065.0
F13,Times6,20282.0
F13,Times7,27311.0
F13,Times8,24846.0
F13,Times9,21664.0
F13,Times10,26783.0
F14,Times1,4538.0
F14,Times2,1388.0
F14,Times3,3564.0
F14,Times4,7684.0
F14,Times5,547.0
F14,Times6,1658.0
F14,Times7,794.0
F14,Times8,1185.0
F14,Times9,921.0
F14,Times10,2530.0
F15,Times1,1000099.0
F15,Times2,1000099.0
F15,Times3,1000099.0
F15,Times4,1000099.0
F15,Times5,1000099.0
F15,Times6,1000099.0
F15,Times7,1000099.0
F15,Times8,770822.0
F15,Times9,1000099.0
F15,Times10,1000099.0
F16,Times1,244208.0
F16,Times2,41810.0
F16,Times3,4850.0
F16,Times4,57112.0
F16,Times5,77708.0
F16,Times6,22805.0
F16,Times7,238355.0
F16,Times8,179594.0
F16,Times9,37214.0
F16,Times10,100131.0
F17,Times1,6032.0
F17,Times2,9999.0
F17,Times3,15543.0
F17,Times4,3962.0
F17,Times5,10990.0
F17,Times6,1022.0
F17,Times7,3816.0
F17,Times8,5852.0
F17,Times9,17209.0
F17,Times10,4259.0
F18,Times1,442.0
F18,Times2,229.0
F18,Times3,168.0
F18,Times4,616.0
F18,Times5,109.0
F18,Times6,329.0
F18,Times7,462.0
F18,Times8,233.0
F18,Times9,162.0
F18,Times10,394.0
F19,Times1,1000099.0
F19,Times2,1000099.0
F19,Times3,1000099.0
F19,Times4,1000099.0
F19,Times5,1000099.0
F19,Times6,1000099.0
F19,Times7,1000099.0
F19,Times8,1000099.0
F19,Times9,1000099.0
F19,Times10,1000099.0
F20,Times1,1126.0
F20,Times2,1000099.0
F20,Times3,1000099.0
F20,Times4,1000099.0
F20,Times5,717.0
F20,Times6,838.0
F20,Times7,1000099.0
F20,Times8,1000099.0
F20,Times9,1000099.0
F20,Times10,1000099.0
F21,Times1,1000099.0
F21,Times2,70244.0
F21,Times3,1000099.0
F21,Times4,1000099.0
F21,Times5,1000099.0
F21,Times6,1000099.0
F21,Times7,1000099.0
F21,Times8,93517.0
F21,Times9,1000099.0
F21,Times10,105754.0
F22,Times1,52493.0
F22,Times2,54628.0
F22,Times3,38405.0
F22,Times4,133937.0
F22,Times5,121653.0
F22,Times6,1000099.0
F22,Times7,21981.0
F22,Times8,30089.0
F22,Times9,1000099.0
F22,Times10,72002.0
F23,Times1,76367.0
F23,Times2,1000099.0
F23,Times3,1000099.0
F23,Times4,34527.0
F23,Times5,1000099.0
F23,Times6,28860.0
F23,Times7,1000099.0
F23,Times8,34647.0
F23,Times9,441004.0
F23,Times10,809909.0
