,,Combination1
F15,Times1,0.0
F15,Times2,2.155662031080468
F15,Times3,2.1712775714841204
F15,Times4,1.149896046945978
F15,Times5,0.08463252186278192
F15,Times6,0.0
F15,Times7,1.2269960449634978
F15,Times8,0.16223243102867824
F15,Times9,1.4009736670121287
F15,Times10,0.0
F20,Times1,0.11119996269854886
F20,Times2,0.10787321644932638
F20,Times3,0.12791321172003178
F20,Times4,0.0
F20,Times5,0.13596394674613724
F20,Times6,28.096864093094158
F20,Times7,0.1752111551100659
F20,Times8,11.705767825624525
F20,Times9,15.862800904011449
F20,Times10,7.035919513033693
