,,Combination1
F15,Times1,0.00045679670665268454
F15,Times2,0.0016365089102003292
F15,Times3,0.001223622365133198
F15,Times4,0.0004856738593802245
F15,Times5,0.0006442587611540934
F15,Times6,0.0012234914283718095
F15,Times7,0.0005955290983881848
F15,Times8,0.000617325005293601
F15,Times9,0.0006815565341837219
F15,Times10,0.0006657543114513686
F20,Times1,-3.316936596522693
F20,Times2,-3.3177939251727104
F20,Times3,-3.2031020488475117
F20,Times4,-3.316496960544942
F20,Times5,-3.2031020493897993
F20,Times6,-3.2031020499757075
F20,Times7,-3.203102049894467
F20,Times8,-3.316290796597984
F20,Times9,-3.317093372025019
F20,Times10,-3.203102049861497
