,,Combination1
F4,Times1,1.062534335660673
F4,Times2,1.090638404075374
F4,Times3,1.3020459779738118
F4,Times4,1.1187955564995082
F4,Times5,1.187501498096212
F4,Times6,1.289076345949755
F4,Times7,1.5848123098539664
F4,Times8,1.2756018184509963
F4,Times9,1.263090234867255
F4,Times10,1.2669843954534477
F4,Times11,1.1409752554034291
F4,Times12,1.406903165566356
F4,Times13,1.3668393409145256
F4,Times14,1.0153819916655635
F4,Times15,1.2219269108432385
F4,Times16,1.0979910467458662
F4,Times17,1.0834991072232434
F4,Times18,1.2905903809437915
F4,Times19,1.0172813153274598
F4,Times20,1.4516251181930653
F10,Times1,0.06712040724854873
F10,Times2,0.0929293452849862
F10,Times3,0.07702652996238868
F10,Times4,0.11277239564346786
F10,Times5,0.058380728464999976
F10,Times6,0.06058351687113728
F10,Times7,0.07953692197063233
F10,Times8,0.05705566425268671
F10,Times9,0.07887246404025561
F10,Times10,0.07352399692838674
F10,Times11,0.07723298321812422
F10,Times12,0.05928095538308398
F10,Times13,0.09027787514107999
F10,Times14,0.08515103462262275
F10,Times15,0.07355494904465587
F10,Times16,0.07977703164197436
F10,Times17,0.05981740452395101
F10,Times18,0.05944419121664524
F10,Times19,0.10082248812098271
F10,Times20,0.06512101439171758
