,,Combination1
F4,Times1,61.17400220015153
F4,Times2,38.57076869362818
F4,Times3,76.5566679501811
F4,Times4,53.04773952976065
F4,Times5,39.289704316789454
F4,Times6,105.52490813106682
F4,Times7,20.922021109143387
F4,Times8,55.76721631470975
F4,Times9,43.793435096329155
F4,Times10,16.71974502160282
F4,Times11,51.051268717661415
F4,Times12,36.04327358068895
F4,Times13,38.345483373570175
F4,Times14,117.43154199450609
F4,Times15,67.0135939821547
F4,Times16,72.37319556544648
F4,Times17,53.62401581406043
F4,Times18,49.67823124775171
F4,Times19,73.40962501084249
F4,Times20,71.49297184989189
F10,Times1,0.0
F10,Times2,8.958165108836885
F10,Times3,4.242465158807403
F10,Times4,7.77811926091249
F10,Times5,5.393649791649395
F10,Times6,4.932976179240252
F10,Times7,0.0
F10,Times8,13.321691175653616
F10,Times9,8.820258542713344
F10,Times10,6.838851710470488
F10,Times11,5.437223072520008
F10,Times12,6.08294365515382
F10,Times13,10.308538298236424
F10,Times14,1.8496105645672607
F10,Times15,2.3641805461362715
F10,Times16,3.3796149602611365
F10,Times17,9.047846668485255
F10,Times18,4.440858782816803
F10,Times19,7.34696727790185
F10,Times20,11.156538756517916
