,,Combination1
F4,Times1,300398.0
F4,Times2,300398.0
F4,Times3,300398.0
F4,Times4,300398.0
F4,Times5,300398.0
F4,Times6,300398.0
F4,Times7,300398.0
F4,Times8,300398.0
F4,Times9,300398.0
F4,Times10,300398.0
F4,Times11,300398.0
F4,Times12,300398.0
F4,Times13,300398.0
F4,Times14,300398.0
F4,Times15,300398.0
F4,Times16,300398.0
F4,Times17,300398.0
F4,Times18,300398.0
F4,Times19,300398.0
F4,Times20,300398.0
F10,Times1,300398.0
F10,Times2,300398.0
F10,Times3,300398.0
F10,Times4,300398.0
F10,Times5,300398.0
F10,Times6,300398.0
F10,Times7,300398.0
F10,Times8,300398.0
F10,Times9,300398.0
F10,Times10,300398.0
F10,Times11,300398.0
F10,Times12,300398.0
F10,Times13,300398.0
F10,Times14,300398.0
F10,Times15,300398.0
F10,Times16,300398.0
F10,Times17,300398.0
F10,Times18,300398.0
F10,Times19,300398.0
F10,Times20,300398.0
