,,Combination1
F4,Times1,1.3029428264326657
F4,Times2,1.0944904718926578
F4,Times3,1.0563997599486719
F4,Times4,1.1320929449691661
F4,Times5,0.9566287310660235
F4,Times6,1.2052243586022966
F4,Times7,1.3859876137140783
F4,Times8,1.1083334622555168
F4,Times9,1.112290831290264
F4,Times10,0.8981524280097237
F4,Times11,1.19754484317777
F4,Times12,1.144864653873147
F4,Times13,0.8957401827304485
F4,Times14,1.216936588568577
F4,Times15,0.9835106000472489
F4,Times16,1.2050776975305042
F4,Times17,1.1282372697373404
F4,Times18,1.1428714134626574
F4,Times19,1.0547233867500374
F4,Times20,1.3405022469036245
F10,Times1,0.05307957170041533
F10,Times2,0.053166185077195394
F10,Times3,0.04629949680719747
F10,Times4,0.05373650304137456
F10,Times5,0.055313627965901446
F10,Times6,0.07414643708319701
F10,Times7,0.07369956316950876
F10,Times8,0.04684433376528574
F10,Times9,0.061267227987936934
F10,Times10,0.055974037717689384
F10,Times11,0.05296106721329252
F10,Times12,0.04055138636654121
F10,Times13,0.05999992286582767
F10,Times14,0.05230680078009442
F10,Times15,0.05500206016642295
F10,Times16,0.06275622805792125
F10,Times17,0.06952009431378414
F10,Times18,0.03992856288701674
F10,Times19,0.06263646070851436
F10,Times20,0.05784027734367925
