,,Combination1
F8,Times1,438.43059486745517
F8,Times2,13.45084707574614
F8,Times3,294.4724204883738
F8,Times4,580.2208774782229
F8,Times5,189.1844300429293
F8,Times6,6.404420418188749
F8,Times7,389.4893258670939
F8,Times8,19101.181955884807
F8,Times9,248.100278779969
F8,Times10,316.6247755596729
F8,Times11,0.0
F8,Times12,537.8396674942175
F8,Times13,240.97622520087867
F8,Times14,70.63976679610276
F8,Times15,69.24336957784288
F8,Times16,580.3760435176248
F8,Times17,136.6465698545709
F8,Times18,245.51370372141167
F8,Times19,485.6302451191936
F8,Times20,81.86948619666856
F9,Times1,0.9421396216757533
F9,Times2,1.490819798230284
F9,Times3,1.1361050221118765
F9,Times4,83.77144633601061
F9,Times5,0.7567938470313269
F9,Times6,0.7214654169351994
F9,Times7,65.66955998266351
F9,Times8,24.96476457057636
F9,Times9,7.091515309371312
F9,Times10,0.7550021385111643
F9,Times11,2.6919337915069432
F9,Times12,2.54174119098738
F9,Times13,0.0
F9,Times14,1.98666197748349
F9,Times15,2.2258997282083506
F9,Times16,0.0
F9,Times17,3.5783455951400036
F9,Times18,4.114190865991272
F9,Times19,2.6270640636701517
F9,Times20,0.9954693679149187
