,,Combination1
F8,Times1,-18337.997147467355
F8,Times2,-18813.717758424642
F8,Times3,-17511.594004760565
F8,Times4,-19047.846576315933
F8,Times5,-18811.752017453266
F8,Times6,-18812.838712332144
F8,Times7,-19047.70165116999
F8,Times8,-18458.71247049868
F8,Times9,-19049.019012811652
F8,Times10,-19166.560993231746
F8,Times11,-18577.312437390836
F8,Times12,-18694.1710591141
F8,Times13,-18694.34502957418
F8,Times14,-18575.387037313
F8,Times15,-18694.26910240451
F8,Times16,-18929.85112792004
F8,Times17,-18694.7515481583
F8,Times18,-18696.294270304472
F8,Times19,-18101.422052247155
F8,Times20,-18222.235925550725
F9,Times1,0.8984723908065995
F9,Times2,0.7360747613841134
F9,Times3,0.492559349873817
F9,Times4,1.1244190989118703
F9,Times5,1.0018711539610496
F9,Times6,0.7857499019746861
F9,Times7,1.3573607772047023
F9,Times8,0.7370558081667973
F9,Times9,0.8599824246760583
F9,Times10,1.0449819398007136
F9,Times11,1.0890469207938676
F9,Times12,0.9022719171073383
F9,Times13,0.7145041579329963
F9,Times14,0.36821972814341564
F9,Times15,1.2063336800194993
F9,Times16,0.5538771833116662
F9,Times17,0.7730419381807572
F9,Times18,0.643113215196724
F9,Times19,0.9934578080613381
F9,Times20,1.2766457899064605
