,,Combination1
F8,Times1,132.16866292373587
F8,Times2,126.12812406104958
F8,Times3,99.1210018721934
F8,Times4,232.26183532400137
F8,Times5,0.0
F8,Times6,56.81877442641627
F8,Times7,0.0
F8,Times8,286.97912503491943
F8,Times9,168.96969612312313
F8,Times10,236.71047670031666
F8,Times11,106.23169807121212
F8,Times12,146.4078497679131
F8,Times13,81.41496506278082
F8,Times14,37.96769062562288
F8,Times15,78.66767706889135
F8,Times16,0.0
F8,Times17,566.0050531635338
F8,Times18,102.63442404139512
F8,Times19,191.5495589645776
F8,Times20,192.31266122848209
F9,Times1,2.0473195616132744
F9,Times2,1.806431524576677
F9,Times3,2.8213937868610377
F9,Times4,1.209018396373241
F9,Times5,0.0
F9,Times6,2.8710355987135796
F9,Times7,3.967162012851454
F9,Times8,2.6628046343464127
F9,Times9,1.2569264326492293
F9,Times10,0.09891130648727878
F9,Times11,1.5975321576894264
F9,Times12,0.6135056691976633
F9,Times13,2.978124910646153
F9,Times14,0.0
F9,Times15,3.6468770875898557
F9,Times16,7.635006944065985
F9,Times17,1.130202213416121
F9,Times18,0.0
F9,Times19,4.573191966239887
F9,Times20,3.123599205099852
