,,Combination1
F1,Times1,832256.1067999072
F1,Times2,806747.4871847786
F1,Times3,803642.8190829644
F1,Times4,826532.4904489733
F1,Times5,864963.2212722714
F1,Times6,867679.840357606
F1,Times7,781752.0674633814
F1,Times8,862025.1299345366
F1,Times9,876447.2160931051
F1,Times10,806342.7940858608
F1,Times11,898015.1516102041
F1,Times12,826718.37469812
F1,Times13,912345.4916310571
F1,Times14,874310.8044686972
F1,Times15,802958.097412294
F1,Times16,857433.4508902628
F1,Times17,925237.5007938448
F1,Times18,871859.9511890229
F1,Times19,836542.0433162639
F1,Times20,821840.5346231111
F2,Times1,inf
F2,Times2,inf
F2,Times3,inf
F2,Times4,inf
F2,Times5,inf
F2,Times6,inf
F2,Times7,inf
F2,Times8,inf
F2,Times9,inf
F2,Times10,inf
F2,Times11,inf
F2,Times12,inf
F2,Times13,inf
F2,Times14,inf
F2,Times15,inf
F2,Times16,inf
F2,Times17,inf
F2,Times18,inf
F2,Times19,inf
F2,Times20,inf
F3,Times1,316870295.6647859
F3,Times2,332905724.99799967
F3,Times3,327478386.8510683
F3,Times4,326858160.0027178
F3,Times5,366707769.89132845
F3,Times6,364141449.2889835
F3,Times7,356155158.67414993
F3,Times8,342173974.8043834
F3,Times9,354739487.4413519
F3,Times10,351912926.6027601
F3,Times11,336291082.23095167
F3,Times12,342726480.77474946
F3,Times13,340630558.23344433
F3,Times14,334226830.4387549
F3,Times15,321216230.93858653
F3,Times16,348205829.37265563
F3,Times17,328974033.42271405
F3,Times18,309473544.041642
F3,Times19,358859181.2965158
F3,Times20,315326148.01849353
F4,Times1,95.33555684082658
F4,Times2,96.1017292229836
F4,Times3,94.24072989289103
F4,Times4,95.70350420599031
F4,Times5,97.87433808362924
F4,Times6,95.71806823651332
F4,Times7,95.95893513225249
F4,Times8,96.68011393068156
F4,Times9,96.49091370001233
F4,Times10,94.56880469352278
F4,Times11,95.0213132101016
F4,Times12,94.56042936394272
F4,Times13,97.49523914218905
F4,Times14,96.5875284236314
F4,Times15,96.04607731677329
F4,Times16,97.71747141682857
F4,Times17,96.91660977235331
F4,Times18,95.24883733763112
F4,Times19,95.81821854307846
F4,Times20,97.11191544226665
F5,Times1,3252361605.984437
