,,Combination1
F1,Times1,439.4459834680834
F1,Times2,452.8136563867615
F1,Times3,526.2060392606921
F1,Times4,512.6917370343284
F1,Times5,382.0058746298464
F1,Times6,501.6817775411454
F1,Times7,459.4993779223818
F1,Times8,431.9826113816221
F1,Times9,460.1318929689763
F1,Times10,523.5391825150912
F1,Times11,529.2661085010333
F1,Times12,509.19084892358006
F1,Times13,371.95302015892037
F1,Times14,421.6594129060614
F1,Times15,454.5386380258609
F1,Times16,537.7740255662026
F1,Times17,517.461223897379
F1,Times18,440.7095270811435
F1,Times19,532.0523901493735
F1,Times20,514.6426557876798
F2,Times1,163284.50053876737
F2,Times2,162615.22239871047
F2,Times3,160596.7758767915
F2,Times4,161218.61285477752
F2,Times5,157902.43103087024
F2,Times6,160810.22495043158
F2,Times7,162463.9278190683
F2,Times8,157368.3509780493
F2,Times9,160964.49420340196
F2,Times10,159720.92940631264
F2,Times11,161306.25428125958
F2,Times12,161785.39159999468
F2,Times13,163153.63419401913
F2,Times14,161212.22875385144
F2,Times15,160089.98874631853
F2,Times16,159107.98312818795
F2,Times17,160848.73498176484
F2,Times18,162309.5372893481
F2,Times19,162261.2153542533
F2,Times20,158799.18890382437
F3,Times1,435.2297897637895
F3,Times2,436.3736508575599
F3,Times3,439.9887302914366
F3,Times4,383.749531396298
F3,Times5,453.02859976037934
F3,Times6,384.7252056692433
F3,Times7,343.73975517146465
F3,Times8,387.06748498100023
F3,Times9,459.9783840835418
F3,Times10,448.14710256619236
F3,Times11,396.46073249064824
F3,Times12,354.8711030255512
F3,Times13,545.2844681322489
F3,Times14,518.7662629802493
F3,Times15,378.44711815979934
F3,Times16,509.69134487816314
F3,Times17,362.2681134598513
F3,Times18,399.5471709985033
F3,Times19,503.3167422567798
F3,Times20,451.33303812909475
F4,Times1,249.0895385937188
F4,Times2,235.28699041485953
F4,Times3,240.91319661882082
F4,Times4,201.4585435316864
F4,Times5,253.27198990997584
F4,Times6,288.58291724549525
F4,Times7,226.77920078437703
F4,Times8,229.49301797683628
F4,Times9,244.22478398408214
F4,Times10,294.1626877201612
F4,Times11,194.08755498671343
F4,Times12,198.45118538632147
F4,Times13,232.06582557458924
F4,Times14,190.8516684748131
F4,Times15,236.2486112947059
F4,Times16,548.7476273449817
F4,Times17,196.35181227922848
F4,Times18,284.40243622648177
F4,Times19,249.61773708990683
F4,Times20,259.3944941314561
F5,Times1,145.34969730805798
F5,Times2,130.07217042046815
F5,Times3,158.67281510590095
F5,Times4,143.12208874726812
F5,Times5,134.09888591505748
F5,Times6,174.890529418374
F5,Times7,146.73665874514705
F5,Times8,165.81514761539015
F5,Times9,145.3967820373854
F5,Times10,177.07763916908436
F5,Times11,111.62594976676834
F5,Times12,120.88806598031476
F5,Times13,137.2903078369662
F5,Times14,134.61774335081276
F5,Times15,166.70996997062252
F5,Times16,146.54323584304836
F5,Times17,151.6498951076186
F5,Times18,115.28098583532781
F5,Times19,158.61187609581162
F5,Times20,143.87994278938262
F6,Times1,525.5735261151318
F6,Times2,399.7016359016531
F6,Times3,410.3238951934864
F6,Times4,433.90271822928526
F6,Times5,447.3686702020818
F6,Times6,405.93299015204184
F6,Times7,377.4487943838029
F6,Times8,424.52870942256783
F6,Times9,441.7303221104346
F6,Times10,455.66166654183127
F6,Times11,406.13167224263583
F6,Times12,501.51402979759223
F6,Times13,509.27811845922866
F6,Times14,523.6072684727227
F6,Times15,515.2777425250954
F6,Times16,410.1045311532325
F6,Times17,496.694408670068
F6,Times18,639.9563389088634
F6,Times19,517.6281686136487
F6,Times20,413.9368690328385
F7,Times1,6.140698569810362
F7,Times2,9.91264940870272
F7,Times3,6.94672716067728
F7,Times4,6.671114621483845
F7,Times5,6.194486407961548
F7,Times6,5.797580098124899
F7,Times7,8.192085823223676
F7,Times8,5.485389461447148
F7,Times9,6.807063370459401
F7,Times10,6.009434855921634
F7,Times11,10.723582154581724
F7,Times12,9.297848573336863
F7,Times13,7.734976457701493
F7,Times14,8.48229521881396
F7,Times15,7.478834704271787
F7,Times16,5.5941347409291255
F7,Times17,13.62646700061007
F7,Times18,7.731295373167909
F7,Times19,5.636858442805974
F7,Times20,5.974258363584377
F8,Times1,1902.673493736953
F8,Times2,1145.2402620664445
F8,Times3,1801.4235116023224
F8,Times4,1160.083391313268
F8,Times5,1966.5742345583665
F8,Times6,1077.7432233375448
F8,Times7,1009.7217472637956
F8,Times8,1303.993612642616
F8,Times9,1358.1495569157319
F8,Times10,1275.9772539728212
F8,Times11,852.9245409225945
F8,Times12,1341.1228123780168
F8,Times13,1723.8508005254719
F8,Times14,1241.2408484122077
F8,Times15,1143.2577897825831
F8,Times16,1500.9511453862776
F8,Times17,1697.8233933830934
F8,Times18,1539.1423149436803
F8,Times19,1047.8237957920242
F8,Times20,1202.159825808543
F9,Times1,9.97220085405396
F9,Times2,6.397532640229488
