,,Combination1
F1,Times1,472.4790657283432
F1,Times2,1250.7692410370312
F1,Times3,444.6158438785408
F1,Times4,683.3178011371202
F1,Times5,670.895646916578
F1,Times6,344.4176025035542
F1,Times7,378.96838601246935
F1,Times8,470.36912049981726
F1,Times9,482.0092489491646
F1,Times10,618.0261870566408
F1,Times11,356.42599875469
F1,Times12,667.8545523773884
F1,Times13,286.4366321790141
F1,Times14,664.6894097858325
F1,Times15,345.7528426737918
F1,Times16,426.1390981301466
F1,Times17,597.6616099671512
F1,Times18,409.7119207195615
F1,Times19,428.16113906893463
F1,Times20,636.4537837483663
F2,Times1,58.69792886976643
F2,Times2,94.27967074107542
F2,Times3,64.87982636710414
F2,Times4,47.11673149974457
F2,Times5,145.1624621109357
F2,Times6,100.33513318669706
F2,Times7,48455119.21133101
F2,Times8,100.66172424172618
F2,Times9,104.73775382173581
F2,Times10,83.9508256173384
F2,Times11,1.367890222907303e+22
F2,Times12,74.0807069113988
F2,Times13,97.45598356933401
F2,Times14,74.02623471146747
F2,Times15,82.93318039446746
F2,Times16,181.23170821499986
F2,Times17,5.97934518386267e+23
F2,Times18,101.74274057574597
F2,Times19,96.75612447595093
F2,Times20,67.41813047276275
F3,Times1,26227.73861720974
F3,Times2,30304.829004176685
F3,Times3,31252.043082487104
F3,Times4,20756.8047047622
F3,Times5,35339.39523966736
F3,Times6,33040.364143691
F3,Times7,26632.86862010611
F3,Times8,26155.116824565783
F3,Times9,31201.966776309928
F3,Times10,22647.26489073593
F3,Times11,32830.01176101129
F3,Times12,31589.63837599625
F3,Times13,30159.59281584693
F3,Times14,18881.52280412966
F3,Times15,38635.6016013176
F3,Times16,19646.639295246856
F3,Times17,36371.906176169985
F3,Times18,22509.951437606458
F3,Times19,20597.369427925565
F3,Times20,35885.35192818711
F5,Times1,56563.7810035643
F5,Times2,62985121.68761278
F5,Times3,25930.33452158397
F5,Times4,59293.72230978133
F5,Times5,38059.72752774339
F5,Times6,27772.526078155468
F5,Times7,31103.39040578609
F5,Times8,18523.77880756048
F5,Times9,86904.95352229573
F5,Times10,35512.5137220816
F5,Times11,40856.28240310887
F5,Times12,39999.14756617688
F5,Times13,57093.20024011236
F5,Times14,44946.70152096165
F5,Times15,25617.56843491792
F5,Times16,40681.65667938751
F5,Times17,99746.80045942494
F5,Times18,17945323.670473266
F5,Times19,115930.66956345885
F5,Times20,30278.012685133726
F6,Times1,577.616325464824
F6,Times2,711.2133288432238
F6,Times3,379.8244578422429
F6,Times4,375.1025554701994
F6,Times5,67714.72825861738
F6,Times6,11862.632235636702
F6,Times7,466.9823490313202
F6,Times8,387.5959404675808
F6,Times9,431.6384294719909
F6,Times10,654.7803055693379
F6,Times11,341.19843032732246
F6,Times12,445.4213156293683
F6,Times13,415.2903634398166
F6,Times14,429.1748129677748
F6,Times15,353.4857930480964
F6,Times16,460.36889663300036
F6,Times17,604.6983544847415
F6,Times18,496.7325390634376
F6,Times19,452.94009127411584
F6,Times20,417.6975443562258
F7,Times1,0.012557691611638189
F7,Times2,0.07047646737661194
F7,Times3,0.033608925648294236
F7,Times4,0.014531710441508222
F7,Times5,0.015338180969263182
F7,Times6,0.028830802523048482
F7,Times7,0.03978328358373499
F7,Times8,0.03005574251321138
F7,Times9,0.015603918526428555
F7,Times10,0.0516368388590147
F7,Times11,0.042044872892405764
F7,Times12,0.014505247369906568
F7,Times13,0.014835496413020219
F7,Times14,0.01828500581095142
F7,Times15,0.023815328587969392
F7,Times16,0.03852790748129974
F7,Times17,0.01479726170499251
F7,Times18,0.019404371388863844
F7,Times19,0.028651081162019854
F7,Times20,0.026522531747113994
F11,Times1,5.598211718755476
F11,Times2,5.202346351697396
