,,Combination1
F1,Times1,571.0887713280135
F1,Times2,752.3677067586132
F1,Times3,890.5856007401331
F1,Times4,319.5902977578125
F1,Times5,924.8895787863593
F1,Times6,1404.906081910029
F1,Times7,545.6738105188724
F1,Times8,822.6821674755579
F1,Times9,580.1151834118261
F1,Times10,696.9213248028736
F1,Times11,615.3765962925129
F1,Times12,864.3956522069997
F1,Times13,24508.118526644594
F1,Times14,563.142872842039
F1,Times15,896.2673499354304
F1,Times16,747.4482000092914
F1,Times17,12419.522851106765
F1,Times18,683.5182804122928
F1,Times19,586.6347365516464
F1,Times20,690.4143905700073
F2,Times1,16313.973198801381
F2,Times2,314.64701045706624
F2,Times3,293.4358703634726
F2,Times4,627.6815913339196
F2,Times5,310.72552540083956
F2,Times6,619.914424664214
F2,Times7,20204.442015959685
F2,Times8,843.7989878412504
F2,Times9,315.81882462463375
F2,Times10,290.0745791752418
F2,Times11,928.8290911682215
F2,Times12,569.3637952027938
F2,Times13,1473.8666196232289
F2,Times14,650.7434910723499
F2,Times15,17498.19577674551
F2,Times16,517.4208446355011
F2,Times17,270.26385977684737
F2,Times18,362.2340114726616
F2,Times19,705.7214201797532
F2,Times20,383.93774292684714
F3,Times1,222.29687103494348
F3,Times2,566.1916290204996
F3,Times3,545.4395925812815
F3,Times4,1273.3779370326151
F3,Times5,685.1313934020075
F3,Times6,578.2731656051434
F3,Times7,588.146202463614
F3,Times8,873.6335551635804
F3,Times9,825.3869295035582
F3,Times10,690.0625961096496
F3,Times11,9044.728294954723
F3,Times12,531.6156452559052
F3,Times13,652.8826146354713
F3,Times14,910.0810456037224
F3,Times15,397.62518312044796
F3,Times16,706.0666638325707
F3,Times17,1222.1874688027901
F3,Times18,183.02885137957054
F3,Times19,297.76002046345576
F3,Times20,535.7435632556906
F5,Times1,142.4395786430443
F5,Times2,360.0489525082885
F5,Times3,224.17815506076587
F5,Times4,366.9221822728898
F5,Times5,180.87674672772872
F5,Times6,174.97152759461497
F5,Times7,327.79341707217264
F5,Times8,277.3502327080127
F5,Times9,222.2814141958416
F5,Times10,537.6106402110403
F5,Times11,256.6734434901333
F5,Times12,294.85268156512745
F5,Times13,280.3384512383646
F5,Times14,291.4362330331408
F5,Times15,194.2099413085721
F5,Times16,177.26943873291083
F5,Times17,138.62979129463864
F5,Times18,245.1363590807498
F5,Times19,222.99158963122306
F5,Times20,431.59014143716166
F6,Times1,922.4409922520923
F6,Times2,460.2394578659519
F6,Times3,20390.1467177994
F6,Times4,627.4582296571753
F6,Times5,664.2141249160735
F6,Times6,1915.4963252330558
F6,Times7,500.32761880553056
F6,Times8,443.24308356761793
F6,Times9,932.8075586958282
F6,Times10,230.41110801442468
F6,Times11,445.60906256173246
F6,Times12,554.1178863318048
F6,Times13,893.3648889041644
F6,Times14,647.465357421249
F6,Times15,472.2722876460701
F6,Times16,2879.6824078355257
F6,Times17,678.3281420263969
F6,Times18,584.2246450548844
F6,Times19,15017.165637204092
F6,Times20,1100.9197775980813
F7,Times1,9.18910349070629
F7,Times2,176.2497896304002
F7,Times3,9.555417947361079
F7,Times4,8.23703910948735
F7,Times5,7.984598927410634
F7,Times6,9.457265843567363
F7,Times7,11.823962730944286
F7,Times8,14.660716172864582
F7,Times9,12.605521007029063
F7,Times10,8.563034626944015
F7,Times11,15.745143622818379
F7,Times12,13.779372149057876
F7,Times13,15.162493896439164
F7,Times14,7.830021292040532
F7,Times15,11.784236730056858
F7,Times16,11.004619637049851
F7,Times17,9.840415247115422
F7,Times18,13.53185922575995
F7,Times19,11.091698604457966
F7,Times20,7.896281149843333
F11,Times1,3988.8353931286415
F11,Times2,4152.358668767776
F11,Times3,5349.099168380444
F11,Times4,4756.990011082827
F11,Times5,3183.933909551086
F11,Times6,6346.201124914834
F11,Times7,3023.640422397285
F11,Times8,4209.67978686238
F11,Times9,1410.0073131464712
F11,Times10,7112.062973654037
F11,Times11,3764.643009945085
F11,Times12,4774.708784893073
F11,Times13,2753.668243395028
F11,Times14,4052.1964999087527
F11,Times15,3915.261038815629
F11,Times16,4132.3270877955465
F11,Times17,5526.089439045392
F11,Times18,6568.642921602836
F11,Times19,3562.081570673472
F11,Times20,5643.500328557886
F12,Times1,898.1700527896772
F12,Times2,652.2045340486576
F12,Times3,486.6059099236952
F12,Times4,912.3029214854852
F12,Times5,300.048546120269
F12,Times6,608.5779775386969
F12,Times7,462.3132551805024
F12,Times8,824.8022029813762
F12,Times9,400.8412848526699
F12,Times10,803.3898358414207
F12,Times11,567.8739677938303
F12,Times12,778.2527678802999
F12,Times13,835.2754451287891
F12,Times14,472.4102781268268
F12,Times15,775.9531645113713
F12,Times16,387.3481416280529
F12,Times17,681.1816303717434
F12,Times18,912.4823687883356
F12,Times19,327.28409956351845
F12,Times20,638.9699424248035
F13,Times1,542.2405833264179
F13,Times2,467.5676875755765
F13,Times3,589.1305456863794
F13,Times4,479.5772105064606
F13,Times5,569.5124124035523
F13,Times6,507.84213747010836
F13,Times7,498.15403632978735
F13,Times8,630.6173269606992
F13,Times9,795.4448954476378
F13,Times10,578.7285812241247
F13,Times11,473.7097932723149
F13,Times12,486.77035809618
F13,Times13,192.3324892270768
F13,Times14,431.82063635119295
F13,Times15,273.42727026885126
F13,Times16,497.30772786821973
F13,Times17,373.8923232116956
F13,Times18,235.29647542073863
F13,Times19,414.13169893160335
F13,Times20,443.7948572114066
F14,Times1,3421.320584212305
F14,Times2,1381.4377639484414
F14,Times3,4586.791707920967
F14,Times4,2087.4416073098196
F14,Times5,2294.1991726517845
F14,Times6,1792.2196778357477
F14,Times7,1696.3599770119583
F14,Times8,2906.2849970692787
F14,Times9,1669.7758007973316
F14,Times10,1971.9716903738467
F14,Times11,2208.766314904952
F14,Times12,1755.802964660449
F14,Times13,3264.148695094518
F14,Times14,3599.4749858144946
F14,Times15,2240.709059245036
F14,Times16,2213.1800202240634
F14,Times17,2151.6146731850886
F14,Times18,2728.54234786273
F14,Times19,2161.121669054755
F14,Times20,1361.5901731843724
F15,Times1,2.20632482766439
F15,Times2,1.9984937803396863
F15,Times3,87.0706248395248
F15,Times4,117.5131125082035
F15,Times5,285.2075607453231
F15,Times6,1.197440322368606
F15,Times7,345.749812092634
F15,Times8,0.10101034540969112
F15,Times9,331.011714140382
F15,Times10,2.4415915903314818
F15,Times11,1.0789867474568506
F15,Times12,181.47536209489644
F15,Times13,199.93249573662553
F15,Times14,0.0
F15,Times15,16.40253634148857
F15,Times16,62.55190110404281
F15,Times17,60.36087666935161
F15,Times18,42.72184007207247
F15,Times19,2.4974792206817886
F15,Times20,26.680349187833176
F16,Times1,52.042099496075465
F16,Times2,53.553904006437655
F16,Times3,85.5120795150677
F16,Times4,63.55567719909635
F16,Times5,55.16884654949048
F16,Times6,57.03099418193062
F16,Times7,60.20787316729768
F16,Times8,51.773933289894615
F16,Times9,62.61256629503731
F16,Times10,61.2697304866497
F16,Times11,93.21738232299536
F16,Times12,73.06108510258048
F16,Times13,76.7114600004016
F16,Times14,68.27822645349688
F16,Times15,63.52769154798034
F16,Times16,42.990069756319556
F16,Times17,67.84654251476971
F16,Times18,61.7179175293217
F16,Times19,53.30616207769283
F16,Times20,69.72887317807074
F17,Times1,15.980494381686052
F17,Times2,19.2108436346482
F17,Times3,19.32158716445189
F17,Times4,23.28253235716437
F17,Times5,18.337013545725778
F17,Times6,16.727052498078656
F17,Times7,15.901249578439332
F17,Times8,28.726085394443203
F17,Times9,15.87242557876349
F17,Times10,14.62632080810333
F17,Times11,16.442710876496882
F17,Times12,17.395546548884596
F17,Times13,18.183000338179284
F17,Times14,17.156423662971374
F17,Times15,15.614526060386465
F17,Times16,15.607770752735904
F17,Times17,15.69790358883831
F17,Times18,16.86642969158167
F17,Times19,16.7209269627521
F17,Times20,16.637746348522388
F18,Times1,5.849425480192091
F18,Times2,6.59984697631794
F18,Times3,5.295589537741129
F18,Times4,5.34555312327998
F18,Times5,5.738649593862786
F18,Times6,5.11874878489599
F18,Times7,7.522210559289678
F18,Times8,4.3008150823360785
F18,Times9,4.933262254759445
F18,Times10,5.518230683149669
F18,Times11,5.8451261214947285
F18,Times12,5.269850659406646
F18,Times13,6.146136457182024
F18,Times14,5.3386447931876555
F18,Times15,5.948740228787701
F18,Times16,6.604787605081211
F18,Times17,5.584801475303226
F18,Times18,5.847921881415704
F18,Times19,5.868449873484015
F18,Times20,5.699379925047795
F19,Times1,0.26894733846970326
F19,Times2,0.3252409403671097
F19,Times3,18.50293772359661
F19,Times4,0.07190364404810966
F19,Times5,0.3142184058042455
F19,Times6,0.3038490350460418
F19,Times7,13.64461977422347
F19,Times8,0.1904591908281622
F19,Times9,0.4135886126935945
F19,Times10,0.22273894188586674
F19,Times11,0.27052944951885993
F19,Times12,1.8581691534067473
F19,Times13,0.07392452895231184
F19,Times14,0.5737462964552397
F19,Times15,0.16727732275992302
F19,Times16,0.2801179572575892
F19,Times17,0.3844053052207863
F19,Times18,0.24388634495046296
F19,Times19,0.20845948350294544
F19,Times20,0.16415199549060985
F20,Times1,1.1807481223683924
F20,Times2,0.4871325738807885
F20,Times3,2.329269331571196
F20,Times4,0.17565572604577492
F20,Times5,0.19973946539327858
F20,Times6,0.216706237807392
F20,Times7,0.10825878608025657
F20,Times8,0.2690884572242674
F20,Times9,0.14753606720749576
F20,Times10,0.0702377670232055
F20,Times11,0.12346684080766149
F20,Times12,0.1795027823207769
F20,Times13,0.20567792595320605
F20,Times14,0.277909502737332
F20,Times15,0.31233380436431624
F20,Times16,2.0376741262430205
F20,Times17,0.1331803044741109
F20,Times18,2.0761179891760833
F20,Times19,0.0876585738097585
F20,Times20,0.18000918795483
F21,Times1,1.5153288216092369
F21,Times2,4.177071655074337
F21,Times3,387.99554450561027
F21,Times4,12.477047694828038
F21,Times5,2.586361872621862
F21,Times6,1.7567166527168108
F21,Times7,3.3133815482261664
F21,Times8,2.4959518516762023
F21,Times9,419.1693503590457
F21,Times10,2.4574212753414324
F21,Times11,4.046443612200282
F21,Times12,2.957845840935506
F21,Times13,2.724362565828882
F21,Times14,1.8925990665257182
F21,Times15,2.0843040388760214
F21,Times16,3.617292258635592
F21,Times17,2.312667123094439
F21,Times18,16.330751187855412
F21,Times19,424.6703511048317
F21,Times20,3.316109774070817
F22,Times1,2.3075601950119884
F22,Times2,1.7468131048431568
F22,Times3,2.5876751565686327
F22,Times4,1.5972384765301004
F22,Times5,1.9725672339849911
F22,Times6,2.398353101016495
F22,Times7,17.679627506215976
F22,Times8,3.3496645975623993
F22,Times9,1.1712162840735336
F22,Times10,0.7495511865973024
F22,Times11,210.18698180912614
F22,Times12,3.540009749904841
F22,Times13,2.8659115857212956
F22,Times14,1.4679578355359069
F22,Times15,4.25439912538666
F22,Times16,1.7281958896168708
F22,Times17,2.455894148772079
F22,Times18,3.986266475982946
F22,Times19,1.5139454362665623
F22,Times20,0.8608624313955235
F23,Times1,1.0328240528938875
F23,Times2,1.7012561894445364
F23,Times3,0.2956206712084537
F23,Times4,2.382037251302382
F23,Times5,3.0458485829927078
F23,Times6,207.44338319719137
F23,Times7,405.7598361655157
F23,Times8,1.6347857478569645
F23,Times9,0.4968221676064554
F23,Times10,0.7547354819561486
F23,Times11,1.727736109888618
F23,Times12,203.54296725470627
F23,Times13,9.818788765754796
F23,Times14,0.9256120939465785
F23,Times15,0.5183583273378929
F23,Times16,3.4787606792185493
F23,Times17,387.53928179290716
F23,Times18,1.3193929505063082
F23,Times19,0.48821708493544813
F23,Times20,1.3088157760777155
