,,Combination1
F1,Times1,166.65927902650066
F1,Times2,108.67204008750986
F1,Times3,183.84762715091438
F1,Times4,87.02900947212541
F1,Times5,162.17267126608152
F1,Times6,133.39327749826822
F1,Times7,121.0905970601873
F1,Times8,108.78361508041056
F1,Times9,183.73127614905627
F1,Times10,106.81846615559715
F1,Times11,129.67174315198565
F1,Times12,142.26367889498587
F1,Times13,124.01901030603389
F1,Times14,127.83903360023521
F1,Times15,107.54742609529013
F1,Times16,143.61710878596529
F1,Times17,138.08889416244824
F1,Times18,111.60951084858979
F1,Times19,124.91580649728948
F1,Times20,105.00021817698486
F2,Times1,36.73801176527889
F2,Times2,44.59015813969186
F2,Times3,49.38649670488927
F2,Times4,47.3440818722752
F2,Times5,28.5583907414645
F2,Times6,28.368046340480706
F2,Times7,44.281557718087235
F2,Times8,40.70019746425372
F2,Times9,48.241034396387
F2,Times10,46.72655597770883
F2,Times11,40.443652709394215
F2,Times12,35.30058484568219
F2,Times13,50.21931122946298
F2,Times14,39.54529762773717
F2,Times15,43.51160139756061
F2,Times16,52.627537263354675
F2,Times17,34.96369712094073
F2,Times18,38.36591750918355
F2,Times19,39.68013893862259
F2,Times20,35.370619626048246
F3,Times1,4863.625058840442
F3,Times2,4522.637810993221
F3,Times3,3875.5086502563763
F3,Times4,4467.370284961473
F3,Times5,7378.7320171096535
F3,Times6,5551.969252760678
F3,Times7,4246.794135719972
F3,Times8,5726.479126671332
F3,Times9,5801.212791350322
F3,Times10,4664.722457443636
F3,Times11,5863.015915342577
F3,Times12,5331.581340879012
F3,Times13,5452.312098210661
F3,Times14,5145.250706269752
F3,Times15,4521.958937889032
F3,Times16,4936.209772086069
F3,Times17,9047.585186223008
F3,Times18,6484.686058443979
F3,Times19,6568.870250992925
F3,Times20,9099.505971160812
F5,Times1,6063.14204331477
F5,Times2,3387.774808724651
F5,Times3,7387.511905027224
F5,Times4,2619.3780759704937
F5,Times5,3486.5099527567336
F5,Times6,4822.801575337961
F5,Times7,2028.2038452664194
F5,Times8,1703.4012272010546
F5,Times9,7340.605116238298
F5,Times10,5021.090054172818
F5,Times11,4387.982345509141
F5,Times12,3713.3748089352816
F5,Times13,7492.353266364387
F5,Times14,4978.49972171012
F5,Times15,4735.167205493034
F5,Times16,4732.474863246458
F5,Times17,3312.6227036343125
F5,Times18,4042.3561059289905
F5,Times19,6243.452398408761
F5,Times20,3108.356943855752
F6,Times1,89.99869492479351
F6,Times2,190.7107529776999
F6,Times3,108.21551145762612
F6,Times4,139.76915042426793
F6,Times5,112.09505297199223
F6,Times6,96.1401059814321
F6,Times7,101.27126465659623
F6,Times8,63.07449591953184
F6,Times9,118.01560452764991
F6,Times10,81.25995764810213
F6,Times11,81.71701723793562
F6,Times12,121.27021921560471
F6,Times13,60.43112778485468
F6,Times14,123.32461733386268
F6,Times15,103.10654003476445
F6,Times16,132.89763265412552
F6,Times17,68.92529992798676
F6,Times18,143.19256252841632
F6,Times19,119.23760053134355
F6,Times20,220.82692535911346
F7,Times1,0.001967157305342674
F7,Times2,0.0006118636621907915
F7,Times3,0.0009889235972783156
F7,Times4,0.0011152977711182258
F7,Times5,0.0014014091832016214
F7,Times6,0.0007106801550909823
F7,Times7,0.001586659161432256
F7,Times8,0.0017562776362336524
F7,Times9,0.0010759637161455188
F7,Times10,0.0025452744949897954
F7,Times11,0.0009606318561197849
F7,Times12,0.001273565753997293
F7,Times13,0.0018114062056634155
F7,Times14,0.0010539056183686214
F7,Times15,0.002080496868944437
F7,Times16,0.0027640533650285033
F7,Times17,0.0009559683733668471
F7,Times18,0.0008032868498560438
F7,Times19,0.0013984140439861758
F7,Times20,0.0008899249243147394
F11,Times1,1.7310278249640971
F11,Times2,1.8989048003415436
F11,Times3,2.397296196692193
F11,Times4,2.2506427535249864
F11,Times5,2.397385660383529
F11,Times6,2.202992100923443
F11,Times7,2.2392302339812016
F11,Times8,2.339749179809374
F11,Times9,2.330272501724582
F11,Times10,1.8622781401970525
F11,Times11,2.1055269400982235
F11,Times12,2.0715193157148164
F11,Times13,1.8386096569198522
F11,Times14,2.0076423557075564
F11,Times15,2.1317789253163433
F11,Times16,2.2548064037831548
F11,Times17,1.8029274098712011
F11,Times18,1.5887051966759445
F11,Times19,1.8404683885451516
F11,Times20,2.0907704379679073
F12,Times1,0.7102117438532155
F12,Times2,0.41353218940457354
F12,Times3,0.7472377899141823
F12,Times4,0.8953078466900842
F12,Times5,0.20440836292514952
F12,Times6,0.6598122686517592
F12,Times7,0.4913919111143822
F12,Times8,0.9687567184493582
F12,Times9,0.7332940381599395
F12,Times10,1.005170712997808
F12,Times11,0.7926268495436003
F12,Times12,0.683782324011776
F12,Times13,0.4692015850553078
F12,Times14,1.1160261905166349
F12,Times15,0.7834708284810498
F12,Times16,0.8245970960793765
F12,Times17,1.1480527724499574
F12,Times18,0.4857610416712079
F12,Times19,1.0262401704086412
F12,Times20,0.778124524502037
F13,Times1,10.548886330757078
F13,Times2,12.986761011906308
F13,Times3,8.93897613108959
F13,Times4,10.538791290726651
F13,Times5,7.182639012530354
F13,Times6,3.9656792476686835
F13,Times7,8.564125859417306
F13,Times8,12.671902051911953
F13,Times9,17.201292934961256
F13,Times10,11.626696562707702
F13,Times11,11.849583312717108
F13,Times12,7.549228555809505
F13,Times13,12.415046660785578
F13,Times14,6.855959809951525
F13,Times15,7.1357887415978
F13,Times16,9.409609832750201
F13,Times17,5.248164005244442
F13,Times18,8.855415055142865
F13,Times19,15.578218669089246
F13,Times20,9.491247633874378
F14,Times1,0.9980038394241565
F14,Times2,0.9980038386254316
F14,Times3,0.9980038379957867
F14,Times4,0.9980038385263322
F14,Times5,0.998003838190287
F14,Times6,0.9980038383403265
F14,Times7,0.9980038379335285
F14,Times8,0.998003837834661
F14,Times9,0.9980038378902871
F14,Times10,0.9980038400078745
F14,Times11,0.998003837841451
F14,Times12,0.9980038387367858
F14,Times13,0.9980038384605283
F14,Times14,0.9980038381961558
F14,Times15,0.998003838404491
F14,Times16,0.9980038385790669
F14,Times17,0.9980038381269055
F14,Times18,0.9980038383200198
F14,Times19,0.9980038387607798
F14,Times20,0.9980038391639499
F15,Times1,0.0008383509007793131
F15,Times2,0.0007634414100850279
F15,Times3,0.0008405630101736137
F15,Times4,0.0007398810481742782
F15,Times5,0.0015941160905647918
F15,Times6,0.020365081407259168
F15,Times7,0.0011006320813044743
F15,Times8,0.0016040055895138916
F15,Times9,0.0014849654341897965
F15,Times10,0.020380455858322998
F15,Times11,0.0009665388373640604
F15,Times12,0.000620501625806236
F15,Times13,0.0007955931043541356
F15,Times14,0.0012448977268657848
F15,Times15,0.0008467847382104084
F15,Times16,0.0008438848343359323
F15,Times17,0.0008822612581784024
F15,Times18,0.0009163272127224995
F15,Times19,0.001095840786130154
F15,Times20,0.0022548983802604425
F16,Times1,-1.0315251231525
F16,Times2,-1.0315946328078422
F16,Times3,-1.0315762647087987
F16,Times4,-1.0316275865301956
F16,Times5,-1.0315989399253782
F16,Times6,-1.0315083923167556
F16,Times7,-1.031501036802188
F16,Times8,-1.0315612051636327
F16,Times9,-1.0315156319111431
F16,Times10,-1.0316237668926285
F16,Times11,-1.0316030530962443
F16,Times12,-1.0315408027325654
F16,Times13,-1.031588070406218
F16,Times14,-1.0315326716573772
F16,Times15,-1.0316147644413347
F16,Times16,-1.0316276303907683
F16,Times17,-1.0315948633960486
F16,Times18,-1.0315735936810273
F16,Times19,-1.0315005671730275
F16,Times20,-1.0315994938151622
F17,Times1,0.3979575250295557
F17,Times2,0.39808418223175046
F17,Times3,0.3979112061455634
F17,Times4,0.39805657639723435
F17,Times5,0.398043672712209
F17,Times6,0.39806047807916656
F17,Times7,0.39801424119103856
F17,Times8,0.3980852059043887
F17,Times9,0.3979859050763839
F17,Times10,0.39809009271044893
F17,Times11,0.39807102699347396
F17,Times12,0.3980853229240626
F17,Times13,0.39791015332226465
F17,Times14,0.39799169198301065
F17,Times15,0.3978880100044293
F17,Times16,0.39800803633331583
F17,Times17,0.3980494942012136
F17,Times18,0.3980232168432529
F17,Times19,0.39804056685469646
F17,Times20,0.39808820409689183
F18,Times1,3.000024591799307
F18,Times2,3.0000664282709
F18,Times3,3.0000803359357895
F18,Times4,3.0000531176154346
F18,Times5,3.0000114216479994
F18,Times6,3.0000831704628665
F18,Times7,3.0001681899087935
F18,Times8,3.0000057276641727
F18,Times9,3.0002797032068202
F18,Times10,3.0001426766254
F18,Times11,3.001461471294095
F18,Times12,3.000200032147402
F18,Times13,3.00029243128815
F18,Times14,3.0002596086016275
F18,Times15,3.000061545679756
F18,Times16,3.0001162657626645
F18,Times17,3.000274281108975
F18,Times18,3.0000789822878033
F18,Times19,3.0003673785804135
F18,Times20,3.000223786325861
F19,Times1,-3.862781351423863
F19,Times2,-3.8627406733319205
F19,Times3,-3.8627687538498883
F19,Times4,-3.8627790716728265
F19,Times5,-3.8627817949071552
F19,Times6,-3.8627693617632097
F19,Times7,-3.8627795097976265
F19,Times8,-3.862781905995499
F19,Times9,-3.862774221277581
F19,Times10,-3.8627821423812536
F19,Times11,-3.862777092649987
F19,Times12,-3.862779423994641
F19,Times13,-3.862781084212792
F19,Times14,-3.862776130424905
F19,Times15,-3.8627820842497473
F19,Times16,-3.862780472082939
F19,Times17,-3.8627790877670543
F19,Times18,-3.859923090860459
F19,Times19,-3.862781953380163
F19,Times20,-3.862779357793394
F20,Times1,-3.3199766484738356
F20,Times2,-3.2030188088094924
F20,Times3,-3.3219769009624813
F20,Times4,-3.20308669751187
F20,Times5,-3.202698392037542
F20,Times6,-3.2030834263218235
F20,Times7,-3.321916219782882
F20,Times8,-3.2030806724588237
F20,Times9,-3.3218504028686238
F20,Times10,-3.203085192731231
F20,Times11,-3.2030036149129506
F20,Times12,-3.320035786848017
F20,Times13,-3.3219729988544144
F20,Times14,-3.3200010779063143
F20,Times15,-3.2030429541527696
F20,Times16,-3.3219660808654914
F20,Times17,-3.32191329346703
F20,Times18,-3.321964051421086
F20,Times19,-3.321973956588667
F20,Times20,-3.203072190322847
F21,Times1,-2.682723136503381
F21,Times2,-2.6826765814320037
F21,Times3,-2.682684779687836
F21,Times4,-2.6304242580808332
F21,Times5,-2.630454793855736
F21,Times6,-2.630413910890491
F21,Times7,-2.629721214942598
F21,Times8,-10.148824234166254
F21,Times9,-10.14402553865056
F21,Times10,-2.630322480638338
F21,Times11,-5.054492412622383
F21,Times12,-10.149973656492973
F21,Times13,-5.098853566132597
F21,Times14,-2.6820488016022304
F21,Times15,-10.152022106107994
F21,Times16,-2.6828180678681095
F21,Times17,-2.682757383347445
F21,Times18,-5.052270027142317
F21,Times19,-10.142497695204892
F21,Times20,-10.147539979785089
F22,Times1,-2.765364277156913
F22,Times2,-5.128669199474378
F22,Times3,-10.401555605648765
F22,Times4,-3.724181907291947
F22,Times5,-3.7239307087678895
F22,Times6,-10.39823458248358
F22,Times7,-10.388013254692998
F22,Times8,-10.396835815604176
F22,Times9,-2.75178385912622
F22,Times10,-2.7518233788170656
F22,Times11,-5.127582265618667
F22,Times12,-5.08743355646511
F22,Times13,-5.086940646758573
F22,Times14,-10.402376103210488
F22,Times15,-10.401983096805758
F22,Times16,-10.399434083069664
F22,Times17,-5.08754763472719
F22,Times18,-2.765208852804249
F22,Times19,-10.400238241014726
F22,Times20,-2.7656267127685776
F23,Times1,-10.535448475141367
F23,Times2,-10.535871969782592
F23,Times3,-7.935690256902862
F23,Times4,-3.8354063096277424
F23,Times5,-5.12769916109982
F23,Times6,-3.8349524094314336
F23,Times7,-10.534136543512487
F23,Times8,-2.8066161424321305
F23,Times9,-3.8294123783712375
F23,Times10,-10.535685229328749
F23,Times11,-2.8064306267316232
F23,Times12,-10.533647630967737
F23,Times13,-10.516845049775167
F23,Times14,-3.8353793376288103
F23,Times15,-10.533960069049822
F23,Times16,-2.87105150894728
F23,Times17,-3.8350657888879893
F23,Times18,-3.8344592691182524
F23,Times19,-2.806583634419789
F23,Times20,-2.8711214104025458
