,,Combination1
F1,Times1,1488.8593746059848
F1,Times2,1661.8071653774941
F1,Times3,1975.3409560338239
F1,Times4,1622.096898724519
F1,Times5,4992.514105920282
F1,Times6,1290.9037304598933
F1,Times7,1842.5874233534616
F1,Times8,2586.754492882133
F1,Times9,4184.646742365505
F1,Times10,2624.1529252469763
F1,Times11,4234.272247815383
F1,Times12,1038.0893596028652
F1,Times13,3381.1355937696303
F1,Times14,1051.5183786732616
F1,Times15,2338.8295649447255
F1,Times16,2176.2728335372694
F1,Times17,1875.6550094790553
F1,Times18,1798.3562867234264
F1,Times19,2509.106163040814
F1,Times20,1985.0182494665692
F2,Times1,7382.540989980912
F2,Times2,5577.671605950918
F2,Times3,5633.681250356818
F2,Times4,4574.501719326892
F2,Times5,5103.708542706481
F2,Times6,3221.5142421094597
F2,Times7,4408.05534676657
F2,Times8,5491.80207369442
F2,Times9,3493.4576253292157
F2,Times10,3219.178186661092
F2,Times11,771.9793234435244
F2,Times12,1844.628529064162
F2,Times13,1070.0034713217383
F2,Times14,7916.717170643053
F2,Times15,5244.8565309709475
F2,Times16,952.2983417973943
F2,Times17,6727.062150000933
F2,Times18,4701.071664032766
F2,Times19,2204.1158093008435
F2,Times20,5035.8301049402
F3,Times1,2221.2167912643126
F3,Times2,1798.1821718919698
F3,Times3,2109.8324425031074
F3,Times4,3801.9093763503674
F3,Times5,1877.0609952910847
F3,Times6,2030.845662786115
F3,Times7,2771.64108209836
F3,Times8,1882.2443054925413
F3,Times9,2133.4806676983185
F3,Times10,1041.4244567345424
F3,Times11,1674.6130268766503
F3,Times12,1155.8069050181284
F3,Times13,3218.9510647604557
F3,Times14,2891.322123168363
F3,Times15,1552.3502392381079
F3,Times16,1649.921369258433
F3,Times17,3386.6593862869495
F3,Times18,3135.8861354632177
F3,Times19,1415.7802862672993
F3,Times20,1969.6529179987658
F5,Times1,740.1756571994472
F5,Times2,717.5807873374562
F5,Times3,658.9792431391774
F5,Times4,908.0069887841707
F5,Times5,1531.7313878010746
F5,Times6,633.1205271846047
F5,Times7,1123.5161831385842
F5,Times8,1163.936437103584
