,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability,Mutation_type,Crossover_type
590,1000000,2.0,100,0.9,0.5,Normal,Probabilistic_crossover
593,1000000,2.0,100,2.0,0.5,Normal,Probabilistic_crossover
579,1000000,1.0,200,5.0,0.6,Normal,Probabilistic_crossover
588,1000000,2.0,100,0.55,0.6,Normal,Probabilistic_crossover
589,1000000,2.0,100,0.55,0.7,Normal,Probabilistic_crossover
591,1000000,2.0,100,0.9,0.6,Normal,Probabilistic_crossover
576,1000000,1.0,200,2.0,0.6,Normal,Probabilistic_crossover
587,1000000,2.0,100,0.55,0.5,Normal,Probabilistic_crossover
569,1000000,1.0,200,0.55,0.5,Normal,Probabilistic_crossover
558,1000000,1.0,100,2.0,0.6,Normal,Probabilistic_crossover
592,1000000,2.0,100,0.9,0.7,Normal,Probabilistic_crossover
572,1000000,1.0,200,0.9,0.5,Normal,Probabilistic_crossover
594,1000000,2.0,100,2.0,0.6,Normal,Probabilistic_crossover
542,1000000,0.5,200,5.0,0.5,Normal,Probabilistic_crossover
570,1000000,1.0,200,0.55,0.6,Normal,Probabilistic_crossover
562,1000000,1.0,100,5.0,0.7,Normal,Probabilistic_crossover
575,1000000,1.0,200,2.0,0.5,Normal,Probabilistic_crossover
573,1000000,1.0,200,0.9,0.6,Normal,Probabilistic_crossover
552,1000000,1.0,100,0.55,0.6,Normal,Probabilistic_crossover
555,1000000,1.0,100,0.9,0.6,Normal,Probabilistic_crossover
