,,Combination1
F1,Times1,79.09212575145196
F1,Times2,87.37013730538104
F1,Times3,98.16748327449794
F1,Times4,66.017157721817
F1,Times5,72.1263604103566
F1,Times6,63.10888611579382
F1,Times7,58.112514185539816
F1,Times8,85.41755524096789
F1,Times9,91.35559178977005
F1,Times10,56.50146516298765
F1,Times11,73.68992151582884
F1,Times12,100.44931904220897
F1,Times13,91.2749781142803
F1,Times14,72.077433918296
F1,Times15,49.67335435748065
F1,Times16,75.65386500311567
F1,Times17,138.5844941010069
F1,Times18,76.76467828342308
F1,Times19,80.96238758316098
F1,Times20,101.58670560306572
F2,Times1,26.182104798445902
F2,Times2,31.818436930559788
F2,Times3,29.780696638245093
F2,Times4,24.62111966543484
F2,Times5,29.502182782149866
F2,Times6,29.300932572067182
F2,Times7,26.276438994071626
F2,Times8,34.0574183287994
F2,Times9,30.54247855864408
F2,Times10,27.59574356659724
F2,Times11,30.903057295654904
F2,Times12,29.704002253076133
F2,Times13,26.3953109385237
F2,Times14,30.736326834843062
F2,Times15,26.482751396719518
F2,Times16,25.838784960172763
F2,Times17,24.441514903207235
F2,Times18,28.62709430513007
F2,Times19,29.061016491552806
F2,Times20,27.861703493950444
F3,Times1,4901.533998501314
F3,Times2,4100.8743658947205
F3,Times3,4069.8092844856887
F3,Times4,3866.824053430538
F3,Times5,5032.173944810114
F3,Times6,2777.204661166665
F3,Times7,2292.5545855256396
F3,Times8,2920.6120096662116
F3,Times9,4630.672550095644
F3,Times10,2458.198457725929
F3,Times11,3788.185268986979
F3,Times12,3362.6405498071585
F3,Times13,4168.599968035148
F3,Times14,1951.2163010513627
F3,Times15,3069.0056945643137
F3,Times16,3379.234874907785
F3,Times17,4199.46744392371
F3,Times18,3808.0579301240327
F3,Times19,3471.590141496433
F3,Times20,4832.812423122215
F5,Times1,1929.6493242907222
F5,Times2,1565.1952527145345
F5,Times3,2233.9410203346474
F5,Times4,1324.2273420728552
F5,Times5,3300.886472077514
F5,Times6,2112.0370668987425
F5,Times7,3096.3990818262446
F5,Times8,2645.830331793882
F5,Times9,4850.693536540666
F5,Times10,3878.5392929568848
F5,Times11,3183.2417436733153
F5,Times12,2289.8055525318887
F5,Times13,2090.180034926294
F5,Times14,3646.1124973968617
F5,Times15,1626.2269927992336
F5,Times16,2443.7706397985644
F5,Times17,1474.0311883691038
F5,Times18,2016.210516421883
F5,Times19,2502.215924167675
F5,Times20,2510.066934349116
F6,Times1,59.37139271202571
F6,Times2,27.020145425738715
F6,Times3,50.44429282040586
F6,Times4,52.3337170337444
F6,Times5,80.00616064713125
F6,Times6,61.87637235164397
F6,Times7,62.28700160429838
F6,Times8,49.24044520428806
F6,Times9,47.38795138946452
F6,Times10,101.97189841432899
F6,Times11,117.49050966257342
F6,Times12,68.07918488174677
F6,Times13,72.0980416891194
F6,Times14,75.16742630767563
F6,Times15,53.10708966258995
F6,Times16,47.29174509944724
F6,Times17,54.36251103160241
F6,Times18,57.291682489196816
F6,Times19,73.44901321375157
F6,Times20,69.60016711432397
F7,Times1,0.0006565656141475043
F7,Times2,0.0006385103004813599
F7,Times3,0.00033696573498666755
F7,Times4,0.0005692385600737579
F7,Times5,0.000456067895646275
F7,Times6,0.00020340599658538904
F7,Times7,0.0004368791201483869
F7,Times8,0.00042554974999870014
F7,Times9,0.0003749400488565709
F7,Times10,0.00042921927728424146
F7,Times11,0.001706119877111666
F7,Times12,0.00034995388092133367
F7,Times13,0.0002725850665386695
F7,Times14,0.0001631644464367749
F7,Times15,0.00035215623258217775
F7,Times16,0.0003271827873210573
F7,Times17,0.00042386969098437064
F7,Times18,0.00035710305930877556
F7,Times19,0.0005318741261653456
F7,Times20,0.0006821559903542426
F11,Times1,1.610629097658388
F11,Times2,2.017197075216999
F11,Times3,1.7718198584288936
F11,Times4,1.491781732822232
F11,Times5,1.5535274914919608
F11,Times6,1.5659483002049202
F11,Times7,1.6520226191024228
F11,Times8,1.496926532052517
F11,Times9,1.529860333578497
F11,Times10,1.7341139728283417
F11,Times11,1.7238166400585295
F11,Times12,1.7170000777060495
F11,Times13,1.6834388323639602
F11,Times14,1.7169955704784592
F11,Times15,1.3680494979714761
F11,Times16,1.5253329445487385
F11,Times17,1.5707154960483276
F11,Times18,1.9670045903353865
F11,Times19,1.9167513499217046
F11,Times20,1.596842036945978
F12,Times1,0.4004556234307394
F12,Times2,0.3467959502810732
F12,Times3,0.4476080412413673
