,,Combination1
F1,Times1,51.8798001753693
F1,Times2,161.36226990537898
F1,Times3,122.48654475635044
F1,Times4,109.919704322798
F1,Times5,257.5562762772497
F1,Times6,391.03302759247003
F1,Times7,204.32112962289443
F1,Times8,186.71842759392155
F1,Times9,209.57891110787267
F1,Times10,213.92006421604168
F1,Times11,252.97473785896065
F1,Times12,138.89130645441332
F1,Times13,490.0876392609055
F1,Times14,371.40755271268773
F1,Times15,98.01141767921935
F1,Times16,123.15670394682462
F1,Times17,140.9174315121491
F1,Times18,238.3593461621371
F1,Times19,272.72168617994555
F1,Times20,60.58738169376885
F2,Times1,145.76515174351934
F2,Times2,416.8614603390446
F2,Times3,296.26354683019207
F2,Times4,163.37435261399813
F2,Times5,93.69635134713772
F2,Times6,35.98547053687399
F2,Times7,96.23731033196466
F2,Times8,89.69979523020167
F2,Times9,80.41168619266543
F2,Times10,123.93242277007732
F2,Times11,458.30843086183415
F2,Times12,120.98060884945131
F2,Times13,114.61068408857129
F2,Times14,288.152278686354
F2,Times15,229.38935303243198
F2,Times16,102.4589550461919
F2,Times17,92.79697940603347
F2,Times18,257.6565090093615
F2,Times19,311.4004870101945
F2,Times20,124.45366300229321
F3,Times1,121.65865915129308
F3,Times2,184.7210606488109
F3,Times3,202.0118603332141
F3,Times4,266.4212355665163
F3,Times5,331.91646991542547
F3,Times6,236.5404950476372
F3,Times7,404.8133918395973
F3,Times8,181.5578495984723
F3,Times9,222.89695223477608
F3,Times10,217.7502115952969
F3,Times11,168.39997636255134
F3,Times12,310.42915798273907
F3,Times13,328.45894519357626
F3,Times14,30.866642431224978
F3,Times15,467.34570332002585
F3,Times16,188.63245998266342
F3,Times17,248.5073651248664
F3,Times18,337.5337825355924
F3,Times19,172.04534656863535
F3,Times20,158.30606221207222
F5,Times1,76.8760574212345
F5,Times2,45.965125034096566
F5,Times3,107.79944015167565
F5,Times4,68.76005640840836
F5,Times5,36.05055326333376
F5,Times6,99.25287991003182
F5,Times7,65.67271443964154
F5,Times8,119.22965730523417
F5,Times9,150.852045975867
F5,Times10,71.34074512369982
F5,Times11,77.03303505304633
F5,Times12,51.98071055119539
F5,Times13,81.9625916585005
F5,Times14,72.04851355675416
F5,Times15,52.54982753865663
F5,Times16,83.76049241684491
F5,Times17,25.495011655026957
F5,Times18,123.9880964153606
F5,Times19,103.7221356805706
F5,Times20,28.889318070444787
F6,Times1,287.83907783815516
