,,Combination1
F1,Times1,1048.4958854612278
F1,Times2,829.218731179188
F1,Times3,853.5558270008449
F1,Times4,919.1837879842337
F1,Times5,986.4418516964828
F1,Times6,976.5494876642038
F1,Times7,806.3649710890371
F1,Times8,949.624537330458
F1,Times9,1043.6193987666302
F1,Times10,1195.518227310522
F2,Times1,325489.8465748276
F2,Times2,325687.10868806427
F2,Times3,326272.8986366212
F2,Times4,324726.6215903032
F2,Times5,321344.5906957502
F2,Times6,326177.04801044636
F2,Times7,322835.0650071689
F2,Times8,324369.9326657498
F2,Times9,327868.3221760608
F2,Times10,335822.8075680214
F3,Times1,962.9752479488799
F3,Times2,924.1311953469069
F3,Times3,1054.5444339577548
F3,Times4,961.0253040226256
F3,Times5,1090.9269948039173
F3,Times6,905.2299306136098
F3,Times7,890.880463327905
F3,Times8,741.2909558891376
F3,Times9,1162.476598050412
F3,Times10,1052.9827547120726
F4,Times1,356.52859096836227
F4,Times2,235.69138860008553
F4,Times3,331.3830440614472
F4,Times4,361.49782037386143
F4,Times5,283.1441904130093
F4,Times6,278.57284122046946
F4,Times7,266.89518187934794
F4,Times8,266.78214358533444
F4,Times9,373.29252002098326
F4,Times10,225.7109040461097
F5,Times1,327.90835458154237
F5,Times2,273.63329206764024
F5,Times3,264.26316831158664
F5,Times4,277.1238862700385
F5,Times5,310.5494532316902
F5,Times6,310.99092930201135
F5,Times7,289.0447648715509
F5,Times8,448.05182031389626
F5,Times9,233.58704873147943
F5,Times10,248.6119287199421
F6,Times1,1104.3559462071655
F6,Times2,836.3297482340432
F6,Times3,745.7409753733232
F6,Times4,921.7652310937606
F6,Times5,1077.4841456076417
F6,Times6,774.2920553707748
F6,Times7,800.7280890235992
F6,Times8,874.9683450502654
F6,Times9,849.0893854701242
F6,Times10,799.4406906588392
F7,Times1,12.025671055754756
F7,Times2,15.098299617912852
F7,Times3,13.417516705295368
F7,Times4,12.378200517625089
F7,Times5,10.740739548720663
F7,Times6,10.974663810282753
F7,Times7,11.164526420094166
F7,Times8,9.04348911732211
F7,Times9,15.304238138212332
F7,Times10,11.18077613961574
F8,Times1,3215.8178879178313
F8,Times2,3302.289298247416
F8,Times3,3153.8731589219988
F8,Times4,3100.4166208790293
F8,Times5,4256.289240678288
F8,Times6,3245.960267683739
F8,Times7,3906.0739001010506
F8,Times8,3309.638680270383
F8,Times9,2695.675619544011
F8,Times10,3974.691801376425
F9,Times1,17.104742348591547
F9,Times2,15.773827817119933
F9,Times3,11.97058430653445
F9,Times4,17.140856421512563
F9,Times5,7.889090462054608
F9,Times6,12.06648106704827
F9,Times7,13.038350854351126
F9,Times8,8.38138104838859
F9,Times9,8.700694993442342
F9,Times10,9.21601961337982
F10,Times1,42.93296454850193
F10,Times2,17.728326697329
F10,Times3,10.707450567088282
F10,Times4,15.364379349050946
F10,Times5,11.370265028420901
F10,Times6,16.32504567991912
F10,Times7,24.230541416723845
F10,Times8,20.233174902863347
F10,Times9,15.30484883944256
F10,Times10,20.058081218114605
F11,Times1,7203.307030487856
F11,Times2,5375.723118243286
F11,Times3,5501.930980279717
F11,Times4,4833.566178542857
F11,Times5,5444.076210282352
F11,Times6,6187.672991380792
F11,Times7,6360.226564093827
F11,Times8,5284.826311141101
F11,Times9,6089.831302926744
F11,Times10,5300.995824018841
F12,Times1,530.8564711656387
F12,Times2,486.37030979757714
F12,Times3,579.7163010104402
F12,Times4,512.4157128754154
F12,Times5,554.0198752293604
F12,Times6,407.9891723844411
F12,Times7,321.8872863993488
F12,Times8,511.3612518460653
F12,Times9,614.1619391725098
F12,Times10,480.4316062785345
F13,Times1,458.67918319419005
F13,Times2,513.1121137751205
F13,Times3,517.0581520243886
F13,Times4,447.4159844770048
F13,Times5,592.5748439125908
F13,Times6,475.3887726507993
F13,Times7,461.29482532082915
F13,Times8,470.8126007615731
F13,Times9,526.7045826204971
F13,Times10,537.5608645250006
