,,590,579,588,589
F1,Times1,231.3066330196633,90.4385675243006,257.0622222409341,265.6434233082361
F1,Times2,235.5691803540444,92.34537247786372,241.81221850250097,263.9312032032694
F1,Times3,258.8448815952653,96.3279766976522,246.2521453639195,273.6933763684608
F1,Times4,237.8831357129696,94.58621868145086,256.4111467829839,275.3768864963181
F1,Times5,256.12109136801433,94.64205380809956,254.3117944609644,239.85470280407156
F1,Times6,254.2992807083576,87.42285776331472,283.2648392047954,276.76128945609656
F1,Times7,243.462091050206,92.66516222679938,249.11145547807985,300.61201951107154
F1,Times8,244.930398437749,103.40979796393492,262.887410855308,279.3458033293186
F1,Times9,268.8014385821565,90.87009163067916,255.8745952767583,264.8272548113485
F1,Times10,268.6055255784374,96.355414975268,254.49378374781625,271.4387983296421
F2,Times1,inf,inf,inf,inf
F2,Times2,inf,inf,inf,inf
F2,Times3,inf,inf,inf,inf
F2,Times4,inf,inf,inf,inf
F2,Times5,inf,inf,inf,inf
F2,Times6,inf,inf,inf,inf
F2,Times7,inf,inf,inf,inf
F2,Times8,inf,inf,inf,inf
F2,Times9,inf,inf,inf,inf
F2,Times10,inf,inf,inf,inf
F3,Times1,104354.84461500544,35806.082467900575,109288.48009409723,102062.4293189402
F3,Times2,97747.10004743592,39087.47291733693,103451.41797823674,114610.32951388691
F3,Times3,107410.38531420549,36103.76661340914,104492.63235472229,112278.39456703866
F3,Times4,89307.29194438769,33527.583983617624,92949.3861541746,110007.68815045927
F3,Times5,104363.99995506548,39352.04260338026,100819.8244308092,105994.83285958832
F3,Times6,102505.51115332036,36286.23138505338,106849.69494917116,101346.27221849958
F3,Times7,111306.91454326,36723.55240765498,110126.5349669718,108647.06675951157
F3,Times8,96559.1699652919,35130.62249139773,106456.70763881432,115530.18944062314
F3,Times9,99986.93092398568,37213.50151235655,109567.59877729394,99878.29396416
F3,Times10,93505.41293860912,37014.24701399508,108781.3620166096,105023.55185542168
