,,Combination1
F1,Times1,265.64342330823615
F1,Times2,263.9312032032694
F1,Times3,273.6933763684608
F1,Times4,275.3768864963181
F1,Times5,239.85470280407154
F1,Times6,276.76128945609656
F1,Times7,300.61201951107154
F1,Times8,279.3458033293186
F1,Times9,264.82725481134855
F1,Times10,271.4387983296421
F2,Times1,inf
F2,Times2,inf
F2,Times3,inf
F2,Times4,inf
F2,Times5,inf
F2,Times6,inf
F2,Times7,inf
F2,Times8,inf
F2,Times9,inf
F2,Times10,inf
F3,Times1,102062.4293189402
F3,Times2,114610.32951388693
F3,Times3,112278.39456703866
F3,Times4,110007.68815045929
F3,Times5,105994.83285958832
F3,Times6,101346.27221849958
F3,Times7,108647.06675951157
F3,Times8,115530.18944062314
F3,Times9,99878.29396416
F3,Times10,105023.55185542167
F4,Times1,46.746014497430785
F4,Times2,54.85053758846415
F4,Times3,49.326548094742414
F4,Times4,50.95847979953216
F4,Times5,47.79944334330066
F4,Times6,47.42320668280009
F4,Times7,50.21988536971695
F4,Times8,47.46112212398397
F4,Times9,52.702143550497425
F4,Times10,48.176860395065695
F5,Times1,7243.102384674224
F5,Times2,8304.08395718694
F5,Times3,6292.3518266777055
F5,Times4,5544.982434281884
F5,Times5,6988.56072941761
F5,Times6,4843.907206457716
F5,Times7,4890.357582376851
F5,Times8,7424.292691398171
F5,Times9,6560.924749423499
F5,Times10,5551.799542043242
F6,Times1,274.0106472092348
F6,Times2,260.0228079703149
F6,Times3,259.2477291419928
F6,Times4,264.39179279599847
F6,Times5,269.1770291271181
F6,Times6,267.7008181123954
F6,Times7,256.3118359865553
F6,Times8,252.17976423178723
F6,Times9,267.4919118754941
F6,Times10,258.2988537080194
F7,Times1,0.0038044628270571678
F7,Times2,0.004052171808071747
F7,Times3,0.0036360785809154434
F7,Times4,0.0046947780899271084
F7,Times5,0.0037664861428550224
F7,Times6,0.00448846455612615
F7,Times7,0.0041569857736099905
F7,Times8,0.0041733038111071985
F7,Times9,0.004152607667940751
F7,Times10,0.00472111946250304
F8,Times1,-96409.25960887896
F8,Times2,-95560.44916885697
F8,Times3,-96197.46269390566
F8,Times4,-92558.24887565651
F8,Times5,-90902.25173966971
F8,Times6,-95889.23021618539
F8,Times7,-93696.68474934027
F8,Times8,-98154.58044043466
F8,Times9,-96933.15742911384
F8,Times10,-98737.90502187888
F9,Times1,2874.231146667822
F9,Times2,3031.3001734043655
F9,Times3,2844.8646414612094
F9,Times4,2923.2848976386945
F9,Times5,2946.109782693355
F9,Times6,2863.9809764387087
F9,Times7,2806.926104464501
F9,Times8,2658.414626634974
F9,Times9,2896.2437562183986
F9,Times10,2654.7472349545205
F10,Times1,19.63389577621042
F10,Times2,19.717583253971213
F10,Times3,19.74143927183074
F10,Times4,19.725304453482398
F10,Times5,19.578224041662015
F10,Times6,19.62638957627925
F10,Times7,19.665557138982887
F10,Times8,19.743965435881613
F10,Times9,19.660679126423748
F10,Times10,19.693813328351787
F11,Times1,3.417485238396972
F11,Times2,3.341298541584678
F11,Times3,3.3921816143180084
F11,Times4,3.1614108296083487
F11,Times5,3.46363334381781
F11,Times6,3.40102679729721
F11,Times7,3.4393503235574694
F11,Times8,3.4941199029518866
F11,Times9,3.326737241073908
F11,Times10,3.288635228446764
F12,Times1,14.631731291570656
F12,Times2,13.778446713775796
F12,Times3,14.807714959995149
F12,Times4,15.929323469765112
F12,Times5,14.750641416787422
F12,Times6,17.23606665971072
F12,Times7,14.414532397011346
F12,Times8,15.812107776339165
F12,Times9,16.561499408703188
F12,Times10,16.984807157324568
F13,Times1,19.16862728107102
F13,Times2,22.116173656819857
F13,Times3,18.23236182400439
F13,Times4,20.208849099895588
F13,Times5,18.22587724479856
F13,Times6,17.73952253676481
F13,Times7,18.729478107509962
F13,Times8,20.854434538823757
F13,Times9,19.725309494710643
F13,Times10,19.931951014578583
