,,Combination1
F1,Times1,186.44688297743417
F1,Times2,207.11821274320738
F1,Times3,191.65536977983845
F1,Times4,207.4274538558799
F1,Times5,192.30492280335014
F1,Times6,208.4434108727836
F1,Times7,207.6072106004705
F1,Times8,212.10394545429136
F1,Times9,218.269432249211
F1,Times10,227.7670749676334
F2,Times1,inf
F2,Times2,inf
F2,Times3,inf
F2,Times4,inf
F2,Times5,inf
F2,Times6,inf
F2,Times7,inf
F2,Times8,inf
F2,Times9,inf
F2,Times10,inf
F3,Times1,86624.673316219
F3,Times2,81125.1216368887
F3,Times3,82147.34427973279
F3,Times4,85409.40974655686
F3,Times5,88016.97402859491
F3,Times6,81787.28257028812
F3,Times7,78350.90675421851
F3,Times8,79499.39929090593
F3,Times9,76610.41353542298
F3,Times10,90927.138281988
F4,Times1,37.962934700361096
F4,Times2,36.41020922261902
F4,Times3,37.30030049170094
F4,Times4,37.02706475221663
F4,Times5,34.36862580209964
F4,Times6,38.665081582630805
F4,Times7,37.75882758576667
F4,Times8,42.475879943419336
F4,Times9,41.193572254460655
F4,Times10,35.289264531437624
F5,Times1,6398.985003267322
F5,Times2,4265.292010807768
F5,Times3,4980.508497199759
F5,Times4,4461.886240576075
F5,Times5,4657.743625605528
F5,Times6,4238.324341414459
F5,Times7,4695.050674004389
F5,Times8,3968.816156736669
F5,Times9,6955.959207436495
F5,Times10,4403.24631262076
F6,Times1,204.95471416955272
F6,Times2,185.69819222632387
F6,Times3,209.02796767060133
F6,Times4,199.6328541576729
F6,Times5,204.14746540893867
F6,Times6,200.8668153410706
F6,Times7,205.18617947404096
F6,Times8,216.23930508126705
F6,Times9,196.38239804381865
F6,Times10,203.43013706181011
F7,Times1,0.002676459278053698
F7,Times2,0.0027093806489746288
F7,Times3,0.0029094518475477173
F7,Times4,0.0025358445510186758
F7,Times5,0.0025605527588615424
F7,Times6,0.0025645679182262006
F7,Times7,0.0027242250536315986
F7,Times8,0.0031035908427488644
F7,Times9,0.0025355288063799255
F7,Times10,0.002791445272566533
F8,Times1,-95678.8703229715
F8,Times2,-94884.57939174371
F8,Times3,-95841.61706579238
F8,Times4,-94980.08951305496
F8,Times5,-93372.50419350505
F8,Times6,-99248.83891197451
F8,Times7,-95599.29886958223
F8,Times8,-99391.35302244191
F8,Times9,-94857.31721151815
F8,Times10,-102134.93633486776
F9,Times1,2508.202226736155
F9,Times2,2707.779391183418
F9,Times3,2755.4211165093284
F9,Times4,2874.471264471952
F9,Times5,2777.066299920171
F9,Times6,2727.197664125698
F9,Times7,2356.151949990284
F9,Times8,2641.7524430136027
F9,Times9,2816.0326052092805
F9,Times10,2882.319824339768
F10,Times1,19.470414190574495
F10,Times2,19.546819116424825
F10,Times3,19.536350471679448
F10,Times4,19.462217389142683
F10,Times5,19.598265259120037
F10,Times6,19.510730353656427
F10,Times7,19.172101071679347
F10,Times8,19.392895881880396
F10,Times9,19.58901632323647
F10,Times10,19.411978992683864
F11,Times1,2.9006646511436682
F11,Times2,2.929635977979008
F11,Times3,2.835967627264135
F11,Times4,2.8711380537508915
F11,Times5,2.9223044027286234
F11,Times6,2.9756946622557567
F11,Times7,3.003916517745699
F11,Times8,2.927718492457644
F11,Times9,2.8919961168489468
F11,Times10,2.7855930086487475
F12,Times1,15.406161310750814
F12,Times2,12.961706179581073
F12,Times3,13.467465818642113
F12,Times4,14.231106018015835
F12,Times5,15.180435886668642
F12,Times6,14.664005395196511
F12,Times7,12.614524407037273
F12,Times8,12.818981495810114
F12,Times9,14.253749474992285
F12,Times10,13.992195224462483
F13,Times1,12.149621977708104
F13,Times2,13.223415603578658
F13,Times3,13.491238866725661
F13,Times4,13.743840201158404
F13,Times5,13.044696273663725
F13,Times6,12.451913569322342
F13,Times7,13.425403491174178
F13,Times8,11.948851039809684
F13,Times9,15.108060620194358
F13,Times10,12.854628544239342
