,ranking
1,1.0
533,2.0
534,3.0
535,4.0
536,5.0
537,6.0
538,7.0
539,8.0
540,9.0
541,10.0
542,11.0
543,12.0
544,13.0
545,14.0
546,15.0
547,16.0
548,17.0
549,18.0
550,19.0
551,20.0
552,21.0
553,22.0
532,23.0
554,24.0
531,25.0
529,26.0
508,27.0
509,28.0
510,29.0
511,30.0
512,31.0
513,32.0
514,33.0
515,34.0
516,35.0
517,36.0
518,37.0
519,38.0
520,39.0
521,40.0
522,41.0
523,42.0
524,43.0
525,44.0
526,45.0
527,46.0
528,47.0
530,48.0
555,49.0
556,50.0
557,51.0
584,52.0
585,53.0
586,54.0
587,55.0
588,56.0
589,57.0
590,58.0
591,59.0
592,60.0
593,61.0
594,62.0
595,63.0
596,64.0
597,65.0
598,66.0
599,67.0
1199,68.0
604,69.0
605,70.0
606,71.0
607,72.0
583,73.0
582,74.0
581,75.0
580,76.0
558,77.0
559,78.0
560,79.0
561,80.0
562,81.0
563,82.0
564,83.0
565,84.0
566,85.0
567,86.0
507,87.0
568,88.0
570,89.0
571,90.0
572,91.0
573,92.0
574,93.0
575,94.0
576,95.0
577,96.0
578,97.0
579,98.0
569,99.0
608,100.0
506,101.0
504,102.0
431,103.0
432,104.0
433,105.0
434,106.0
435,107.0
436,108.0
438,109.0
439,110.0
440,111.0
441,112.0
442,113.0
443,114.0
444,115.0
445,116.0
446,117.0
447,118.0
448,119.0
449,120.0
450,121.0
451,122.0
452,123.0
430,124.0
453,125.0
429,126.0
427,127.0
406,128.0
407,129.0
408,130.0
409,131.0
410,132.0
411,133.0
412,134.0
413,135.0
414,136.0
415,137.0
416,138.0
417,139.0
418,140.0
419,141.0
420,142.0
421,143.0
422,144.0
423,145.0
424,146.0
425,147.0
426,148.0
428,149.0
454,150.0
455,151.0
456,152.0
483,153.0
484,154.0
485,155.0
486,156.0
487,157.0
488,158.0
489,159.0
490,160.0
491,161.0
492,162.0
493,163.0
494,164.0
495,165.0
496,166.0
497,167.0
498,168.0
499,169.0
500,170.0
501,171.0
502,172.0
503,173.0
482,174.0
481,175.0
480,176.0
479,177.0
457,178.0
458,179.0
459,180.0
460,181.0
461,182.0
462,183.0
463,184.0
464,185.0
465,186.0
466,187.0
505,188.0
467,189.0
469,190.0
470,191.0
471,192.0
472,193.0
473,194.0
474,195.0
475,196.0
476,197.0
477,198.0
478,199.0
468,200.0
405,201.0
609,202.0
611,203.0
747,204.0
748,205.0
749,206.0
750,207.0
751,208.0
752,209.0
753,210.0
754,211.0
755,212.0
756,213.0
757,214.0
758,215.0
759,216.0
760,217.0
761,218.0
762,219.0
763,220.0
764,221.0
765,222.0
766,223.0
767,224.0
746,225.0
768,226.0
745,227.0
743,228.0
722,229.0
723,230.0
724,231.0
