,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F1,Times1,4.270860762793093e-12,1.1281427473550255e-09,2.7015723743863086e-09,2.315684444633925e-09,1.2599910821165067e-08,6.805195296113534e-09,3.815103802568568e-09,2.328252683865153e-08,2.3451761802129954e-08,2.3154872332300604e-08,1.534733450674249e-07,3.9714717000152464e-07,1.668857439342679e-07,5.538388996095272e-07,7.366708129923197e-07,1.0187947597485857e-06,1.8356407068827528e-09,1.501929274411601e-09,4.5654748149093075e-09,1.9324879203003167e-06,4.2237654551084336e-07,2.932400599579085e-06,1.311928399763439e-05,4.147362067308532e-06,1.038745254409814e-05,5.421099299762341e-05,1.8977825185879403e-05,3.242323961824333e-05,5.175184669059299e-05,0.00012048126535694704,8.303715482863331e-05,0.0003632877687961014,0.0003571004341044252,0.0003232077986251104,1.1676746612609837e-08,4.179095264480753e-09,6.801784249711476e-09,3.803614903394047e-06,2.6855354177488313e-06,3.6702997427313633e-06,2.6964169060852548e-05,2.0490054106004936e-05,1.1300288454965375e-05,4.501990867045875e-05,3.690725301587418e-05,5.0717678901907716e-05,0.0002716581745827707,4.3501187563285455e-05,4.432220651655837e-05,0.00039121119737005653,0.0007891137060057128,0.0008357135708081114,1.0971503301680584e-05,7.96736562053915e-06,1.8477348824372696e-05,0.01136017490461306,0.016675098884129325,0.011243956850877188,0.08640329602519656,0.058854888138908386,0.06148575000085664,0.16643467619603872,0.09080724041435725,0.1347367637912409,0.9308439702556146,0.9710454361563761,0.5161350597330953,5.111000462934292,5.969174204531212,4.34859659537519,2.648932804976596e-05,2.120122939068126e-05,2.198286889496325e-05,0.013421437516965132,0.015460832058863795,0.015588609304474412,0.04356368280631313,0.0688630025829598,0.04677622422799388,0.164792667119639,0.15273003320060635,0.12919738963756955,0.9894463388299775,0.5461434294284206,0.7893083377086056,4.749062958898957,4.93272363632206,5.176153814871102
F1,Times2,2.8961497096204746e-12,7.502121642064684e-10,1.910065910013505e-09,1.2289770981584572e-09,4.078722277697728e-09,8.724192192983221e-09,6.6591026868931105e-09,1.5419832337347452e-08,2.127218120775205e-08,1.358698361770623e-08,1.1601344433852278e-07,9.776273712977058e-08,1.549712913122325e-07,3.766357952729874e-07,9.264900095763262e-07,1.395095758451772e-06,2.8872272547123137e-09,6.643970255732705e-10,1.159591586298816e-09,4.6212877457209116e-07,1.119921109576957e-06,1.231180597103774e-06,8.979194506919184e-06,5.475283463352561e-06,2.993628000727013e-06,1.3973392307457678e-05,1.9368947941505865e-05,1.2488463063872908e-05,0.00010213562817235079,5.193278152377068e-05,0.00018676428763133348,0.001256444409889092,0.0005774523603748445,0.0008781799994699445,8.104273642062155e-09,7.44442475252329e-09,1.555502816375655e-09,1.0442693239415543e-06,1.8789221486996058e-06,2.4339969052854493e-06,1.817129926848522e-05,1.5894448551876978e-05,6.881796909284573e-06,5.162713507881145e-05,1.7232592836196607e-05,4.5861870231684294e-05,0.00035760772212407594,0.00010032952385066495,2.6096902489952723e-05,0.002228708199925072,0.0008603229494595013,8.99985750826159e-05,1.6532051926340425e-05,2.6067449470504225e-05,1.852137612077382e-05,0.0036846537800661375,0.011638363974220092,0.0145350135210551,0.050059778886141805,0.055099870417651076,0.06224129736757251,0.15701091701751146,0.1597776486660134,0.1283335016631928,0.4005996807898314,0.6206729510398408,0.6460398850930394,4.867235757374027,2.827523137651092,5.174225315376625,1.2063200375747173e-05,1.5239620115269304e-05,2.379019999666894e-05,0.014692506186333842,0.008077168398972765,0.010206490708768976,0.060520306622944615,0.04369827559127215,0.05864783050819816,0.18419295342866635,0.16713569439401285,0.10321005899624358,0.6627585007982102,0.5825277314864528,0.7618221802114568,7.064031809655789,4.041818682775284,5.627211319406461
F1,Times3,7.523162590747588e-12,2.3665922160274843e-09,5.4271333474245565e-09,5.957174322031976e-10,4.666347919353375e-09,6.6691313075630436e-09,1.07074962677535e-09,8.969570884909383e-09,1.785296062124435e-08,6.115731689059891e-08,1.2009551173515654e-07,9.868795162109089e-08,7.201668573416858e-08,9.05150330814344e-07,3.2288032871506295e-07,6.524812449521626e-07,4.434765538545379e-09,3.2018676397043215e-09,3.1863198311093816e-09,1.2211971630540827e-06,1.1280718791734186e-06,2.7805733417319494e-06,7.480130078321899e-06,5.009267048859525e-06,4.22396649643645e-06,2.345059121783458e-05,2.72180923465593e-05,1.4566553240411964e-05,0.00010324628953167821,0.00014776877150946103,0.00010940436926962181,0.00041864246139431684,0.0014921080529641192,0.0005423043548743217,1.0132588375290057e-08,6.690350557310849e-09,1.3163577946229283e-09,4.192373201098491e-06,2.287493358707375e-06,1.1834127878817976e-06,2.1612586805374483e-05,8.184748963417103e-06,6.31696643187036e-06,1.6196055270703045e-05,6.10625248471661e-05,1.9203852231532295e-05,0.00031828771317635797,0.00011247751884152104,7.870017018204222e-05,0.001766233368880682,0.0009006740896463958,0.0003296766097120349,1.6922167997019072e-05,2.4888821754816713e-05,1.2151178172247217e-05,0.014513080884597015,0.010100740850798758,0.010626388241367657,0.04799054953385499,0.07941149141029122,0.06457691122653247,0.13684815774093143,0.20627306605661438,0.17654286484458592,0.7598969802503555,1.01554790369854,0.7187825780630528,3.8814212930833314,4.45743986350278,3.814341978558768,1.564604614628739e-05,2.1816562185586396e-05,1.4586549897896977e-05,0.012689586787937676,0.009544276653124656,0.009994977402945367,0.05184702947173129,0.06142429958088879,0.052807557100582665,0.16456053004690158,0.18112158506237197,0.1814352377485551,0.5263972041526884,0.6048003011828579,1.1730079286936006,4.9201106714259915,4.397875148193647,4.795959772717099
F1,Times4,4.8747466369800456e-12,1.1949528590935439e-09,2.043752948080897e-09,7.293341450044214e-10,4.114341618098837e-09,2.9904622944822015e-09,3.2140579294069996e-09,6.523823765774209e-08,1.7986609399958557e-08,3.4136226908675507e-08,1.6917347484076078e-07,3.0757336572913964e-08,1.0427473106118827e-07,4.06914918297767e-07,1.317282743118164e-06,4.1916331260770215e-07,2.08509691733495e-09,2.7916785872632487e-09,5.063158503440162e-09,1.480561074489326e-06,1.608633790925007e-06,1.4301922133345917e-06,4.479841857072174e-06,1.3567420605793532e-05,5.075945314706812e-06,1.8034643030246892e-05,9.406799456186873e-06,2.3810800059114113e-05,0.00022099985609485407,6.389836492093809e-05,0.00015949691361577447,0.00110349308596112,0.00010224591103208891,0.0010171690582584342,8.98393664160859e-09,1.0645202371086079e-08,5.7479540211994585e-09,4.100510604688378e-06,2.182236292067217e-06,3.327208432647506e-06,3.241276195392777e-05,1.3666134173124089e-05,7.924569426010483e-06,2.772566194807259e-05,2.7801337045930896e-05,1.8419724942910306e-05,0.0002502167307849396,0.0001235951968654979,6.759075117852797e-05,0.001719290075914794,0.0012198279248359218,0.0015457848110372618,2.1832077979149048e-05,2.186046407320313e-05,1.7193092185057462e-05,0.016489952288060845,0.015436455504910303,0.014611716384987653,0.06719864438116543,0.07942234837123646,0.06021909907217636,0.20339919763599879,0.1330645630068438,0.15673190256308442,0.7066307387164913,0.9159913276893555,0.6711886405642049,4.396973074566589,5.240597370872691,5.227272750509909,1.8776192118274507e-05,1.7782629636255104e-05,1.582488793972992e-05,0.011028634090560378,0.015233436498029222,0.010367851471480309,0.06938009225022504,0.06291566089315614,0.0609806020077109,0.16139353814057447,0.13347305426473682,0.16600375727584912,0.6542982026696319,0.5607873334261063,0.9332953681615921,5.301029064681356,5.128398495019952,5.847277259616364
F1,Times5,1.3455322554387683e-11,9.988040162352314e-10,1.1211690555319996e-09,1.1901606738286704e-09,7.892230242554384e-09,5.0904073755081255e-09,4.58119669918896e-09,4.8121659125144757e-08,6.6079919594936e-08,2.8171113989981646e-08,7.349985494972073e-08,5.0331636180228666e-08,1.1839812149362375e-07,4.456187764935285e-07,3.5086087111594154e-07,2.691801120980424e-07,1.226393684095219e-09,7.387979142392134e-09,1.4816793113755238e-09,2.466767077446975e-06,1.4507814297519287e-06,5.9589765383633e-07,6.8613566850412865e-06,8.14666468302106e-06,2.8560566515743913e-06,1.4351715516365479e-05,2.1692924236313735e-05,8.016603200295034e-06,7.677313469168943e-05,3.884475450383003e-05,4.043989292171327e-05,0.0012410947605476297,0.0014352641326252733,0.0003125186252738245,1.352206429018977e-08,5.301465800796278e-09,2.833374920796206e-09,4.880092856279472e-06,5.532654926673075e-06,1.987941250544805e-06,2.2988475811514843e-05,5.194385085221757e-05,6.024241254757231e-06,7.59003229482573e-06,2.8668903446675314e-05,3.518707196430653e-05,0.00023573280288225563,0.00011005985391717132,0.00011152030967573135,0.0007928197727773256,0.000790402087726154,0.00031848895942637734,1.7633442888031366e-05,2.0683066012274306e-05,1.975073671464566e-05,0.00995189329586724,0.01416160922212641,0.01646570036510422,0.09108509686909064,0.048916725009950986,0.06466556862715171,0.19266589713127336,0.18452980130012817,0.159555986457689,0.8295459831975559,0.8638765816146304,0.7532311977935456,5.33592810272225,4.56074297531117,6.391778439178405,1.8988177163941444e-05,1.524868020461716e-05,1.3299442655262135e-05,0.005279896265881538,0.008842671615017086,0.013616952388355084,0.07281382897219163,0.07139402839048078,0.041796782767351215,0.17455610400560856,0.10347893903401141,0.1417222890397497,0.6949369566624058,0.6613498668760336,0.6946860145847474,5.263787170558527,4.479037127442326,5.268185039038196
F1,Times6,1.5022165270625903e-12,1.4249369975902667e-09,6.690299523496309e-10,2.644438709631042e-09,3.1322806640710974e-08,3.3184667109866935e-08,6.463162166791806e-09,2.0012823552888364e-08,8.781600063050914e-09,3.086595181158959e-08,1.651002473280069e-07,5.0970173576885154e-08,6.123737788220445e-08,5.783689927704084e-07,6.73455149911989e-07,4.350777949482294e-07,1.0303160421768313e-08,2.9393325144478583e-09,6.824949920560131e-09,1.044732399847493e-06,1.6508036672473626e-06,1.3083807032074536e-06,6.969688699614885e-06,9.872797433350026e-06,8.65540303244003e-06,8.203160782807797e-06,2.1861069914823903e-05,1.6771834899894743e-05,0.0002547929868741521,0.0001819386730990826,7.47938579149118e-05,0.0014259636912579646,0.0004365837213758179,0.0005265467831028251,1.2782006862982239e-08,6.442626573282889e-09,9.219649721926475e-09,5.181081305266246e-06,3.44157744127946e-06,3.0303563384150877e-06,1.6819668406167054e-05,1.0864387657883838e-05,1.2027733629499369e-05,3.876134911773461e-05,7.460720366563838e-05,2.327879432450758e-05,0.00017214748061961926,0.00015790931915030235,0.00028907124927450627,0.002898786101862576,0.0020717888673245596,0.0006223816050198782,2.015288409870924e-05,1.8361906233113117e-05,2.5420855125211303e-05,0.010780775939437194,0.013030458578086877,0.009672760212538527,0.0614408912903351,0.05795129782556261,0.06278553915404213,0.18255969480443154,0.17266793786258988,0.20518391526708127,0.9314836730122714,0.9263299791245799,0.9222206640249093,4.251424723340463,6.022494858205719,6.01634992467197,1.7490464968017356e-05,1.8863721653137725e-05,1.2631787765619924e-05,0.013912196523526441,0.01380322428196277,0.006047927961558356,0.05996408907930273,0.06239027993441604,0.060122685058787505,0.17956248421562307,0.14860865686456026,0.19682316185501486,0.7803532270496872,0.8253495214049676,0.5278639393051198,6.498879686142095,5.147797861289363,3.624283254539867
F1,Times7,6.397130216789692e-13,9.8060457016704e-10,3.20694689499701e-09,1.9439240643476947e-09,4.3212650165037235e-09,5.78644828621975e-09,2.5284592582897065e-08,1.6598202608762168e-08,9.957308064450472e-09,2.7492552248978515e-08,3.4537357029212914e-08,7.899076877151256e-08,1.093418396600866e-07,1.781265430402656e-06,4.660407383321226e-07,3.713059722589786e-07,2.090226204122074e-09,5.578009861991753e-09,3.99684398962979e-09,5.19568589687823e-06,1.242506651754605e-06,1.124800715863657e-06,1.9386371492218657e-05,7.492326334609679e-06,2.631135677696584e-06,8.350501568574603e-05,3.518862515710257e-05,1.5211379292717736e-05,4.7025276462142795e-05,0.0001658070559596921,7.030895962998271e-05,0.0006919292221324601,0.0008139273840476179,0.00039905931203814554,1.158977306002357e-08,3.814801147926075e-09,3.107733769868432e-09,2.07385895220835e-06,3.288824359049916e-06,4.5812314929825935e-06,2.7140562209366146e-05,4.042023944280229e-05,2.3312086022594558e-05,3.02569411909395e-05,1.1597493036906672e-05,6.273841880314608e-06,0.0007441120851701542,8.645435771885272e-05,5.6292150237549244e-05,0.002278281691913305,0.00040949546542952414,0.0014707739710375014,2.1288320335222727e-05,2.0111856139150098e-05,2.4824725224536337e-05,0.013341520676539468,0.009233846576715958,0.009161797915783127,0.05713721570198808,0.08631623598600084,0.06026713123456468,0.14957878382492404,0.09828621679801572,0.13896682771803578,0.8938826262977639,0.6080111746707394,0.4459144770784537,4.030397489899986,5.799246317393915,6.385910277282359,2.5757273735208028e-05,1.2585716056940747e-05,9.61286355227121e-06,0.008682855586590769,0.013286892518535674,0.014008216904702327,0.07712212620961369,0.043538419365427884,0.039876877905920274,0.16762098812386744,0.13564064896234984,0.20301883705990287,0.8884688991912838,0.7774139697459557,0.6961271239285824,4.058598192142039,3.694498110181845,5.525524816092378
F1,Times8,1.2061710531123471e-12,1.4292284164228928e-09,1.102758201643596e-09,7.803242091345726e-10,1.1645022426271913e-08,3.887352799350004e-09,3.845130369643695e-09,1.9230487772395005e-08,1.703157917954939e-08,1.5865624330382035e-08,8.125687310712181e-08,2.822415813243001e-07,2.806582814347565e-07,4.430203030651255e-07,5.796246473830957e-07,5.585814208585056e-07,9.168996735095597e-09,2.6995188722788374e-09,4.27179141306433e-09,1.4262630213433332e-06,1.0040674542298654e-06,8.925545467356121e-07,4.261540902576383e-06,9.32067541346437e-06,6.154703476193241e-06,6.388732613586582e-05,1.5251775659144853e-05,1.0536278203348468e-05,0.00011564789272988929,6.971405519911259e-05,6.761731349061804e-05,0.002344267998734767,0.00041728809429186444,0.0002575099173934581,1.2235357243019812e-08,4.509491439553385e-09,1.7564028882613802e-09,1.3682128456622008e-06,2.4954629760610004e-06,2.325373809200465e-06,9.774781425825558e-06,8.579594853617245e-06,1.3309504844825647e-05,3.8850558586477605e-05,5.011087910924209e-05,5.5832240208547955e-05,0.00020178018629559363,6.927709308997709e-05,0.00014654466813561506,0.0024915303617037195,0.0010531684434704148,0.0006278363654062787,2.1198005319626744e-05,1.8140142483634895e-05,2.2779401646658596e-05,0.009604595796850447,0.011219410362368275,0.00924461141153774,0.04439565996302678,0.045844515766840066,0.04652247490892522,0.16389522038068094,0.14548433932825097,0.16378078750580113,0.8820232790848214,0.92629822235583,0.6866632389381508,5.618659502111175,5.181109399687272,5.382087451818672,1.953684574702635e-05,2.007678464634537e-05,2.5094378547214917e-05,0.011668800953591234,0.013342334429062536,0.011044604080273593,0.06718337387438082,0.05233126550914392,0.0284728279367013,0.09491065675939599,0.20997976336787863,0.1767994079636564,0.7792984475752857,0.92398144806186,0.5451406308874024,6.433610145126338,3.9948901594220176,6.255783674247773
F1,Times9,3.8003628757077615e-12,2.603704531412683e-09,1.307074914884008e-09,7.208753657105339e-10,2.011094780189205e-09,1.9117348810962198e-08,1.8043179663150008e-09,2.6571989429859048e-08,1.314780161103862e-08,2.4333779121994953e-08,1.4879288158242882e-07,6.819439862844034e-08,2.8929008085208914e-07,2.174119626680579e-06,5.275529758309112e-07,1.1408842146949677e-06,1.8470484868100072e-09,3.6169245403351962e-09,2.518825091317848e-09,2.5337192970507843e-06,1.0970456329424506e-06,8.874424710968759e-07,4.604362231673918e-06,7.2539949094238455e-06,4.768154550174374e-06,3.430762479001084e-05,1.2553400753457873e-05,1.7675873569888294e-05,8.75097969723422e-05,0.00014039314269680513,7.515511137615118e-05,0.0009069406823350484,0.0017034447355634514,0.00045414084170093466,3.0557610337444287e-09,6.21470367060917e-09,3.1644036487771246e-09,3.88923055171932e-06,6.462951908671614e-07,8.635977565631312e-07,6.243906481976789e-06,2.4895606121203593e-05,8.544417038173265e-06,1.9525302853005227e-05,8.55822338032687e-05,2.72166086801608e-05,0.0002214064559419477,0.0003294547299497069,0.00016699268160793275,0.002893236028273346,0.0006146723414769815,0.0010494339725466938,2.0263285147843135e-05,1.9083154192069577e-05,1.190965597206084e-05,0.01371495813762421,0.014123009751393578,0.012175362866290711,0.05076672389505476,0.056618677148548145,0.07088034231682563,0.19693208270997298,0.07991390243781822,0.10094989366930925,0.617011703698178,0.6671796229181637,0.8187531744224746,5.888008762283467,5.531159382227154,5.016606452765532,1.8955977744174304e-05,1.7175825833530728e-05,2.2059067720649296e-05,0.012964432519897416,0.014331332367273873,0.012150809722030058,0.07928495681477693,0.03385000564535564,0.05239185453774087,0.1633518039138771,0.17342912418599293,0.17460570455586052,0.754234569776485,0.5626427409566668,1.0224713450095906,4.475581108888212,4.628397378350533,6.265327441156522
F1,Times10,6.024368888047027e-12,2.1200209689191424e-09,1.105001162900735e-09,2.1308909353182826e-09,2.950114471154293e-09,4.804895518328503e-09,1.160204169247806e-08,1.8570660072271682e-08,3.0111593213125075e-08,2.5893502063968428e-08,1.5242717207944492e-07,5.4225451834122265e-08,3.762750078472243e-08,7.062364497413413e-07,1.8079092861017438e-06,2.7474558141924166e-07,9.497424674713283e-09,2.558252057351329e-09,3.2913866700856277e-09,1.1514344099076982e-06,1.1951771526304419e-06,8.133134721485065e-07,1.292251599398293e-05,4.751527183258335e-06,1.2248155010632475e-05,3.134274695719609e-05,1.0766969195872782e-05,6.6770272496870215e-06,0.00029765601629700393,8.932648321113048e-05,0.00019402661634751025,0.0013892310223177278,0.0008180362589168879,0.0010688504793893415,1.5686688481607095e-08,7.975190020494198e-09,2.3974487725356245e-09,1.5841822220590601e-06,1.4351470599744214e-06,4.864731644000917e-06,2.2855522791331236e-05,8.72635923151301e-06,3.793496417781192e-06,7.236352477228276e-05,5.9095401390787174e-05,8.860472879415287e-06,0.00026859725851492846,9.559847950838511e-05,0.00028138397505416974,0.0022373901901294817,0.0012323452573994953,0.002790989815767324,1.6187126208205243e-05,2.190350128278866e-05,2.0553895214851733e-05,0.011964403592066014,0.012152565282078854,0.014561796296432927,0.06189083578031544,0.06168181436137998,0.05245749062042065,0.18437010026964473,0.17966563792367543,0.1571672995602503,0.8194406224569734,0.677842124977254,1.0545990721004894,3.757908958334873,5.738994831371489,3.5861823552312213,1.3397123087840929e-05,2.2846903077433534e-05,1.8572585345515583e-05,0.008830669427970957,0.014378565824575846,0.010943004145513215,0.03702774706257738,0.03692494333570859,0.04015164191241209,0.18974862104618975,0.17733696771337956,0.12616104112506585,0.8543309315952304,0.7663779312032161,0.5718679506328769,4.558873242750083,4.886969415637119,3.029532235549187
