,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,1.3252054640221235e-08,2.006999705000304e-09,1.634570861245853e-09,8.875492332006248e-08,2.598559934248521e-07,2.2021996967800767e-07,1.1613991941387122e-05,1.0690825079999583e-07,6.066470817486439e-07,7.273817879917147e-06,3.3766941583890753e-06,2.9369251532230834e-09,6.332836405814394e-05,5.534814839158607e-07,1.8205478164469756e-05,0.0003366143459478185,4.2244576227061716e-05,0.0009649311185785062,2.3250565740799303e-10,2.7584668558178645e-09,1.6716911198058765e-09,4.4528865534819203e-07,2.5908016772658246e-07,1.659265472708727e-07,5.922841132897682e-06,3.492680960193436e-07,6.1236073484131955e-06,6.557306919023165e-06,3.837473892418807e-06,5.4471059357757e-05,7.288695997095857e-05,5.846604223359697e-07,0.00014334081023335496,0.0003469759193525292,0.0027890638677678494,2.2993902781016987e-05,9.918577252365675e-10,1.1203233813696486e-09,1.9921163660004315e-11,5.101486692553032e-07,4.611124484096084e-10,3.647861402172152e-07,9.927787438240158e-08,9.727428847395347e-07,1.6978680317470367e-06,2.41853175400922e-07,5.062608611966166e-08,2.4282229548952346e-06,2.955255100785807e-06,3.930374760883944e-06,4.478696452767192e-06,0.00020752828772302125,4.198548919822446e-05,0.00016620303799732989,8.57979043331099e-10,4.126125985434505e-10,3.4423048506563316e-10,7.631168359201068e-09,6.488031509744098e-08,5.976620774641055e-06,1.388382466662686e-06,1.8246279734214963e-07,7.739448580397011e-08,3.0548975655882272e-06,3.131218591889401e-05,1.1738906306894941e-05,2.3541187130472754e-07,1.7268806546875384e-05,1.554198542909158e-05,0.000108748041047619,6.164193820489244e-05,0.0002611322210280485,4.2754504573811693e-10,1.0099456116177671e-10,6.802387983649659e-11,9.331090368924667e-09,3.7458913436674076e-07,5.833600588271391e-10,1.1426113001763722e-06,4.437408303019318e-09,3.001120418844648e-06,1.4882108373573105e-06,7.3361752973904185e-06,5.304780214095809e-06,7.174698957228848e-07,1.0236192955680688e-06,2.0269387958074024e-05,2.4288374399636797e-05,3.1919885106425575e-05,0.00019877346510627114,5.446023405501729e-11,1.5040978649703992e-10,4.126369193121879e-11,4.991664873062759e-07,1.7646110427013595e-07,7.547136069149323e-10,4.966114370466781e-07,1.894352885688477e-06,4.5387953387335395e-07,5.739396145104432e-06
F3,Times2,1.0852519232189955e-08,7.669371018368437e-10,6.227715447846508e-11,1.1856269890341895e-06,3.901508361324955e-07,1.6230990628838214e-06,7.56643901423368e-06,2.2273564407113493e-06,4.374755887356023e-06,2.3293805087150126e-05,9.037965471470553e-06,2.822455172214055e-06,3.682282330922752e-05,3.743628178453953e-05,2.610388563882463e-06,3.9948827835838174e-05,0.0013099659752523844,0.0001163179084309773,5.508079064328728e-10,3.834851746012307e-09,5.724944803514692e-11,1.9557870503357683e-06,8.929705334532948e-13,1.0440059060401445e-07,1.1014755343438373e-06,1.255359565238986e-07,6.356327377391134e-11,1.1560437546181254e-06,1.9895325313478715e-06,4.369031938311176e-05,6.312337849682348e-06,2.1596495358186756e-05,0.00010423554380331316,0.0008647257549318114,0.0001527426877093945,0.00033624541532151605,1.563417237078601e-10,5.649826283784271e-10,7.174472908431104e-13,3.103100392072202e-09,2.3386141248220227e-07,1.3186904684626883e-06,1.1421438068237412e-06,1.1904970664492459e-07,1.8301531217844482e-07,3.336707147511384e-06,4.1284477144940326e-07,9.238232017260912e-06,3.946496776653576e-05,5.674865349227357e-06,2.156473065925755e-05,0.00010430050421515138,0.0004950525551036579,0.00010421770626200027,1.9559920179015734e-09,1.9238534467191503e-11,1.161903973627199e-12,5.724571228465623e-07,9.850210712828853e-08,3.0511795248191373e-08,1.5769022248663628e-06,1.4383118991669579e-08,1.303681625356925e-07,5.868232314414017e-06,1.160929482336632e-05,3.4586984773299927e-07,1.8087470496981695e-06,2.7355957084696414e-06,7.207473024078635e-06,0.0007596066662155204,0.0004164355850451997,0.00010103743356220109,1.9179028111568606e-09,3.362086466030293e-09,6.700806655738321e-11,2.3213626803666166e-08,5.173260711891871e-07,3.390872203130923e-08,8.642809339634988e-07,1.763419908497384e-06,5.46163641135087e-06,1.849916539990443e-06,1.2361802274879436e-06,2.6406127288917084e-08,3.7296649774016198e-06,1.8541515133054293e-05,9.996346777076947e-06,4.565318046628011e-05,6.183853040667491e-06,3.342007017361543e-05,2.558204273647911e-10,3.459105873670008e-10,4.77251519418273e-10,1.4669053829377526e-07,1.4362655555182133e-06,5.903570922407763e-08,1.370531436112271e-06,2.736823195355149e-09,6.094670984456816e-07,1.7557594970320728e-06
F3,Times3,2.2824876870716014e-10,1.9728749436683677e-08,6.210901192884317e-10,1.1722961067460179e-07,1.7329891056563496e-07,6.791102502908971e-07,2.360141074790206e-06,1.2204519518923588e-06,9.490848098305555e-07,1.5769776357538608e-05,6.524068116345894e-06,7.662714645060213e-05,0.00012172473436606456,2.9743071307108208e-05,5.886603331596257e-06,0.000289010488462244,0.00027905589430371914,0.00033900416132643415,6.120044850022873e-10,1.7065148371867008e-09,4.43223370875037e-11,6.108715100008968e-07,3.816952681935065e-06,4.508922678371234e-08,1.7958734648994922e-06,2.101295677731887e-05,3.0663798150644216e-06,1.1007240164976007e-05,1.7601324881873163e-05,1.9513690986600064e-06,3.9448533452473186e-05,7.391775997329153e-06,0.00013448772094418578,0.0010853538610573717,8.936464125494687e-06,0.0009591378885384017,1.6161931984316604e-09,2.4374130116169e-10,3.747391185798583e-10,7.941258837633048e-08,2.6952318894422205e-07,2.1608688816536543e-08,3.0404453272006815e-07,2.5460485105853665e-06,5.374158656299472e-06,4.189053864173886e-06,8.47934500758767e-06,3.414461266857327e-06,6.629305854611741e-05,1.64669910884565e-05,3.8082571061764125e-06,0.00012192857667062843,8.486499522149474e-06,1.9962075155524314e-05,2.6439067083760408e-11,1.8437927629675617e-09,6.779446698886589e-10,4.041186194930062e-07,1.336366095282434e-07,1.2484347475335371e-08,2.64955657938848e-06,1.3588400076046585e-06,7.545515515534571e-07,1.9100479905646127e-05,4.782990514788545e-06,2.1186308687090348e-05,3.3914872135460103e-06,2.618841877041035e-06,1.1440082562652338e-05,9.102618233972293e-06,8.068408425138603e-06,9.31342827332349e-05,1.7449153191596503e-10,6.577013540699883e-12,2.578904969409534e-10,2.3161337941877152e-07,7.163200446534334e-07,5.464068846705427e-09,3.5119571985626755e-06,4.302014849220638e-06,7.74405520503609e-08,8.664331446495211e-07,1.9068775614728027e-07,7.369853600171277e-06,2.3953213494681124e-05,2.0693169402849533e-05,9.548869468442128e-06,1.0024799192417842e-05,0.00025927108489082624,9.599347552606336e-05,3.317815457540626e-10,8.659615395641953e-10,2.8948994627954663e-10,3.448146583669571e-07,1.4310477801172492e-07,1.4510802911848215e-07,4.721454253329946e-06,7.434481874733719e-07,1.3985273120443513e-06,2.9075821410036565e-07
F3,Times4,3.328536824066671e-11,1.1031127149811303e-09,1.187630413688084e-09,1.6601783651679077e-06,5.635282711877878e-09,2.6490409064395537e-06,6.406359352486748e-06,1.9434890318918024e-07,6.949632928847572e-07,1.0012718505578758e-06,2.1277754506935513e-06,1.117307717599691e-05,0.0002943342147113828,0.0003342655704643273,2.3254095229488203e-05,0.0002168589636923413,0.0009267375986964164,5.3749475692775145e-05,5.778311468467838e-10,2.1062210431035302e-09,2.4738589831245156e-10,1.1461849261454428e-06,5.508771027098185e-07,3.993521679420631e-07,1.116564167372857e-05,2.1108589328297023e-06,4.993481723235625e-06,8.477743375785484e-06,1.7061296621928346e-06,4.82924637152035e-06,7.027491096041189e-05,3.881992815826245e-06,2.2366999067178096e-06,4.35085015993396e-06,0.0001887538275902531,0.0009255847552409044,2.0807596137754587e-10,3.359520508587852e-09,8.668171181077538e-11,5.032623237487414e-07,2.794230547767046e-07,4.906169682545177e-08,2.902075441063145e-07,1.0657307263818898e-06,1.162557898904088e-05,8.663907634873065e-06,3.5102501863837623e-06,2.821316086303172e-07,1.2504583556038934e-05,9.888614675350264e-06,1.4120354452626509e-06,8.951207417714898e-05,1.9069065594790372e-05,1.7238783543218313e-07,3.3051299158595774e-10,2.615429560151642e-10,2.8642993365272605e-12,1.406587149870579e-07,5.742003698096445e-07,7.299874566457217e-08,1.1321777400092454e-07,5.02471878315514e-07,2.3091888578472544e-06,7.287375441751812e-06,1.2773697121381623e-05,5.550121425937057e-07,1.4033200745967236e-05,1.3206611899216134e-06,3.3518668684121287e-06,5.414736273061339e-09,4.817491496618814e-06,1.1681982855506834e-05,1.2628116590748886e-10,1.468075372991682e-12,4.850766219222965e-10,4.2220061968544704e-07,1.9366040291314852e-08,2.1584316110436972e-07,3.306994612989546e-06,1.4032742979398472e-06,3.6704531199303513e-08,3.7037920290772018e-06,5.265178595341352e-06,6.514163236851666e-06,1.9511871052662457e-05,3.205620575075399e-06,8.600258068322502e-06,0.00028188093052909614,7.364775000676135e-05,5.810692424849458e-05,1.2983821446178495e-10,9.377098363272695e-11,3.1295827991229474e-09,1.4142690234067626e-07,1.5565407343393811e-06,2.0122464415702757e-06,2.423203173603531e-07,3.4863138799389585e-06,2.8971780771508233e-07,1.76287468169218e-07
F3,Times5,2.5540758822891597e-09,6.221679497476164e-09,6.175687523398228e-10,5.822960229233288e-07,8.083500786615031e-09,1.386477963453236e-07,6.417213948556074e-06,1.3165211972184812e-07,3.177422719510103e-08,1.262757965464444e-06,1.7268957824351542e-05,7.282175387839784e-06,7.14443049904647e-05,1.5074367758396198e-06,1.6304923998117828e-06,0.00022316168886611038,7.572001177160959e-05,0.0023539274225292677,5.8496780977855434e-09,1.7647473775590262e-09,3.1148551879430396e-09,3.316881539312071e-06,1.0528394984776557e-06,2.462119894214556e-06,3.2980605198038087e-06,2.5310533203426683e-06,6.029964754622433e-06,4.438264799195107e-06,2.0560359277994467e-05,1.2134542345834501e-05,3.062567644730051e-05,5.597830403284743e-05,0.00020346104392986446,0.0013922186485884785,0.0020737468543709876,0.0003641792793990119,1.5290680319774608e-09,3.522045187333149e-10,5.667678838658555e-10,1.3476954317128533e-07,2.7504714137978546e-07,3.757169773698817e-08,1.8118100966442062e-06,8.582273810575847e-08,3.476463476946853e-08,3.0322540460530647e-05,1.927965781799387e-05,6.2186262789908565e-06,1.6149397433383184e-05,7.195120313042793e-06,6.226440960564202e-05,0.0002303603730875901,9.584056302487064e-05,4.8517870871155615e-05,2.296223399644055e-09,2.687394401716616e-09,3.439733221972162e-11,2.024511584418199e-07,4.867760818495635e-07,2.8984177373590026e-08,4.2573181983632097e-07,1.0060032223723932e-05,7.067751837662022e-07,1.5266203434511701e-06,4.31718916365696e-06,1.3292789936298383e-06,0.00012980241728979768,7.5990834777331035e-06,7.999774345631679e-07,1.0757759764438898e-05,9.040794137949871e-06,0.0002480539269439788,5.588885198875476e-10,9.269063858553178e-11,1.9266383224038814e-09,1.1678304712601393e-07,8.83486868415684e-07,3.726212825207646e-08,3.502552657786498e-07,1.418630143698684e-07,9.962693910734733e-08,1.0680620172977401e-05,7.925887453427316e-07,2.6015556641452372e-06,2.5264194352853392e-05,6.5901309552501e-05,5.230192384472193e-06,0.0003625626420146249,4.019190795078764e-07,4.804971127483283e-05,1.5946014286905175e-11,2.66395963461278e-11,5.85474484090622e-11,5.355362199505968e-08,1.1118112605318847e-06,1.114130089240631e-06,1.488701512779602e-06,7.205077334153905e-08,1.510146220253918e-06,2.35122498727181e-06
F3,Times6,1.2243439488771793e-08,3.0092586244379572e-09,5.493648897632946e-10,4.7540672915626534e-07,5.1789922213733615e-06,2.6117367218010812e-08,1.2229954282668014e-05,4.7105062662925894e-06,5.470116008276713e-10,3.9712551818482485e-05,3.148998875275258e-07,1.9827315542997915e-05,0.0003192445053887584,0.00011076333105089194,0.0001802748284368764,0.0007961378842434293,0.00013089268163004401,0.0009301700893960812,1.5708247417432221e-09,1.2401133586920385e-09,4.1588302272660534e-10,4.1525859145474605e-06,4.1960746469971226e-07,2.6239610325693343e-07,2.383496262338868e-08,1.7498768677505637e-06,4.772183064592239e-06,6.039004906919508e-06,2.3585408432906062e-05,2.982781909344545e-06,6.04922999338178e-07,0.00023631111125105062,1.067914157762686e-05,1.5602819870512752e-05,0.00011082254484095271,6.166255370323193e-06,9.960188254260665e-10,5.0628843523074236e-12,2.2517564960389214e-09,4.058456873330522e-07,1.384101503276041e-06,1.7649182212859194e-07,5.1486983208570595e-06,5.657429992990348e-07,1.6081934806158927e-06,1.5467063747542773e-05,4.700767518154702e-07,1.4548430552749025e-07,8.522635162699991e-07,7.299876254034446e-05,1.4727028138084096e-09,3.8028957905431045e-05,0.00017997069179833468,6.083461043856225e-05,2.6016116495498956e-11,2.438007010911111e-10,1.2026472967307613e-09,2.676815114614142e-07,4.2100037421288337e-07,5.408742558957529e-08,3.5012134324982344e-07,1.2138675162609044e-07,5.486574719437238e-06,2.869171662123095e-07,1.6593786677433298e-06,3.901180785517128e-06,0.00015430054263016903,9.857026211695934e-07,1.2069467357035132e-06,7.133809971716224e-05,0.0007201951483641946,0.00021887061320685793,4.921518679779342e-10,6.246304707172032e-11,6.457706782423447e-10,3.9986751945606837e-07,1.869249849357263e-08,2.53408531902963e-07,3.1993542752607007e-06,2.284776241208121e-06,4.176821103160533e-06,1.9206148151521114e-06,9.905448480282424e-08,3.236378960882238e-06,4.6688603500399175e-05,9.769604852784108e-06,9.47337173810069e-06,0.0002026546051132413,2.685041280674641e-05,6.458843122512138e-05,3.893771752438978e-11,1.1525356096180267e-10,2.0333657839629357e-10,2.698354727473946e-06,5.471100977274359e-09,3.41682391316892e-07,2.631854097150199e-06,1.4214510500280787e-06,1.2690629194968551e-07,2.0221869041419244e-06
F3,Times7,5.299701816283638e-10,2.956896230648453e-09,1.9973909317611214e-10,7.032065394203142e-08,3.388327095534441e-07,1.0615261092273841e-07,8.901931290828637e-06,1.3559751577950384e-07,1.4571761590535319e-06,1.0757029075208768e-05,4.181285647433587e-05,3.4661842872232945e-07,2.7200206849190415e-05,2.9430204558641226e-05,4.432789578536683e-05,0.0012572147712671456,2.15955352513529e-05,0.0005745983367043958,2.9107304927143947e-09,2.941792933595824e-11,2.597904238044037e-09,7.523727530044736e-07,3.0160178162557895e-08,4.2725861831935645e-07,7.272807959914372e-06,2.3191623883026202e-05,2.666279810294728e-08,2.5437683628731678e-05,4.3250329824911475e-06,3.5263662606238565e-05,2.28323583617226e-06,8.30215327996188e-05,1.317588010558778e-06,0.0003284394424540161,1.185191344548263e-05,1.734054423861021e-05,3.817286113264387e-09,5.283129764490654e-10,5.633707997270779e-10,3.3403807023187625e-07,4.557378198414253e-08,6.305928172302929e-08,3.3451401083067362e-06,1.589137640743152e-05,3.642433459368752e-07,1.7223695444630893e-05,8.271947106896705e-06,3.7120887025391334e-06,1.148386382360543e-05,7.51214896017872e-06,2.57711789426977e-05,3.3915707009923057e-06,0.00013542863287817152,0.00021852752105695468,3.504247196147349e-10,2.9817289966094354e-10,6.096282775348514e-10,1.3884828524788197e-07,3.2152952167819953e-09,1.9209557756321833e-07,4.644981502964469e-06,2.631854430451247e-06,3.8610899874545964e-07,5.25487173419771e-06,6.241670321127681e-08,3.7573353102509216e-06,2.124041517918694e-05,1.2232564910213105e-05,3.226619652128513e-05,2.584552147694116e-05,4.430560309235377e-05,1.5925250985297704e-09,1.5181412485772517e-09,1.3809356749100393e-10,2.005889598511238e-09,5.372520095029626e-07,2.081207887220341e-07,1.0577307577252822e-07,3.164407126486634e-08,2.0871450396423736e-06,7.055293202296067e-07,9.842593046103275e-07,3.5596921831765386e-08,5.120916910041685e-06,3.894984895603561e-06,2.632078827568723e-05,1.1063114049705913e-06,7.859707549172086e-05,0.0001285294822751177,0.00014653184823656444,3.4478899252449423e-10,2.404665859034448e-09,1.7206568476264616e-09,5.355580559390503e-07,3.1005654037640624e-08,2.6426798540138675e-07,3.1207107931420397e-07,9.19373499074493e-07,9.67244410764455e-07,1.3998971849831733e-06
F3,Times8,1.8619383786633658e-09,1.0690076230190504e-10,6.717636746483659e-10,1.0033083834647088e-09,1.4587834749493606e-06,4.580841286093478e-06,7.016169108200325e-07,1.0000777269932849e-06,5.387608248427075e-08,1.64288285277755e-05,1.193977087296708e-05,6.398586360274597e-05,2.0678209256878428e-05,9.48813289696098e-06,0.00015230584149581225,0.0004560827188851428,2.5928618704726367e-05,9.756677305557502e-05,1.8334423702162714e-09,3.1057759579456443e-10,4.968465765253855e-11,1.2238196084145242e-06,4.326356979890127e-07,8.116324992854903e-07,5.4163618298257325e-06,2.022300366265997e-05,1.2839295213549802e-05,2.616191487279495e-07,1.8172827907455843e-05,6.99038707718805e-05,0.00011708370476259979,4.11553036839522e-07,7.913922169779229e-05,1.4168623329108617e-05,0.0005307877688315297,0.00013580872008143693,7.327939238588194e-10,3.8244979722482274e-10,1.7144764946668322e-10,5.006307655842947e-07,1.726255440220665e-06,5.35862673473059e-07,6.005089942725251e-06,1.9230161714468827e-06,1.8235503733531244e-09,1.1917039221046871e-06,4.171410490436566e-08,1.8818092575117817e-07,1.0414667670970842e-05,9.197652678426766e-05,6.463638558278816e-05,0.000555726166340408,0.0004942408332568478,0.00017347930426577226,1.0327669459502956e-10,4.08130514538464e-10,6.223456711488028e-10,1.5286467972733058e-07,6.357297433833288e-08,8.066454282538772e-09,2.6411184802174636e-06,4.568856320409623e-07,1.1239174935014655e-06,1.1590991750182648e-07,6.099145905804336e-06,5.935407964668822e-07,1.0211885900752468e-06,6.4706710648658e-08,7.394395249894644e-08,4.199996293543217e-05,0.0001618207150316585,0.00016466448157569904,2.193015070960658e-09,1.5166125287628843e-09,6.675393305795757e-10,1.005244850612849e-06,8.034170709618996e-08,3.1295784687566225e-08,3.8009536999386764e-08,4.343479025390961e-08,7.205204149301156e-08,7.437017057467384e-07,2.0292333094850526e-06,7.757197247657275e-06,5.061521137646975e-07,9.861949557325137e-06,6.34798258320339e-06,5.1995933132466885e-05,0.00011633474729224503,0.0002779175142874801,6.332384598245817e-10,4.813147439516189e-11,8.252842822121081e-10,2.923629893713268e-07,3.264749929090818e-07,2.6236504449558236e-07,2.783376977702826e-07,4.7012546566264224e-07,2.6799436157102722e-08,2.1998253241519315e-06
F3,Times9,4.173321612346896e-10,6.467799507990353e-10,5.152601921289796e-11,1.2306241730025433e-06,4.348424219300493e-08,2.648775669245688e-07,8.885106796226014e-07,1.500409581383891e-08,6.4011454323813055e-06,7.204541309046011e-07,1.2475531966350619e-05,7.861772132625161e-06,1.3946611400561288e-05,8.058693963868173e-06,2.0377738657582228e-05,0.00016332067069898076,0.00014201077315902173,1.170096025773453e-05,1.1242463793042052e-08,1.775551497458888e-10,1.9580802822218e-09,1.8451742351443295e-07,4.5300000055209445e-06,8.333706872761808e-08,4.075582588746415e-06,1.057311313403297e-06,3.1996404921257935e-06,3.42873210188423e-05,7.382954907009815e-05,2.2841611296294428e-07,2.931975566187589e-05,0.00020590877358930962,9.255121369068688e-07,0.00023684987729971263,0.00048018090926414756,4.437160258716416e-06,8.507740721097955e-10,4.037171323418827e-10,2.821446367892866e-10,1.2703196337830708e-08,1.9677201809619078e-08,7.453851210091481e-08,3.656292706573654e-06,1.3372205126347705e-06,8.028661685814814e-08,2.7978738897587687e-07,1.1856578619278042e-06,1.2996116889199727e-06,3.30301423687361e-05,8.746912636351171e-06,2.6559162456869955e-05,0.00016293231324187828,4.527053944611981e-05,4.6617495630521265e-06,1.3523822958677232e-09,5.556671424794941e-10,8.484909429962123e-10,1.629852274796138e-07,8.742684056609921e-10,3.3456987325517204e-07,2.0319102011351695e-06,3.225170089261695e-07,5.197051656837709e-06,7.937889590125512e-06,4.3616143677598094e-07,5.445817725510458e-06,2.3446664843142696e-05,1.0836087943096157e-05,2.293292627020257e-05,5.506243573752152e-05,7.229729855633394e-05,0.00010738742572402857,1.6615853279798441e-09,1.6741958675808956e-10,1.889489542539961e-10,2.267800759660954e-08,3.103037816916355e-07,2.068389078443563e-08,3.1039028646033156e-06,1.0050458653652158e-06,1.3606773330840642e-06,6.66959444593724e-06,2.874039178728483e-07,4.99833994406821e-07,1.8759552057923922e-05,9.90458006214963e-05,4.616355197614356e-06,0.00015066803183187588,9.655433605605366e-05,7.462651136905856e-07,5.693403140489812e-10,2.0099117555176494e-09,4.0182030417440517e-10,4.0527990743663513e-07,4.165575053146934e-07,2.657200716669059e-07,1.00079936300873e-06,1.7295754597926016e-08,9.986827889422357e-08,2.0291363113651475e-05
F3,Times10,1.197872956428376e-10,4.7206923332855535e-09,1.0707427628638612e-10,2.199987889593041e-07,7.808094205302833e-07,1.936773498234998e-06,4.655401931873571e-07,9.344520700884212e-07,9.80558811245938e-06,1.0014299651582763e-05,1.0445309455107222e-08,4.414503206109861e-06,1.0621093062821723e-05,9.363603968184645e-07,3.23333797866656e-07,1.7640484417070856e-05,0.0004659440015967567,0.0008427361474346694,1.1922088502534754e-10,1.2527506815630595e-09,2.79344544572922e-09,6.997292743886081e-07,1.9323043572938632e-07,2.4646418784177064e-06,2.2638636162980656e-06,7.910527721611864e-07,1.200668219537516e-05,2.2748317931084554e-07,3.004222863148588e-06,8.860156193225344e-06,6.0551188819517906e-05,0.00013766753372957883,6.703165204898374e-06,0.0004168700940372219,0.002033484483518596,0.0006721795400057735,4.617221852819985e-09,1.6415218506135715e-09,3.526130746230399e-10,2.724881407700573e-07,1.1524698002951214e-10,2.2956280159570507e-09,1.6431362166111545e-06,1.1658046734665247e-07,1.896063965627995e-06,1.6421390022201842e-06,9.4274962362727e-06,2.464143888226838e-06,1.0291211030281003e-05,5.667856802163919e-08,6.608766060161375e-08,4.955623180004026e-05,7.48881061531999e-06,3.969495062997601e-06,3.1671287884190624e-09,5.12502245119619e-10,3.213098856019447e-10,1.101689538408817e-06,2.1542681827845667e-07,2.5618986282447217e-08,1.2040354369322597e-06,3.8687795509401634e-07,4.958621725282329e-08,6.4213022269139884e-06,5.365668034275181e-07,4.354004232905657e-06,2.7475169781098445e-05,4.647452661963066e-05,9.350940558474621e-06,0.0008166930666498292,0.00026894778926799315,0.00033532162972852553,8.628137778778723e-11,7.842930376620701e-10,2.0972614217468593e-10,5.068683286519416e-07,2.0472271613648587e-09,9.018206266573572e-09,7.634328753978657e-07,1.521794715651579e-07,5.781734286549564e-07,9.596349000035258e-06,6.7045242395361e-07,7.930845929445487e-06,1.2170404906691262e-05,1.2279964737741708e-05,5.0628851286135537e-08,0.0002647565708787457,0.0001787558227707949,0.00014829297180351183,1.805871601802619e-09,1.261351721909633e-10,1.0983109125971635e-09,2.279181392541624e-07,3.484611336040386e-07,1.9440676461673596e-07,3.589187261502837e-07,4.528277592964305e-08,2.818316210676932e-06,1.1869018709418781e-05
