,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,1.9206776970309414e-08,3066.2906721545496,2.13903858535704e-08,2.435649089597495e-06,2.775214875670146e-06,2.2657809746634388e-06,4.570217231303209e-05,2.3645698487284987e-05,2.9054438391883067e-05,8.538333015298606e-05,1.9792094779688807e-05,6.811822406114052e-05,0.00026034382815441317,0.0001483335827604122,0.0002554030861462944,0.0022159060849368723,0.0034695399332108274,0.001423027778614237,1.0887119073029712e-08,4.8911242636223604e-08,2.745498917540389e-09,2.125633315768645e-06,3.6521330777471358e-06,2.2488501373853827e-06,1.5766431224007584e-05,1.2571264892226017e-05,7.040990891798079e-05,0.0001343335828434787,4.2004951358794985e-05,4.174259530802375e-05,0.0004890840795220685,0.000596210207591562,0.000227660174903933,0.0038163790210813666,0.002462974384835523,0.003500473741833802,4.033979334192126e-09,3.0973211936432504e-09,2.3886893124199545e-09,2.1350406525291974e-06,3.6713360732674085e-06,5.839893945373465e-07,8.670415334177105e-06,8.286021147402155e-06,7.515483211310237e-06,1.7177267260936748e-05,2.8918157089869467e-05,1.1375233023338483e-05,0.0001222653678974584,0.0002319944403401815,5.7938271045198404e-05,0.000736536540893994,0.0005143248601709477,0.0011584503541267894,8.116080849733193e-09,1.9961562847686237e-09,1.4378170146075991e-09,1.4538452748471059e-06,4.521037414262879e-06,1.3460778538882033e-06,1.1078008802251033e-05,2.7791614754908443e-06,2.084620711562386e-06,3.347596271186095e-05,1.9455666089457038e-05,0.00010420504065852178,0.000258819523412754,0.00022828148273798928,8.108522450115413e-05,0.0010107328551938186,0.0006640531564509812,0.0007022922984241579,6.3037930814931275e-09,3.6620340169856576e-09,2.306542183239299e-09,1.3367785663619442e-06,1.254202166667682e-06,1.6507349826368326e-06,7.266094132048574e-06,4.007507907102402e-06,2.2759380275710335e-05,3.4002275462373835e-05,5.152093368054381e-06,5.5572158119116995e-06,3.9056684153920785e-05,0.00017569664032798484,8.278377154926175e-05,0.0005128395876390361,0.004768624516946774,0.00044267312087470357,4.643820924594608e-09,2.586593074521671e-09,3.391374435953477e-09,1.8292614184075768e-06,4.3937037750771916e-07,7.075853550221206e-07,1.3440431741808013e-05,5.694017055569634e-06,7.230254747899232e-06,1.8113762101074424e-05
F3,Times2,4.562437152615644e-08,8.905545449162894e-09,1.4349916534992381e-08,9.9190416743261e-06,1.8210049607071455e-05,4.539793784828804e-06,2.268305281861467e-05,1.4663560689102277e-05,3.398335613751344e-05,8.769620172083079e-05,0.00016508057545626346,2.4892022671245833e-05,9.980749648460381e-05,0.0007919699911454894,0.00012636006017969218,0.0012231825763751182,0.0015794055993597275,0.0031051772366534965,1.216131510586182e-08,2.2771560652587153e-08,5.754088348913891e-09,7.143374297617682e-06,4.298366855343719e-06,1.19849647748674e-05,1.2195049877514905e-05,3.889927955117382e-05,2.5101952119038283e-05,9.7373951793825e-05,9.721236818762549e-05,8.83079358057591e-05,0.0004881991588248524,0.00033469163342934936,0.0008131191072378028,0.000987459413001045,0.0016268181597524707,0.0011651790677126921,3.88374210307501e-09,2.0045465081387142e-08,3.8588818700199235e-09,6.392152469673804e-07,5.939212977922031e-07,9.16296692920104e-06,7.201187703384349e-06,7.973871295008342e-06,1.2109410066009127e-05,2.0357700104830285e-05,2.0548319333426896e-05,9.367609392553888e-06,0.00017752375129410612,0.00010441210919506978,7.253545529874776e-05,0.0008989666036564822,0.0008710143219404148,0.002057415404053633,5.274841970481879e-09,2.326428295116177e-09,1.0578696030901938e-09,3.227788533524922e-06,3.0145695654683045e-06,2.482780590109786e-06,8.730031984323435e-06,1.4936849436065314e-05,3.497250514693626e-06,6.153133758291453e-05,3.7500610880563375e-05,7.782999285328266e-05,5.818988857798236e-05,9.456912414901993e-05,6.055504810758309e-05,0.0024314478600771026,0.0004967112917792295,0.0011170636789742934,3.76976347802524e-09,3.739430639152039e-09,2.9458069314113516e-09,1.504707242076164e-06,1.5891542570604963e-06,1.6714513902973834e-06,6.022108460253103e-06,3.171205699444727e-06,1.973562000305613e-05,1.806121791455958e-05,1.1808604488425574e-05,1.2983954494200667e-05,0.0001611589046149673,0.00012821533833367552,0.00010002279693285548,0.0007351990144828509,0.0008566056350917036,0.00018657490897882722,2.7461530158641762e-09,4.285625652542512e-09,1.0952001185748047e-08,1.8642274004963676e-06,7.681959329076888e-07,1.5927980320777295e-06,7.586711190690108e-06,8.428340547070262e-06,4.6789612267996925e-06,3.2924113987941304e-05
F3,Times3,7.217632015574728e-08,1.13976359374362e-08,5.579340597045091e-08,2.7668195804468597e-06,2.1311110624390827e-06,1.629064763845058e-06,1.5361039207059224e-05,4.215128015056469e-05,1.6187326933654156e-05,7.724905471275198e-05,1.2641499586513502e-05,0.00011112128695431159,0.0003177551867739176,0.0005538210145293952,0.0008387155490471342,0.0023380816209189114,0.0009678618388617667,0.0007584777237139995,2.9114299091501645e-08,4.70431074694875e-09,2.4839560488853926e-08,4.897929346004041e-06,2.6804048134293963e-06,6.990445772536919e-06,1.3337512762963845e-05,2.4023902675209682e-05,4.212289365220077e-05,6.201576465074018e-05,6.786586413212529e-05,2.3712779518415308e-05,0.00013370620391147853,0.0009042442731610835,0.0005102580661254687,0.002143869658166221,0.0018110074083146658,0.0008899418099377845,1.5457102333142274e-09,1.0807110171720573e-08,6.85329247909751e-09,8.932978841010284e-07,2.6254878069845273e-06,2.637253089764503e-06,1.2962189482619633e-05,3.5620989364097337e-06,1.7647504613569567e-05,6.73370273869262e-06,4.249254354945447e-06,5.646072532042589e-06,0.00018023266581108222,8.077805167055379e-05,0.00011529068105157655,0.0005764476493833673,0.0004951905235512508,0.0004358506327721333,2.0812383447259014e-09,4.294317135489773e-09,9.338876592994183e-09,1.5189696814911015e-06,1.8296515779076556e-06,1.8236899726680446e-06,1.1813560753870553e-05,5.3027302256832734e-06,1.1927569730160784e-05,8.797075910873475e-05,3.097649713778776e-05,2.183200714828231e-05,0.00012052713657285838,4.848071392958125e-05,9.62738755740685e-05,0.001957096630372046,0.0006010520017198859,0.0006515994206829813,1.718716439304836e-08,6.6851738889605625e-09,3.839028853617519e-09,2.215764550187221e-06,2.7543752017611874e-06,1.5180240670014457e-06,2.358016594030076e-05,8.183059015137857e-06,2.9042328052988794e-06,2.4006616891435538e-05,5.197928913902811e-05,4.8178935189985766e-05,0.00023451394154265078,0.00018671760365952285,0.00020632697177765263,0.00027352064606339893,0.00041686755933033803,0.000571401098449752,4.256606207948704e-09,3.938570843877753e-09,1.6470324888824434e-09,1.457522837512597e-06,4.4040455050501536e-06,3.0464701873929817e-06,1.656900777061975e-05,3.809241963986112e-06,1.1594756671992787e-05,3.437880187612594e-05
F3,Times4,1.8709247820601127e-08,1.6081511749756684e-08,1.1318916715251414e-08,1.9939747558650607e-06,3.844035082880169e-06,8.894917259963822e-06,6.217665279537966e-06,1.356606051968225e-05,4.76206243125803e-06,3.490170964036027e-05,3.201769834720068e-05,0.00014533572908755584,0.0004404504642478047,0.0004146625858256936,0.0004211101637563371,0.002274343853984396,0.0019390345276003337,0.0018911447015613468,1.6863505621071728e-07,2.2046807669180424e-08,1.2814744493429189e-08,6.6123808792601266e-06,3.740253375160432e-06,1.2254999759058344e-06,2.5674002428335448e-05,7.116229632146235e-06,2.225524861379976e-05,6.412989512494801e-05,1.9814752412603756e-05,8.495259664512306e-05,0.00018130732347294588,0.00025056276788948227,0.0009317283627594209,0.0011557175262758776,0.0018006870915806537,0.0012042712595831291,1.0966314363309016e-08,3.5929897644724988e-09,2.645293550082675e-09,4.045748717181785e-06,2.077529263365943e-06,1.7329279653045122e-06,1.3768372779634524e-05,1.0841107862681352e-05,1.286527539063363e-05,2.0162727906965658e-05,5.231721791544747e-05,2.0523136555095732e-05,4.7931411688643644e-05,0.0002571576790227134,0.00010876799105167406,0.002030567022479045,0.0007431614074822416,0.001665254321710997,1.2863726046825176e-09,3.32429015379286e-09,2.636481101974502e-09,6.021111763439194e-06,1.3966695937201479e-06,2.0886789279420975e-06,1.1814239600607603e-05,1.2505845099730482e-05,2.306690900925699e-06,4.251647071300661e-05,2.921911576946548e-05,2.9027496538943322e-05,0.00023830708087832912,6.432388903622546e-05,0.0003473061977618214,0.0005533204059640411,0.00046442265997685754,0.00017790879516669928,5.954063509633665e-09,9.350734550212555e-09,4.95621142122785e-09,1.867814424972135e-06,6.359782450355331e-07,7.080209140708221e-07,2.902592832857539e-06,7.420847188270045e-06,8.125812835191825e-06,4.597342135064703e-05,3.2287388653672983e-05,2.93041697138606e-05,0.00012983286477085413,0.00011666265749405264,9.335662886698348e-05,0.0005193697122836563,0.00023127967163892385,0.0006152827270015602,2.767341885145303e-09,2.7944069001591457e-09,8.454509545845196e-09,7.403702312716777e-07,1.104196200016144e-06,2.5428390362655014e-06,1.8455491421634559e-06,8.543963552732866e-06,5.386467139994008e-06,2.483313847547045e-05
F3,Times5,1.3706618293688973e-08,4.334573792643445e-09,3.358708465409781e-08,2.338356331820677e-06,6.272206815805899e-06,1.531810429315961e-05,2.4898006707545077e-05,2.824966038907773e-05,3.956332113625299e-05,9.883629235655613e-05,9.431236206434053e-05,0.00013897623795110033,0.00046844405349830885,0.0004694027219725333,0.0013397904640045854,0.0011653194368890982,0.000758896690951571,0.00182307866901845,2.2076854408900476e-08,1.163894113918717e-08,9.645016290411893e-09,1.679367278504671e-05,5.454300891306047e-06,1.3252930277176462e-05,3.7141326478845954e-05,2.1837331141902108e-05,1.8525956032788257e-05,8.021637394723335e-05,5.348717724446191e-05,0.0001702630835031816,0.00044928044814052993,0.0004647155209283892,0.0005965072735783616,0.004919199682928643,0.0009868907743016096,0.0014658419824788006,3.5832917818015204e-09,2.194715497909672e-09,4.858247689491276e-09,2.442908401803974e-06,3.235690326266506e-06,5.452328400695284e-07,6.474820164002615e-06,2.0403881706626615e-05,2.0414127596078768e-05,4.3004898393621455e-05,6.562217223651875e-06,2.7745371160555455e-05,0.00010945395466612797,0.00015934437569404227,0.00020508407794479162,0.00030259609995023513,0.000753160653629846,0.0007955089974086171,1.5584105766763267e-08,3.5250355092144015e-09,2.449267543808292e-09,5.937179707580812e-06,5.462775203915403e-07,2.0214021444035464e-06,1.1068284831773503e-05,2.72770125783232e-05,1.4346725731010663e-05,2.51286392777424e-05,1.9081875414455155e-05,5.6155935441962294e-05,3.2612194840538674e-05,6.438710789226822e-05,3.72240163150848e-05,0.0003584750039859366,0.000602670530449735,0.0004038835304938023,4.105377079843753e-09,3.7798558081401174e-09,6.521425925247678e-09,1.0336527313193307e-06,2.6676250384770825e-06,3.392843547302972e-06,6.14211587559258e-06,1.1105101846641305e-05,4.113795715575996e-06,1.548022937777196e-05,4.0287811955599126e-05,2.0073084195771922e-05,0.00027931669085136244,0.00012648785513232923,0.00010126421090483842,0.00032885187597726876,0.000697898696225219,0.00038958630505628566,2.5098447034766384e-09,8.425589661854434e-09,3.5929200365675146e-09,1.4640327810269806e-06,5.653705510796115e-07,2.7724577716619723e-06,1.663370322814374e-05,7.312761631421511e-06,9.338012073795293e-06,6.5421351685255874e-06
F3,Times6,4.273415998044359e-08,8.25078447068156e-09,1.1390834842462972e-08,2.7913793717671322e-06,5.466423871624699e-06,4.125188488184992e-06,4.780666565392755e-05,5.7254159306047504e-06,2.770106372352997e-05,3.4713451932715797e-05,0.0001320956272541178,5.968158262369572e-05,0.00031491116421153675,0.0001147282911170592,0.0006363678173096596,0.0014098485600380973,0.0014450872017440464,0.0031157820714224687,1.4726058691181288e-08,8.486550495331832e-09,1.6853563500914542e-08,5.444480874275226e-06,7.609719503271632e-06,2.301538330982644e-06,1.90065474074724e-05,4.501559403475709e-05,2.4435270310083425e-05,2.909577313914868e-05,0.00010795165893647371,2.83513491936712e-05,0.00047406787409363894,0.0008658351406237702,1.7422069206921434e-05,0.001375024675141483,0.001883990121185761,0.0034980939071631596,8.89821084712454e-09,3.4491726794820624e-09,3.023960297785131e-09,1.164292033926654e-06,1.5593801470273652e-06,6.516160280255742e-07,3.2546729050308725e-06,4.17104039959862e-06,5.290083182826709e-06,2.0692060147644282e-05,4.274846135974232e-05,4.50503061410269e-05,2.9125532816170656e-05,0.00031063286298353265,0.0001306363526268508,0.0009193558371668443,0.00025242154452618387,0.0020055007610836023,7.22599094531699e-09,2.4534768233586155e-09,4.470137222944865e-09,3.0314907489160102e-06,8.737428593950307e-07,1.9529705058185915e-06,1.851752265277417e-05,1.4074826512573803e-05,3.6552164207929655e-05,2.1298608991159098e-05,2.524059167674557e-05,8.574285974647925e-06,8.662712928888782e-05,0.00023877958096067884,0.0002638659567442556,0.0013041148074857617,0.0006395353185475812,0.0013640678749778086,6.86313852294822e-09,1.7398679532154058e-09,1.5030526736871687e-09,3.027359752355641e-06,5.549503675357689e-06,2.6162178832099035e-06,1.2322847409738875e-05,1.047689064861668e-05,1.0628228050688494e-05,2.7718010044724036e-05,3.6735507559086424e-06,1.4979142990873777e-05,4.7066904779688874e-05,9.0851896871307e-05,8.368377479635287e-05,0.0012075916961095678,0.001047936181232965,0.0006021377021846492,1.0219773523237698e-08,1.1695853617433727e-08,1.724680430176177e-09,9.075729589024211e-07,3.578925829961097e-07,7.010285950301566e-07,3.0259048966131825e-06,3.5472166949335475e-06,2.698124880251532e-06,1.3056616144350003e-05
F3,Times7,2.4066708410546456e-08,2.6681813693107017e-08,2.914845956911705e-08,6.6507670802099675e-06,1.5645881800000137e-06,4.113946932297479e-06,3.47289653032851e-05,9.139247498670104e-05,5.388807353579167e-05,8.738655629619649e-05,4.768746155711758e-05,0.00013428583801620248,9.62371868645232e-05,0.00014160519801406087,0.00010879805814156246,0.0035000182778086994,0.001320790371858568,0.0018776068724835695,6.082956821064765e-08,4.522844366282447e-08,1.3694077307659555e-08,7.45301322224382e-06,7.150942425010046e-06,7.307369336048598e-06,3.54469670732133e-05,5.3376595571712334e-05,3.275764460606993e-05,2.0077151179685884e-05,5.9211234969862983e-05,8.947828221048462e-05,0.0002973374437501622,0.00037291806212028724,0.0004710428030566145,0.001368123348244835,0.0010747306855981463,0.0020562677488095314,0.0777254329772248,7.75855402033877e-09,7.763108919383933e-09,2.45158328312548e-06,3.7816376499051115e-06,6.063703612520358e-07,1.8581714749637264e-05,1.228563280976499e-05,2.024338875905548e-05,1.616413722310098e-05,2.4447116371025973e-05,3.2048398920836355e-05,0.0001173576706337267,0.0001114961458374328,0.00020361401449481948,0.0006980289325591663,0.002835137425004414,0.0023205868002480995,1.9482078315047956e-08,6.976591128150358e-09,7.847685920185817e-09,5.466586108345098e-07,1.5938016093269982e-06,1.0606224570310136e-06,1.5684834856801723e-05,7.060773632517984e-06,1.0123546983241584e-05,1.2184178917705913e-05,1.6569065680261885e-05,3.721615424246318e-05,6.637203329534757e-05,2.363700054624759e-05,7.373483772725215e-05,0.00018639477167129676,0.0020442618303245013,0.0029860911004440183,3.2920052299786423e-09,3.3616223003519634e-09,3.079653879907355e-09,1.1030799796356323e-06,1.0854043728577384e-06,2.683257326439422e-06,2.5297747500278708e-05,6.46530800098428e-06,9.616896564385258e-06,3.8156435196154537e-05,2.1019658477863222e-05,1.9672687129374762e-05,4.311410490228098e-05,0.00015121991593290018,0.00022161179828984322,0.0006532928435399912,0.0009287848768670627,0.00022875008236317865,1.2065766846413442e-08,4.42826042659224e-09,3.171222401658036e-09,4.1023786433871416e-07,1.3699391666924357e-06,8.052941175143367e-07,1.6317078558131345e-06,1.4241964792566066e-05,8.560103247028775e-06,3.641889001750282e-05
F3,Times8,6.639158524871574e-09,3.66385277596813e-08,8.75498046070783e-09,6.023133085812775e-06,7.204928931077369e-06,7.776458688628927e-06,1.1143666703776428e-05,2.1973880885590038e-05,3.0106208490606526e-05,0.00010388477992394392,3.7380952482630654e-05,2.8599409953897918e-05,0.00025377534868426254,0.0003354065468669063,0.00022441663172998003,0.008487395576551785,0.004811477266572418,0.0036401773549721694,7.993060089166604e-09,1.7695893897278966e-08,1.976175387757986e-08,2.825850665115183e-06,1.1427581772758427e-06,3.7062684442011164e-06,3.509919300876126e-05,3.2083506781897776e-05,4.0671875300081524e-05,0.00010635731820178743,0.0002366692896906513,3.823385445103914e-05,0.0010274877702978998,0.0009891238319466211,0.00011331091243840669,0.004072370480971618,0.0010970749838190524,0.002746886224311307,3.4786173690942263e-09,7.439687023576089e-09,1.3480911213471946e-09,2.259400988414332e-06,1.1195845707886203e-06,4.376703812604729e-07,5.152566409012827e-06,1.4806739421215178e-05,3.451081773021897e-06,3.7210116958597454e-05,1.3956911789999919e-05,6.20583815445781e-05,0.0001336695439737553,6.342843399287854e-05,0.00012112240634420043,0.0005120151822867284,0.000268057834983224,0.0003144439898135717,9.376245854356566e-09,6.865758503604627e-09,2.5286004164471223e-09,3.4835494385959844e-06,2.7282405168130496e-06,1.4513923220048803e-06,5.075803461028929e-06,7.246655025416519e-06,1.0560485147011322e-05,6.51776469710713e-05,1.603461807321771e-05,1.9617330260716438e-05,6.888491921217645e-05,9.751442246940609e-05,0.00011839674445835265,0.0003794935530832283,0.00023005398191797252,0.0011239894781054542,1.483368804136224e-09,3.957746363620261e-09,3.2929176970039187e-09,1.4338049213437237e-06,9.224376096396885e-07,2.0903332010307276e-06,4.9917773076734295e-06,3.5225208240931964e-06,6.381282345418057e-06,3.5238139741141395e-06,1.8176139336513146e-05,9.372463584194452e-06,0.00021867694840624439,4.916755759346103e-05,5.616237118852557e-05,0.0001791028847741322,0.0016747862593862815,0.0013843169668030031,2.9631765003783857e-09,7.525455632261967e-10,7.570001918070735e-09,3.8046495255773633e-07,2.364542873082549e-06,4.749789341338028e-06,5.063661842415326e-06,1.2503611581317812e-06,4.303746119668318e-06,1.6640613383659894e-05
F3,Times9,1498.5622566993552,9.326422089267336e-09,2.198982519546836e-07,1.1684274630814589e-05,4.776767387911583e-06,3.7166353387247144e-06,4.394881231272507e-06,2.153685156520198e-05,7.407397329526735e-05,9.516884444388959e-05,0.00010667070862896586,4.6051389392163855e-05,0.0006940088297713099,0.00037647927677177616,0.0004170219592297775,0.0030969069410871487,0.0005942175774865639,0.0021426481613068815,2.4900580295489756e-07,8.751862220987677e-09,6.564852885249106e-09,4.134097502156306e-06,3.0578135890237553e-06,2.6009701144862464e-06,7.532752910889882e-06,2.5760494703622465e-05,1.614203402228405e-05,0.00010692880514977116,2.1743120894269122e-05,5.9724392032079006e-05,0.00041118279539173404,0.0002419236447078479,0.0004987469400834286,0.004614441345201546,0.0013824850346892312,0.0006592434280190364,4.933739713408316e-09,7.111150727131039e-09,3.9807618583185604e-09,2.3584781656237867e-06,3.080264070512033e-06,2.243794559252127e-06,9.636716876123886e-06,1.4705541476617108e-06,1.198267465352938e-05,5.139371332128651e-06,7.61789166197376e-06,1.2656092631090348e-05,0.00011718405222657745,0.0003321866715398027,0.000215675078024319,0.0007197782736006379,0.0012461630285015828,0.0005187977499244452,5.0853295821094785e-09,1.7574848375267048e-09,3.922589787341046e-09,1.7111380639094655e-06,1.171916361670989e-06,1.309089106746342e-06,1.8269166011032362e-05,5.362566389088435e-06,1.2913583354438543e-05,3.568470746123774e-05,3.727275500141831e-05,3.700329062062854e-05,6.705045661371918e-05,4.946794260126764e-05,0.0003002851255851847,0.0005165618727048374,0.0015617052623685427,0.000719476306916361,4.327217377988423e-09,5.502219180102107e-09,1.119675264475689e-08,4.179433019716735e-06,2.474752166859666e-06,1.3676402138888663e-06,1.64070032258658e-05,4.953179439405319e-06,1.5257139418802785e-06,5.84751060397273e-06,1.80027857174594e-05,2.7440901178628416e-05,9.911226102571214e-05,6.77311975560819e-05,3.47853424060564e-05,0.0001772135517447872,0.00040033711367370485,0.0011000043627740507,2.837743387601029e-09,3.4556200216120975e-09,5.073310113684413e-09,2.5538280240266604e-06,1.4331211695625746e-06,1.3297010347226905e-06,5.98870423002712e-06,2.345514967192838e-06,8.526481585242453e-06,4.254766573791809e-05
F3,Times10,6.454419752575974e-08,4573.332534342042,3.816415473586201e-08,2.9426758487375606e-06,5.8606676776954446e-06,8.465807069748329e-06,4.4836670098691165e-05,1.3947567353481094e-05,1.54171814342961e-05,0.00011383428791443954,7.106781482156888e-05,4.401540936721798e-05,0.0003007426692025856,0.00021306687893551037,0.0005421091238198115,0.0013756626836886117,0.0006880720359983835,0.0006533357430404279,1.6923639689419105e-08,5.135856799468577e-09,6.322463477638628e-08,5.01056424893196e-06,1.0429597184768981e-05,2.692813750702742e-05,5.464650731288602e-05,6.962613623891364e-06,1.136788475001237e-05,4.2410976291279505e-05,7.287517650952668e-05,0.0003240289155619126,0.0005001257636449045,0.0002109853747432324,0.00016934765797507284,0.00225388658106723,0.0009190254081536189,0.0017681223655468317,2.461040423189881e-08,3.6693327454702595e-09,2.680235560027252e-09,2.019527000024598e-06,2.814976354587851e-06,7.115666587375597e-07,1.0008656737221096e-05,7.516578388225551e-06,9.4035275092918e-06,5.0056294885494654e-05,2.02727682386885e-05,2.5679039286992302e-05,0.00010839059389682537,0.00015725658788720684,0.00012892867097598652,0.0009741214370173523,0.00020665125415728227,0.0005794150346021407,5.42627711715297e-09,1.1017218833053342e-08,1.7884574792553377e-09,1.5625633687004854e-06,1.7278916686803744e-06,2.9353280121886318e-06,1.1649966375179069e-05,1.4481933436940209e-05,1.1615123201604646e-05,1.6801456807651043e-05,1.7893889483364167e-05,6.682678478157348e-05,6.556355844317741e-05,3.946430616416155e-05,9.9099319280115e-05,0.000856883821066485,0.00019513105070101893,0.0005812003843602312,3.5649780131987437e-09,2.66202080620526e-09,5.917484037702411e-09,3.0713579413337883e-06,7.807022528348436e-07,2.469410491691237e-06,1.0330420313512408e-05,7.380010894048308e-06,8.874310003026997e-06,8.450552644143027e-06,6.344701956571721e-05,1.5161261187201817e-05,0.00026128561967362507,0.00015633337773270962,3.156726509001405e-05,0.0008926665015938403,0.0007416758551141708,0.00043227607717665,2.4196286249196574e-09,1.1209664155776508e-09,6.470782687480863e-09,9.431422047464242e-07,6.856905128261029e-07,1.4325311753833124e-06,4.009675114378775e-06,1.0839574646681e-05,3.1707979983302865e-06,2.157229517903596e-05
