Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,802.2175548196386,527.9002771842162,877.8324147531769,6.861085990143738e-07,1.303385644388846e-06,4.778407655750004e-07,4.47653207345334e-07,278.3005619853017,104.6528100740488,2813.772496580969,1898.654522740716,7.574543507678183e-07,2085.959700761532,535.6936255752001,253.3745671119444,3.548910273070107e-07,4.950396166981683e-07,1.829010802435967e-06,1541.304613301613,562.481613466199
F1,Times2,502.0426758063532,496.1624204300769,605.1182013513013,4.960636290282504e-07,1.840475377137489e-06,4.546439673646486e-07,4.730145034131851e-07,4.992252887656006e-07,282.2008243026158,2608.014635250544,1311.0367999363,4.993114180814003e-07,2149.753543100912,2036.456156517176,232.2580041927822,3.215977355237024e-07,3.883581992604062e-07,7.611927695395663e-07,1042.457340589685,347.183091224634
F1,Times3,621.7974031533296,514.2495227929044,1297.436849371083,9.548317865932175e-07,4.925114450982622e-07,4.470354732008405e-07,4.92947187830354e-07,138.7948962322365,186.0087000382609,2674.603386353693,569.380509839454,4.504456669877171e-07,2010.404060027635,1378.333223158968,121.7865652837722,4.609253201809681e-07,4.368474057426621e-07,2.154378964232214e-06,665.133476392033,1085.063244665079
F1,Times4,526.1972353110677,348.2140206827982,1114.862693098913,8.055258853660806e-07,8.97495002897405e-07,4.617049757101691e-07,4.73138003924048e-07,96.88321180425463,222.9553398864686,2292.991521531209,1141.180475352313,3.162348678314431e-07,2787.024594567909,229.9675435060542,379.3821248903295,3.990455754874561e-07,4.223545546346863e-07,1.548430775378608e-06,840.9629849419499,518.0821696798698
F1,Times5,745.2822122956832,92.75643659012276,726.1342274184991,3.225371429661143e-07,8.531404190671307e-07,4.044976553057016e-07,7.119909869095025e-07,134.0417572113873,411.8858089569154,1153.79788747412,217.8415345540343,4.259257656827799e-07,3922.57763278898,968.8967341250502,349.2148963998539,4.454718327664207e-07,4.030976257253661e-07,4.334950775128139e-07,1884.877783493506,751.6503624046583
F1,Times6,1371.522476012054,828.3212841320568,1129.77468718783,7.192925612248229e-07,7.413213455351667e-07,2.104880793524756e-07,4.928618323044557e-07,111.7369200340231,307.2590905643742,1183.040130205122,1053.122245139353,4.833798527952166e-07,2735.055100979633,403.0252718178926,17.23244258828492,8.182786363221505e-07,4.467939429870789e-07,8.462009002340983e-07,1121.522409701091,395.5519676664946
F1,Times7,1073.647660859522,541.9972692481655,897.2267253610224,6.690300803235604e-07,7.051354490398622e-07,3.363264002889166e-07,4.990677342477822e-07,83.47036788133298,474.3150995922238,1727.677973385836,895.9564867777685,4.988180178904394e-07,1358.670729390376,1351.021678810948,332.566819435749,7.517699620405234e-07,4.416522274086034e-07,1.723150063230061e-06,1443.094633026201,978.3109483685079
F1,Times8,965.4566027837841,406.7426215653766,671.3917736962732,5.801932766931358e-07,9.7266167295116e-07,2.969524312535881e-07,4.851430803085878e-07,412.146099558033,179.849727868794,1331.514035827133,652.1343890515448,4.627979658339872e-07,848.2446159144382,1263.141869916925,99.02091095858304,7.856624598514128e-07,3.760044374439064e-07,2.131747176019214e-06,509.9149982402588,554.677524152294
F1,Times9,1018.607136620733,67.84487559697214,1093.683333128193,8.307814440654076e-07,7.61822561439135e-07,4.12061687991783e-07,4.913210531541272e-07,645.6930932119511,173.810189945215,733.5899129877213,1470.518142250972,3.179283454452808,1455.221029220706,1643.539613713244,459.6400421110155,4.989899335410843e-07,4.817916622078678e-07,1.387870064294244e-06,889.7668911926496,734.5654738120758
F1,Times10,663.146311047394,295.6806994586269,1171.346045460442,2.612914219103163e-06,7.983068136167122e-07,4.228996658526716e-07,4.971882578583774e-07,505.9098113271579,595.0144086907366,2690.887686412274,874.4391708632402,4.910044681646663e-07,2120.151308348351,2209.520183742596,195.7491139533167,8.903398920630398e-07,4.512929642310103e-07,3.393471853149225e-06,355.1319246620575,580.8106147633872
