Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,0%,0%,0%,100%,100%,100%,100%,30%,20%,0%,0%,100%,0%,20%,100%,100%,100%,100%,0%,0%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F3,0%,0%,0%,100%,100%,100%,100%,40%,0%,0%,0%,100%,0%,20%,90%,100%,100%,100%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,100%,100%,100%,100%,50%,10%,0%,10%,100%,0%,10%,90%,100%,100%,100%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F11,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,40%,40%,40%,60%,20%,20%,60%,20%,60%,30%,20%,20%,30%,50%,30%,10%,30%,50%,10%,50%
F15,60%,70%,90%,20%,30%,100%,80%,40%,70%,70%,30%,70%,90%,70%,30%,0%,50%,20%,60%,50%
F16,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,90%,90%,100%,90%,90%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,90%,100%,100%,100%,100%,100%,100%,70%,100%,100%,90%,50%,80%,90%,100%,90%,90%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,60%,40%,50%,20%,50%,70%,30%,40%,70%,60%,30%,50%,40%,50%,50%,30%,30%,50%,10%
F21,40%,20%,30%,20%,20%,40%,40%,30%,30%,40%,20%,40%,0%,10%,30%,20%,30%,0%,30%,10%
F22,30%,50%,20%,50%,10%,30%,10%,10%,30%,10%,0%,10%,10%,20%,30%,30%,10%,0%,20%,0%
F23,30%,30%,40%,10%,10%,0%,20%,30%,30%,30%,50%,0%,60%,20%,10%,30%,30%,30%,10%,60%
